name	contribution	contribution.scaled	group	contribution.relative.1	pvalues
THBS	0.24454005889480757	0.7100375880883116	TET2	1.6	0.046875000000000014
MIF	0.45516219572693395	1.2704842567967467	TET2	0.5	1.2157298624515539e-4
GALECTIN	0.31788748571996456	0.8725563578084891	TET2	0	9.536743164062499e-7
THBS	0.3801088847551593	1.0338080792729298	Control	1.6	0.046875000000000014
MIF	0.2192466842992102	0.658953497035363	Control	0.5	1.2157298624515539e-4
GALECTIN	0	0	Control	0	9.536743164062499e-7
THBS	0.1764320339414836	0.5764288268087445	DNMT3A	2.2	0.015625000000000003
MIF	0.3486532717894954	0.9490571362839474	DNMT3A	0.6	0.00828406633809209
GALECTIN	0.3417104636117962	0.9312794911844982	DNMT3A	0	1.9073486328124998e-6
THBS	0.3801088847551593	1.0338080792729298	Control	2.2	0.015625000000000003
MIF	0.2192466842992102	0.658953497035363	Control	0.6	0.00828406633809209
GALECTIN	0	0	Control	0	1.9073486328124998e-6
