name	contribution	contribution.scaled	group	contribution.relative.1	pvalues
APP	0	0	DNMT3A Mutant	Inf	2.0234379917383204e-5
GRN	0	0	DNMT3A Mutant	Inf	0
SEMA6	0	0	DNMT3A Mutant	Inf	0
IL6	0	0	DNMT3A Mutant	Inf	0
CD86	0	0	DNMT3A Mutant	Inf	0
APRIL	0	0	DNMT3A Mutant	Inf	0
MHC-II	4.90629330252881e-5	0.10078200043188476	DNMT3A Mutant	1.68	0.0032229889184236544
PECAM1	3.8138215218461637e-6	0.0801482495926819	DNMT3A Mutant	0.74	0.006578978984985524
ALCAM	6.077771803302214e-6	0.08325789884013547	DNMT3A Mutant	0.46	0.1271972656250001
CD99	2.510637990557607e-4	0.12063012150080599	DNMT3A Mutant	0.37	0.2827692694243596
THBS	6.200026522174064e-4	0.13539518900098327	DNMT3A Mutant	0.32	0.18578492105007174
BAFF	2.079195373568513e-6	0.07643197456642117	DNMT3A Mutant	0.28	0
MIF	6.920510325415869e-4	0.13744097005719738	DNMT3A Mutant	0.26	0.8815093927114506
BAG	8.839109040127505e-8	0.06157068797870041	DNMT3A Mutant	0.17	0
VISFATIN	2.6661406404011607e-4	0.12151098819126252	DNMT3A Mutant	0.17	0.17898750305175778
SEMA4	3.935964772620362e-6	0.08035126662571691	DNMT3A Mutant	0.16	0.3247299194335938
CD48	5.436022989670446e-6	0.08249148822435348	DNMT3A Mutant	0.15	0.322265625
RESISTIN	9.872434383492492e-6	0.08676214367863677	DNMT3A Mutant	0.13	0.232421875
ICAM	5.2236050412249386e-5	0.10142257658392739	DNMT3A Mutant	0.13	0.04088388080708683
LIGHT	3.754983299356772e-6	0.0800484983732094	DNMT3A Mutant	0.12	0.8119303584098815
GALECTIN	3.0614725289075775e-4	0.12358732957349829	DNMT3A Mutant	0.12	0.05226334743201733
MPZ	3.8611135358258407e-7	0.06771791952155698	DNMT3A Mutant	0.11	0.8539232992870668
MHC-I	0.0023377782626675544	0.16505587916106665	DNMT3A Mutant	0.11	0.9364958375104698
TNF	3.280078636485407e-5	0.0968517555429486	DNMT3A Mutant	0.1	0.03742977511137723
ITGB2	4.671587396804262e-5	0.10028655340846641	DNMT3A Mutant	0.1	0.3302928431949113
ANNEXIN	3.0424207095762734e-4	0.12349205568300943	DNMT3A Mutant	0.1	0.15597057342529294
ADGRE5	5.0603069386622224e-5	0.1010969185127814	DNMT3A Mutant	0.08	0.8815100230276584
CCL	0.001047565276114486	0.1457452602496642	DNMT3A Mutant	0.07	0.056967815849930055
TGFb	2.117160574431756e-5	0.09291219656288019	DNMT3A Mutant	0.05	0.26347613334655756
CLEC	5.487682589009389e-5	0.10193244119859164	DNMT3A Mutant	0.05	0.07593795005232094
IL16	3.54592183751088e-8	0.058292442131033115	DNMT3A Mutant	0	0.005329132080078125
APP	2.2659845229806746e-5	0.09350236950075694	Control	Inf	2.0234379917383204e-5
GRN	2.6326303694249657e-7	0.06600611197908822	Control	Inf	0
SEMA6	2.0754892230120532e-7	0.06498613072035245	Control	Inf	0
IL6	1.3625343425604065e-7	0.06325611137632858	Control	Inf	0
CD86	8.084285754114446e-8	0.06123414255772536	Control	Inf	0
APRIL	3.3257527164626487e-9	0.051225388626909174	Control	Inf	0
MHC-II	8.248239358427711e-5	0.10634987790658212	Control	1.68	0.0032229889184236544
PECAM1	2.819818700193237e-6	0.07825437670286439	Control	0.74	0.006578978984985524
ALCAM	2.789537733448531e-6	0.07818831627059897	Control	0.46	0.1271972656250001
CD99	9.18087916109781e-5	0.10757543530622589	Control	0.37	0.2827692694243596
THBS	1.977194264789204e-4	0.11725169204670671	Control	0.32	0.18578492105007174
BAFF	5.850745671886087e-7	0.06967899879719407	Control	0.28	0
MIF	1.7694518661433647e-4	0.11574515414772706	Control	0.26	0.8815093927114506
BAG	1.525148193639827e-8	0.055559910333743516	Control	0.17	0
VISFATIN	4.6412257466421246e-5	0.10022101777044547	Control	0.17	0.17898750305175778
SEMA4	6.125071678803393e-7	0.06990218144323393	Control	0.16	0.3247299194335938
CD48	8.000059343820505e-7	0.07123193723635003	Control	0.15	0.322265625
RESISTIN	1.2384712570677039e-6	0.07352058499060962	Control	0.13	0.232421875
ICAM	6.620075534077463e-6	0.08385460304803288	Control	0.13	0.04088388080708683
LIGHT	4.5415005116240793e-7	0.06847046077320115	Control	0.12	0.8119303584098815
GALECTIN	3.6979418569800706e-5	0.09798974954846172	Control	0.12	0.05226334743201733
MPZ	4.1462925947549247e-8	0.05882883729674007	Control	0.11	0.8539232992870668
MHC-I	2.593637825689097e-4	0.12110527090001717	Control	0.11	0.9364958375104698
TNF	3.287225993518463e-6	0.07920499405359913	Control	0.1	0.03742977511137723
ITGB2	4.8167606749275405e-6	0.08167659897208976	Control	0.1	0.3302928431949113
ANNEXIN	3.1536736892622216e-5	0.09648451490422603	Control	0.1	0.15597057342529294
ADGRE5	3.995604126833601e-6	0.0804484792299605	Control	0.08	0.8815100230276584
CCL	6.989376525721471e-5	0.10450921622118017	Control	0.07	0.056967815849930055
TGFb	9.8534624857317e-7	0.07230515399643647	Control	0.05	0.26347613334655756
CLEC	2.8875669800887726e-6	0.07840003537345934	Control	0.05	0.07593795005232094
IL16	0	0	Control	0	0.005329132080078125
