Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-DRA,2.155384500197292e-62,0.6841564027123308,0.993,0.979,7.86392034896982e-58
HLA-B,5.75474507513147e-50,0.4646044997486749,0.997,0.987,2.099618740661717e-45
UBC,1.6026209723852986e-47,0.6126849133959462,0.984,0.959,5.847162617747762e-43
SAT1,4.858833732997139e-41,1.0240720601504782,0.906,0.809,1.7727454874840062e-36
HLA-DPB1,1.657973938250618e-36,0.7353458118350193,0.954,0.9,6.04911791370738e-32
HLA-DRB5,1.0559522199648023e-35,-1.4547345718488818,0.092,0.34,3.8526416745415813e-31
HLA-DPA1,2.1312715362760507e-33,0.6396292135933037,0.927,0.839,7.775944200103172e-29
RBM3,1.795775197457897e-29,0.5508811612668665,0.878,0.723,6.551885807925137e-25
LMNA,1.2272145196904734e-28,0.7802117397503063,0.696,0.473,4.477492175090692e-24
CD83,2.333228674525276e-28,0.7297322297454474,0.849,0.706,8.51278481900547e-24
LITAF,6.752853524886799e-28,1.0481512054841096,0.458,0.247,2.4637786085549488e-23
LY9,9.600650227757014e-28,1.0987679373422834,0.419,0.2,3.5027972355971467e-23
HLA-C,1.1669223072630924e-27,0.4551639120954407,0.972,0.932,4.2575160380493925e-23
ZFP36L2,1.6662010011207427e-27,-1.0008710991308387,0.219,0.456,6.07913435258903e-23
CALR,3.539808858557469e-27,0.7037907434070112,0.726,0.512,1.2914992620446927e-22
OAZ1,1.4454506527092406e-26,-0.6207690248531157,0.797,0.858,5.273726706409664e-22
EZR,1.672892338845716e-26,0.6169087698601796,0.915,0.862,6.103547698278594e-22
CRIP1,2.700601083547555e-25,0.5952556090059664,0.878,0.737,9.853143053323254e-21
HLA-DQA2,1.5554071079845009e-24,0.7851883586372774,0.657,0.451,5.674902833481451e-20
DUSP4,3.4552095724581945e-24,0.8372094487546775,0.277,0.1,1.2606332125113723e-19
TGFB1,1.3613672148317347e-23,0.7427496652029835,0.604,0.407,4.966948283313584e-19
HSP90B1,2.380749525324317e-23,0.6537377774648077,0.766,0.578,8.686164643145771e-19
CD74,3.552474440628071e-23,0.35077804247412203,0.996,0.986,1.2961202996631517e-18
GNG7,3.476797972444258e-22,0.7663580052650969,0.455,0.248,1.2685097402462875e-17
CD69,4.8584363100282995e-22,0.6709875166572248,0.635,0.44,1.772600487713825e-17
EIF1,5.168325179541633e-22,0.3752771093915026,0.988,0.983,1.885663441755765e-17
BCL2A1,6.127648105946996e-22,0.9179616913986832,0.539,0.335,2.2356724114547615e-17
ELL2,4.223510090661331e-21,0.7086536673202705,0.259,0.098,1.5409476565777866e-16
HLA-DQA1,4.528540479951229e-21,0.40786744424717636,0.867,0.719,1.6522379941102058e-16
DRAP1,1.1447152174816914e-20,-0.8476053254087241,0.194,0.391,4.1764934709819514e-16
LYSMD2,1.9652942691987258e-20,-0.7930090360586812,0.203,0.41,7.170376141171551e-16
PRDX1,2.697050408944358e-20,0.6588595416433103,0.733,0.566,9.84018841703349e-16
SQSTM1,6.292052978015926e-20,0.5581350380207866,0.799,0.68,2.2956555290291106e-15
HMGB1,7.5723863872861e-20,-0.3181470975733518,0.937,0.961,2.7627851734013337e-15
HERC5,1.0860490003646173e-19,-1.023496011337115,0.075,0.238,3.962449777830306e-15
GPR183,1.3693010728840626e-19,0.7206934130002893,0.638,0.473,4.995894964417503e-15
CLECL1,1.7484875278537564e-19,0.7570943428395797,0.304,0.138,6.37935674537443e-15
GUK1,2.817339817494906e-19,0.5878746674171436,0.651,0.47,1.0279064324130164e-14
PHACTR1,3.1965490817827557e-19,0.8514983653451105,0.429,0.244,1.1662609324884383e-14
EIF1AY,7.405467396768836e-19,-0.7407973533102328,0.036,0.181,2.7018847797111097e-14
CD79B,8.16399533090569e-19,-0.7469493491769732,0.158,0.352,2.978633696480941e-14
SNRPB,1.3756298140264844e-18,0.48479531942925735,0.784,0.622,5.018985376475628e-14
TUBA1B,1.5085831400995698e-18,0.7634535281190411,0.461,0.287,5.5040655866532806e-14
DDX21,2.0330340480228334e-18,0.5973756509137136,0.739,0.58,7.417524724211308e-14
BASP1,2.4486470756283866e-18,0.7374514996040253,0.617,0.45,8.933888855430168e-14
ISG20,2.7980980307353944e-18,-0.749611487967718,0.668,0.742,1.0208860665138086e-13
BST2,3.124241165589478e-18,-0.8303055400504911,0.075,0.231,1.139879389265321e-13
SERPINB9,3.561628365147545e-18,0.6679668357428186,0.455,0.278,1.2994601090240817e-13
PARP14,4.687787568969144e-18,-0.6646278764004458,0.581,0.716,1.7103392945383922e-13
CCND2,5.08660167647415e-18,1.0186337815374364,0.234,0.097,1.8558466216615936e-13
JUND,7.211007940446197e-18,0.522029863073799,0.931,0.897,2.630936247071795e-13
CALM1,7.988420391043715e-18,0.4866811009917975,0.866,0.758,2.9145751796722994e-13
UBB,8.711842494136295e-18,0.37390315986514855,0.927,0.871,3.1785157339856274e-13
ADAM28,1.1470341643354807e-17,-0.859004858737715,0.18,0.363,4.1849541485780014e-13
YBX1,2.2913385430507305e-17,0.33504087123340387,0.955,0.926,8.35994867432059e-13
SNU13,2.640537839900509e-17,0.542747038579042,0.708,0.545,9.634002308877006e-13
