Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-DPA1,4.611115244384792e-70,0.7968551397354413,0.934,0.838,1.6823653969137915e-65
LYSMD2,2.105279324780268e-61,-1.154939634390686,0.151,0.457,7.681111616460807e-57
HLA-DRA,4.769968842158382e-57,0.5801184927620016,0.985,0.984,1.740323132061486e-52
FOS,4.591796257424156e-55,1.672325070510578,0.452,0.174,1.6753168645212031e-50
CD52,1.479287860206713e-54,1.21579212231339,0.813,0.678,5.397181757964193e-50
JUND,1.3062654532476911e-49,0.7947836909130785,0.946,0.905,4.765909506174201e-45
CD69,8.010566001755756e-48,1.1248490578288726,0.65,0.409,2.9226550057405873e-43
FOSB,1.269423968381449e-47,1.3708477828649324,0.376,0.126,4.631493348639717e-43
DUSP1,6.188224381193644e-45,1.24271223426261,0.381,0.138,2.257773665478501e-40
KLF2,3.5223009992965807e-41,1.6415781554543991,0.52,0.31,1.2851115195933574e-36
EIF1,5.002615390255674e-41,0.4118043707147221,0.993,0.986,1.825204225134783e-36
FTH1,2.332090733082835e-40,-0.455219906450381,0.987,0.996,8.508633039652723e-36
CD74,9.988999888219292e-40,0.3469005145820807,0.996,0.993,3.6444866092168087e-35
TSC22D3,4.401426272142206e-37,1.1489290017189746,0.549,0.354,1.6058603753910837e-32
GSTP1,1.927438740766598e-34,-0.7477571673787842,0.37,0.603,7.032260245686933e-30
ANKRD12,1.2424124407530113e-33,-0.6586531781432319,0.637,0.802,4.532941790087362e-29
TMSB10,2.071013474663705e-32,0.6798443242105021,0.962,0.933,7.556092662310527e-28
TUBA1A,1.2040447815884226e-31,1.0922420487261513,0.428,0.23,4.39295738562536e-27
ARL4A,2.997874962372002e-31,0.9192736306981135,0.388,0.183,1.0937746800214249e-26
LTB,1.2656060213221351e-30,0.915263464951483,0.73,0.633,4.61756356879381e-26
NDUFV2,1.4308228926252217e-30,-0.7043624396687158,0.37,0.592,5.220357323743122e-26
HLA-DPB1,1.7029030435232088e-30,0.5423265793620615,0.943,0.931,6.213041754294427e-26
YPEL5,8.80996608879047e-30,0.9927356924113293,0.606,0.437,3.214316127495203e-25
HMGB1,6.798283353585078e-29,-0.36220076094832354,0.911,0.966,2.480353681555516e-24
IFI16,2.0538150086018887e-28,-0.6466507877619039,0.408,0.617,7.493344058883991e-24
PPP1R15A,4.035513489204447e-27,0.7971130294414266,0.58,0.413,1.4723570965362425e-22
OAZ1,4.256398108330454e-27,-0.4821388258731347,0.792,0.887,1.5529468498243661e-22
H3F3B,1.2740083885325407e-26,0.40684222337227105,0.963,0.942,4.648219605560974e-22
EPSTI1,5.210376846179662e-26,-0.6910207728627513,0.074,0.229,1.9010059923286495e-21
AC103591.3,1.4553645758974494e-25,1.2407146197398646,0.283,0.122,5.309897655161844e-21
CD22,3.977124948166904e-25,0.9204983792506666,0.246,0.092,1.451054037338695e-20
SRSF5,8.849977812707576e-25,0.5671920420632,0.777,0.678,3.228914404966359e-20
KLF6,1.8511613662190775e-24,0.742593111569605,0.626,0.486,6.753962244650304e-20
RNASET2,2.9872681797906807e-24,0.6933242031746802,0.46,0.271,1.0899047953966298e-19
EAF2,3.0535154801232512e-24,0.8485969746193884,0.191,0.057,1.1140751229229683e-19
FAM107B,3.423630934518513e-24,-0.3798448780165069,0.769,0.916,1.2491117464590794e-19
PARP14,8.368857188923469e-24,-0.600423000572361,0.495,0.668,3.0533775453787275e-19
CD99,1.286912316169486e-23,-0.6450162120464471,0.406,0.589,4.69529958554437e-19
VPREB3,1.6930072861103228e-23,0.958671239565533,0.207,0.068,6.176937083373513e-19
CYTIP,2.836364376980229e-23,-0.6220535536649279,0.444,0.619,1.0348475429412366e-18
ADAM28,4.883412599832142e-23,-0.7066671840920562,0.218,0.4,1.7817130870487572e-18
JUN,5.33212817741418e-23,1.1154586084475695,0.635,0.508,1.9454269655295633e-18
XAF1,5.726922273022434e-23,-0.7254766960710919,0.072,0.209,2.0894675913122352e-18
MX1,7.799233649827503e-23,-0.7233731500321988,0.082,0.226,2.8455503971395645e-18
GBP2,9.548016676821627e-23,-0.8716698267924904,0.108,0.257,3.483593884538371e-18
AC020916.1,1.4861795583958141e-22,0.8050521723105658,0.268,0.114,5.422326118807128e-18
JUNB,7.750574733073645e-22,1.0134876740850909,0.56,0.443,2.827797191361919e-17
HLA-DQA1,7.853445913334941e-22,0.43987909532636094,0.834,0.73,2.865329741480253e-17
ZFP36L1,9.474301263105802e-22,-0.5611071570094124,0.513,0.686,3.456698815844152e-17
SESN3,1.3382214289719261e-21,-0.5692583146146006,0.305,0.492,4.882500883604072e-17
LY86,2.9785944124581724e-21,0.7671972240212646,0.219,0.084,1.0867401713853642e-16
JCHAIN,3.2149425746941066e-21,1.4004254848155244,0.231,0.091,1.1729717983771447e-16
DDX3X,7.91469880927443e-21,0.6097519694381563,0.537,0.385,2.8876778605637755e-16
PLAC8,2.28132914395554e-20,0.8823127191114803,0.299,0.155,8.323429381721788e-16
TRBC2,2.77548323804347e-20,-0.5370712097656831,0.446,0.619,1.0126350594001602e-15
HLA-DQA2,1.4181849548956178e-19,0.7593828945228147,0.433,0.266,5.174247807936661e-15
S100A9,1.6323998171592407e-19,0.9122072638112941,0.155,0.044,5.95581073290549e-15
NFKBIA,2.8709275098070835e-19,0.7222230254886033,0.657,0.561,1.0474579019531145e-14
ATP2B1-AS1,3.2130038490352634e-19,0.8524070612880118,0.232,0.101,1.1722644543205159e-14
MX2,6.634753833792633e-19,-0.6829881359742257,0.086,0.214,2.420689936259242e-14
AL499604.1,1.769550553392472e-18,0.6380285143275286,0.148,0.043,6.456205194052434e-14
MZB1,1.913691687013086e-18,0.7288905866987979,0.118,0.025,6.982104120067245e-14
RABAC1,2.498195611740113e-18,-0.4396642962988353,0.423,0.606,9.114666689433802e-14
CCNL1,3.122161894715588e-18,0.7116575519891344,0.48,0.348,1.1391207672869823e-13
IRF7,5.6703127187607616e-18,-0.5127416717337432,0.065,0.182,2.0688135954398638e-13
RALGPS2,5.686108709879772e-18,0.8641490556209841,0.46,0.329,2.0745767627996347e-13
RESF1,6.5152670074969776e-18,-0.5988956771557383,0.412,0.567,2.3770951676852724e-13
CLEC2D,6.846407941161389e-18,-0.5779488663009928,0.387,0.551,2.497911937332733e-13
STAT1,9.291724883483047e-18,-0.5772509665081264,0.086,0.209,3.3900858237387897e-13
SAMD9L,1.057166376985971e-17,-0.5233859656665407,0.075,0.197,3.8570715264333153e-13
CYCS,1.3358624117183651e-17,0.6012728206794442,0.494,0.359,4.873894009154456e-13
CXCL8,1.5438438491101738e-17,-0.4994720158573389,0.331,0.496,5.632714283478469e-13
TUT4,1.844149084305355e-17,-0.5447537775391031,0.413,0.576,6.728377934088088e-13
HLA-DMA,2.013688859725324e-17,0.5715692427631758,0.548,0.405,7.346943804707844e-13
GNG7,2.584785076200241e-17,0.6947944915329796,0.372,0.233,9.430588350516578e-13
ACSM3,2.79407258903783e-17,-0.5667962374049333,0.05,0.155,1.0194173841104524e-12
PRKCB,3.303269761244912e-17,0.6685195216054285,0.27,0.137,1.2051979723902062e-12
FCRL5,3.7616071498873617e-17,0.8177785957863131,0.164,0.058,1.372422368636404e-12
TSTD1,4.3096745813650644e-17,0.7615829075796638,0.319,0.185,1.5723847710110438e-12
ARRDC2,5.090568867960022e-17,-0.5542572819060188,0.133,0.273,1.857294051475214e-12
IER2,6.401726040937001e-17,0.7930945892284971,0.569,0.46,2.335669746035865e-12
CALM1,7.654426083764738e-17,0.42161492719831095,0.819,0.78,2.792717356661565e-12
UBC,1.2842417147067613e-16,0.3703804037603948,0.938,0.95,4.685555896107619e-12
TXNIP,2.2994092748518744e-16,0.9537299276503051,0.612,0.552,8.389394739297064e-12
SAT1,2.8118070345446306e-16,0.6657548761683985,0.786,0.72,1.0258877965536084e-11
SEPTIN7,2.821910962642923e-16,-0.3161997541940771,0.836,0.894,1.0295742147202705e-11
RSBN1L,3.0360688165551196e-16,-0.5115496211742216,0.208,0.365,1.1077097077201355e-11
PLPP5,3.066318213723253e-16,0.839921383264158,0.231,0.114,1.1187462002769288e-11
EIF2AK2,3.2730829950936904e-16,-0.6017379833372698,0.13,0.259,1.194184330759933e-11
SRSF7,4.2619328842824674e-16,0.5921782695663711,0.602,0.49,1.5549662128304582e-11
HERC5,4.3550168923043815e-16,-0.5245828394266134,0.045,0.14,1.5889279131572537e-11
EVI2A,5.166484694972261e-16,-0.5376779450035811,0.157,0.296,1.8849919409606294e-11
SNHG9,5.84755591671668e-16,0.6439815989680114,0.283,0.154,2.1334807762140808e-11
GNG5,7.09842519209349e-16,-0.43760223426751477,0.364,0.536,2.58986043133531e-11
GBP4,1.0251518835526609e-15,-0.7079940363145606,0.112,0.232,3.7402666471418835e-11
AC007952.4,1.0654853007670187e-15,1.074644107497012,0.219,0.108,3.8874231198484673e-11
MYADM,1.6625865560141029e-15,0.7075943575518098,0.198,0.086,6.065947049617454e-11
