Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CCL4L2,5.18101921699592e-8,1.550146755495283,1,0.922,0.0018902948613209614
SAT1,5.481596968266569e-5,0.7088181049118347,1,0.953,1
ARPC2,1.3067929092745265e-4,-0.6351220228365055,0.941,0.969,1
CANX,3.371289084009988e-4,-1.0544523473892142,0.206,0.531,1
STAT4,6.411226926265358e-4,-1.1391097901277205,0.118,0.469,1
HLA-DRB5,7.343960331349358e-4,-1.081719941696003,0,0.281,1
TMEM123,7.988073361820723e-4,-1.1816625133652918,0.088,0.406,1
SEC61G,8.937529663518381e-4,-0.5782287325152802,0.324,0.719,1
MDM4,8.984602468067579e-4,-1.0669779634103924,0.029,0.328,1
MTPN,9.529882486307078e-4,-0.8596527976283692,0.441,0.75,1
SEC22B,0.0010331655715142894,-0.9737609464607768,0.029,0.312,1
INHBA,0.001078525752723753,-2.368103146388176,0.176,0.5,1
DIAPH1,0.001284367271655804,-0.7334735501720969,0.118,0.438,1
ANXA5,0.001532992629329573,0.4424043316085946,1,0.938,1
LCP1,0.001540915414789389,-0.9609643219089223,0.735,0.859,1
LUC7L2,0.0016410728426412757,-0.7207268400997613,0,0.25,1
CSNK1G3,0.0016562489485679006,0.695727385137431,0.265,0.047,1
H2AFZ,0.0016825370079785022,0.9728994524313415,0.794,0.578,1
AL162458.1,0.001796391864159689,0.5969125312561032,0.147,0,1
UPRT,0.001796391864159689,0.5565698981247075,0.147,0,1
COX19,0.0018319612758366417,-0.7591560935122489,0.029,0.297,1
TXN,0.001903274526551259,-1.0977982817264196,0.382,0.688,1
TALDO1,0.001953715778027334,-0.9415572162424846,0.176,0.484,1
CALHM6,0.0022322062093899264,1.3025121989946018,0.441,0.188,1
TLNRD1,0.0025028339493300385,-0.785560282993765,0.029,0.281,1
PLEKHM2,0.0026877030331667454,-0.8984465322753025,0.029,0.281,1
PLK3,0.002694676481336253,1.1026159977300969,0.441,0.188,1
C2CD4B,0.0028963356388919757,0.875743331886598,0.353,0.094,1
DUSP1,0.0031112923211883098,0.7002306080453691,0.853,0.562,1
NOP56,0.003174236834186033,0.5602886946356381,0.176,0.016,1
HLA-DPB1,0.003176145774034145,1.0606096473711235,0.735,0.562,1
IL1B,0.003315170735353522,0.5854107364382806,1,0.984,1
PDIA6,0.004118348822851072,-1.0373247690098535,0.176,0.422,1
GNLY,0.004123828269473911,-1.8869641225978255,0.059,0.328,1
CCL3L1,0.0042995466832788255,0.6504967764350935,1,0.891,1
ATP5ME,0.0043884746971418285,-0.9689434549922007,0.206,0.5,1
NFKBIA,0.0044082316592701076,0.5480351241283516,1,0.953,1
ATP2B1-AS1,0.004450044719949304,0.56831688378404,0.971,0.891,1
AC253572.2,0.004655832032596815,0.6902564048909425,0.471,0.172,1
AC093583.1,0.004660354644384934,0.6862557306767759,0.265,0.062,1
NOP10,0.004872039209064367,-1.2088030554390439,0.382,0.625,1
REV3L,0.005117792099066519,-0.7471193294978586,0.029,0.25,1
KBTBD8,0.005133996249394236,0.7383702796609006,0.235,0.047,1
HNMT,0.005207763404608386,1.0751079169928386,0.529,0.281,1
EMC3,0.0052442154087050065,-0.6062004287167265,0,0.203,1
PHIP,0.0052442154087050065,-0.7892064664704093,0,0.203,1
CD52,0.005414654275153656,-0.7899868918629169,0.206,0.5,1
CYHR1,0.005506966556681376,0.47208470518254103,0.118,0,1
RAB5B,0.005506966556681376,0.4090372059614622,0.118,0,1
"NAA60",0.005506966556681376,0.34475736089521336,0.118,0,1
MAP3K4,0.005507650140129611,-0.7165435164900074,0.118,0.406,1
S100A10,0.005559236385257367,0.47587227918727315,1,0.969,1
MOB1A,0.005577957053053519,-0.8841923589587048,0.206,0.469,1
PPP2CA,0.005842110515891417,-0.8093574016864253,0.176,0.453,1
CD48,0.005874470152108112,-0.7430427506011488,0.676,0.828,1
PPP4C,0.005968724814460217,-0.7510934348706395,0.206,0.516,1
NUBP1,0.00603408189246839,0.516194590382655,0.294,0.078,1
NDUFS7,0.00625680167132603,0.5339234098842768,0.294,0.078,1
HNRNPU,0.0063528786819126715,-0.6312204068959524,0.441,0.672,1
TMSB10,0.006370227565176954,-0.6045182737231567,0.971,0.938,1
TCP1,0.00676637615496143,-0.7560770872818697,0.059,0.281,1
PICALM,0.00709855015192764,-0.7395118168389281,0.059,0.312,1
FERMT3,0.007222386885785283,-0.6945299615604871,0.029,0.25,1
ACSL1,0.007224800602245346,-1.1210361550371184,0.382,0.594,1
RNF149,0.007420305996596167,-0.9496839313670786,0.206,0.469,1
OSBPL8,0.007440719024217157,-0.8137911583095621,0.441,0.703,1
TOMM6,0.0075047200020844276,-0.8801908505267303,0.147,0.406,1
MFSD14A,0.00764431977832176,-0.5540974301985665,0,0.188,1
SMNDC1,0.007726576947764714,-0.5629606900285908,0.029,0.25,1
STMP1,0.008036203860228125,-0.6841201918671089,0.088,0.328,1
CKB,0.008066233151820892,0.6600199609526631,0.265,0.078,1
ZNF644,0.00837638940276415,-0.6719755149175237,0.059,0.297,1
CLTC,0.00875802105659435,-0.7968580447873477,0.118,0.359,1
TXNDC17,0.008770931984832853,-0.716350434826199,0.029,0.234,1
LDHA,0.008782540619080797,0.8537611485678158,0.676,0.516,1
UBXN4,0.008860372620728411,-0.7806947380480997,0.206,0.469,1
AC025164.1,0.008921241620890677,0.6993675222840703,0.294,0.094,1
MRPL54,0.009073847766919125,-0.8209243190622338,0.029,0.234,1
PCNP,0.009128474528248531,-0.7133111599973245,0.118,0.375,1
SP100,0.009776948506817363,-0.9292498944103215,0.176,0.406,1
GK5,0.009961682450799411,0.627970505205189,0.382,0.156,1
GDI2,0.009989615639722931,-0.654272901168368,0.118,0.391,1
EIF1AY,0.010005597464878072,0.7484844433329335,0.235,0.062,1
SRSF11,0.010062799317105853,-0.8590414624716894,0.206,0.453,1
ACVR2A,0.010215271511789146,0.4152701852831551,0.147,0.016,1
SNX9,0.011076157986916652,-0.6162752976421604,0.176,0.484,1
SETD5,0.01109281251713161,-0.5500700076085029,0,0.172,1
ATF6B,0.01109281251713161,-0.4967681947931722,0,0.172,1
KLF13,0.01109281251713161,-0.6219466127296217,0,0.172,1
KLF2,0.01109281251713161,-1.2496092923755893,0,0.172,1
LIMD2,0.011203377877863619,-1.1890511069715863,0.059,0.266,1
IER3,0.011465735617072051,0.4254575519449708,0.971,0.844,1
ORMDL2,0.011615856384199057,-0.8044206713695117,0.088,0.297,1
SUB1,0.01178751912295113,-0.4590859017477751,0.676,0.859,1
DDIT4,0.011793300522922805,1.1520619418139004,0.441,0.203,1
HLA-DQA2,0.011824437940379087,-0.8698018951644773,0.059,0.281,1
PAPSS2,0.012002064425924627,-0.6540849688170276,0.088,0.328,1
DHX15,0.01224898793882606,-0.540653858690542,0.029,0.234,1
RHOF,0.01228524622106398,0.7855057969629773,0.324,0.125,1
CREM,0.012342880809708015,-0.8956238848507131,0.147,0.375,1
STXBP3,0.012532760448610977,-0.7064452877179936,0.088,0.312,1
B2M,0.012540913824017187,-0.30755090144944575,1,1,1
SEC61B,0.012635066918998303,-0.6475509635307848,0.735,0.812,1
ATXN3,0.01265646632727813,-0.5352400423495449,0.029,0.234,1
ATP5PF,0.012660261273454364,-0.9112930187780244,0.118,0.344,1
PDZD8,0.012726220599995326,0.44874538234956285,0.176,0.031,1
HLA-DRB1,0.012773608148683887,0.6490758885020265,0.882,0.656,1
SQOR,0.01300705895444219,-0.5806294117861929,0.147,0.406,1
CD99,0.013107935846806735,-1.20809006315296,0.147,0.359,1
AKIRIN2,0.013545147081723165,-0.6770605869517641,0.206,0.438,1
DNAJC3,0.013666634610534226,-0.6949035099924681,0.294,0.531,1
TMA7,0.01380017950118519,-0.7448414062832582,0.647,0.812,1
ZC3HAV1,0.013837119894185767,-1.4593972051499706,0.235,0.469,1
LAPTM5,0.014157836490414334,0.45539441207708986,0.882,0.766,1
XIST,0.014363885151216756,-1.1521022705798636,0.059,0.25,1
AL162377.1,0.014517960543372115,0.3731605474756559,0.176,0.031,1
SPEN,0.01484296146241619,-0.6620488553031265,0.029,0.219,1
EMILIN2,0.014970158800741571,0.4451180978743263,0.676,0.438,1
AC015912.3,0.015119237357156319,0.38470681544333346,0.294,0.094,1
KHDRBS1,0.015722597280096277,-0.7803942492751916,0.147,0.359,1
REEP5,0.015801509709073635,-0.7590649048696464,0.176,0.406,1
PTPN6,0.015813890641160414,-0.6152093062286743,0.088,0.328,1
ADAR,0.01597128070827927,-0.9090261045434936,0.206,0.453,1
SP110,0.01603312571917258,-0.5147413922510011,0,0.156,1
LARS,0.01603312571917258,-0.46802897376137903,0,0.156,1
NUB1,0.01603312571917258,-0.5747469528134698,0,0.156,1
LEPROTL1,0.01603312571917258,-1.060334673479695,0,0.156,1
PPA1,0.01603312571917258,-0.7960947803973355,0,0.156,1
SMAD3,0.01603312571917258,-0.5028306818795208,0,0.156,1
TSR3,0.01603312571917258,-0.6193685932918022,0,0.156,1
EXOC7,0.01603312571917258,-0.48163465179977916,0,0.156,1
SECTM1,0.01603312571917258,-0.5741063608653802,0,0.156,1
SCAF4,0.01603312571917258,-0.49052585453148817,0,0.156,1
