Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
XIST,1.269840040594637e-27,-1.3422278009052708,0.075,0.422,4.633011388109533e-23
SLC7A11,6.4861528976310216e-24,-1.1425212344861888,0.018,0.255,2.366472884700678e-19
SOD2,5.543311375370941e-20,-1.353008796935983,0.976,0.979,2.022477155304088e-15
ADA,7.204971615422924e-19,-1.2455684969908027,0.358,0.682,2.6287338938870538e-14
AIF1,1.171115032766412e-16,0.6326257200052892,0.986,0.948,4.272813197048254e-12
KLF4,3.5726310497401205e-15,1.2246946943642099,0.605,0.318,1.303474438497683e-10
FOSB,2.140712070752596e-14,1.1970672595923417,0.627,0.323,7.810387990140847e-10
FOS,4.3288319931505123e-14,1.4124752840989698,0.684,0.443,1.5793743527009644e-9
CCL4,8.217145022644416e-14,-1.396751807051964,0.45,0.708,2.998025361511815e-9
KLF2,1.2215281174998384e-13,1.0710422173478373,0.723,0.464,4.45674533669816e-9
RHOB,1.7735860267912745e-13,1.170943836108135,0.415,0.135,6.470928618747965e-9
CXCL8,2.21237307082658e-13,-0.7751523777335088,0.798,0.964,8.071843148910777e-9
JUNB,2.507221336745493e-13,0.6778511510241483,0.906,0.755,9.147597047115932e-9
TSC22D3,6.997724672221528e-13,0.996554103900005,0.633,0.359,2.5531198466600248e-8
NFKB1,9.434269062278889e-13,-0.8964533582355845,0.446,0.693,3.4420930673724526e-8
MCL1,2.672223619065733e-12,0.7695456455210152,0.723,0.495,9.749607874161327e-8
JUND,4.114940397695517e-12,0.5919373447712339,0.935,0.87,1.5013360040992095e-7
IFITM2,5.018329480856564e-12,0.5985794732187446,0.971,0.896,1.8309375110905174e-7
PELI1,6.410588720052893e-12,-0.8224090558533792,0.363,0.615,2.338903294511298e-7
AQP9,7.063145182678149e-12,-1.0218059749832227,0.301,0.547,2.5769885199001227e-7
MNDA,1.1690533925742263e-11,0.9274187296687886,0.593,0.307,4.2652913028070647e-7
ATP6V1F,1.2670727318883289e-11,-0.9040726388058538,0.68,0.781,4.622914862294568e-7
DRAM1,1.3646416302665566e-11,-1.0312408246708673,0.185,0.417,4.978894988027532e-7
BASP1,1.6061405361317258e-11,-1.0596972048929385,0.255,0.51,5.860003746076601e-7
PSMA6,2.073234684600764e-11,-0.8507902118885273,0.554,0.734,7.564196746765887e-7
CTSS,2.4882164116711334e-11,0.4567482765236983,0.99,0.979,9.07825757798213e-7
CDKN1C,4.569154630632489e-11,0.8761609586055283,0.625,0.359,1.6670560669862637e-6
MAML2,5.4815365571751257e-11,-0.7649949034750343,0.267,0.51,1.9999386128853447e-6
CALM2,5.529585266526543e-11,0.5466140114440745,0.931,0.854,2.0174691844922093e-6
CD74,5.987931025803875e-11,0.47350970730106656,0.98,0.964,2.184696634764544e-6
SLAMF7,6.328552436448063e-11,-1.1182282557460501,0.253,0.49,2.3089723564380756e-6
RNF144B,7.960865030245794e-11,-0.7224566629889768,0.395,0.646,2.904521606285178e-6
CORO1A,8.069582575248733e-11,0.6697369376992177,0.782,0.583,2.9441872025795e-6
C1orf162,9.912386872271188e-11,0.7485870425357914,0.67,0.38,3.6165343503481427e-6
TMSB10,1.574639860866604e-10,0.40062708960722215,0.998,1,5.745073532371805e-6
CCL4L2,1.6402277638669832e-10,-0.7810305310418308,0.299,0.547,5.984370996468688e-6
LHFPL2,2.395893385018578e-10,-0.6308211234217387,0.063,0.229,8.7414170152402815e-06
SDCBP,2.569350665986804e-10,-0.6801664045893858,0.721,0.807,9.374275904852855e-6
HLA-DPB1,3.9730278600466655e-10,0.6215753422542694,0.855,0.703,1.4495592147380259e-5
TUBA1A,4.0677352748551393e-10,0.8038249366217103,0.68,0.448,1.4841132150308976e-5
TNFAIP8,1.0935003448643004e-9,-0.7701422103775637,0.36,0.594,3.9896360082374e-5
DOCK4,1.6123752451591483e-9,-0.5943824617330642,0.065,0.224,5.8827510819631526e-5
CALHM6,1.83755920295725e-9,0.7084155169039308,0.648,0.422,6.704334751989527e-5
ARHGDIB,2.5857405711624022e-9,0.48015171263925005,0.88,0.734,9.434074473886024e-5
PYCARD,3.2820770057742325e-9,0.6584987447351565,0.697,0.469,1.1974657955567288e-4
FCN1,3.5112975998060192e-9,0.5021314380794064,0.906,0.818,1.281096929289226e-4
RGS2,3.5664986624055594e-9,0.6749693842507023,0.709,0.49,1.3012370369786682e-4
ACSL1,4.098699409978412e-9,-0.8521881501098645,0.287,0.5,1.4954104797306237e-4
HLA-DPA1,5.265037717823707e-9,0.5044170459615507,0.921,0.839,1.9209490113479796e-4
RIN2,5.457355288011956e-9,-0.6647442974819208,0.153,0.354,1.9911160768311623e-4
ZFP36L2,5.814326012573134e-9,0.7676662245504646,0.495,0.245,2.121356845687308e-4
