Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
JUND,0,1.0250172411365117,0.856,0.719,0
FOS,5.51520376763152e-293,1.2891953029082321,0.563,0.258,2.01222209462036e-288
FOSB,1.6196911564429124e-272,1.2734754122302165,0.455,0.177,5.909443184281966e-268
JUN,5.50803951377644e-268,1.2165706638765186,0.608,0.334,2.0096082166013342e-263
DUSP1,8.431354130301192e-243,1.1236064664309922,0.458,0.194,3.07617955444039e-238
EIF1,2.4993703698509763e-232,0.4606922048114299,0.978,0.987,9.118952794401287e-228
CD69,3.0945509978619083e-229,1.0437959814559665,0.573,0.322,1.1290469315699173e-224
TSC22D3,3.0762512236523594e-210,0.8551319845773917,0.668,0.47,1.1223702589495634e-205
YPEL5,7.596755149234827e-173,0.8677556793869217,0.599,0.407,2.7716761161983266e-168
GIMAP7,2.3596390977697648e-172,-0.6763186111333295,0.525,0.735,8.609143248212986e-168
H3F3B,4.808341700429719e-166,0.4920467450505388,0.947,0.952,1.754323469401783e-161
SESN3,2.7278158103271446e-150,-0.83484517120363,0.205,0.424,9.952435983978588e-146
GIMAP5,9.735820324918704e-148,-0.7275239242997329,0.216,0.44,3.5521140455465893e-143
GIMAP1,2.8984315607981146e-136,-0.6980785732030699,0.182,0.392,1.0574927549571921e-131
MRPS6,1.1404615784499374e-125,-0.61011281613013435,0.195,0.407,4.160974068974596e-121
SAT1,1.9936086301650252e-125,0.8447597990352409,0.59,0.459,7.2736810871570945e-121
UBC,5.890110811491364e-124,0.4775710369011268,0.91,0.926,2.149006929572624e-119
JUNB,1.76677203781783e-123,0.9011760620578437,0.578,0.445,6.446067779978353e-119
UBB,4.125802151463409e-121,0.5436397756433533,0.78,0.726,1.5052989149614248e-116
IFI16,3.530573130487157e-117,-0.6317616168258606,0.289,0.493,1.2881296066582394e-112
PKIA,4.6807533326599e-117,-0.6456103386656551,0.099,0.265,1.7077728534209645e-112
TUBA1A,1.0196404750275204e-116,0.8088711258500276,0.442,0.276,3.720158273137908e-112
CALM1,5.859167934118979e-116,0.3763661092602151,0.922,0.939,2.1377174207633093e-111
TMSB10,1.2953959272812779e-115,0.437093541628621,0.962,0.973,4.726252040685742e-111
TNFAIP3,3.244362019280909e-114,0.7364699838851276,0.63,0.513,1.1837054827346396e-109
LMNA,4.734008376590107e-111,0.9060354528734336,0.416,0.261,1.7272029561989007e-106
DNAJB1,1.0489417123531099e-109,0.839705207928529,0.421,0.269,3.827063837520321e-105
LYSMD2,2.5231064996959e-108,-0.609107076632118,0.195,0.384,9.205554064140491e-104
AC020916.1,2.315277512411035e-104,0.8097279263067085,0.261,0.118,8.447290004031661e-100
RALA,7.029282791308882e-103,-0.59420341768577,0.242,0.433,2.5646338264090456e-98
ID2,5.587049540874328e-102,0.8987018484413705,0.287,0.144,2.0384350249879986e-97
SLC5A3,2.7694515177463483e-99,-0.5653839927246957,0.093,0.241,1.0104343862497552e-94
CLEC2D,3.1568583916831396e-99,-0.49220181264788554,0.431,0.618,1.1517797842055935e-94
S100A4,1.6994953292348596e-95,0.781725317442179,0.616,0.499,6.200608708713385e-91
TSHZ2,1.9464593004124028e-95,-0.613523021753388,0.173,0.341,7.101656757554652e-91
GIMAP4,4.79522395091745e-95,-0.512358804570499,0.308,0.5,1.7495374584922317e-90
DEK,4.3227788444779485e-94,-0.4976670000333523,0.383,0.575,1.5771658614077795e-89
MYADM,7.903909345890033e-94,0.6987439541617992,0.233,0.103,2.8837413248479787e-89
PPP1R15A,6.432262248111981e-93,0.7364958336320089,0.5,0.375,2.346810881223656e-88
ATP2B1-AS1,1.8589869964642275e-91,0.7619745994130529,0.225,0.098,6.782514056599734e-87
TXNIP,8.173983258819593e-91,0.6960139999117096,0.714,0.683,2.9822777919803285e-86
