Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TGFB1,3.4895110575788326e-166,0.8761178141045938,0.874,0.671,1.2731481093576371e-161
JUND,3.362338688524758e-125,0.7536590373677274,0.905,0.754,1.226749270508258e-120
UBC,1.758405828814491e-119,0.49911965756489085,0.981,0.959,6.41554366642967e-115
UBB,5.730678729786245e-117,0.5456888219751779,0.95,0.877,2.0908381345625117e-112
LDHA,1.4993959828406015e-114,0.6274107535191189,0.933,0.847,5.470546243393934e-110
CALM1,2.491999773980063e-100,0.5768565656330802,0.945,0.886,9.092061175366259e-96
TUBA4A,3.717904186227983e-99,0.9828605364515757,0.575,0.346,1.3564773423452796e-94
EZR,4.13743392845148e-96,0.7142068085489317,0.81,0.633,1.5095427687955225e-91
EIF1,3.7942747431695697e-93,0.40915617078334776,0.989,0.979,1.3843411400454175e-88
CRIP1,4.875116497072695e-86,0.649698799845865,0.937,0.874,1.7786862539569728e-81
LRRFIP1,2.6294762783791113e-83,0.682231568863283,0.7,0.5,9.593644201666187e-79
HLA-A,1.834195257299771e-76,-0.3616915630449524,0.997,0.997,6.692061396258215e-72
TAGLN2,5.19651913106751e-72,0.6053129082722317,0.757,0.58,1.895950004969981e-67
LMNA,1.6167798537759484e-69,0.8611225792051707,0.497,0.292,5.898821296501548e-65
RBM3,1.3444519330185414e-66,0.5099361395211197,0.756,0.578,4.905232877618148e-62
SAT1,3.530628033785918e-66,0.6786675899755812,0.711,0.533,1.2881496381267921e-61
CREM,4.7128403925843057e-66,0.5845077027624641,0.71,0.499,1.719479817234384e-61
BZW1,2.086325738245518e-65,0.6168599293231365,0.686,0.519,7.611959455988773e-61
VIM,4.4875712241108845e-63,0.505886678481815,0.991,0.986,1.637290361116856e-58
CCL3L1,5.497515749991684e-60,-1.0482266637029936,0.131,0.301,2.005768621384466e-55
SYAP1,1.6034761632233065e-57,0.7397004083971745,0.473,0.3,5.850282781520234e-53
ARHGDIB,2.739916528955643e-52,0.4131461523416724,0.861,0.762,9.996585455894664e-48
FAM177A1,1.1717682178785323e-49,0.6131299435226181,0.552,0.385,4.2751963429298253e-45
NCL,6.026210384612279e-47,0.4491772788534152,0.834,0.739,2.19866285882579e-42
ADGRE5,3.4042733699966313e-46,0.5593971990437767,0.442,0.271,1.2420491390432708e-41
GABARAPL1,3.055959361161026e-45,0.5693679423679594,0.595,0.434,1.1149667729196003e-40
CALM2,4.437567478520771e-45,0.42252788432137045,0.802,0.696,1.6190464945383035e-40
ODC1,1.9122902732087323e-44,0.6443022782124557,0.344,0.194,6.97699106180206e-40
COTL1,2.031693556204623e-44,0.6083245260232222,0.329,0.181,7.412633939812567e-40
YWHAZ,2.7045204864916303e-43,0.4025863557869349,0.807,0.716,9.867442994964713e-39
BST2,3.856758845195073e-43,-0.6754632627374842,0.095,0.235,1.4071384646694226e-38
OAZ1,1.1901476599308778e-40,-0.39021811757201474,0.795,0.844,4.342253737257808e-36
YPEL5,5.031655939141513e-40,0.5011741277160136,0.561,0.412,1.835799669395781e-35
TPM3,1.1936132160457499e-39,0.3735612094454188,0.794,0.693,4.3548978187429185e-35
FTH1,1.031919878793327e-38,-0.3764691063422134,0.994,0.997,3.764959677777454e-34
SRSF3,1.6627692611989893e-38,0.4994919308666741,0.527,0.373,6.066613649484513e-34
DRAP1,2.9907111582230874e-38,-0.5947093586636372,0.273,0.437,1.0911609660776934e-33
REL,5.192571245954597e-38,0.5763313594630972,0.421,0.277,1.894509619086535e-33
TMSB4X,7.010163566384584e-38,-0.3300558909905087,0.997,0.999,2.5576581771954156e-33
PSMB9,2.4522944011921767e-37,-0.5454625624029097,0.431,0.572,8.947196122749657e-33
ITM2B,1.5785073414903683e-36,-0.39714443209477723,0.746,0.824,5.759184035427608e-32
METRNL,1.7230246923060606e-36,0.45572635130562533,0.651,0.508,6.286455589878662e-32
CYBA,4.1097568271208405e-36,-0.4076128771009251,0.755,0.818,1.4994447783750385e-31
IL2RG,6.228754899796234e-36,-0.4986264502622926,0.435,0.575,2.272561225190656e-31
FGFBP2,8.396392435374639e-36,0.4824344169247441,0.587,0.425,3.063423780046437e-31
XIST,7.273498849739583e-35,0.5711318445507874,0.224,0.11,2.6537360553274868e-30
CDK2AP2,2.5683435849298125e-34,-0.5849873504469585,0.126,0.257,9.37060156961642e-30
ATP1B3,3.1817270933434227e-34,0.5729407839628076,0.441,0.303,1.1608531300063478e-29
SNHG5,3.4617382497139516e-34,0.4913455128402111,0.602,0.485,1.2630152004081351e-29
RNF213,5.604222638736649e-34,-0.6229349260156041,0.236,0.379,2.0447006297430665e-29
TSC22D3,1.1891931462676444e-33,0.5898658729289208,0.337,0.207,4.338771194157501e-29
JUN,1.3739071288135859e-33,0.6004446363197906,0.448,0.303,5.012700159476368e-29
TUBA1B,2.640705202938723e-33,0.5972382937666647,0.332,0.206,9.634612932921931e-29
S100A10,5.0161533423006766e-33,0.3888693643239236,0.92,0.875,1.8301435469384019e-28
IDS,8.304417114290184e-33,0.42413554525774133,0.66,0.537,3.0298665841487735e-28
NDUFS5,2.27877994003047e-31,0.3730105068974505,0.751,0.641,8.31412861120117e-27
SRSF2,2.3461875125712185e-31,0.39302389373127555,0.659,0.53,8.560065139616091e-27
TIGIT,2.1098463248303583e-30,-0.6735442366577138,0.141,0.26,7.697774316143562e-26
H1FX,2.2481104844966067e-30,0.6379870599466364,0.247,0.136,8.20223110268587e-26
CAST,9.146208363923282e-30,0.4526859208168208,0.654,0.555,3.3369941215774094e-25
HLA-F,1.7068502166894032e-29,-0.5114275273450914,0.33,0.467,6.2274430155912875e-25
EIF1AX,3.0313707228744777e-29,0.5336698221532576,0.47,0.355,1.1059956082407532e-24
CSTB,1.4178767199838851e-28,-0.5280451414994762,0.221,0.351,5.173123212861205e-24
NEDD8,1.4607202128795722e-28,-0.49261689281908216,0.325,0.462,5.329437696691119e-24
BAX,2.0884863143322925e-28,-0.47048790750940506,0.075,0.177,7.619842317841369e-24
CD69,9.41729592011912e-28,0.6482637659135022,0.395,0.271,3.435900416455461e-23
AC004687.1,1.1523251896425797e-27,-0.5001166187515947,0.143,0.262,4.204258454410952e-23
MTFP1,1.187472691351503e-27,0.48451527197741817,0.204,0.105,4.332494114395959e-23
CDC42,1.2656032642567742e-27,0.30073113932050877,0.798,0.709,4.6175535096408404e-23
