Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
XIST,3.399098312192893e-8,-1.6379520439442135,0.13,0.446,0.0012401610192035771
HLA-DQA1,1.350875856850586e-6,1.3140868901021094,0.797,0.589,0.04928670563719363
TMEM30A,1.5831430884313549e-6,-0.8261532042335868,0.203,0.518,0.05776097558141798
SLAMF7,5.590234797803389e-6,-0.8033823225515047,0.182,0.5,0.20395971659785664
"NAA25",7.071381704747992e-6,-0.6674104615211832,0.057,0.268,0.2579993614977305
REXO4,7.4980550505433145e-6,-0.7555694805262543,0.042,0.232,0.2735665385190728
NRDC,1.1615094981709817e-5,-0.6638726105111608,0.24,0.554,0.4237767404076827
ARMCX3,1.506680884985999e-5,-0.9916744318879894,0.146,0.393,0.5497125208871417
CALR,2.7082920044490815e-5,-0.7377387786012917,0.594,0.857,0.9881203378232474
SEC31A,3.13507595134967e-5,-0.7825846320646899,0.344,0.643,1
SNHG20,3.278576957523884e-5,-0.3385294412647806,0.026,0.179,1
GOLPH3L,3.42864192942324e-5,-0.47173969912000024,0.026,0.179,1
CCDC186,3.4653568315268206e-5,-0.7691399896806228,0.339,0.625,1
BST2,3.470997031049105e-5,-0.8126160960236111,0.474,0.75,1
MCEE,3.670623520752627e-5,-0.47632568440092704,0.042,0.214,1
CD2BP2,4.4180463273917696e-5,-0.588463589989652,0.146,0.411,1
TTBK2,4.6737977415069125e-5,-0.5719048957966494,0.036,0.196,1
ZNF70,5.6121286630004054e-5,-0.3989411680848937,0.01,0.125,1
KCTD9,5.6869826586926836e-5,-0.3094514514608934,0.005,0.107,1
AL021155.5,5.723600895334343e-5,-0.751288071949137,0.359,0.625,1
ABCF3,6.251514536690002e-5,-0.27236317194447973,0.016,0.143,1
PPME1,6.269933930396794e-5,-0.28243562371907116,0.01,0.125,1
KLF13,6.647169641685681e-5,-0.6925383994637055,0.318,0.607,1
ZFAT,7.339902611645236e-5,-0.8572817554075294,0.13,0.357,1
ZDHHC24,8.026716929470107e-5,-0.5966813571370719,0.104,0.321,1
SLC35F3,9.218861476495096e-5,-0.5743538365625749,0.031,0.179,1
IDE,9.609418455466634e-5,-0.49978104396967066,0.047,0.214,1
BSDC1,9.784957664580499e-5,-0.49612323109659273,0.047,0.214,1
IRF8,9.786931530216783e-5,-1.0140632743228863,0.49,0.714,1
MRPL38,1.0741893835627359e-4,-0.49748531273177565,0.115,0.339,1
TMEM11,1.1152670189708324e-4,-0.37905441890763075,0.026,0.161,1
BEND6,1.1544977710030099e-4,-0.32667732694912877,0.031,0.179,1
ZDHHC17,1.1696578171912274e-4,-0.3881532660643974,0.104,0.321,1
CD83,1.2606628509022823e-4,0.9862097172256861,0.557,0.304,1
VKORC1L1,1.276457034921247e-4,-0.5471341212532776,0.042,0.196,1
DCK,1.4157793308262033e-4,-0.6783308658842235,0.198,0.464,1
SPECC1L,1.4439156215582163e-4,-0.35950392613607657,0.026,0.161,1
RTL8A,1.5392972520293126e-4,-0.38945770683345754,0.026,0.161,1
PPM1K,1.6010386090490862e-4,-0.5995962932873189,0.146,0.393,1
SENP2,1.652386756409108e-4,-0.587188511501454,0.052,0.214,1
ZNF664,1.940318000822551e-4,-0.4288112284262659,0.021,0.143,1
SLC41A2,1.9973125056555583e-4,-0.6067799195817511,0.078,0.268,1
LHFPL2,2.0225017916499375e-4,-0.4700153724389367,0.042,0.196,1
BTAF1,2.0335413995326476e-4,-0.597305219934327,0.104,0.304,1
MAP1A,2.101350452808281e-4,-0.7967323833032234,0.24,0.5,1
UBE2E3,2.1565998396367545e-4,-0.706423600940472,0.224,0.464,1
SYNRG,2.325017147934631e-4,-0.5496935764326014,0.094,0.286,1
FTH1,2.836283135788629e-4,0.4755062132124026,0.99,1,1
TCEAL9,2.8861577515463025e-4,-0.38257222114555606,0.052,0.214,1
SOCS4,2.902895200277915e-4,-0.48867411083624196,0.073,0.25,1
RUNX2,2.932423489288373e-4,-0.7086241693863198,0.12,0.321,1
HLA-DPA1,3.0295464424879155e-4,0.9347363275206755,0.922,0.911,1
CRIM1,3.072492403834373e-4,-0.4373649842179291,0.016,0.125,1
Z83843.1,3.265297362350148e-4,-0.2527871595702987,0.01,0.107,1
IRF7,3.286799627034661e-4,-0.9952171695297243,0.354,0.589,1
ZKSCAN1,3.488358877165709e-4,-0.5460021439297701,0.099,0.286,1
CHMP5,3.526272754961491e-4,-0.6086717400783133,0.161,0.375,1
TFRC,3.595763592721355e-4,-0.7018580284494349,0.234,0.482,1
HSD17B7,3.629942727763372e-4,-0.31089147449758237,0.01,0.107,1
IQCE,3.725703676955317e-4,-0.4280350399590551,0.031,0.161,1
SNX20,4.053528142385051e-4,-0.5741537186920893,0.109,0.304,1
ARHGAP17,4.1116732937850916e-4,-0.5150402308286375,0.089,0.268,1
CHD9,4.246410610418493e-4,-0.6350760632716028,0.401,0.643,1
UGCG,4.5231670942740405e-4,-0.8917499457791749,0.464,0.661,1
MFN1,4.544451160410514e-4,-0.45595704147174254,0.083,0.268,1
GATAD2B,4.6593948976682043e-4,-0.33698411705493425,0.104,0.304,1
TWF1,4.659942129825815e-4,-0.47643295689691767,0.12,0.339,1
AP1S3,4.661434976337162e-4,-0.5968604705053858,0.042,0.179,1
KLF4,4.679852127454413e-4,0.9860604725766016,0.542,0.304,1
NUCB2,4.713421599334848e-4,-0.6885366126897785,0.406,0.625,1
ZNF451,4.7307633826932125e-4,-0.720574635927763,0.135,0.339,1
IFI44L,4.946151180289045e-4,-0.5461946488348364,0.026,0.143,1
POLG,5.109945089929942e-4,-0.5886916168328309,0.052,0.196,1
NOL8,5.212264895353814e-4,-0.43777119912253354,0.078,0.25,1
COL24A1,5.47753069858146e-4,-0.4688780083450195,0.026,0.143,1
EPB41,5.647217638098892e-4,-0.5270918179197852,0.266,0.518,1
BCL11A,5.773850938418924e-4,-0.7195074975532392,0.318,0.536,1
TMED3,5.925995611395277e-4,-0.44543909281521876,0.151,0.375,1
C1orf109,6.008106604344865e-4,-0.3713622520052835,0.042,0.179,1
RNF34,6.439520450049047e-4,-0.44020110631391157,0.026,0.143,1
SMIM30,6.562613755444687e-4,-0.41243070939757653,0.125,0.321,1
TM2D2,6.598460951925769e-4,-0.266683722115097,0.057,0.214,1
HLA-B,6.657669605047114e-4,0.39724435425248394,0.984,0.946,1
ANKRD36,6.70344221097864e-4,-0.2731618600220084,0.026,0.143,1
SCARB2,6.777494240507922e-4,-0.7809100616997914,0.172,0.375,1
SNAP29,7.091330925885986e-4,-0.5625866571859491,0.167,0.375,1
