Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CD69,7.724008886733988e-5,1.8206800683359727,0.544,0.293,1
NFKBIA,1.4190841635766598e-4,0.7357674318915723,0.676,0.391,1
TRIM28,1.5396134393628555e-4,1.4245003916944217,0.176,0.011,1
DDX3X,3.2256586420273213e-4,0.8687412095755507,0.632,0.37,1
DDX3Y,4.16093752060981e-4,-1.794608210756639,0.015,0.196,1
EIF4A1,4.211471437531748e-4,1.0313531172512427,0.529,0.272,1
H3F3B,4.5991193126897526e-4,0.8394999706939705,0.824,0.663,1
TYROBP,5.056617692923987e-4,-1.7579643331731645,0,0.163,1
TRMT10C,6.33141731314814e-4,1.0501401163405069,0.206,0.033,1
GAS5,6.354408446523319e-4,1.3139322094732733,0.382,0.152,1
FOSB,6.783861813373282e-4,1.009301656148204,0.456,0.185,1
FTL,6.962270624494974e-4,-1.0428117490315763,0.338,0.609,1
DUSP1,0.0012220773549191314,1.0655997362726866,0.397,0.163,1
SNHG9,0.0012617762849785326,1.5981880183523154,0.206,0.043,1
SNHG1,0.0016739495864738173,0.7850639083624897,0.25,0.065,1
RNF168,0.0016948091189335447,-1.3635476359490215,0.029,0.196,1
GPR183,0.001825820994445042,1.5938220005861117,0.25,0.076,1
SP100,0.002288712377543045,-1.1462764383300685,0.191,0.402,1
USP9Y,0.0028876013879546485,-1.5300248091313897,0.015,0.152,1
AL499604.1,0.003148805872375536,1.229955662548189,0.294,0.109,1
NUP58,0.003162325249497094,1.0491623247297346,0.147,0.022,1
SLC9A3R1,0.0032200738890560926,1.117290130556762,0.191,0.043,1
NBPF19,0.003291458730009995,-1.7826032996859749,0,0.12,1
RAB5C,0.003291458730009995,-1.3366234420203646,0,0.12,1
NR2C1,0.0034024353555101566,1.1591136469126342,0.147,0.022,1
MYC,0.0036280239422389108,1.3432390792125495,0.118,0.011,1
MCM3AP,0.00372960455359472,1.1435895124544198,0.118,0.011,1
DIP2A,0.003883311707228688,1.5207391469362392,0.162,0.033,1
DUS1L,0.0039405596636974865,0.952714146784301,0.118,0.011,1
TUBB2A,0.004050050192161563,1.0101015259529411,0.118,0.011,1
PNO1,0.004162295162846071,0.8123141615933432,0.118,0.011,1
PABPC4,0.004163645705676392,1.1385139356354748,0.235,0.076,1
RNF7,0.004622120308687381,0.9504083278459954,0.221,0.065,1
RGS1,0.005194613823782913,1.476341222758358,0.176,0.043,1
C1orf21,0.005264261843433981,-1.2112182762152903,0.029,0.174,1
KLF6,0.005444421097671331,0.9427470566752394,0.515,0.337,1
LUCAT1,0.005688357760509075,-1.9970909824333376,0.029,0.163,1
DDX21,0.005912822269620853,1.3531400234401165,0.338,0.163,1
OAZ1,0.006187648549489502,-1.0155599209645867,0.147,0.337,1
BTAF1,0.006692805800681474,1.058887288473444,0.191,0.054,1
SELL,0.006870726256017927,0.8009010503166034,0.132,0.022,1
NCOA7,0.006894751491967864,0.8122483868924317,0.176,0.043,1
KDELR2,0.007585658132847264,-1.28097407110586,0.015,0.13,1
RASSF1,0.0077286400830516985,0.5181370323424968,0.132,0.022,1
TFAM,0.00782297441266072,0.990891278874691,0.103,0.011,1
JUNB,0.00786720598327685,0.936746372286287,0.529,0.326,1
AC245407.2,0.008037829359930583,1.0245737324751103,0.103,0.011,1
GARS,0.008257952517392975,1.326527635654331,0.103,0.011,1
METRNL,0.008447291398061434,-1.0751963353623293,0.088,0.25,1
LINC00623,0.00873332051188825,-1.5963543411210643,0.029,0.152,1
AXIN1,0.00895104358358622,0.7985178030912347,0.103,0.011,1
AL121603.2,0.009193360907513964,0.7250216719233781,0.103,0.011,1
CAMTA1,0.009441516149654309,0.4502090305870238,0.103,0.011,1
IL1B,0.009683030430924196,-1.6095375758520174,0.162,0.337,1
SH3BP5,0.0098071556973466,0.9637675370960659,0.147,0.033,1
OTUD4,0.009997725684042502,-1.0947734175990471,0.029,0.152,1
YME1L1,0.010152785658503905,0.7075926626691085,0.397,0.207,1
RALGAPA1,0.010177059655239587,-0.9052339551257476,0.118,0.293,1
IRF9,0.010337621722792303,0.9706000564628026,0.235,0.087,1
AC087239.1,0.010580472350299052,1.201355585301919,0.162,0.043,1
WDR33,0.011121901738358853,0.6830979168003642,0.147,0.033,1
USP3,0.011195264590743537,0.8512359301901624,0.235,0.087,1
PER1,0.011551770200574355,1.1192621200033681,0.162,0.043,1
