Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
JUN,1.0117972103931056e-8,1.194563562575274,0.769,0.481,3.691542122119246e-4
KLF6,1.6768111479200228e-8,1.2492625644452944,0.687,0.406,6.117845473186203e-4
FOSB,2.5974302139713105e-7,1.178004247442157,0.721,0.459,0.009476724135674327
FTH1,4.123170074375491e-7,-0.6645470822030788,0.646,0.865,0.015043386016358979
FOS,8.922190271864097e-7,0.6187794366077286,0.762,0.466,0.032552611206896155
GNLY,2.84526085003178e-6,1.3119787077704124,0.531,0.301,0.10380934211340949
BTG2,3.583644228332476e-6,1.2065144497905131,0.51,0.271,0.13074925967071038
AC020916.1,3.829290981371147e-6,1.4782790937733767,0.619,0.414,0.1397116814553263
PARP9,8.199774194567564e-6,-1.2942936110276502,0,0.128,0.29916876148879756
ZFP36,8.355366262391718e-6,1.2617864708483473,0.517,0.286,0.30484553808336184
KLF2,4.4530106196358235e-5,1.0034244393884224,0.626,0.398,1
DUSP1,1.2255589730460724e-4,0.898748409077156,0.537,0.338,1
YY1,1.2840887825438853e-4,-0.8421093265531108,0.102,0.286,1
AL360012.1,1.8874907684968305e-4,1.3860382596067344,0.374,0.188,1
FOXP1,2.061880870499863e-4,-0.6632602820171898,0.177,0.391,1
PSMD6,2.7518384525148444e-4,-1.0103185292641645,0.02,0.135,1
CCNL1,3.381736694682221e-4,0.896246282974972,0.605,0.466,1
EML4,3.4028327001205344e-4,-0.6600408520653556,0.19,0.391,1
LUC7L3,3.719409210392158e-4,-0.68252543468566,0.156,0.346,1
IER2,3.7575592820578016e-4,0.4409303970453702,0.68,0.474,1
TBC1D2B,4.58092329820391e-4,-1.1527782433666875,0.027,0.143,1
AC007952.4,4.820792629112185e-4,1.3124242606911163,0.422,0.271,1
MIAT,4.92765407904261e-4,-1.0385932806973026,0.129,0.301,1
FGFBP2,5.916462100037041e-4,1.2787660599680994,0.197,0.06,1
NFKBIA,6.029984584846236e-4,0.8159098271172969,0.667,0.526,1
FOSL2,6.030181396862527e-4,1.1037876219781673,0.231,0.083,1
