Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
UBB,1.244444043902793e-93,0.7486213631474312,0.969,0.918,4.54035409417934e-89
VIM,2.566653170103589e-81,0.7072570200520731,0.994,0.989,9.364434091122944e-77
UBC,4.922082846230365e-69,0.5269759679967576,0.986,0.963,1.7958219264471485e-64
LRRFIP1,3.5213744924204395e-48,0.7246298198284813,0.706,0.527,1.2847734835595974e-43
LMNA,2.4567493784364226e-47,0.8738713081732059,0.573,0.354,8.963450107225287e-43
LDHA,1.741948683928434e-44,0.568270939888393,0.907,0.856,6.3554997733128915e-40
TAGLN2,9.028491179704264e-44,0.6307428675007101,0.779,0.611,3.294045006915101e-39
FGFBP2,8.265890297982452e-43,0.6399478243054375,0.814,0.622,3.0158100752188977e-38
CRIP1,5.013969921583866e-41,0.72351906599242,0.864,0.775,1.8293469258898736e-36
HERC5,4.41560987587433e-40,-0.9870740085998,0.098,0.287,1.6110352632127492e-35
TGFB1,7.945816149182644e-40,0.5613600611126204,0.813,0.694,2.8990310220292874e-35
EIF1,9.505358715822035e-40,0.3657014627749211,0.985,0.974,3.468030127467669e-35
ACTG1,3.5194053893910106e-39,0.7171294939163984,0.86,0.769,1.2840550563193102e-34
EZR,2.9825802286274996e-38,0.5809689123870632,0.739,0.572,1.0881943964147432e-33
GZMB,2.7745184131947647e-36,0.523412755518712,0.914,0.82,1.01228304305411e-31
CALM1,7.667939632713602e-35,0.48661848240416505,0.901,0.833,2.7976477749955576e-30
CD3D,1.4071060968723205e-34,-1.1023705887938278,0.099,0.27,5.133826594438661e-30
S100A10,1.6564155169715804e-34,0.6699573368648073,0.851,0.788,6.043432013670811e-30
DRAP1,3.864782108635551e-33,-0.7301022112690174,0.292,0.489,1.4100657523356806e-28
BST2,2.7472010929352904e-30,-0.7333252682669688,0.103,0.269,1.0023163187574407e-25
RBM3,9.523544765743858e-30,0.41854338870940966,0.746,0.59,3.4746653077816466e-25
ISG15,1.4419071449519848e-29,-1.0732189197977744,0.257,0.439,5.260798218357317e-25
PSMB9,2.4478269332888926e-29,-0.5892136587356984,0.404,0.597,8.930896566104525e-25
TUBA4A,1.3074869441833393e-28,0.8793052372537344,0.384,0.231,4.770366115852913e-24
CLEC2D,6.954033702024242e-28,-0.7970273996641903,0.282,0.455,2.5371791961835445e-23
SAT1,5.419316774113206e-27,0.5694085219363054,0.706,0.576,1.9772377250352034e-22
CD55,4.558274284757791e-26,0.8092710503885405,0.303,0.162,1.66308637279388e-21
REL,7.049998950200173e-26,0.7261812640451297,0.531,0.395,2.5721921169805328e-21
BCL2A1,7.352173954063803e-26,1.0141256932443006,0.297,0.16,2.6824406671401784e-21
TMSB4X,1.433125719267906e-25,-0.39174564757279384,0.998,0.997,5.228759186748956e-21
PTPRC,2.339029857670723e-25,-0.4042593953406892,0.782,0.867,8.533950435711632e-21
TRIM22,6.6874806677858665e-25,-0.6974114076918254,0.202,0.364,2.4399273216416733e-20
EPSTI1,9.63997768667961e-25,-0.7171054591692338,0.111,0.255,3.5171458589850554e-20
SRSF2,1.2165746794389493e-24,0.5074040863226554,0.628,0.486,4.4386727179330063e-20
JUND,5.626505434272185e-24,0.4297235590511952,0.852,0.754,2.0528305076942065e-19
S100A4,3.3681402890419525e-23,0.5508693553179871,0.608,0.454,1.2288659844569564e-18
IFI6,7.158732982188559e-23,-0.7564955917343434,0.08,0.206,2.6118637285514955e-18
DSTN,8.570668301106051e-23,0.5270484996625835,0.643,0.508,3.1270083296585427e-18
CDC42,1.9973358800854937e-22,0.34137726939247814,0.822,0.733,7.287279958491924e-18
ADGRE5,2.3332867274544514e-22,0.48916539668302317,0.573,0.422,8.512996625117566e-18
HLA-C,5.279799505865523e-22,0.2539295958589971,0.995,0.989,1.9263348497150363e-17
LY6E,1.4981102682465855e-21,-0.6496813013667444,0.248,0.398,5.465855313697667e-17
EFHD2,1.5120866817859448e-21,0.3824118073116489,0.847,0.792,5.5168482584960197e-17
CXCR4,1.5507260055018921e-21,-0.5721873043883141,0.555,0.663,5.657823831073653e-17
EIF2AK2,1.6594079167994941e-21,-0.6901650449033669,0.206,0.354,6.054349784442954e-17
HSP90AB1,1.963463003325236e-21,0.44544858918805064,0.752,0.66,7.163694767632123e-17
ZFP36L2,2.8747459638176427e-21,-0.6152344864540364,0.335,0.492,1.0488510648988669e-16
ITM2B,5.697707361398653e-21,-0.40796805986312856,0.689,0.8,2.0788085308062986e-16
FAM107B,6.6252863382533586e-21,0.5159553540547366,0.677,0.598,2.417235720511738e-16
YWHAZ,7.752043383347423e-21,0.36931740438629657,0.807,0.728,2.8283330284143073e-16
LITAF,2.195975075094023e-20,0.502412046980643,0.547,0.417,8.012015061480543e-16
BZW1,3.302518988807532e-20,0.44099004078185544,0.674,0.574,1.2049240530664279e-15
