Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
S100A4,1.7098610968935677e-147,1.0622114825350861,0.811,0.538,6.238428212016182e-143
FOS,2.0254472986098864e-142,1.4458694321191383,0.58,0.242,7.38984446897817e-138
JUND,1.2617738657232295e-138,0.8552506593638598,0.888,0.712,4.603581949091202e-134
KLF2,5.401721856185433e-135,1.3363233152272054,0.637,0.349,1.970818219229255e-130
TSC22D3,3.9165574274690876e-129,1.3261253630871266,0.554,0.257,1.4289559774120966e-124
DUSP1,1.3854506229338247e-122,1.3519325608094315,0.526,0.229,5.054816597774059e-118
CALM1,3.8736093369665117e-113,0.6171780456053106,0.941,0.891,1.4132863665922318e-108
EIF1,4.766318079751385e-106,0.49808803482595465,0.988,0.983,1.7389911513972928e-101
GZMB,1.4120458058072756e-100,0.6830014700672424,0.9,0.761,5.1518491224878455e-96
FCGR3B,1.623496133835008e-100,-0.9695140778132902,0.01,0.168,5.923325644297027e-96
JUN,1.8519083372056536e-100,1.3140396589664172,0.633,0.398,6.756687568294827e-96
GZMA,2.525590277501551e-97,0.8248104705723573,0.765,0.561,9.214616127464409e-93
ACTB,3.817574981444642e-94,0.8182849625267967,0.859,0.764,1.3928422319800776e-89
FOSB,6.066092887824518e-88,1.0915906368152317,0.435,0.184,2.2132139901227755e-83
JUNB,6.2541647634109164e-80,1.0190479622253954,0.558,0.342,2.2818320139304726e-75
YPEL5,2.4140164695968423e-77,0.8744612314773375,0.622,0.423,8.807539089324078e-73
GIMAP7,2.4414542951203703e-76,-0.8053234475924649,0.352,0.589,8.907645995746671e-72
AC020916.1,3.4994170810364313e-71,0.8695936588319284,0.467,0.238,1.276762322016142e-66
PPP1R15A,9.778626706171592e-68,0.8311067073239888,0.543,0.326,3.567731953746705e-63
TUBA1A,1.4533036579842234e-67,1.1240580402135614,0.39,0.196,5.302378396155439e-63
NFKBIA,3.554665925556134e-67,0.5963517816788246,0.804,0.654,1.2969198629391554e-62
IER2,1.1358846642887035e-66,0.8086927668092145,0.743,0.61,4.144275197657335e-62
CD69,1.073684197499396e-65,0.6273328349101184,0.661,0.443,3.917336794576546e-61
HCST,2.367985242440016e-64,0.6684825280327615,0.763,0.634,8.639594157042398e-60
PPP1R14B,1.9581720847774666e-63,-0.9772265720122308,0.148,0.336,7.144390851310587e-59
APOBEC3G,5.161133559923029e-62,-0.5041791029993665,0.539,0.761,1.8830395793379172e-57
CLEC2D,6.1053307657809816e-61,-0.8246833612874909,0.213,0.414,2.227529929895191e-56
VIM,1.0144581226994157e-59,-0.2863219581850984,0.795,0.919,3.7012504606688186e-55
HLA-A,2.6203919276568254e-59,-0.3372017100428204,0.986,0.993,9.560499948055927e-55
DDX3Y,3.7840706235616783e-59,1.0402485226939504,0.242,0.086,1.3806181670064783e-54
S100B,1.0225177246934814e-54,1.7411821948747,0.113,0.009,3.730655918544167e-50
GIMAP5,1.576028964065e-54,-0.702431536941745,0.119,0.29,5.750141675391152e-50
FTH1,2.776224567356405e-54,-0.5282062693854721,0.972,0.988,1.0129055333999843e-49
SPON2,6.915570119477749e-54,0.7747485506422926,0.481,0.286,2.5231457580914567e-49
SRSF7,1.055743763048977e-53,0.7405109367028637,0.598,0.448,3.851881119484193e-49
FGFBP2,5.863751493967931e-52,0.5109403670045536,0.816,0.693,2.1393897325741995e-47
ARL4C,1.5640421410796296e-51,0.5273279128762698,0.787,0.688,5.706407751729029e-47
