Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MYL9,8.063052009830145e-11,1.5354249594037603,0.656,0.338,2.9418045257865283e-6
HBA1,1.859038364670374e-9,2.113211376274133,0.294,0.039,6.78270147349986e-5
BEX3,7.020544628612663e-9,1.5905690344852834,0.594,0.325,2.56144570774933e-4
HBG2,8.309994365017272e-9,2.459519345663148,0.45,0.175,3.0319014440765516e-4
NCOA4,1.6678308231739765e-8,1.2164037607115654,0.831,0.643,6.085080758350253e-4
CMTM5,1.721073927050571e-8,1.3533970048363813,0.581,0.305,6.279338222844008e-4
MYL6,4.0326201423162084e-8,0.8986620435755448,0.925,0.857,0.0014713014589240686
PPBP,4.2374777775302755e-8,1.0506190498260182,0.95,0.909,0.0015460437671319211
HSPB1,1.4807131629869003e-7,1.251991814345958,0.344,0.097,0.005402381975157706
MPIG6B,2.0106891535653673e-7,1.0613720058814569,0.475,0.182,0.007335999376783243
PF4,3.899590430213239e-7,1.000934989411479,0.912,0.825,0.014227655684633002
FERMT3,6.098006074580956e-7,0.9190149857254504,0.619,0.344,0.022248575163108616
SH3BGRL3,1.1552863954212941e-6,0.7136202453336518,0.988,0.929,0.04215062413694592
CTSA,1.277298755963736e-6,1.0798213659640172,0.594,0.357,0.046602245111336905
RSU1,1.5333020028495468e-6,1.0921562132319975,0.475,0.234,0.055942523573965716
TUBA4A,1.5895528178694008e-6,0.9488461980521041,0.775,0.61,0.05799483455996509
SNCA,1.7175915462964305e-6,1.3415962422593823,0.462,0.214,0.06266632756662527
H3F3A,2.9718060996955164e-6,0.613750607588667,0.994,0.968,0.10842634554739092
C19orf33,2.982436769228761e-6,0.7558243041794501,0.569,0.292,0.10881420552531135
GP1BB,4.557111214146478e-6,0.7469855645214665,0.906,0.799,0.16626620264813424
ILK,5.085940050785037e-6,0.7807177949451716,0.481,0.24,0.1855605227528921
HBG1,5.148557035257445e-6,1.6868704937112728,0.206,0.039,0.18784510343136787
TIMP1,5.532700113268982e-6,0.5745496462142974,0.806,0.532,0.2018605636326188
TREML1,5.792037329758775e-6,1.050394306935042,0.644,0.435,0.2113224819762489
KRTCAP2,8.770294593169855e-6,-1.0779482394553788,0.112,0.312,0.31998419823180213
GP9,1.0417275011978217e-5,0.9110037404488307,0.756,0.558,0.38007427881202527
RNASEK,1.1060162207908025e-5,-0.7553381490495985,0.406,0.61,0.4035300181555243
MALAT1,1.5010624238057426e-5,-0.6034182458870987,0.856,0.948,0.5476626253255252
ACTB,1.620407384027746e-5,0.6398361740940306,0.938,0.922,0.5912056340625231
GMPR,1.7093183988282872e-5,1.031143282734352,0.362,0.143,0.6236448178125006
GPX4,2.018705219279381e-5,0.992987168422304,0.738,0.623,0.7365245992540822
H3F3B,2.766931460974284e-5,-0.6067903754432891,0.7,0.838,1
MPP1,2.885592194537609e-5,0.8203319504988427,0.581,0.364,1
PPP1R14A,3.5221169219247156e-5,0.8786823363731915,0.312,0.11,1
WNK1,3.6116345458834605e-5,-1.009258132377004,0.056,0.214,1
SLA2,3.663805915371228e-5,0.9993339870091196,0.3,0.11,1
TAGLN2,4.119601325957095e-5,0.5034520866270213,0.956,0.831,1
TALDO1,4.60238067838574e-5,0.7839022223188867,0.525,0.305,1
FHL1,5.147248274559672e-5,1.1458855972105875,0.269,0.091,1
TUBA1C,6.433038219295968e-5,0.9319588430292778,0.456,0.26,1
HDDC2,7.122352666255037e-5,-0.8691345865399189,0.006,0.11,1
TLN1,7.392147593749429e-5,0.7636626340252066,0.75,0.584,1
EXOSC8,7.404418981018384e-5,-0.6673478376379046,0.006,0.11,1
TPST2,7.506407383704952e-5,0.9992786609892634,0.35,0.162,1
TUBA1B,7.573650417190726e-5,0.9482336540317604,0.444,0.253,1
MXD1,7.909288015732251e-5,-0.9510911077023045,0.025,0.149,1
NRGN,8.489396490158795e-5,0.7088653901032771,0.887,0.786,1
OAZ1,9.972827487303611e-5,0.6065311233439621,0.938,0.89,1
GIMAP7,1.042356200881625e-4,-0.8887282168170909,0.188,0.377,1
RUFY1,1.105190991725606e-4,0.9662795962415047,0.694,0.519,1
DYNLL1,1.1735575701277858e-4,0.4020723671696551,0.731,0.526,1
GFI1B,1.4032509456886124e-4,0.9581980476935748,0.256,0.091,1
CD68,1.5297362118684132e-4,0.8047355253563133,0.3,0.123,1
PLA2G12A,1.584616800309222e-4,0.76563801121315,0.425,0.227,1
DDX18,1.6590386490432715e-4,-0.9707154625831736,0.138,0.305,1
PDCD4,1.7136929502151307e-4,-0.8962352774433977,0.181,0.364,1
SCN1B,2.1339218573396073e-4,0.9502948647079064,0.356,0.175,1
TRBC2,2.2359906402158602e-4,-0.8616261594647758,0.294,0.468,1
ANXA1,2.39044403782301e-4,-0.5966039340438885,0.356,0.565,1
PTPRC,2.4431284569656047e-4,-0.5219364744383239,0.388,0.597,1
DHX36,2.7071329186264463e-4,-0.8502821540971143,0.088,0.234,1
HLA-C,2.788799623543722e-4,0.44060827800217073,0.938,0.903,1
MITD1,2.798306335469428e-4,-0.6870066457429393,0.013,0.11,1
CCND3,2.9934320133853594e-4,0.8955533222228858,0.438,0.253,1
IFNAR2,3.3553908816435487e-4,-0.673011499414749,0.05,0.182,1
SEC61G,3.430460447396532e-4,-0.8801286871177141,0.169,0.338,1
RANBP1,3.540961108734857e-4,-0.8965510766203377,0.056,0.182,1
SIVA1,3.7532579275865584e-4,-0.6397471310082259,0.069,0.208,1
DOK2,3.8173225412096355e-4,0.5914784021620676,0.331,0.156,1
ESAM,3.8236957888657385e-4,0.9806862667822798,0.275,0.117,1
OST4,4.456453203332379e-4,0.46152840592903566,0.869,0.805,1
