Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NCOA4,6.971359421581221e-10,1.0014102610561073,0.876,0.772,2.5435004849639085e-5
MYL9,1.6226591908410588e-9,1.0010668890995258,0.757,0.481,5.9202720577836034e-5
PF4,1.997186790652349e-9,0.8083485574218612,0.943,0.92,7.286736005695096e-5
PPBP,4.125783358623452e-9,0.8027924157665236,0.981,0.951,1.5052920583937663e-4
H3F3A,5.660875717602561e-9,0.6207432391729846,0.995,0.963,2.0653705055672942e-4
MYL6,1.8514477695289707e-8,0.7589011881988936,0.962,0.907,6.75500718712645e-4
SH3BGRL3,6.753299217515356e-8,0.6715568738372957,0.986,0.988,0.002463941219510478
SRGN,8.49951923390041e-8,0.6599367342950639,0.89,0.802,0.0031010495924885645
HBG2,1.1801948124723018e-7,1.9776974536389331,0.438,0.21,0.004305940773305193
CD48,8.818345788156505e-7,-1.1051359106200498,0.119,0.321,0.03217373460808901
GIMAP7,1.7349554285934476e-6,-1.0722515743757257,0.148,0.346,0.06329984881223194
TMEM70,5.518720484439451e-6,-1.1490717685339364,0.048,0.198,0.20135051687477337
CMTM5,5.866036687823602e-6,0.7533633791624692,0.724,0.556,0.21402234855524413
CTSA,6.016140900480037e-6,0.8606545053496357,0.7,0.531,0.21949890075401415
MYCBP2,7.460042859536828e-6,-0.7310773343802074,0.067,0.235,0.27217966373020114
CCSER2,9.066455913226575e-6,-0.8956148662143201,0.086,0.259,0.3307896439940716
TUBA1B,9.19733453055388e-6,0.8983477455869333,0.586,0.414,0.3355647503472583
DRAP1,9.511816148362174e-6,-0.709909520621046,0.11,0.296,0.3470386121729939
HBA1,9.607480963386286e-6,1.7426069521412948,0.262,0.086,0.35052894294914866
ACTB,1.0466403233013165e-5,0.5330849228224546,0.976,0.938,0.3818667219564853
BEX3,1.2404410421350228e-5,0.9434529898638186,0.648,0.512,0.45257491422296303
RNASEK,1.4934711119276559e-5,-0.7384894620758042,0.319,0.543,0.5448929351868053
HSPB1,1.5103986371320145e-5,1.2302022313170662,0.324,0.142,0.5510689427576155
TNFRSF25,1.5607865107260637e-5,-0.6905953153898802,0.019,0.136,0.5694529584384044
TREML1,1.583295481911221e-5,0.7963553484328378,0.729,0.605,0.577665356575309
TUBA4A,1.6883274222542498e-5,0.6896411868580721,0.838,0.728,0.615986260009463
GIMAP1,2.0673485798362678e-5,-0.5825127200469522,0.029,0.154,0.7542721293532623
CANX,2.086396574233213e-5,-0.7166678572005998,0.052,0.198,0.7612217901089877
GP1BB,2.3129128417353467e-5,0.4762604494404279,0.957,0.951,0.8438662503071412
SPCS2,2.771549204441962e-5,-0.8024220019275847,0.124,0.302,1
OAZ1,3.693950594407374e-5,0.5392300568197408,0.948,0.963,1
NUB1,3.718780554923415e-5,-0.7192751694002496,0.043,0.173,1
AKAP9,3.7324665425604846e-5,-0.863782014356469,0.081,0.235,1
MTDH,4.1402276101426655e-5,-0.8874632821837408,0.119,0.29,1
GIMAP4,4.257595560111392e-5,-0.7997095048752554,0.057,0.198,1
EVI2B,4.8127629607358885e-5,-0.8640310828938476,0.171,0.352,1
UPP1,4.952459345924479e-5,-0.8085738773889845,0.1,0.265,1
BID,5.481562493654303e-5,-0.7218342158744504,0.057,0.198,1
HBG1,6.589848205950758e-5,1.4816164452168934,0.214,0.068,1
PPP1R14B,6.750022297567358e-5,-0.9228442608766005,0.076,0.222,1
GOPC,7.213363988489833e-5,-0.636132281352622,0.014,0.111,1
