Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-DRB5,1.2141117789497123e-42,-1.3987716623284494,0.067,0.34,4.429686825498025e-38
HLA-DPB1,2.7603556099171745e-31,0.614724535029179,0.94,0.9,1.0071157442782812e-26
XIST,1.39296435394246e-30,-1.1910459143892373,0.003,0.169,5.082230445359065e-26
UBC,7.677519650336182e-28,0.4505425091467954,0.97,0.959,2.801143044425156e-23
CD74,3.670365049871137e-27,0.43017914040634864,0.995,0.986,1.3391326884454842e-22
MS4A1,1.8078967736551927e-22,-0.6898094400157189,0.518,0.724,6.596111378680971e-18
HLA-DPA1,4.681685761505056e-22,0.5594812312148467,0.904,0.839,1.7081130500851198e-17
GABPB1-AS1,1.660186782771479e-19,-0.8194343824913737,0.112,0.291,6.057191476941741e-15
MALAT1,1.3168451252149065e-17,-0.2515863214671814,1,1,4.804509439346587e-13
EEF1G,1.499446763490409e-16,0.40146941158374805,0.917,0.914,5.470731516594757e-12
HLA-DQB1,7.064820187445113e-16,0.6403523490931073,0.876,0.793,2.5775996453893495e-11
PKN2,4.456028368388829e-15,-0.6252567375365942,0.088,0.229,1.6257819502066643e-10
RIPOR2,1.0079303989480709e-14,-0.6195117793092499,0.183,0.351,3.677434060562037e-10
PTMA,1.445219263304843e-14,0.2901954379157763,0.999,0.994,5.272882482167719e-10
HLA-DRA,1.9028462884607485e-14,0.33574112091677133,0.985,0.979,6.942534683449041e-10
ZFP36L2,4.119741829886748e-14,-0.5347195210303428,0.278,0.456,1.50308780663418e-9
GBP1,2.2024887509790054e-13,0.6685674859948457,0.192,0.082,8.0357802079469e-9
SP100,2.021121350476806e-12,-0.47174430773128595,0.523,0.684,7.374061247214627e-8
OSBPL8,2.7030687601119225e-12,-0.4827698942006706,0.313,0.479,9.86214637126835e-8
IL16,5.639121104397718e-12,-0.4400371137551444,0.078,0.198,2.0574333349395074e-7
GBP5,5.823501545389838e-12,0.9282659864110624,0.2,0.097,2.1247045388354824e-7
PDCD4,6.0581561611920436e-12,-0.5027661363155165,0.352,0.524,2.210318275410917e-7
H3F3B,9.035534999062972e-12,0.3014700051579453,0.953,0.949,3.2966149444081254e-7
ATRX,1.4467980104341383e-11,-0.5121426625717054,0.244,0.399,5.278642541068953e-7
CD83,2.487575487829659e-11,0.44118577624234856,0.782,0.706,9.075919167346512e-7
RESF1,3.572217587454136e-11,-0.5002750581720212,0.383,0.529,1.3033235867826414e-6
ANKRD44,1.9981997769686952e-10,-0.4523273161579817,0.134,0.26,7.290431886270284e-6
TGFB1,2.485542885020987e-10,0.6270306634562013,0.502,0.407,9.068503215999071e-6
H3F3A,2.749611958352923e-10,0.27433242233684396,0.96,0.942,1.003195923005064e-5
SNHG29,3.5706115821272083e-10,0.43083993574951185,0.758,0.767,1.302737635739112e-5
HLA-DRB1,3.760035880275734e-10,0.395595755011124,0.908,0.872,1.3718490909186016e-5
FCRL3,4.711727360354644e-10,-0.3681037681328383,0.074,0.178,1.719073727425392e-5
LYSMD2,5.990693227099158e-10,-0.42156901338731023,0.269,0.41,2.185704423907128e-5
RBM3,9.7833674607543e-10,0.38224429280892913,0.769,0.723,3.569461618056206e-5
CXCL3,1.1230471803077315e-9,0.634762296566973,0.166,0.08,4.0974376373527584e-5
LUC7L3,1.129072739373417e-9,-0.5138101230827725,0.198,0.326,4.119421889603912e-5
TUT4,1.4319101335651036e-9,-0.42213775474773385,0.387,0.533,5.2243241223122804e-5
EZR,2.9356248286964904e-9,0.39389170468147494,0.884,0.862,1.0710627187499145e-4
FTH1,3.6504848195131297e-9,0.4025145193767923,0.999,0.998,1.3318793863993653e-4
AC009950.1,4.528850834800411e-9,-0.45978107422808134,0.055,0.14,1.6523512270769298e-4
EMP3,6.088801461939982e-9,0.2844629832098109,0.93,0.901,2.2214992133888023e-4
EIF1AY,6.1647899669790395e-9,0.6471833066719102,0.278,0.181,2.2492236194523026e-4
STX7,6.201980058525777e-9,-0.40355701761937357,0.145,0.26,2.2627924243531297e-4
CSTB,7.804712641776332e-9,-0.3694655980521224,0.207,0.341,2.847549407352095e-4
SAT1,9.07718157283351e-9,0.4923617959553952,0.806,0.809,3.311809696848306e-4
RCSD1,9.845019779632472e-9,-0.45301423561369747,0.207,0.332,3.5919554665989073e-4
PRPF4B,1.1271066747930149e-8,-0.4070839685098575,0.349,0.494,4.1122487029823145e-4
EEF1D,1.5218764092505083e-8,0.2606726105458028,0.944,0.938,5.55256607915048e-4
BTG2,1.5728500885488274e-8,-0.4217042974435268,0.341,0.469,5.738543548070397e-4
SRGN,2.056122589591277e-8,0.472650702608298,0.637,0.566,7.501763268123775e-4
CXCL8,2.4195787819424456e-8,0.5960071449633113,0.588,0.53,8.827833185917012e-4
ASH1L,2.914876858982996e-8,-0.44118313231367323,0.175,0.293,0.001063492821999946
IFI16,4.349251169773751e-8,-0.34894719769813864,0.551,0.683,0.0015868242892919532
SWAP70,4.6071835616894315e-8,-0.3781103539909698,0.261,0.393,0.001680930922482389
BCL2A1,4.761741079116618e-8,0.6751111130236382,0.438,0.335,0.001737321232715698
LNPEP,6.749557004102265e-8,-0.45490029574900237,0.156,0.26,0.0024625758729467113
ARL4C,6.776125675727862e-8,-0.39149977279158565,0.144,0.251,0.0024722694527893104
UBB,7.017255657537234e-8,0.30172756484311636,0.892,0.871,0.0025602457266524596
SNX2,7.476187575802829e-8,-0.30277474080597777,0.375,0.521,0.002727687037031662
ATM,7.85594300112485e-8,-0.41034762728123586,0.16,0.27,0.0028662408039604017
SET,9.028788701050649e-8,-0.2928596248281421,0.613,0.733,0.003294153557578329
TGFBR2,1.0117760447080391e-7,-0.343623941863326,0.212,0.334,0.003691464899117281
GOLGA4,1.2006002267172516e-7,-0.4111706952512184,0.264,0.381,0.004380389927177893
HMGB1,1.298197151535453e-7,0.33233129376929416,0.974,0.961,0.0047364723073771
OIP5-AS1,1.501158537660603e-7,-0.3286165122772071,0.141,0.244,0.00547697692465471
COBLL1,1.519218884493867e-7,-0.42121522416362045,0.112,0.207,0.005542870100075874
KMT2A,1.5623161563303619e-7,-0.4078694829493261,0.202,0.317,0.0057001104963713255
HNRNPA1,1.664522135542197e-7,0.27589260208569266,0.885,0.877,0.0060730090115257065
GOLGB1,1.83917030028088e-7,-0.355570475099922,0.291,0.423,0.0067102128405747904
EVI2B,1.9214654698933552e-7,-0.2679817790381671,0.531,0.669,0.007010466766905906
ARGLU1,2.437362199109168e-7,-0.34737634888160085,0.399,0.527,0.0088927159834498
PJA2,2.684529657649632e-7,-0.30174580354720715,0.181,0.298,0.009794506455934682
DNAJC15,2.921122502322152e-7,-0.33606276189987727,0.185,0.294,0.01065771544972237
NIPBL,3.056158546258311e-7,-0.34316618045741043,0.182,0.291,0.011150394456023447
UPF2,3.088595290906454e-7,-0.34535380305862273,0.26,0.38,0.011268739918872197
UBR2,3.1961748208087187e-7,-0.33834514529499404,0.056,0.129,0.01166124383372061
GABARAPL1,3.755877192277306e-7,0.6116392383319497,0.224,0.145,0.013703317936023751
GCC2,3.7612191524136333e-7,-0.3052268891422101,0.343,0.464,0.01372280807758114
