Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-DPA1,2.6233096853997504e-29,0.5528122314646535,0.892,0.838,9.571145387180988e-25
TMSB10,1.4727497454827588e-28,0.5493990469357044,0.963,0.933,5.373327446393845e-24
FOS,1.4688379823037616e-26,1.338018618359507,0.353,0.174,5.3590553784352745e-22
CD74,1.3533716552506665e-24,0.28471569400260766,0.993,0.993,4.9377764841820564e-20
RCSD1,4.813416022137456e-24,-0.6648077683122953,0.199,0.395,1.7561748356768506e-19
EIF1,1.9552119716636688e-22,0.3143949092695886,0.988,0.986,7.133590878614896e-18
FOSB,1.4920724545746248e-21,1.0348309588945956,0.278,0.126,5.443826350515519e-17
LYSMD2,1.5996290923925933e-21,-0.55224920526071,0.253,0.457,5.836246743594377e-17
KLF2,3.666857548455356e-20,1.0237997729198152,0.448,0.31,1.3378529765539368e-15
H3F3B,4.39088453650414e-20,0.35762624125092213,0.952,0.942,1.6020142231435356e-15
DUSP1,5.855045183577389e-20,0.8565438712178992,0.284,0.138,2.1362132352282102e-15
TSC22D3,1.6678910195914355e-18,0.9687065281352294,0.47,0.354,6.085300384979353e-14
PDCD4,7.835748406956416e-18,-0.451524685569094,0.38,0.579,2.8588728062780483e-13
SESN3,2.2074695312691714e-17,-0.49304387618850765,0.311,0.492,8.053952584835572e-13
ANKRD12,2.7663230064259204e-17,-0.42094814818885684,0.641,0.802,1.009292948894497e-12
EVI2A,9.0480705111418e-17,-0.5141326493014567,0.147,0.296,3.301188525990086e-12
CCR7,2.1699430202440623e-16,-0.43022546671696027,0.523,0.716,7.91703710936046e-12
TUT4,2.97953193796477e-16,-0.4623389759487271,0.389,0.576,1.0870822275664463e-11
OSBPL8,3.4144771009670974e-16,-0.4839566509515738,0.311,0.486,1.2457719702878455e-11
CD69,1.1808814538317338e-15,0.578191199204837,0.539,0.409,4.3084459843050806e-11
IFI16,1.2170744268967978e-15,-0.3973879476534119,0.434,0.617,4.440496046532967e-11
ATP2B1-AS1,2.473247758824306e-15,0.8096554381354063,0.213,0.101,9.02364444807048e-11
JUND,4.1329581324488226e-15,0.4731321573961331,0.888,0.905,1.507909774623953e-10
YPEL5,4.600302133580531e-15,0.7521948598525459,0.535,0.437,1.6784202334368566e-10
SQSTM1,5.515870593027694e-15,-0.3933907945425661,0.487,0.692,2.012465385866154e-10
RSBN1L,1.19339416896306e-14,-0.46155060251988855,0.21,0.365,4.3540986254617245e-10
ARPC5,1.4343798641600595e-14,-0.3818563348675843,0.393,0.584,5.233334934387977e-10
HLA-DRB5,1.4497500409445278e-14,-0.6806509202416943,0.101,0.215,5.28941302438611e-10
STK17A,1.8954000214305544e-14,-0.39584742718210775,0.517,0.674,6.915366978189378e-10
CYTIP,2.975248048710547e-14,-0.4125167278756261,0.451,0.619,1.0855192505720431e-9
KLHL5,3.3714502558880095e-14,-0.36977278559615556,0.09,0.209,1.2300736258607404e-9
CD52,3.843074258467065e-14,0.641404752473437,0.715,0.678,1.4021456432017088e-9
GSTP1,6.292394798343672e-14,-0.4243658847040148,0.433,0.603,2.2957802421756884e-9
LYZ,6.384981690806875e-14,0.7046195416365784,0.155,0.061,2.3295605698908885e-9
