Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
S100A11,4.280648059278484e-5,-0.6938860357038967,0.968,1,1
TRIR,5.283379738299669e-5,1.1662189895889181,0.871,0.562,1
HBB,5.921030588442973e-5,7.11540308183577,0.29,0.016,1
EIF1AY,6.673544498293572e-5,1.5458830264784553,0.387,0.062,1
CLTA,1.3832762510579692e-4,-1.1900608991623525,0.129,0.516,1
AKNA,2.134977160659354e-4,1.0170120583919513,0.258,0.016,1
IRAK3,2.286283857908348e-4,-1.0339690104381551,0.161,0.594,1
RACK1,2.8110045218501594e-4,0.6100524240807546,0.968,0.906,1
HBA2,3.119878997336984e-4,5.702956039264881,0.194,0,1
DNAJB1,4.0451140190681217e-4,1.5292553341385924,0.355,0.078,1
NCOA3,4.910308510642556e-4,0.8986518572557726,0.226,0.016,1
THBS1,7.118598065146549e-4,2.1879392535584556,0.452,0.156,1
TLR2,9.143001465641094e-4,-1.0152917267055495,0.161,0.531,1
CD38,0.0010690020827769443,0.5303056996215386,0.161,0,1
WAC-AS1,0.0010690020827769443,0.47955340969440563,0.161,0,1
SNHG20,0.0010690020827769443,0.7080902111147016,0.161,0,1
BLOC1S1,0.0011226381275564413,-1.0022266001397742,0.129,0.484,1
NFKBIZ,0.0011938738083422163,-0.9252771712338026,0.548,0.828,1
ZFAND6,0.0013205091052934579,-1.1202726347060223,0.323,0.625,1
LINC02432,0.0013972145193490903,-1.0400521834479495,0.032,0.344,1
MS4A7,0.00159813133098149,-0.8454748553413971,0.613,0.922,1
SNHG29,0.0017461210799854748,0.913142924415959,0.677,0.375,1
NCS1,0.001813679475021673,1.0484895994192185,0.194,0.016,1
UBTF,0.001813679475021673,0.8994019857972593,0.194,0.016,1
MARCKS,0.0018171577093932438,-0.9642879703351572,0.806,0.906,1
HNRNPD,0.0018585064382669765,1.129717294732227,0.452,0.203,1
HLA-DPB1,0.0019503545602511509,0.9730066540024971,0.742,0.562,1
ARPC3,0.0019817187965814305,-0.6442720146155989,0.839,0.938,1
SERBP1,0.002020330807940767,1.1430648828309182,0.645,0.422,1
PEBP1,0.00203275536321651,0.9586938997136839,0.226,0.031,1
RIN2,0.002135212737144079,-0.3540476626644484,0.258,0.688,1
JDP2,0.0021651627886555016,0.6224591275540033,0.194,0.016,1
TPM3,0.0022556820315776317,-0.6958842534068483,0.742,0.953,1
EXOSC9,0.002503523606784243,0.7875763288798592,0.226,0.031,1
XIST,0.0025820568439189084,-1.2722567199769415,0,0.25,1
TPT1,0.002877460770396391,0.3494654598882887,1,1,1
GSPT1,0.0030741502138317616,0.8963413529771005,0.484,0.203,1
CCL4,0.003313038926327285,-0.744467836455204,0.871,0.984,1
SEC62,0.0034015437614457224,0.8179918145429683,0.774,0.516,1
PRXL2C,0.0034584697983771205,-0.8904180619898877,0.129,0.453,1
RCAN3,0.0036326085140930423,0.5598751926656467,0.129,0,1
CFLAR-AS1,0.0036326085140930423,0.38350502175544504,0.129,0,1
PIGX,0.0036326085140930423,0.4943583764958627,0.129,0,1
TMEM242,0.0036326085140930423,0.4579917083735111,0.129,0,1
PYM1,0.0036326085140930423,0.6153725500388986,0.129,0,1
CHST11,0.0036326085140930423,0.3930553774579914,0.129,0,1
PARP4,0.0036326085140930423,0.4466776333545405,0.129,0,1
CLPX,0.0036326085140930423,0.4678875968834573,0.129,0,1
NUDT16L1,0.0036326085140930423,0.7555853604153523,0.129,0,1
