Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FOSB,4.3919440115374103e-32,1.629664457157874,0.826,0.323,1.6024007726094241e-27
FOS,1.2658716267538662e-29,1.6717730348294566,0.88,0.443,4.6185326302114805e-25
AIF1,2.5180457051989907e-26,0.8914652139058301,0.994,0.948,9.187089755418518e-22
ADA,7.953610695012667e-26,-1.66357184761663,0.294,0.682,2.9018748620753717e-21
JUND,3.6411938559759854e-25,0.8299016424164702,0.971,0.87,1.3284895783528383e-20
TMSB10,8.953357233623656e-24,0.6722702459690977,1,1,3.266632386687591e-19
LYZ,1.796242662991213e-23,1.2212652667981843,0.96,0.839,6.553591355923441e-19
KLF4,2.146922047375716e-23,1.1773383611447656,0.76,0.318,7.833045089850299e-19
CTSS,8.551447322938626e-23,0.6249248063585826,0.997,0.979,3.1199955557741576e-18
C1orf162,1.0080077241414472e-22,1.038844557651578,0.849,0.38,3.67771618153007e-18
FTH1,3.229862740878851e-22,-0.6202676881053257,1,1,1.1784154210096487e-17
SOD2,4.344205279209548e-22,-1.6540969741487164,0.971,0.979,1.5849832961196038e-17
ADGRE5,2.0197326278434803e-19,1.06339722611321,0.743,0.359,7.368994492686938e-15
NR4A2,2.212007895074299e-18,1.1352998348936496,0.603,0.203,8.07051080517858e-14
HLA-DPA1,4.02775486335267e-18,0.7777301985388028,0.98,0.839,1.4695263618942216e-13
AQP9,9.947204625857312e-18,-1.4516764738100254,0.229,0.547,3.62923760774404e-13
VAMP5,2.2925654597660524e-17,0.861903207628419,0.749,0.344,8.364425079956442e-13
LST1,5.138187137495829e-17,0.6419365571816078,0.994,0.964,1.8746675771153532e-12
CALHM6,8.214987015634201e-17,0.9482199060893213,0.769,0.422,2.9972380126541382e-12
KLF6,8.336453159529111e-17,0.780073103316369,0.943,0.896,3.0415549352541963e-12
MCL1,1.1194391871851766e-16,0.8753081426902334,0.806,0.495,4.084273874445117e-12
CORO1A,1.2913917502952493e-16,0.7840458542921116,0.894,0.583,4.711642800952217e-12
CD74,1.2957844135775136e-16,0.6258748436601689,0.991,0.964,4.727669432937559e-12
NR4A1,1.474415339863558e-16,1.0609591517265624,0.643,0.26,5.379404367492192e-12
ZFP36,2.520314367211882e-16,0.9307053424312479,0.837,0.625,9.195366968772551e-12
NFKBIA,1.1420927023298761e-15,0.7578683306796732,0.977,0.885,4.1669252244505533e-11
HLA-DQA1,1.483148861160369e-15,1.0581745717673505,0.68,0.359,5.4112686199436064e-11
KLF2,3.829471108611117e-15,0.9298102343479182,0.811,0.464,1.3971825339767662e-10
JUNB,4.0706692460244326e-15,0.792227148780793,0.894,0.755,1.4851836744120143e-10
PLAUR,4.106558625459224e-15,0.8213300209866952,0.897,0.688,1.498277914498798e-10
PYCARD,4.989195431918902e-15,0.7728689972164595,0.829,0.469,1.8203079533356114e-10
SRSF5,5.826253640265728e-15,0.6446589529793343,0.963,0.844,2.1257086406509509e-10
RNASET2,1.2320001527514286e-14,0.73967951843303,0.857,0.599,4.494952557313587e-10
HLA-DPB1,1.4226147764901627e-14,0.8390870467601417,0.929,0.703,5.190410012024359e-10
CST3,1.9561010102762366e-14,0.5354519493735044,0.991,0.958,7.136834535992849e-10
RGS2,5.700201920146559e-14,1.0170192246571563,0.774,0.49,2.079718670565472e-9
RIN2,8.451492698947093e-14,-0.939079963817025,0.1,0.354,3.083527111210847e-9
S100A9,8.649962086156719e-14,0.8987421236831308,0.9,0.76,3.155938667134279e-9
CPPED1,1.3408460291594093e-13,0.7751608915174598,0.531,0.188,4.892076737388105e-9
LHFPL2,1.3763192299135308e-13,-0.7271586923785299,0.031,0.229,5.021500710339517e-9
ITM2B,1.4759861973405527e-13,0.5735238236156968,0.966,0.875,5.385135640997006e-9
GSTO1,1.503135306712289e-13,-0.7842444224567777,0.734,0.849,5.484189166539786e-9
GSTP1,1.58601692413692e-13,0.6389907908468637,0.923,0.724,5.786582747713553e-9
ATP2B1,1.9570295684785105e-13,-0.9474468017786721,0.754,0.885,7.140222380593846e-9
RNF144B,2.0876529418459888e-13,-0.9742474638201344,0.374,0.646,7.61680175832509e-9
IFITM2,2.1278998075323794e-13,0.706835142103301,0.98,0.896,7.763642447781886e-9
SDCBP,2.7135814448869345e-13,-0.8674729361562514,0.709,0.807,9.90050190166998e-9
MAML2,3.2298348914142385e-13,-0.9545663127460978,0.237,0.51,1.1784052601324849e-8
CALM2,3.5001387902448854e-13,0.6140391573101756,0.946,0.854,1.2770256376208464e-8
IFNGR2,3.6822539499916526e-13,-0.8814967958835445,0.449,0.688,1.3434703536544544e-8
SLC7A11,5.017865850922412e-13,-0.8975488308696639,0.046,0.255,1.830768355709042e-8
MNDA,6.339658765786365e-13,0.8297375690999542,0.66,0.307,2.3130245006971552e-8
KYNU,6.624049342157824e-13,-1.0731096270008773,0.331,0.568,2.416784402486282e-8
TNFAIP8,7.275517443259003e-13,-1.070916851792008,0.317,0.594,2.6544725391730473e-8
TNFAIP6,7.354525481906018e-13,-1.232943566289264,0.071,0.302,2.6832986220734108e-8
VSIR,7.420342062055515e-13,0.7427794192829196,0.674,0.318,2.7073118013409546e-8
TSC22D3,7.947778685473584e-13,0.911821791043727,0.677,0.359,2.8997470533950372e-8
CD44,1.4885323230165056e-12,-0.6801322791919313,0.897,0.948,5.4309101805257205e-8
FBP1,1.5145572833916607e-12,0.8794646795223703,0.469,0.156,5.525862248454474e-8
CD83,1.759393523775888e-12,0.7204772940506783,0.877,0.677,6.419147271496328e-8
AC253572.2,2.038718373441572e-12,1.282980793904902,0.534,0.234,7.438263985501574e-8
VIM,3.00217096984004e-12,-0.6467226481451345,0.994,0.995,1.0953420783461386e-7
TNIP1,3.6035683525720523e-12,-0.9524166243254744,0.234,0.5,1.3147619134359133e-7
ZFP36L2,3.886610384244541e-12,0.8968407257568793,0.563,0.245,1.4180297986916207e-7
CSRNP1,3.8973294792657216e-12,0.7574536226399251,0.54,0.224,1.4219406605100984e-7
PELI1,7.198357716241869e-12,-1.028957487083858,0.394,0.615,2.626320812770846e-7
ATF3,8.236987938921315e-12,0.8793650967470878,0.594,0.302,3.005265049515442e-7
ATP6V1F,8.514693593875997e-12,-0.9802824297350754,0.691,0.781,3.1065859577256577e-7
DOCK4,9.92339914674244e-12,-0.7378566537696898,0.04,0.224,3.6205521786889795e-7
S100A11,1.0266485156741584e-11,-0.4561034295628721,0.997,0.99,3.745727109437167e-7
ITGB2,1.0795687935296258e-11,0.6059859168126414,0.869,0.62,3.93880674319284e-7
PTPRE,1.1879769225677645e-11,0.7554781450109418,0.76,0.495,4.334333801988489e-7
PSMA6,1.2724046814242884e-11,-0.9518038795078663,0.583,0.734,4.642368480176516e-7
MYADM,1.351216085252194e-11,0.7762417939690085,0.611,0.312,4.92991188704263e-7
SASH1,1.6629067265842697e-11,-0.7749320214320234,0.083,0.297,6.067115191942708e-7
ARPC5,2.140984339357705e-11,-0.6053919970879567,0.886,0.901,7.811381362146587e-7
SAT1,3.1035435029238726e-11,0.4281968287062794,1,1,1.1323278470417749e-6
FAM107B,3.3005989353242765e-11,-0.8684905712723732,0.494,0.693,1.2042235215530623e-6
