Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
UBC,2.5818508814633325e-161,0.5445311590006119,0.929,0.926,9.419882941018968e-157
FYB1,6.785472762309167e-150,-0.5373546306222354,0.483,0.718,2.4756797373284996e-145
JUND,4.848744945096304e-141,0.571251861268073,0.813,0.719,1.7690645932183865e-136
HLA-B,2.9174914814306027e-131,0.36744451798831257,0.98,0.987,1.0644467669999555e-126
GIMAP1,3.9946775203983895e-126,-0.6716307998611442,0.193,0.392,1.4574580933173524e-121
IL1B,9.154278819990256e-126,1.0547249323638994,0.332,0.174,3.339938627473445e-121
SRGN,1.250722021907788e-120,0.6055583047395201,0.816,0.795,4.5632592969305645e-116
IL7R,6.252313024522091e-115,-0.5098757871274353,0.829,0.894,2.281156406996885e-110
CXCL8,1.0575006683289513e-111,0.9922043178234772,0.526,0.405,3.858291188398179e-107
SAT1,1.307883861697658e-108,0.7509855585155645,0.586,0.459,4.771814269403906e-104
LMNA,1.1211846489159139e-104,0.9441762447119935,0.411,0.261,4.090642191569712e-100
CXCL3,1.1096128192407467e-99,0.8300738740711759,0.17,0.06,4.0484223709998645e-95
EPB41,4.731767900466998e-97,-0.5045123957661386,0.306,0.497,1.726385518485384e-92
EIF1,4.7501193756658014e-96,0.28018240494918345,0.978,0.987,1.7330810542116676e-91
SESN3,8.843870346972602e-93,-0.6327927307626602,0.252,0.424,3.226686096092954e-88
GIMAP7,5.454015127668277e-91,-0.4541806899469618,0.586,0.735,1.989897419329771e-86
PKIA,1.080691852420012e-89,-0.5856156840028728,0.12,0.265,3.9429042235544136e-85
HBB,6.733380438434703e-87,2.7381617512446126,0.117,0.031,2.4566738529629014e-82
PRKCQ-AS1,5.5425897561692055e-83,-0.5099617082007386,0.264,0.436,2.0222138725383347e-78
SRSF2,6.1308368217062425e-81,0.5862604058655352,0.547,0.434,2.2368358143995226e-76
CCL3,1.1636099052888964e-78,0.8431051038718633,0.325,0.203,4.245430739446538e-74
CREM,1.473858621983768e-76,0.8293834892100396,0.455,0.345,5.377373182307777e-72
TSHZ2,2.338027634768364e-75,-0.5271211241732965,0.19,0.341,8.530293825452377e-71
IKZF3,1.9838741985807923e-72,-0.5030429444594589,0.19,0.337,7.2381650135220205e-68
UBB,2.59054822239207e-72,0.43740851310933193,0.768,0.726,9.451615189397468e-68
RIPOR2,7.014078096727338e-69,-0.3592559963269193,0.349,0.528,2.5590863935909692e-64
DNPH1,2.452594318072013e-67,-0.427337285671779,0.093,0.208,8.94829036948574e-63
TGFB1,2.086591463355042e-61,0.6997538714781573,0.45,0.356,7.61292895405087e-57
H3F3B,8.728064513796523e-61,0.2953508847276778,0.945,0.952,3.184434337858662e-56
GIMAP4,4.7764976134286865e-60,-0.3755742353815763,0.345,0.5,1.742705154259456e-55
IFI16,4.2508952941363384e-58,-0.404178337781683,0.345,0.493,1.550939148065643e-53
MFHAS1,5.427209523563706e-58,-0.399828754261466,0.134,0.253,1.9801173946722181e-53
SYNE2,6.314933903108599e-58,-0.3530202454157183,0.376,0.524,2.304003634549172e-53
CD48,1.0080050446083613e-57,-0.3062291704340865,0.649,0.787,3.6777064052536064e-53
TRAF3IP3,5.892837905476246e-57,-0.34534214941812147,0.181,0.318,2.1500019098130085e-52
TRAC,1.243422848642914e-56,-0.3217214231935248,0.518,0.671,4.536628263273672e-52
SFXN1,4.459695520622343e-55,-0.3628757517414698,0.14,0.257,1.6271199106990616e-50
MSL3,7.484497167204215e-54,-0.36712156969630283,0.221,0.357,2.7307187914544577e-49
DEK,1.3796548660932402e-53,-0.3474228389503864,0.43,0.575,5.0336707789411865e-49
RGS10,7.5867481627232955e-53,-0.3432224986708654,0.518,0.663,2.7680250671695944e-48
SELL,1.5051088542620823e-51,-0.37864257608806273,0.286,0.427,5.491389654775207e-47
JUN,1.7426835784342693e-51,0.5142794144869924,0.451,0.334,6.358181035917431e-47
CXCR4,2.9996446929961104e-51,0.3871873738284317,0.724,0.687,1.0944203662396309e-46
NCS1,4.3844492556893336e-51,0.4669725204919218,0.102,0.038,1.5996663109382533e-46
LINC00623,8.656221202219607e-51,-0.3522762727757389,0.207,0.337,3.158222305629824e-46
LEF1,1.0360327458941263e-50,-0.3204540134736298,0.205,0.338,3.77996547339472e-46
LTB,3.771759498967974e-50,-0.2512775494719084,0.758,0.876,1.3761264531984653e-45
LPAR6,5.735462095377996e-50,-0.3694457231527907,0.068,0.154,2.092583345498662e-45
CRIP1,6.000832323737517e-50,0.5690329339958362,0.799,0.796,2.1894036733156333e-45
ARL6IP5,1.1027679682353549e-49,-0.31258461512667735,0.459,0.605,4.023448932106692e-45
CCNI,3.3791765724974052e-49,-0.26885249549305623,0.629,0.754,1.2328925724756784e-44
LYZ,5.0601187899413014e-48,0.5603967383774474,0.153,0.076,1.846184340510084e-43
GIMAP5,1.0277188376716281e-47,-0.35385447123310065,0.305,0.44,3.749632179244935e-43
LDHB,1.0749706618645933e-47,-0.2718955728382064,0.681,0.799,3.922030459812968e-43
KRAS,3.527811274804703e-47,-0.36298944139819445,0.227,0.354,1.2871219436124958e-42
GIMAP2,9.44259101547241e-47,-0.3613099608904463,0.092,0.184,3.4451293319951085e-42
APBB1IP,5.3704437155773294e-46,-0.3116680268747687,0.256,0.39,1.9594063896283886e-41
RESF1,9.834693008623849e-46,-0.33561946445080837,0.412,0.544,3.588187744196411e-41
ARPC5,2.3031969227569364e-45,-0.2983548741101951,0.401,0.546,8.403213972678683e-41
AP000787.1,3.225370188551309e-45,-0.3258767189328481,0.072,0.155,1.176776313292945e-40
RNF213,2.9116252893610476e-44,-0.32349615572285106,0.348,0.483,1.0623064868233782e-39
GABPB1-AS1,5.552843697094754e-44,-0.35617075531177034,0.143,0.245,2.025955022885021e-39
MBP,4.140399189465628e-43,-0.3117105732928982,0.489,0.619,1.5106246442765343e-38
GTF3A,5.680659847446738e-43,-0.2961467318137636,0.437,0.575,2.0725887453409422e-38
CAPN2,8.247868717109758e-43,-0.35491896099972065,0.139,0.239,3.009234901437495e-38
SLC5A3,9.557806558913024e-43,-0.3447440738876424,0.14,0.241,3.487165723019417e-38
LCK,9.70889497465887e-43,-0.30633844786469067,0.233,0.357,3.5422903315042887e-38
RALA,1.5329729423352564e-42,-0.36454665353238047,0.304,0.433,5.593051780110183e-38
IKZF1,2.3002471146709377e-42,-0.2973729692102207,0.308,0.439,8.392451597876916e-38
EIF4B,6.246617733730788e-42,-0.27970078155503364,0.452,0.591,2.279078480151678e-37
TIAM1,1.351355404146186e-41,-0.2808209697000972,0.072,0.151,4.93042019202736e-37
KDSR,2.9465790855776917e-41,-0.3192019009356243,0.144,0.245,1.0750593793730208e-36
GOLGA8B,9.658532051987601e-41,-0.27220232843806624,0.064,0.138,3.523915419167676e-36
IL2RG,1.854553217223501e-40,-0.27542173532324554,0.472,0.607,6.766337413039943e-36
THEM4,3.900938253884148e-40,-0.3001222079510145,0.134,0.232,1.4232573219296314e-35
LNPEP,4.984988838546852e-40,-0.2808964825234852,0.159,0.263,1.818773177743819e-35
OCIAD2,7.31341652378446e-40,-0.2922241722966885,0.395,0.529,2.6683000187027605e-35
ANTXR2,9.475309732669656e-40,-0.32746926859117775,0.124,0.216,3.4570667559645237e-35
CLEC2D,1.4032749243685227e-39,-0.25183342863718616,0.489,0.618,5.119848561558555e-35
ELK3,1.7755182924211792e-39,-0.30382971250836266,0.27,0.394,6.477978489898672e-35
LDHA,2.3186627719895108e-39,0.5046034747775399,0.585,0.562,8.45964112360373e-35
PCMTD1,3.236262908370744e-39,-0.2789524202839323,0.111,0.201,1.180750522119066e-34
METRNL,3.348673004808553e-39,0.4897568724853498,0.126,0.063,1.2217633458044007e-34
CD27,2.004405190971613e-38,-0.3094551889562781,0.127,0.22,7.31307233925993e-34
BOD1L1,2.4370284655721923e-38,-0.28821758701188016,0.281,0.403,8.891498356640144e-34
LUC7L3,3.5777185618742803e-38,-0.263613661917246,0.191,0.301,1.3053306172998312e-33
LYSMD2,3.608628788372579e-38,-0.30986836193381184,0.263,0.384,1.3166082134377354e-33
POU2F2,3.743606679300818e-38,-0.33338037688782274,0.111,0.198,1.3658548969429036e-33
GLRX,5.834136807945844e-38,-0.32577097179616865,0.149,0.246,2.1285848143790414e-33
YPEL3,1.2417364971484295e-37,-0.25719521180217964,0.227,0.346,4.530475609846045e-33
MRPS6,1.2836636205442757e-37,-0.25661439232896677,0.279,0.407,4.68344671955579e-33
MYCBP2,2.011318228360762e-37,-0.2767466390830622,0.221,0.333,7.33829455617424e-33
MTIF3,2.056896891637918e-37,-0.31713876748407344,0.117,0.204,7.504588309140944e-33
EFHD2,3.0962032845127436e-37,0.5324580230724134,0.318,0.238,1.1296497683544744e-32
CKLF,5.35836408592642e-37,-0.2942876280264637,0.195,0.301,1.9549991367502543e-32
PRKDC,1.2538325666486741e-36,-0.29860630086083617,0.148,0.243,4.5746081194176874e-32
GABARAPL1,2.597333294980994e-36,0.5147842583106497,0.29,0.211,9.476370526738157e-32
GTF2I,3.158055999742778e-36,-0.30046170309182596,0.184,0.285,1.1522167315061526e-31
CYSLTR1,5.926510291620152e-36,-0.307474139322664,0.084,0.16,2.1622872798976122e-31
TLK1,6.787793740020965e-36,-0.2661304059294458,0.212,0.321,2.476526546046649e-31
TUT4,1.336835747602706e-35,-0.2540988832956035,0.316,0.439,4.877445225128473e-31
SMCHD1,1.6276359931208622e-35,-0.25917729750998264,0.337,0.464,5.9384299209014655e-31
PACS1,3.3408817456541523e-35,-0.27869800649748955,0.107,0.189,1.2189207049019175e-30
LAT,5.241522861779155e-35,-0.25796627114416126,0.331,0.454,1.912369616120125e-30
TAGLN2,5.544502460447323e-35,0.42651323528449314,0.618,0.583,2.022911722694206e-30
CCL4,6.645329344689741e-35,0.6135258757873356,0.317,0.243,2.4245484114100523e-30
MDFIC,9.204690734999207e-35,-0.25925227198783907,0.145,0.239,3.358331414664461e-30
GIMAP6,1.539393722884811e-34,-0.2531847664906713,0.049,0.11,5.616477997945233e-30
RASGRP1,1.731390270228308e-34,-0.28079652665614296,0.268,0.385,6.316977400927982e-30
SRSF3,2.1978428950359764e-34,0.3814859045899017,0.486,0.414,8.018829802538759e-30
STK38,2.868553261383155e-34,-0.2703715465485733,0.113,0.196,1.046591657415644e-29
FAM177A1,5.568781900131439e-34,0.5112076186439807,0.352,0.28,2.0317700762629557e-29
TMEM123,9.23657380925115e-34,-0.26341304840283275,0.424,0.549,3.369963954305282e-29
KIF2A,1.1241055511566635e-33,-0.25561037258264907,0.349,0.476,4.1012991033950865e-29
CSTB,1.3207412775965992e-33,-0.2656378831654649,0.326,0.447,4.818724551311192e-29
RAPGEF6,1.851108119440889e-33,-0.2542135475281462,0.128,0.215,6.753767973780084e-29
