Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
UBC,1.609358448275002e-220,0.5581176449194745,0.986,0.959,5.871744298531345e-216
TPT1,5.179734126629586e-192,0.3590205162267903,0.997,0.998,1.8898259961008044e-187
ISG20,2.1192498073992378e-179,1.0548384311523953,0.74,0.545,7.732082922296119e-175
IFI6,7.676514250947992e-177,1.3851450959145208,0.433,0.171,2.800776224458375e-172
IFITM1,1.616358372698098e-160,1.0681851150112347,0.442,0.177,5.897283522789011e-156
ISG15,9.494528475355974e-160,1.4806006456431917,0.552,0.323,3.464078714233627e-155
GNLY,1.1095432138602757e-157,1.2347152743185372,0.765,0.642,4.048168415769216e-153
LDHA,8.532615743435028e-151,0.5523865334265108,0.93,0.847,3.11312485399227e-146
MX2,7.63061390420468e-140,1.1598300309737004,0.457,0.219,2.7840294829490774e-135
HLA-B,2.3966563759318947e-125,0.2863149619336829,0.999,0.999,8.744200787587518e-121
SAT1,3.709216317338424e-121,0.8010013737253456,0.728,0.533,1.353307573380924e-116
CREM,6.745943313653287e-118,0.696291520701076,0.728,0.499,2.4612574179864018e-113
LY6E,1.6621036150216411e-115,0.9198805452352798,0.527,0.311,6.064185039406458e-111
MALAT1,1.668213297807719e-114,-0.32399038089109844,1,1,6.086476217051462e-110
XIST,1.9845164334090067e-114,-0.8500576075599267,0.002,0.11,7.240508207292761e-110
IFIT1,1.2851926264333404e-110,0.9628459120874707,0.31,0.113,4.689025297542043e-106
MX1,5.933582121118778e-109,0.8923087841137021,0.431,0.215,2.1648674368901862e-104
TIGIT,2.2257353678914567e-97,-0.9228568112642217,0.092,0.26,8.12059548975198e-93
JUND,2.973483150577304e-90,0.5509736434105372,0.882,0.754,1.0848753274881294e-85
IL1B,6.202120135229649e-90,0.7869047041889654,0.406,0.21,2.2628435313385375e-85
ALOX5AP,6.424768163512041e-83,0.9070559027391414,0.426,0.24,2.3440766644573683e-78
HERC5,3.413587770569001e-79,0.7948013922841006,0.408,0.23,1.2454474980920998e-74
CXCR4,1.0615608310890194e-78,0.4328567514185644,0.861,0.743,3.873104692228287e-74
RSAD2,3.5283019290632264e-78,0.8215652278589299,0.223,0.077,1.2873009588187182e-73
EEF1G,1.9304151861564816e-73,0.4141889510002459,0.897,0.822,7.043119806691923e-69
IFIT3,4.287730121195805e-72,0.7459087272692282,0.355,0.181,1.5643783347182896e-67
OAS3,3.48168035891512e-71,0.7079382056640209,0.208,0.073,1.2702910789501814e-66
FCGR3A,4.214312489009336e-71,-0.7576563301350961,0.058,0.181,1.5375919116150562e-66
OASL,1.8719630664630315e-70,0.6203447636111203,0.633,0.478,6.82985724799037e-66
