Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CCDC50,3.64812342748007e-11,-1.6448951419912652,0.269,0.714,1.3310178325161035e-6
IL1B,6.660353842892726e-11,1.8838737200874367,0.806,0.268,2.4300300995794112e-6
SMPD3,4.123584006234871e-10,-1.2220726641908037,0.08,0.446,1.5044896246747927e-5
SEC61B,7.082537902140195e-10,-1.1909934810201332,0.84,0.982,2.58406395359585e-5
NEAT1,7.421247172656699e-10,1.353369746520971,0.914,0.732,2.7076420309437966e-5
NEK8,7.984872862844921e-10,-1.1525051801924755,0.034,0.321,2.9132808640089695e-5
UGCG,1.2371076220962207e-9,-1.7476416626752502,0.286,0.661,4.513587159218061e-5
HLA-DQA2,1.2775103528949944e-9,1.645874328674545,0.657,0.161,4.660996522537387e-5
FTH1,1.381330056523621e-8,0.7136338822804777,1,1,5.039782711226431e-4
SLC15A4,2.4379557422488286e-8,-1.1698721002656003,0.189,0.554,8.894881525594851e-4
CD2BP2,2.921265338852774e-8,-0.8369401387941855,0.086,0.411,0.0010658236588804346
TCF4,5.1974457882428796e-8,-1.4693717562212911,0.377,0.714,0.0018962880958404147
IRF8,7.295646012897089e-8,-1.5901719943723729,0.4,0.714,0.0026618164478055028
PLP2,1.0280622373846461e-7,-0.8594405638948901,0.474,0.839,0.0037508850730978813
CCDC186,1.0865885828532439e-7,-0.9291607271366593,0.24,0.625,0.00396441844454006
SCT,1.5735507640612168e-7,-1.213961762744792,0.131,0.464,0.00574109996267735
ERP29,1.6104010367707035e-7,-0.793886276542441,0.76,0.911,0.005875548182657912
UBE2E3,1.8917925547093007e-7,-1.0237769705846134,0.143,0.464,0.006902205135856884
IER3,2.6107690969889855e-7,1.889187288384459,0.606,0.25,0.009525391050364313
MAP1A,2.6614588912956057e-7,-1.1287639887811531,0.166,0.5,0.009710332764892018
PCMTD1,3.739081781824534e-7,-1.0303518755411325,0.149,0.464,0.013642039880986811
CD44,3.8521999705654437e-7,1.2005803125414714,0.794,0.518,0.01405475159260802
SMC6,4.0706332908187754e-7,-1.2867943582093835,0.109,0.393,0.014851705561552303
IGF2R,4.178330765162836e-7,-0.9280967610480251,0.046,0.286,0.015244639796696607
SLC2A1,4.3848900132928436e-7,-0.6836506376213263,0.051,0.304,0.01599827121349894
CHD9,4.497942442614382e-7,-1.010331895103335,0.297,0.643,0.016410743001878572
XIST,5.346756959062309e-7,-1.526286419895151,0.149,0.446,0.019507642765138833
TMEM30A,5.48568040912156e-7,-0.909531631125405,0.189,0.518,0.020014504972680012
MZB1,6.175743330078258e-7,-1.325940099513267,0.2,0.536,0.022532199539790524
HLA-DQA1,6.924768969709832e-7,1.2705611670296064,0.777,0.589,0.02526501958598632
PLEK,8.868042507713774e-7,-1.254427302250269,0.606,0.857,0.0323550530893937
PSENEN,1.028276728262673e-6,-0.9411345126288823,0.16,0.464,0.03751667643066362
RUBCN,1.0718516481778028e-6,-1.1304814289310288,0.08,0.339,0.039106507383767135
LRRC26,1.4325748917392782e-6,-0.7423494217653778,0.051,0.286,0.052267494925107565
SEL1L3,1.968863854416443e-6,-0.7539686352644435,0.04,0.25,0.07183399772838393
CYSLTR1,2.0625684911374537e-6,-1.0331105046573545,0.171,0.464,0.07525281139915
