Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCL3,8.331445958005819e-8,2.1030839857170998,0.387,0.054,0.0030397280577784233
HBA2,1.4176096087065139e-06,1.9693821184330789,0.255,0.011,0.05172148657365716
IL1B,2.4485056400310743e-6,0.9042295985090991,0.708,0.337,0.08933372827653374
HBB,2.8203509261326015e-6,2.408959980642342,0.283,0.033,0.10290050353994797
XIST,4.05672537937786e-6,-2.474577368894688,0,0.185,0.14800962546660124
CXCL8,3.136784734870325e-5,0.8797725221798469,0.792,0.511,1
SMARCC2,1.5655177417850974e-4,-1.561442566261229,0.009,0.152,1
CXCL2,2.5062931165742577e-4,1.0209073279247947,0.292,0.076,1
MAP3K8,2.5844949610845413e-4,1.6682673759741862,0.217,0.043,1
LAPTM5,7.029828963978577e-4,1.2344455028837018,0.302,0.109,1
NFKBIA,8.087174460743847e-4,0.47854195050727544,0.642,0.391,1
EML4,9.620440411428259e-4,-1.2421813128237533,0.208,0.391,1
LMNA,0.00111353453102448,1.1535157804742504,0.33,0.13,1
S100A9,0.0014176710491268139,1.7840607020082095,0.208,0.054,1
PPP1R15A,0.0016332824851772872,0.9681316250503458,0.509,0.293,1
CCL4L2,0.0017590200109953078,0.9459599719225538,0.387,0.174,1
LYZ,0.0018108306186601282,1.53520160429867,0.236,0.076,1
NBEAL2,0.0021864821312255933,-1.3719947560483483,0.019,0.13,1
NSD1,0.002260586682517402,-1.1025908042195154,0.047,0.185,1
RASGEF1B,0.0022817940093337345,1.09990185974653,0.217,0.065,1
TRIM28,0.0023777183164264385,1.053360750225248,0.123,0.011,1
BANF1,0.002722815025436452,-0.7579738508634016,0.009,0.109,1
PRKY,0.0030707274839471017,1.2605685361045937,0.142,0.022,1
TRMT10C,0.0032954016620480833,1.0716862185349578,0.16,0.033,1
RASA3,0.003358196311765043,1.4630654756463155,0.17,0.043,1
ACTG1,0.004131251337892038,1.0730115831281477,0.387,0.207,1
GLUL,0.00417163539430639,1.4088945470957908,0.132,0.022,1
TGFBR2,0.004174076048873024,-1.2391339469073444,0.038,0.152,1
DDX27,0.004444601983246475,-1.1333452359384357,0.038,0.152,1
SCNM1,0.004663801166994283,-0.9001334899322038,0.019,0.12,1
TCF7L2,0.0061083144386017,1.119291490458848,0.104,0.011,1
RABEP1,0.006162186933782241,-1.024465116772444,0.047,0.163,1
CAPN7,0.006565353921232184,-0.8940908795068858,0.028,0.13,1
ATP1A1,0.007012990343320918,-0.9834725307574829,0.047,0.163,1
WDR11,0.007123338854919951,1.140954112457229,0.123,0.022,1
NBR1,0.007389234703357462,-1.189062685101156,0.019,0.109,1
ATF3,0.007478219440401757,1.2449929458252977,0.123,0.022,1
TMPO,0.007478219440401757,-0.8918915155190267,0.028,0.13,1
TAB2,0.007636373005712654,1.0246520602828937,0.142,0.033,1
FAM102A,0.008095124222929245,-0.8547420765155482,0.066,0.196,1
NEAT1,0.008167201204647642,0.7079451353586617,0.896,0.837,1
GADD45B,0.008572074062882809,0.6625452801961598,0.453,0.272,1
VIM,0.008630298891882417,0.6450068265182383,0.858,0.772,1
THBS1,0.008895007647247861,0.8590949783633937,0.245,0.098,1
PNP,0.009360989020469956,0.9443933224707484,0.16,0.043,1
CD69,0.00965137706743302,0.9992807386007745,0.453,0.293,1
FNBP4,0.009942117856799163,-0.7779230240487831,0.142,0.293,1
AC020916.1,0.012044662201471141,0.6905691910733065,0.396,0.228,1
DIP2A,0.01206568499868185,1.177196220275865,0.132,0.033,1
EPC2,0.012770823165700003,-0.8301943626753084,0.028,0.12,1
TIMP1,0.012888645706334958,0.7396494632494879,0.217,0.087,1
TET2,0.01349800080801557,0.8910476779748563,0.151,0.043,1
CIB1,0.013559776365527776,-0.8868422497595765,0.085,0.207,1
CIRBP,0.01357966119001837,0.8094440210572271,0.302,0.152,1
VCPIP1,0.013597703615189773,0.7279005786509882,0.113,0.022,1
SPTY2D1,0.013931038315793396,0.788010650655054,0.132,0.033,1
ZFY,0.014248697039175376,0.7876959126773401,0.113,0.022,1
MBNL1,0.014315334040406582,0.49805692439616145,0.547,0.348,1
H3F3B,0.014652868631520839,0.710749437565827,0.774,0.663,1
PRR13,0.014812967319965672,0.9484591671340828,0.179,0.065,1
IFRD1,0.015137691654000978,1.1149488929287332,0.236,0.109,1
EIF3A,0.015614297407768554,-0.9383442585275044,0.151,0.283,1
IRF9,0.01605584769856205,1.0323654614700306,0.208,0.087,1
TLN1,0.016069178057059198,-1.0372980222650154,0.085,0.196,1
ARID5A,0.01667363212246504,0.8510283219776598,0.179,0.065,1
BRD7,0.01695301089971035,-1.1020884898747298,0.094,0.207,1
AC087239.1,0.017221485978138076,1.1669818526688405,0.142,0.043,1
MX2,0.01828466354473475,1.0787947676135061,0.208,0.087,1
OASL,0.018372530249167063,0.8862491554790803,0.226,0.098,1
DEK,0.018483841961259274,-0.681828910745047,0.113,0.239,1
