Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LTB,1.1099289335385608e-5,-0.9895862289389843,0.076,0.271,0.4049575714015439
IL1B,1.286497767559652e-5,1.5306826770827286,0.449,0.226,0.46937871049413904
CXCL3,1.3076177220581861e-5,2.137517807025931,0.247,0.06,0.4770843258929292
HBB,2.3425588579844643e-5,2.0214237533973503,0.304,0.105,0.8546825993356317
ATRX,5.5104820457422494e-5,-0.6192374316705247,0.177,0.391,1
NR3C1,1.324354417475707e-4,-1.0300333134706456,0.203,0.383,1
AGO2,2.311914993758235e-4,-0.7850691570742001,0.082,0.248,1
RECQL,2.4089596366228826e-4,-1.0576661760643944,0.019,0.128,1
LUC7L3,3.09931186969841e-4,-0.6217320804577742,0.152,0.346,1
GABARAPL1,3.246352709727496e-4,0.7875163240294762,0.247,0.083,1
MIAT,3.5526870661545923e-4,-1.220625202570732,0.139,0.301,1
SMCHD1,3.7342309250983633e-4,-0.6612428873391392,0.184,0.383,1
XAF1,3.880253313706523e-4,-1.2146420589065783,0.063,0.203,1
URI1,4.287685465590701e-4,-0.9999699367129953,0.038,0.158,1
SLFN5,4.680474318382067e-4,-1.2531745833952954,0.177,0.338,1
NCBP3,4.685693940485772e-4,-1.1951539198428276,0.051,0.173,1
PDE3B,5.32195234090863e-4,-1.0159553598273803,0.013,0.105,1
CCL3,5.363219156436787e-4,1.2174724849979888,0.424,0.256,1
ERCC5,8.438557886589244e-4,-1.0126097310439297,0.063,0.188,1
GRAP2,8.759822632678985e-4,-1.1089283651908939,0.019,0.113,1
CCR7,8.86571712351978e-4,-1.00065146825677,0.019,0.113,1
RBM26,0.0010017602529358012,-0.7869691105939635,0.07,0.203,1
CCDC144A,0.001030250446925621,-1.1074199015493134,0.032,0.135,1
CXCL8,0.0010373673477372173,0.9373492072535479,0.57,0.391,1
HBM,0.0010515642621227663,0.7379780298213037,0.114,0.015,1
PPP1R15B,0.001099568352059108,1.3965965603780108,0.259,0.12,1
CUTA,0.0011426541996388392,-0.8401295906491066,0.051,0.165,1
ANKLE2,0.0012052980631519325,-0.898970658111337,0.07,0.195,1
RESF1,0.0012133088123563367,-0.8852688618233429,0.228,0.391,1
KAT6A,0.00135253769084799,-0.8474786711449389,0.158,0.316,1
SRGN,0.0013788459449199384,0.725721933802181,0.538,0.376,1
GPBP1,0.0014217886438927833,-0.7542497745492345,0.203,0.361,1
PARP9,0.001631863700061258,-1.0251101188688891,0.032,0.128,1
N4BP2L2,0.0016480204574681853,-0.7687364447692651,0.291,0.451,1
FCGR3A,0.001707476197812604,-0.7315452769730456,0.044,0.15,1
TNPO1,0.0017552666488228437,-1.1316357736169826,0.032,0.128,1
SNW1,0.0018065265926956854,-0.5758118927111379,0.051,0.165,1
SUGP2,0.0019464622766130319,-0.8332743300125035,0.032,0.128,1
CCL4L2,0.0021455346182670315,1.1563257343683981,0.278,0.135,1
GNLY,0.0023777088863460704,0.6889844850525368,0.462,0.301,1
FGFBP2,0.002400802129661418,1.193544704036015,0.177,0.06,1
ATXN7,0.0024468776697748624,-0.4187832541536576,0.07,0.195,1
HIST1H1C,0.0024687569742801157,1.240394688976085,0.139,0.038,1
MAPK1,0.0024888768737389355,-0.8037272659083641,0.063,0.18,1
MPP1,0.0025322915119790016,0.5563225104978772,0.101,0.015,1
BLVRB,0.0025352533770807983,0.8412459236982308,0.114,0.023,1
YY1,0.002611864420533675,-0.7176216806505145,0.146,0.286,1
LRRFIP1,0.0026659048350534827,0.8940136935151142,0.399,0.241,1
ASH1L,0.002676284860060981,-0.5969243136676052,0.133,0.286,1
HLA-B,0.0027798940590696977,0.5998005725387889,0.81,0.759,1
TUG1,0.002810186050350968,-0.7979761024500691,0.051,0.158,1
HBA2,0.0028121983100963103,0.5003874131107695,0.241,0.098,1
POM121,0.0028833238135155307,0.8066012979119317,0.139,0.038,1
CSNK1G3,0.0029107389884145862,-0.6775202783429862,0.051,0.158,1
CYTOR,0.0030647146684187514,1.9981436995447905,0.234,0.105,1
B4GALT1,0.0033321644782384587,1.1435383903900225,0.146,0.045,1
LYZ,0.0033358829614998577,1.3133791617163453,0.278,0.143,1
RAB3GAP2,0.003352974191942148,-1.0877211040057082,0.032,0.12,1
PRPF4B,0.0034513002540220486,-0.7705401066872599,0.266,0.429,1
TRG-AS1,0.003464484824399799,-1.0779148254397954,0.051,0.15,1
DICER1,0.0034901405786193964,-0.9390069754736513,0.032,0.12,1
ZMYM2,0.003563927488107229,-0.3125127570643551,0.063,0.18,1
BCL11B,0.0035867640310814335,-0.7195274617206269,0.259,0.406,1
CLEC2D,0.003590211582047581,-0.747767409454394,0.266,0.421,1
MX1,0.003744998287583302,-1.333851026937627,0.025,0.105,1
GSK3B,0.003887374293929821,-0.7154974282459711,0.044,0.143,1
RNF19A,0.003956414432950776,-1.0025127676146315,0.19,0.331,1
SHFL,0.004051197232669234,-0.8046983651345755,0.032,0.12,1
PHF3,0.0041043474453304985,-0.7399434274311034,0.171,0.308,1
