Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
JUND,8.095199380198542e-100,0.8163000669599421,0.897,0.754,2.9535334938654377e-95
VIM,8.961048964136561e-95,0.6619954752412474,0.997,0.989,3.2694387145652246e-90
XIST,1.0830776398624947e-81,-1.1706431244518987,0.004,0.162,3.951608769038312e-77
HLA-B,1.104455788012036e-76,0.30943367154883106,1,0.999,4.0296069425619134e-72
LDHA,3.464196810034524e-72,0.593052441828684,0.91,0.856,1.2639122061410961e-67
BCL2A1,1.623925546078558e-68,1.2522990529418214,0.381,0.16,5.924892354867619e-64
IL1B,7.533004777111014e-66,0.9423987870700867,0.456,0.227,2.7484167929289534e-61
CXCL8,1.2242939930127507e-61,0.7904245509881944,0.693,0.506,4.466836633507021e-57
PTPRC,1.4854418026005057e-61,-0.5741668012222152,0.746,0.867,5.419634416787945e-57
UBC,9.00810016888577e-60,0.3927816031209481,0.979,0.963,3.286605346617973e-55
LMNA,1.1177428590398338e-58,0.9710570143231045,0.563,0.354,4.0780848212068334e-54
CREM,5.043337170543273e-58,0.8024842837999162,0.681,0.477,1.8400615666727132e-53
UBB,2.7685656892758606e-55,0.5070127107175226,0.957,0.918,1.0101111917322977e-50
HLA-C,3.51947287344913e-53,0.3307024088113275,0.993,0.989,1.2840796778779151e-48
CXCL3,3.444887847645282e-49,0.8531427035394229,0.254,0.088,1.2568673312133814e-44
NFKB1,1.3364278725607159e-48,0.6792088690179199,0.697,0.52,4.875957093037772e-44
TPT1,1.1286530513835602e-47,0.27626862974991884,0.995,0.998,4.117890657972919e-43
ACTG1,3.169029934470485e-47,0.6602999578365232,0.858,0.769,1.1562205715915566e-42
GRASP,1.2322645224438061e-46,0.9190373790495238,0.232,0.078,4.495917110136227e-42
IFITM1,8.437411418566987e-46,0.7385998952847448,0.481,0.288,3.078389556064165e-41
NINJ1,1.3457364888642657e-44,0.7497538967478923,0.372,0.187,4.9099195796212735e-40
FEZ1,2.396748735452332e-44,0.6537575703599297,0.565,0.357,8.744537761297834e-40
SEPTIN7,3.290466898386066e-43,-0.3930467948187797,0.862,0.922,1.2005268478761563e-38
MALAT1,8.105591277222021e-40,-0.25602764424663427,1,1,2.9573249774944546e-35
CCL5,3.302114516680817e-38,-0.44527940327331983,0.716,0.897,1.2047764814109962e-33
SAT1,7.64206511650706e-37,0.6604706318314508,0.697,0.576,2.788207457757601e-32
CRIP1,9.506112824182735e-35,0.7196563802043228,0.838,0.775,3.468305263903071e-30
PRDX1,1.6708076070813145e-34,0.8721410429868715,0.46,0.307,6.095941554436176e-30
FAM177A1,2.8881466366367025e-33,0.6303726876850799,0.536,0.391,1.053740300376901e-28
CD69,1.2951843146294061e-32,0.7310331662465792,0.602,0.459,4.725479971925388e-28
TAGLN2,2.290420877684463e-30,0.48207757315051136,0.728,0.611,8.356600572231764e-26
NFKBIA,2.6067165305837122e-30,0.468994584923927,0.743,0.616,9.510605261834675e-26
TNFRSF9,3.621879776273177e-30,0.8419141250372599,0.261,0.127,1.3214428363732686e-25
ADGRE5,4.727885888597301e-30,0.519342974292972,0.584,0.422,1.7249691664547252e-25
EIF1,2.789198300768848e-28,0.27191484868622595,0.984,0.974,1.0176390000355142e-23
KLRB1,2.455395512853787e-27,0.4305603386786103,0.664,0.491,8.958510528647042e-23
FCGR3A,1.8721303932915885e-26,-0.5744146471631213,0.245,0.396,6.830467739924361e-22
EMP3,2.5010189967506127e-26,0.352405945560331,0.882,0.822,9.124967809644611e-22
DDX3Y,1.955192543855241e-25,0.6034348824335588,0.195,0.089,7.133519996255847e-21
