Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FCGR3B,3.9611873385313713e-129,-1.029491590144016,0.004,0.168,1.4452392004631707e-124
S100A4,1.149155091280065e-72,0.7833584097756159,0.718,0.538,4.192692350535317e-68
KLRC2,3.476779883449225e-63,-1.0624837438147563,0.108,0.271,1.2685031404764496e-58
S100B,2.5791161574822e-56,1.4045114454988303,0.115,0.009,9.409905300573807e-52
KLRB1,3.1169731197617893e-54,0.5213068982306428,0.716,0.511,1.1372276427450888e-49
GZMM,1.522635957173931e-48,0.6195638483534291,0.62,0.481,5.555337289749087e-44
ACTB,1.0360140287830663e-45,0.6622265606656019,0.812,0.764,3.779897184015017e-41
PTPRC,3.3465696692029105e-45,-0.3838994853571305,0.796,0.886,1.220995943808682e-40
JUND,1.6268038260577847e-44,0.2580408614879839,0.833,0.712,5.935393759371827e-40
TIGIT,3.717819395103525e-41,-0.6037200172018152,0.096,0.225,1.356446406303521e-36
ZBTB38,1.5898739325623125e-40,-0.5814486015075553,0.181,0.335,5.800655042953597e-36
MYOM2,6.636991082911659e-39,1.2854191113841982,0.111,0.023,2.4215061966003187e-34
TSC22D3,2.602876595324816e-38,0.8243875808115837,0.397,0.257,9.49659525804259e-34
CALM1,4.53778288371646e-38,0.39119073883781663,0.896,0.891,1.6556100851239504e-33
ITGB2,4.3294708120918486e-35,0.6348848831380254,0.449,0.314,1.5796074257917108e-30
HLA-C,4.842385959471925e-35,0.26672577938016584,0.985,0.992,1.7667445173133317e-30
CCL5,1.419975138214873e-34,-0.4124229507200248,0.79,0.903,5.180779291776964e-30
HBB,1.7894965141028603e-33,1.4695763850337185,0.121,0.034,6.528978031704286e-29
CD2,3.5209372709362655e-33,-0.6264693649346893,0.384,0.515,1.2846139633010964e-28
BIRC3,1.7026131763688289e-31,-0.512182329018364,0.184,0.317,6.2119841739816724e-27
IL1B,2.3981597747275372e-30,0.7163736705119121,0.304,0.186,8.749685938093419e-26
LMNA,6.592895378172076e-30,0.7445627959722785,0.379,0.263,2.405417878726082e-25
CTSW,6.608090680711787e-30,0.41245059999100153,0.715,0.644,2.4109618848576956e-25
DIP2A,2.417090723305878e-29,0.6732497435515256,0.178,0.082,8.818755503981496e-25
DUSP1,2.5483712216972056e-29,0.6496224699228641,0.361,0.229,9.297732402362254e-25
FOS,6.241544555861802e-29,0.5943805306727934,0.38,0.242,2.2772275312061783e-24
HBA2,1.1005305053583536e-28,1.2984471435043095,0.11,0.033,4.0152855487999534e-24
CLEC2D,3.1568709222146416e-28,-0.4650262211519629,0.273,0.414,1.1517843559700121e-23
STK17A,1.1560364286059498e-27,-0.37097964265931394,0.493,0.632,4.2177989097688076e-23
ACTG1,7.346845804329018e-27,0.39020899724282954,0.816,0.772,2.680496691709442e-22
PFN1,1.5537298987353503e-26,0.32840660583340764,0.88,0.868,5.668783535535925e-22
GZMA,1.7495974275336366e-26,0.4766600778335608,0.652,0.561,6.383406214356473e-22
CXCL3,3.966909707816438e-26,0.7115925145496071,0.155,0.069,1.4473270068968274e-21
KLF2,7.116458092059183e-26,0.7307833125747947,0.45,0.349,2.5964397348877927e-21
JUNB,2.259419831826547e-25,0.6713440298466207,0.446,0.342,8.243493256419156e-21
IRF3,7.620966353956642e-24,-0.3909462340267268,0.115,0.214,2.780509574241081e-19
FAM102A,2.8559211722453133e-23,-0.35086268310231844,0.062,0.139,1.0419828396937026e-18
GZMB,5.0976274437127953e-23,0.28937487265698225,0.816,0.761,1.8598693728386133e-18
TRG-AS1,6.666315078602646e-23,-0.4705101725419212,0.147,0.25,2.4322050564281753e-18
IFI16,2.5106406126829865e-22,-0.389261397693037,0.423,0.549,9.160072275373877e-18
ID2,3.04759475203546e-22,0.6486530158981492,0.414,0.318,1.1119149452801374e-17
ASF1A,3.390952603323833e-22,-0.3487213799377123,0.052,0.122,1.2371890573227005e-17
PRMT2,4.598054394719221e-22,0.47425054876552064,0.452,0.359,1.677600145913308e-17
UBB,5.486597499449445e-22,0.3097454305322014,0.927,0.919,2.00178509767413e-17
APOBEC3G,5.646207709049876e-22,-0.26551657876350543,0.626,0.761,2.060018882646847e-17
HCST,6.854588077119245e-22,0.42727104791059833,0.694,0.634,2.5008964599369566e-17
LINC00623,8.724835298359935e-22,-0.3691003707078462,0.202,0.321,3.1832561586066226e-17
LAIR2,8.463748463146316e-21,0.5484415492254896,0.144,0.068,3.0879986267789334e-16
ITGB1,2.014060209921355e-20,-0.3476413426034677,0.417,0.545,7.348298675898064e-16
GPR68,2.3079644980780547e-20,-0.32783937967397514,0.042,0.104,8.420608471237783e-16
LINC00996,2.820856708636307e-20,-0.3028355017106635,0.041,0.102,1.0291895701459566e-15
SERF2,4.579797197156322e-20,0.2572886609070326,0.861,0.844,1.670939007382484e-15
TBCD,4.6413138766689203e-20,-0.322140136768076,0.048,0.112,1.6933833679026556e-15
NCOR1,7.124213330279103e-20,-0.3646288288065007,0.246,0.363,2.599269233552331e-15
EVI2B,9.70640115228371e-20,-0.3621411721626333,0.358,0.482,3.5413804604107116e-15
SAT1,1.2914957579492087e-19,0.3687836439230079,0.582,0.498,4.712022272877688e-15
SLC4A7,1.32271632839531e-19,-0.36054570049639445,0.087,0.166,4.8259305241502885e-15
CARD19,1.4492188839857375e-19,-0.3326560207447583,0.122,0.214,5.287475098221963e-15
TBL1XR1,1.8656496825794259e-19,-0.3440714152802753,0.145,0.242,6.806822866891035e-15
CXCR3,5.144678867338097e-19,-0.3467310067058027,0.131,0.222,1.8770360847483046e-14
PPP1R2,6.372369461350219e-19,-0.3971820282597256,0.277,0.387,2.3249589979736274e-14
MIAT,1.3055732111646049e-18,-0.33973112411916784,0.107,0.19,4.763383860934061e-14
RGS10,1.3654557462987436e-18,-0.35619555914486234,0.119,0.206,4.981865290370966e-14
RHOH,1.3984165964435513e-18,-0.33699613626693115,0.107,0.191,5.1021229521242967e-14
TXNIP,1.8354175355387086e-18,0.5525837573943231,0.662,0.627,6.696520878412978e-14
C1orf21,2.5001955109051036e-18,-0.34871770380188005,0.384,0.499,9.121963321537271e-14
LITAF,2.710081784091204e-18,0.35804958391058106,0.483,0.387,9.887733389256759e-14
CXCL8,3.2399524760880288e-18,0.5896357154056098,0.484,0.431,1.1820966609007174e-13
FEZ1,3.35490502729026e-18,0.5157596328198693,0.332,0.238,1.2240370992068514e-13
BTN3A2,3.985945737148685e-18,-0.32289099251983844,0.206,0.314,1.4542723021986977e-13
GIMAP5,6.6933388933108026e-18,-0.3224602829908281,0.188,0.29,2.4420646952244463e-13
PDCD4,7.20863991625314e-18,-0.33549867760428054,0.373,0.486,2.6300722734449584e-13
GTF2I,1.202000738624902e-17,-0.30462312078639386,0.208,0.315,4.3854996948729547e-13
GIMAP7,1.4239671449735725e-17,-0.2876174926502819,0.471,0.589,5.19534412843608e-13
SP100,3.120110356498529e-17,-0.31418234952451796,0.407,0.518,1.1383722635684884e-12
CKLF,3.533452860635631e-17,-0.3373328672737437,0.276,0.388,1.28918027620291e-12
ANKRD12,5.255209488276665e-17,-0.28221049568431633,0.488,0.596,1.9173631817977412e-12
DTHD1,6.69325592825554e-17,-0.2973002095661087,0.09,0.165,2.442034425424034e-12
RNF19A,7.010929885712916e-17,-0.2854268566031246,0.367,0.48,2.557937768802357e-12
PTPN22,8.42180801709915e-17,-0.3218353298074905,0.252,0.358,3.0726966550386246e-12
RESF1,8.937130115803779e-17,-0.33032511017937805,0.312,0.42,3.2607119227510086e-12
HOXB2,1.1472209394470996e-16,-0.3289428809276499,0.06,0.121,4.185635597572743e-12
GAPDH,1.454800908002175e-16,-0.29592703432729284,0.836,0.875,5.3078411128459355e-12
EOMES,1.5150536209155353e-16,-0.32019355056726195,0.106,0.185,5.527673135910331e-12
RNASEK,2.3511425813088486e-16,-0.2700385211890861,0.632,0.725,8.578143707905335e-12
GIMAP1,2.975768126852648e-16,-0.31138786258427265,0.143,0.231,1.0857090010821887e-11
RBPJ,3.2890478715477983e-16,-0.30710637761591264,0.278,0.383,1.2000091159342142e-11
YPEL5,1.37508719694778e-15,0.32413404748136987,0.503,0.423,5.0170056380639754e-11
AKAP5,1.4457408395437039e-15,-0.2893856781965758,0.059,0.119,5.2747854530752033e-11
MYL12A,3.4342984231762405e-15,0.28550159155507515,0.742,0.718,1.2530037796958513e-10
HOPX,3.7646559096881994e-15,-0.2830989188021449,0.424,0.539,1.3735347086497395e-10
TTC39C,6.236091759592172e-15,-0.2946576849847402,0.179,0.269,2.2752380784872038e-10
FCGR3A,6.76789308467633e-15,-0.2506822590439519,0.418,0.529,2.469265791944159e-10
LYZ,8.32278903319053e-15,0.3688428054116949,0.16,0.093,3.036569578759565e-10
SMIM14,1.0975107261120572e-14,-0.2720145009389866,0.055,0.11,4.004267884219841e-10
ABCB1,1.1043198172866797e-14,-0.3200411668621843,0.111,0.184,4.029110853370451e-10
EVI2A,1.2270961307700877e-14,-0.3211949625174373,0.197,0.287,4.477060233114665e-10
FOSB,1.8526156544305286e-14,0.39515201263547084,0.271,0.184,6.759268215189784e-10
ANXA5,1.99896041562607e-14,-0.3029466361231947,0.174,0.263,7.293207076411716e-10
TTC3,2.2349066975121853e-14,-0.27670292670913166,0.168,0.255,8.154057085873208e-10
RAB9A,3.514885715183451e-14,-0.3054589068463428,0.107,0.178,1.282406053184682e-9
BPTF,3.53693836593982e-14,-0.30322191239823826,0.303,0.405,1.2904519628131433e-9
CFL1,3.6660327298308865e-14,0.27499332037499924,0.803,0.789,1.337552041478799e-9
ARID5B,4.0408612874295626e-14,-0.2842884893871248,0.116,0.19,1.4743082407186759e-9
SRSF7,5.019670123310693e-14,0.4236274056451377,0.502,0.448,1.8314266444899065e-9
ZFP36L1,5.247836554368077e-14,-0.27101120015706925,0.249,0.352,1.914673166861193e-9
XAF1,5.422646191459126e-14,-0.3078252724411936,0.174,0.257,1.978452462953862e-9
BCL11B,5.658304285679452e-14,-0.3218565853273372,0.212,0.302,2.064432318630148e-9
SLF1,5.735165781972371e-14,-0.30341648544852645,0.053,0.105,2.0924752355526193e-9
APOBEC3C,8.170494246792904e-14,-0.2530543052864962,0.226,0.324,2.981004825942391e-9
UBXN4,8.545393143850345e-14,-0.29486040519346224,0.296,0.397,3.1177866885337986e-9
CREM,8.859212104689279e-14,0.5043738592767733,0.324,0.252,3.2322835363958835e-9
LYST,1.0648528588864781e-13,-0.28356908915774803,0.22,0.31,3.885115655647315e-9
GGA2,1.0663138717303129e-13,-0.2762200577045206,0.144,0.223,3.890446161008046e-9
HSPA5,1.0790087887556793e-13,0.31316219943853074,0.634,0.58,3.936763565775096e-9
IL32,1.1218292519670135e-13,0.5327210777502569,0.363,0.29,4.092994025801649e-9
GIMAP6,1.453941619444759e-13,-0.2574468697587079,0.059,0.113,5.3047059985442034e-9
EPSTI1,2.218983655451538e-13,-0.27282362134625526,0.114,0.185,8.095961866914937e-9
SPON2,4.4896578007510045e-13,0.39295943326547866,0.369,0.286,1.638051648604004e-8
SLFN12L,5.863457831835838e-13,-0.2674755975226537,0.141,0.216,2.1392825899453052e-8
DEK,7.149371058386714e-13,-0.28371763815113216,0.447,0.537,2.6084480306523927e-8
CD3D,7.409160327790836e-13,-0.3216460844842375,0.158,0.236,2.7032321455944865e-8
RBM3,7.944283136122569e-13,0.25832276099715434,0.632,0.587,2.8984717022143195e-8
PIM1,1.0128250375946098e-12,-0.28147440125735157,0.211,0.296,3.695292149663934e-8
S100A9,1.0560057896624006e-12,0.3225424106298369,0.136,0.078,3.852837123583269e-8
DAAM1,1.25248372735842e-12,-0.28768677537007337,0.091,0.152,4.5696868792671954e-8
EIF2AK2,1.2777034688824966e-12,-0.26806997459685133,0.165,0.245,4.661701106217789e-8
LYSMD2,1.3276139241396232e-12,-0.2875818610972689,0.157,0.234,4.843799402223415e-8
OSTF1,1.979092069846686e-12,-0.2631896650775183,0.356,0.458,7.220717416835634e-8
TRIM56,2.6076920477011392e-12,-0.26615290971650063,0.088,0.149,9.514164436037607e-8
ADGRE5,4.305372119754429e-12,0.36662206978818856,0.443,0.377,1.5708150178924036e-7
ARAP2,4.7913369283410196e-12,-0.26956028527284337,0.256,0.344,1.748119278305221e-7
HNRNPF,4.965250422397254e-12,-0.2557326672069766,0.259,0.354,1.8115716166116384e-7
IFNG,5.7004160902783e-12,0.4386271341136163,0.172,0.111,2.079796810538038e-7
SMCHD1,5.75225890903779e-12,-0.26279908596131274,0.219,0.303,2.0987116629624375e-7
YY1,5.85558083482554e-12,-0.26981120492859234,0.317,0.412,2.1364086675860985e-7
DDX3Y,6.486062918116344e-12,0.45486035494619415,0.139,0.086,2.366440055674748e-7
GAB3,6.522817014600212e-12,-0.2617333012571921,0.087,0.146,2.3798497877768874e-7
SCAF11,8.36261383675919e-12,-0.2628157732916918,0.406,0.503,3.0510996583415904e-7
LRRFIP1,9.65036318487429e-12,0.34071083708809846,0.551,0.508,3.5209350080013847e-7
CMC1,9.834517895343368e-12,-0.2625381186726039,0.434,0.525,3.588123854116028e-7
TRGC1,9.866283612535779e-12,-0.3162349911762766,0.125,0.191,3.599713576033679e-7
PARP1,1.1570337091371129e-11,-0.27720855541105993,0.119,0.185,4.221437487786756e-7
HNRNPAB,1.1576769052127177e-11,-0.2761371854403303,0.294,0.382,4.2237841886686006e-7
LDHA,1.1687780419622017e-11,0.3527519106988488,0.742,0.747,4.264286686099093e-7
FUS,1.338887169513255e-11,0.3402634420756643,0.464,0.404,4.884929837969111e-7
SLC6A6,1.546279759726701e-11,-0.26253552128063196,0.109,0.171,5.641601703362869e-7
PCID2,1.5533915767114115e-11,-0.29464108501812347,0.103,0.164,5.667549167631585e-7
MLEC,1.6509614780632174e-11,-0.26402137848529594,0.137,0.206,6.023532952713648e-7
PARP14,1.8999625710477864e-11,-0.2716372302817378,0.22,0.301,6.932013440467849e-7
LUC7L3,1.9745524322553258e-11,-0.28300480270460615,0.198,0.276,7.204154549083557e-7
TAGLN2,2.105337378526919e-11,0.3306592904091499,0.631,0.604,7.681323425555464e-7
ZMYND11,2.2271319133198962e-11,-0.2725453095669619,0.095,0.154,8.125690785747641e-7
JUN,2.8050641102427376e-11,0.3147264325295005,0.473,0.398,1.0234276406220628e-6
DYNLL1,4.6036627285645965e-11,-0.27641022533837556,0.284,0.378,1.679646346516793e-6
DNMT1,5.101780054161031e-11,-0.27925823409697226,0.14,0.206,1.8613844527606521e-6
CXCL2,5.930281496059462e-11,0.33791149958346467,0.103,0.057,2.1636632038372948e-6
PRR5L,6.182382007130994e-11,-0.25837451219616736,0.155,0.226,2.255642075301743e-6
DDIT4,6.435909177636899e-11,0.4307892599549936,0.258,0.197,2.3481414634608225e-6
PRDX1,7.174828200183982e-11,0.5799050509001948,0.294,0.239,2.617736068837126e-6
SRSF2,8.999329413095116e-11,0.2823167272186282,0.536,0.486,3.283405336367753e-6
TRAC,9.045238329635795e-11,-0.31943744124870277,0.111,0.171,3.3001552045676195e-6
IFITM1,1.1865243564853544e-10,0.3761633579076771,0.318,0.256,4.329034114636816e-6
