Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCL3,3.896034354151355e-8,1.4186643621370336,0.422,0.13,0.0014214681341121217
IL1B,1.094610641489755e-6,0.4412072469076107,0.563,0.266,0.03993686925475371
THBS1,1.483995855687446e-6,1.2833692205867557,0.407,0.156,0.05414358879475647
TRBC2,1.750882647377468e-6,-1.1195152834057847,0.215,0.468,0.06388095338956692
GIMAP7,1.733368364479249e-5,-1.1544923292110592,0.156,0.377,0.632419447780254
CD2,2.726355391356462e-5,-1.0920451190045437,0.156,0.377,0.9947107645364052
TUBA1B,3.4507668306940475e-5,0.9934900733140961,0.474,0.253,1
ANKRD28,5.070297085328199e-5,0.9646364622510658,0.215,0.052,1
CD63,5.2109028544471764e-5,0.788065186997263,0.578,0.37,1
LAPTM4B,5.32680316986357e-5,0.8646343074588021,0.119,0.006,1
SERPINB2,5.654284274658033e-5,1.203210546920929,0.274,0.091,1
PURA,6.190706168415267e-5,-0.9195012159942106,0.03,0.175,1
AIF1,8.134004502500956e-5,1.5862478467256547,0.178,0.039,1
LCP2,8.94770545692343e-5,-0.8704644156613442,0.044,0.201,1
CCL4,9.894538662536742e-5,0.4740587877526128,0.615,0.37,1
HLA-DMA,1.0495269991603857e-4,0.7672900967540385,0.156,0.026,1
CXCL8,1.1184719519804198e-4,0.9284543195354917,0.704,0.571,1
GIMAP4,1.2036637313993944e-4,-0.9599202574346336,0.081,0.253,1
SUMO3,1.2924657400141816e-4,0.9055151520613056,0.296,0.117,1
DCTN2,2.1560022034387152e-4,0.9149450883031666,0.2,0.058,1
HBB,2.256575798036759e-4,0.8013077665866704,0.104,0.006,1
XIST,2.4760739234923237e-4,-1.032091603382936,0.022,0.143,1
TGFBR2,2.521800849014718e-4,-0.8619089619520659,0.037,0.169,1
CD9,2.573847880210501e-4,0.8496726044061265,0.474,0.286,1
SNX3,3.0760098198474964e-4,0.8104134284947406,0.526,0.331,1
PUM1,3.9707002603631993e-4,-0.7829882306951597,0.022,0.136,1
EVI2B,4.5930409680872435e-4,-0.7133801196787752,0.2,0.403,1
DDAH2,5.216121354708835e-4,0.7988578691978259,0.148,0.032,1
TRAC,6.292238383668475e-4,-0.9431609330061361,0.089,0.24,1
WIPI2,6.387009284667168e-4,-0.8018927644924423,0.044,0.169,1
GAPDH,6.473019198461772e-4,0.6765332764669996,0.889,0.773,1
GCC2,6.710666309381726e-4,-0.9126345161425768,0.141,0.305,1
AREG,6.928343064862381e-4,1.8670916357319318,0.119,0.019,1
RPA3,7.940129677885394e-4,-0.6797881317784132,0.059,0.195,1
DDX18,8.306716235181297e-4,-0.9747268997623111,0.156,0.305,1
MSL3,9.234271028555906e-4,-0.7097983980698359,0.03,0.143,1
HSPA5,0.0010263562001411948,1.0887344457153354,0.43,0.292,1
CCDC90B,0.00116359060575059,-0.7420582529950734,0.022,0.123,1
CD247,0.0011642632856018226,-1.1626640343173384,0.156,0.305,1
"NAA38",0.0012647695472176228,1.1393773052565916,0.281,0.13,1
RNF130,0.001273368032707112,0.656938802984486,0.148,0.039,1
PTMA,0.0013453602196236644,-0.3448569243084414,0.97,0.955,1
PTPRC,0.0013730111785661618,-0.49184756620595627,0.43,0.597,1
CXCL2,0.0014224425618969642,0.6026267938684875,0.267,0.117,1
DDX5,0.0016195900838686988,-0.4733665718023299,0.526,0.662,1
IRF2,0.0016583685661120406,-0.6301582657376796,0.096,0.24,1
STK17A,0.0016660085147224561,-0.7319962598352132,0.215,0.377,1
XPO1,0.0017850897630587689,-0.741861393143921,0.022,0.117,1
LINC00623,0.0018173693986045202,-0.5623867186132158,0.037,0.149,1
GZMH,0.0018261072141921909,-0.786087837633243,0.059,0.182,1
MALAT1,0.001864610161997698,-0.34072952592309314,0.881,0.948,1
RAB4A,0.0018661912541428477,0.6409646317086999,0.289,0.136,1
C1orf131,0.0019363608799737376,-0.7692632782690298,0.03,0.13,1
SOD2,0.0019640304424218586,0.2768092785823111,0.719,0.571,1
