Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CAVIN2,2.0889944246055904e-12,-1.142200727386805,0.543,0.895,7.621696158173497e-8
CCL5,3.287649575428583e-12,-1.0277802695719105,0.781,0.951,1.1994989475951186e-7
IL1B,3.3604567881983724e-11,1.3830731390795505,0.55,0.179,1.2260626591741762e-6
LYZ,9.048817952943338e-11,2.3056812430658304,0.298,0.031,3.3014612301313768e-6
HIST1H2AC,3.9544456038390014e-9,-1.386968780829159,0.536,0.802,1.4427794785606596e-4
TUBB1,4.143543778040813e-9,-0.961848307937756,0.51,0.858,1.5117719474181906e-4
PRKAR2B,1.3338204764913888e-8,-1.054230420666142,0.483,0.772,4.866444008478832e-4
ODC1,1.3377253323720417e-8,-1.3018607653203773,0.377,0.648,4.880690875159394e-4
GNAS,1.4391745272628735e-8,-0.7347484719715691,0.775,0.932,5.250828262718594e-4
NRGN,2.4996034767889972e-8,-0.6280850015458643,0.642,0.926,9.119803285064657e-4
MTPN,2.7410953702122926e-8,-1.1130542408535886,0.49,0.735,0.001000088645821955
PLA2G12A,1.8318580318811989e-7,-1.3027821535307706,0.166,0.432,0.006683534029318554
CXCL2,1.8652381119373003e-7,1.4147754980211134,0.291,0.068,0.00680532125140324
OAZ1,1.9976121870603397e-7,-0.6087650818358687,0.821,0.963,0.007288288064489649
CLU,2.731277302234328e-7,-0.7185547538950408,0.536,0.833,0.009965065237201946
DUSP1,2.7686465092487335e-7,1.3083504743188452,0.245,0.043,0.010101406788994004
CXCL8,2.8029963474781853e-7,1.483175945822985,0.642,0.42,0.010226732173774159
HSPA5,3.097328809702267e-7,1.2649153161989362,0.483,0.241,0.011300604162198722
TLN1,3.1907856274889057e-7,-1.0814409510426342,0.53,0.753,0.011641581361893272
OST4,3.2831742340251137e-7,-0.6916237105732703,0.762,0.932,0.011978661192840627
TPM4,3.407161287584534e-7,-1.1961881017759515,0.49,0.698,0.012431027957752172
TUBA4A,8.317279012514183e-7,-0.9174895146879392,0.477,0.728,0.030345592477157998
EEF1G,1.276353058028795e-6,1.188084326118024,0.669,0.42,0.046567741322180584
ITM2B,1.8592160763960497e-6,-0.5508320922128673,0.815,0.92,0.06783349854730987
TMSB4X,1.9511456134772213e-6,-0.5112310069625243,1,0.994,0.07118754770771642
GP1BB,2.049707525973844e-6,-0.5540600400611666,0.748,0.951,0.0747835790851557
TREML1,2.535749857964729e-6,-0.6211688993357014,0.305,0.605,0.09251683356784314
FYB1,2.573695490383996e-6,-0.961485606367551,0.311,0.562,0.09390127996666009
VCL,2.8451998987126517e-6,-1.016394247415346,0.272,0.531,0.1038071183045311
SH3BGRL2,3.120720228672135e-6,-1.4262787886622985,0.126,0.346,0.11385947754310285
SNN,3.4412112373126362e-6,-1.5059563525709687,0.113,0.315,0.12555259199335153
HSP90AB1,3.4621701205092727e-6,0.9873577568272296,0.55,0.321,0.12631727684678082
RUFY1,3.719098512574594e-6,-1.0709412835434184,0.417,0.636,0.13569130923128406
GNG11,4.0560645806165644e-6,-0.5321135309525618,0.623,0.877,0.14798551622379535
YWHAH,4.296001320179734e-6,-1.0115165463698537,0.49,0.685,0.1567396081667576
CD69,6.1416993195449824e-6,1.3109710992008805,0.272,0.08,0.22407989967359868
PDZK1IP1,6.765389204596356e-6,-1.0474798749302052,0.166,0.407,0.24683522512969805
F13A1,7.560242391008185e-6,-1.0147316308919558,0.358,0.593,0.27583544363593365
NCOA4,8.76709966766777e-6,-0.9524245616948273,0.609,0.772,0.3198676313748586
MAP3K7CL,1.0749733881659681e-5,-1.00094012699839,0.272,0.525,0.3922040406723535
CXCL3,1.1087885039798433e-5,1.2128028499565928,0.325,0.117,0.4045414856770458
AP001189.1,1.114806363877411e-5,-0.9685915763868054,0.199,0.432,0.4067371018606734
TRIM58,1.1374984417473363e-5,-1.316660329508958,0.106,0.296,0.41501630647151566
MYL12A,1.1835000933297658e-5,-0.5403731290536422,0.768,0.914,0.43180000905136506
KIF2A,1.2020462586410924e-5,-1.0478716464004867,0.397,0.605,0.43856657746520256
LST1,1.2637188510463742e-5,0.9130180658694653,0.159,0.019,0.4610678228042696
AC127502.2,1.320555318052083e-5,-0.8846489535557889,0.205,0.438,0.48180460779130246
PGRMC1,1.4213619494545388e-5,-0.7304545310703241,0.384,0.648,0.5185839072584885
SPI1,1.4374661583604484e-5,0.8554754414991839,0.159,0.019,0.5244595278778096
SLC25A6,1.5208069447573576e-5,0.9689756586097364,0.49,0.265,0.5548664137947219
ANO6,1.632344937038693e-5,-1.0867411039021906,0.146,0.352,0.5955610502785671
RAB31,1.8654393939585764e-5,-1.1388320628831814,0.026,0.173,0.6806055628857866
MMD,2.0535063934776306e-5,-1.1853478366729724,0.265,0.481,0.7492218076603135
ARHGAP18,2.258428458294379e-5,-1.118432764386113,0.245,0.463,0.8239876230087042
"NAP1L1",2.5966184132539553e-5,-0.7754213804093917,0.795,0.833,0.9473762280757057
PPBP,2.6379946981312773e-5,-0.2574230445015093,0.768,0.951,0.9624723656131965
S100A6,2.9873565102694484e-5,0.7866500193967401,0.629,0.426,1
HLA-DRB1,3.302327309831247e-5,0.7437395007743801,0.305,0.111,1
RAB27B,3.352517169609927e-5,-1.1284708918189879,0.139,0.34,1
MYLK,3.76822018951764e-5,-1.270503047361189,0.093,0.272,1
PCGF5,3.939541056934048e-5,-0.8772619429443143,0.119,0.315,1
S100A4,3.973755523259428e-5,0.7484138202660242,0.457,0.228,1
MIF,4.008765443413924e-5,1.0610443953070132,0.444,0.265,1
CCL3,4.739272265698995e-5,0.7595691081966112,0.497,0.284,1
BCL2A1,5.156315749479589e-5,1.0035349855544657,0.212,0.056,1
PTGS2,5.204534637980313e-5,1.3044069720743947,0.139,0.019,1
ARPC1B,5.2774475341674476e-5,-0.6771768485852503,0.675,0.809,1
RGS10,7.037991950519957e-5,-0.6663472644228738,0.669,0.802,1
AIF1,7.267207847116137e-5,1.379398409191685,0.179,0.043,1
RGS18,7.288514019104258e-5,-0.7547069670310114,0.583,0.753,1
PRDX1,8.047572519393743e-5,1.196412059795599,0.404,0.228,1
JUND,8.233192167703208e-5,0.8752442044751976,0.53,0.352,1
RAN,8.662648599609953e-5,0.979713530968997,0.358,0.185,1
HLA-DRA,9.52956480721066e-5,0.8805506367439722,0.424,0.228,1
S100A9,9.607595615800998e-5,1.165612503230301,0.238,0.074,1
SLC40A1,9.8611057700448025e-05,-1.1274466516482746,0.146,0.321,1
TIMM17A,1.0003126119488441e-4,0.6466021318653513,0.119,0.012,1
EIF4A1,1.0276864781562492e-4,1.0851668003947925,0.45,0.284,1
CALR,1.0527290137485699e-4,0.729561350091033,0.444,0.235,1
RAB34,1.0628644972681233e-4,0.6490144044617517,0.119,0.012,1
SOD2,1.0767554031688513e-4,0.6071579170819583,0.748,0.568,1
PDGFA,1.1707652361636587e-4,-1.359601910384268,0.086,0.247,1
TMED2,1.2027675089516831e-4,0.7402640519061018,0.258,0.093,1
WBP2,1.3447749718161622e-4,-1.0602616631814699,0.199,0.389,1
PPDPF,1.3654218993468722e-4,-0.7208332803258672,0.457,0.648,1
TPM1,1.3899397333850573e-4,-0.974090388955362,0.318,0.5,1
EIF3M,1.443118441150649e-4,0.8790033118762397,0.285,0.123,1
C1orf43,1.4481814477916395e-4,0.599638120176992,0.192,0.049,1
SERPINB2,1.4567463782330723e-4,0.9678680277526663,0.219,0.068,1
CALM3,1.4920186373237882e-4,-0.44099281353291353,0.464,0.704,1
LMNA,1.6116132637556364e-4,0.7506958482628652,0.576,0.389,1
CCL4L2,1.8462190001801828e-4,0.7721292517785792,0.325,0.142,1
HGSNAT,1.9220789819592254e-4,0.7077312339357165,0.139,0.025,1
TNFRSF25,1.983827644961853e-4,-0.6731893216034872,0.02,0.136,1
DAPP1,2.2099805592160255e-4,-0.6381023761005995,0.232,0.432,1
B2M,2.228297873031976e-4,-0.2579891561425116,1,1,1
RBM3,2.3104588088491618e-4,0.7447017379933543,0.464,0.272,1
VIM,2.3287617994335421e-4,0.8092882532821148,0.795,0.735,1
RSL24D1,2.6333588940123973e-4,0.7792627774490639,0.364,0.191,1
IER3,2.6619312974619135e-4,0.797656270642167,0.272,0.111,1
NT5M,2.6817710206273346e-4,-0.9286443106694968,0.119,0.284,1
ACRBP,2.8006414481107503e-4,-0.6595063377010453,0.43,0.623,1
HLA-DPA1,2.8378455330365537e-4,0.9319872885025666,0.272,0.111,1
ARHGAP6,2.8838731200097207e-4,-1.0504361372063857,0.132,0.296,1
NEAT1,2.921091948286278e-4,0.8283349486439207,0.649,0.475,1
SPARC,2.9360325173239884e-4,-0.5246643288728081,0.371,0.599,1
HSP90B1,3.079805102543678e-4,0.7551105069300466,0.464,0.265,1
CCS,3.0848872949470275e-4,-1.0198259097061353,0.053,0.185,1
SUB1,3.1036610272288203e-4,0.6817810484702242,0.576,0.37,1
MARCKSL1,3.294302435059135e-4,0.7748683493193032,0.166,0.043,1
TNNC2,3.3529554332808683e-4,-1.2569767043882254,0.106,0.259,1
LIMS1,3.956315100284738e-4,-0.8094685982067342,0.563,0.691,1
HLA-DPB1,4.0653730525922166e-4,0.7348535306785298,0.377,0.198,1
SUPT5H,4.1191429245028094e-4,0.730280994137053,0.172,0.049,1
MTURN,4.15022501370874e-4,-0.5197082344559258,0.344,0.543,1
GIHCG,4.205597093966322e-4,1.038471508834525,0.139,0.031,1
SERBP1,4.2904630869852674e-4,0.7470417198681691,0.404,0.222,1
SEM1,4.4218393767520426e-4,0.7460597395191775,0.245,0.099,1
SSX2IP,4.4429693302991684e-4,-1.0060865476806662,0.139,0.296,1
SERPINB9,4.521083663188171e-4,0.594873099197363,0.205,0.068,1
C2orf88,4.537089468132244e-4,-0.7322751630076216,0.358,0.549,1
EIF3L,4.550941059180142e-4,0.8655090328905011,0.245,0.099,1
NFKB1,4.672527187611119e-4,0.9675074474607321,0.285,0.136,1
CD74,4.722353908302765e-4,0.9042941776459927,0.483,0.321,1
AGTRAP,5.014634371844329e-4,-0.6344763897940379,0.02,0.123,1
HNRNPA1,5.104742130290387e-4,0.5835146391330022,0.596,0.407,1
METRNL,5.663448440937708e-4,0.7962760124794489,0.199,0.068,1
EEF1B2,5.788453250039137e-4,0.6530416271067954,0.675,0.488,1
NDUFB11,5.832530869956326e-4,0.5771841430193256,0.371,0.198,1
S100A10,5.869349130443604e-4,0.9082347218254085,0.609,0.438,1
JAM3,5.898229996822837e-4,-1.0465399960631119,0.04,0.154,1
LYST,6.099471853885703e-4,-0.6190163563348894,0.06,0.191,1
CXCL5,6.138825064525204e-4,-0.5845811359341713,0.066,0.204,1
TAGLN2,6.210804986156173e-4,-0.5251657759430755,0.881,0.938,1
TKT,6.265397238615468e-4,1.3825296353312846,0.219,0.093,1
MRPL54,6.404551204307931e-4,0.7030440631176507,0.225,0.086,1
NT5C3A,6.538165869419103e-4,-0.8351618046758769,0.384,0.531,1
CDKN1A,6.681881007749468e-4,-0.9734918629475227,0.099,0.247,1
NBL1,6.932790214869391e-4,0.6610664012362751,0.113,0.019,1
RAB30,7.09290701187931e-4,-0.8999547240579168,0.02,0.117,1
UBL4A,7.168046607799454e-4,-1.0276148900461528,0.093,0.235,1
MPP1,7.227190041072422e-4,-0.753817202298285,0.331,0.494,1
CSTB,7.357098862294612e-4,0.47774006048419304,0.364,0.185,1
TMEM50A,7.400300999001149e-4,-0.7230675913282925,0.411,0.586,1
EFHD2,7.475607538746679e-4,0.7747989035625154,0.351,0.185,1
SNRPG,7.659077777430078e-4,0.7718521487957728,0.311,0.16,1
HGD,7.736437716714699e-4,-0.7663002244010134,0.066,0.198,1
ID2,7.75351839445636e-4,0.8890219807781513,0.166,0.049,1
SNHG29,7.759180120054398e-4,1.3604344621163773,0.47,0.309,1
CCT6A,7.943890103263477e-4,0.5994043809489438,0.245,0.099,1
EEF2,8.150469883123441e-4,0.6265093402620936,0.517,0.352,1
EEF1D,8.272901601894108e-4,0.4827573507936509,0.656,0.457,1
HMGN3,8.605054957276842e-4,0.527182381607689,0.159,0.043,1
EZR,8.636061402828591e-4,0.854117341657195,0.45,0.29,1
BEX3,8.675060748297541e-4,-0.8669951187955203,0.358,0.512,1
FERMT3,8.7396703901274e-4,-0.5332837665376577,0.331,0.537,1
KAT6A,8.740456459487805e-4,-0.7155145750289968,0.132,0.29,1
PTPN18,8.797258826153165e-4,-0.69098227042794,0.238,0.407,1
XBP1,9.017536567971375e-4,0.8100585147450566,0.252,0.111,1
EEF1A1,9.084478643406599e-4,0.6704422464063287,0.841,0.728,1
GIMAP1,9.381489616459578e-4,-0.46699164602985527,0.04,0.154,1
RIPOR2,9.470752804305663e-4,-0.5368480521898285,0.311,0.5,1
EIF2AK1,9.635485754130573e-4,-0.7475756832579994,0.219,0.383,1
LRRFIP1,9.689024895791895e-4,0.7854680133737562,0.47,0.315,1
HLA-E,0.0010312349706949684,-0.35233518294970345,0.841,0.889,1
BTN3A2,0.001041017332440904,-0.7461158112066856,0.073,0.204,1
SNRPD1,0.0010411205606974008,0.8932894699948107,0.238,0.105,1
MAGI2-AS3,0.001089329867004021,-0.9994718033633044,0.033,0.136,1
S100A8,0.001092536987832695,1.1833418791550518,0.192,0.068,1
AL162424.1,0.0011113744592737586,-0.8544311635547109,0.066,0.191,1
CD55,0.001130307577591144,0.6388491037743117,0.252,0.111,1
SMAD2,0.0011599704063450112,0.5495728024517891,0.172,0.056,1
ITM2C,0.0011710374544012501,0.7437256213992334,0.139,0.037,1
LLPH,0.0011748564778803218,0.6766129700845458,0.212,0.08,1
SNHG16,0.001250847554378308,0.6887628385354583,0.199,0.074,1
BEX2,0.0013182162639210739,0.48138839371619796,0.152,0.043,1
HIST1H3H,0.0013266761190839633,-1.1466106737950317,0.212,0.358,1
AC103591.3,0.0013526162109959393,0.706702861854193,0.179,0.062,1
SRSF2,0.0014112996529505085,0.6364448255559481,0.384,0.216,1
HSD17B11,0.001423429505653025,0.6838464916235094,0.166,0.056,1
