Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
C1orf216	0	-0.9818043741318736	0.321	0.671	0	TRUE	Other	Inf
PPT1	0	0.6903194105976673	0.904	0.754	0	TRUE	Other	Inf
SCP2	0	0.5916795257514491	0.953	0.789	0	TRUE	Other	Inf
TTLL7	0	-1.4078833109003075	0.139	0.506	0	TRUE	Other	Inf
SEC22B	0	-1.0162119507104768	0.995	0.999	0	TRUE	Other	Inf
NOTCH2NLA	0	-0.9232412737560608	0.643	0.874	0	TRUE	Other	Inf
NBPF9	0	-0.9189962895204192	0.445	0.798	0	TRUE	Other	Inf
NOTCH2NLC	0	-0.957962473433442	0.405	0.756	0	TRUE	Other	Inf
NBPF19	0	-1.0584305248887398	0.646	0.87	0	TRUE	Other	Inf
RAB13	0	-1.2484476980154902	0.38	0.712	0	TRUE	Other	Inf
RUSC1-AS1	0	-0.9231637224523546	0.018	0.324	0	TRUE	Other	Inf
RIT1	0	-0.6726822383482252	0.98	0.99	0	TRUE	Other	Inf
FCGR3B	0	-0.8705564168589893	0.009	0.268	0	TRUE	Other	Inf
CDC73	0	-0.6665996573946273	0.998	1	0	TRUE	Other	Inf
DDX59	0	-0.6721208049796374	0.901	0.969	0	TRUE	Other	Inf
TMEM81	0	-0.8121897016055488	0.011	0.327	0	TRUE	Other	Inf
ZC3H11B	0	-0.9744674176723536	0.018	0.292	0	TRUE	Other	Inf
AKT3	0	-1.0917244647000792	0.375	0.702	0	TRUE	Other	Inf
AL356512.1	0	0.6362354471721234	0.93	0.761	0	TRUE	Other	Inf
RHOQ	0	-0.7338389876277831	0.975	0.994	0	TRUE	Other	Inf
GFPT1	0	-1.1087997541639318	0.475	0.737	0	TRUE	Other	Inf
SLC35F5	0	-0.7888543126121133	0.974	0.986	0	TRUE	Other	Inf
KYNU	0	-0.8302628202560398	0.84	0.943	0	TRUE	Other	Inf
ACVR1	0	-0.9074934825826088	0.481	0.765	0	TRUE	Other	Inf
AC078883.1	0	-1.0284997761365144	0.181	0.553	0	TRUE	Other	Inf
MOB4	0	-0.6993797750492257	0.977	0.991	0	TRUE	Other	Inf
AC009974.1	0	-1.46856468472223	0.017	0.437	0	TRUE	Other	Inf
SETD5	0	-0.8303317341243239	0.986	0.991	0	TRUE	Other	Inf
SLC6A6	0	-0.7443389279878736	0.993	0.997	0	TRUE	Other	Inf
ACVR2B	0	-1.429014615267528	0.09	0.432	0	TRUE	Other	Inf
STIMATE	0	0.8795345640678571	0.883	0.527	0	TRUE	Other	Inf
ARL13B	0	-1.113399858677368	0.598	0.785	0	TRUE	Other	Inf
H1FX	0	0.9353669946034686	0.978	0.887	0	TRUE	Other	Inf
ATP2C1	0	-0.7220025952193709	0.643	0.891	0	TRUE	Other	Inf
FNDC3B	0	-0.6605280606174895	0.976	0.992	0	TRUE	Other	Inf
KLHL24	0	-0.8281656088665788	0.982	0.994	0	TRUE	Other	Inf
MB21D2	0	-1.1200748102333655	0.378	0.753	0	TRUE	Other	Inf
TMEM44	0	-0.6724944662540342	0.033	0.286	0	TRUE	Other	Inf
FAM114A1	0	-1.0728127673748773	0.224	0.567	0	TRUE	Other	Inf
UGDH	0	-1.1987385841747349	0.341	0.657	0	TRUE	Other	Inf
AC107068.1	0	-1.13505424963013	0.015	0.317	0	TRUE	Other	Inf
SLC7A11-AS1	0	-0.9207142724454628	0.096	0.418	0	TRUE	Other	Inf
SLC7A11	0	-2.0196274533253633	0.393	0.755	0	TRUE	Other	Inf
ARHGAP10	0	-1.0309330446963945	0.513	0.778	0	TRUE	Other	Inf
PDGFC	0	-0.8265309923772011	0.549	0.784	0	TRUE	Other	Inf
RAI14	0	-1.3681733066904394	0.144	0.485	0	TRUE	Other	Inf
DAB2	0	-1.3423890152015034	0.251	0.628	0	TRUE	Other	Inf
AK6	0	-1.202906325791682	0.582	0.775	0	TRUE	Other	Inf
PRR16	0	-1.1519426522208502	0.137	0.518	0	TRUE	Other	Inf
PRRC1	0	-1.1896048367436467	0.392	0.7	0	TRUE	Other	Inf
JAKMIP2	0	-1.5364626948210922	0.061	0.371	0	TRUE	Other	Inf
AC011370.1	0	-0.7540305764310036	0.02	0.263	0	TRUE	Other	Inf
SQSTM1	0	-0.9685380726796606	0.995	0.996	0	TRUE	Other	Inf
AL355336.1	0	-0.7054640809509574	0.006	0.237	0	TRUE	Other	Inf
FKBPL	0	-1.3478329835182703	0.106	0.4	0	TRUE	Other	Inf
PIM1	0	-0.761346745616386	0.86	0.975	0	TRUE	Other	Inf
SLC17A5	0	-1.0839417106546647	0.409	0.707	0	TRUE	Other	Inf
AL353135.2	0	-1.0803302542969164	0.138	0.453	0	TRUE	Other	Inf
DCBLD1	0	-0.8561755586493482	0.302	0.67	0	TRUE	Other	Inf
FBXO30	0	-0.8031460629441824	0.557	0.791	0	TRUE	Other	Inf
RGS17	0	-1.0917229978953586	0.06	0.341	0	TRUE	Other	Inf
LINC01176	0	-1.6495526481102851	0.151	0.593	0	TRUE	Other	Inf
AC006027.1	0	-0.8974524217723702	0.018	0.289	0	TRUE	Other	Inf
AVL9	0	-0.7833691317044782	0.899	0.949	0	TRUE	Other	Inf
EEPD1	0	-0.8970157405604444	0.417	0.765	0	TRUE	Other	Inf
CDK14	0	-0.835588323640694	0.512	0.858	0	TRUE	Other	Inf
ORAI2	0	-0.887347637121987	0.595	0.86	0	TRUE	Other	Inf
DOCK4	0	-1.1334467342549817	0.39	0.774	0	TRUE	Other	Inf
CALU	0	-1.2176185962770254	0.474	0.738	0	TRUE	Other	Inf
AC083862.2	0	-0.9437723794792432	0.047	0.313	0	TRUE	Other	Inf
DENND11	0	-1.0190411023629855	0.448	0.771	0	TRUE	Other	Inf
AGAP3	0	-0.7573298664327179	0.717	0.916	0	TRUE	Other	Inf
SLC25A37	0	-0.6070578721246878	0.836	0.986	0	TRUE	Other	Inf
GNRH1	0	-1.127215099329261	0.02	0.29	0	TRUE	Other	Inf
PPP2CB	0	-0.6755681953719217	0.952	0.97	0	TRUE	Other	Inf
AC103769.1	0	-1.1495338402768416	0.014	0.264	0	TRUE	Other	Inf
SGK3	0	-1.080452150805192	0.763	0.913	0	TRUE	Other	Inf
TMEM70	0	-0.8317294588970292	0.785	0.908	0	TRUE	Other	Inf
SNX16	0	-0.9565070197943532	0.623	0.813	0	TRUE	Other	Inf
OSGIN2	0	-0.702999918556042	0.869	0.966	0	TRUE	Other	Inf
SDC2	0	-1.1800768851373995	0.212	0.556	0	TRUE	Other	Inf
DERL1	0	-0.6852313742121596	0.997	0.995	0	TRUE	Other	Inf
EFR3A	0	-0.9258447532527492	0.984	0.989	0	TRUE	Other	Inf
AF230666.2	0	-0.7206383826151914	0.008	0.319	0	TRUE	Other	Inf
DAPK1	0	-0.6910315078818181	0.671	0.906	0	TRUE	Other	Inf
DAPK1-IT1	0	-0.9966898631820252	0.193	0.647	0	TRUE	Other	Inf
TMEM38B	0	-1.041000160860605	0.542	0.825	0	TRUE	Other	Inf
ST6GALNAC6	0	-1.2475915004870874	0.476	0.772	0	TRUE	Other	Inf
ST6GALNAC4	0	-1.1167674512188563	0.316	0.657	0	TRUE	Other	Inf
ARHGAP22	0	-0.9771070203596344	0.324	0.735	0	TRUE	Other	Inf
ZSWIM8	0	-0.7545870377560888	0.994	0.999	0	TRUE	Other	Inf
WAPL	0	-0.6870172826483918	0.995	0.998	0	TRUE	Other	Inf
MYOF	0	-0.995509530929798	0.412	0.744	0	TRUE	Other	Inf
HTRA1	0	-1.090204050550856	0.046	0.367	0	TRUE	Other	Inf
SBF2-AS1	0	-0.9961169162588914	0.311	0.684	0	TRUE	Other	Inf
YPEL4	0	-1.1993813410927106	0.151	0.479	0	TRUE	Other	Inf
FTH1	0	-0.6713189452980224	1	1	0	TRUE	Other	Inf
PLAAT3	0	0.7299433577348116	0.881	0.465	0	TRUE	Other	Inf
PPFIA1	0	-0.8852960101212053	0.899	0.955	0	TRUE	Other	Inf
AP000487.1	0	-1.088387190585509	0.385	0.716	0	TRUE	Other	Inf
KCTD21	0	-1.1906749592260324	0.077	0.367	0	TRUE	Other	Inf
RDX	0	-1.2479774990564825	0.531	0.796	0	TRUE	Other	Inf
NRGN	0	0.7486424179559785	0.962	0.766	0	TRUE	Other	Inf
TULP3	0	-1.3722808668149802	0.33	0.656	0	TRUE	Other	Inf
TAPBPL	0	0.7214991053391828	0.831	0.493	0	TRUE	Other	Inf
RIMKLB	0	-1.0133167565828278	0.579	0.878	0	TRUE	Other	Inf
PHC1	0	-1.2962591191088777	0.204	0.54	0	TRUE	Other	Inf
TAS2R30	0	-1.134857603147342	0.101	0.413	0	TRUE	Other	Inf
FAM234B	0	-1.2855688729119177	0.067	0.495	0	TRUE	Other	Inf
ARHGDIB	0	0.7434475200782886	0.981	0.839	0	TRUE	Other	Inf
AC068888.2	0	-1.219729854239236	0.221	0.541	0	TRUE	Other	Inf
OSBPL8	0	-0.8636366134704647	0.96	0.989	0	TRUE	Other	Inf
TXNRD1	0	-1.16528553309002	0.47	0.753	0	TRUE	Other	Inf
SSH1	0	-0.5554231628503818	0.829	0.954	0	TRUE	Other	Inf
NRAV	0	-1.1778864619046758	0.028	0.307	0	TRUE	Other	Inf
SPART	0	-1.0394401842568879	0.844	0.92	0	TRUE	Other	Inf
AL442125.1	0	-1.5460686942174962	0.186	0.632	0	TRUE	Other	Inf
OR11G2	0	-1.0794213095003435	0.181	0.535	0	TRUE	Other	Inf
ABHD4	0	-1.1760856712782812	0.468	0.786	0	TRUE	Other	Inf
MMP14	0	-0.9136175374481464	0.226	0.569	0	TRUE	Other	Inf
TM9SF1	0	-0.6878372219487061	0.986	0.994	0	TRUE	Other	Inf
GPR68	0	-0.8783996290025987	0.362	0.726	0	TRUE	Other	Inf
FBLN5	0	-1.187107104418892	0.071	0.356	0	TRUE	Other	Inf
AC127502.2	0	-1.105410231512477	0.51	0.788	0	TRUE	Other	Inf
SPPL2A	0	-0.6287567059365617	0.974	0.986	0	TRUE	Other	Inf
CYP1A1	0	-0.9986920083174604	0.019	0.289	0	TRUE	Other	Inf
SNX33	0	-0.8158785315672054	0.014	0.261	0	TRUE	Other	Inf
WDR90	0	-1.328559258468061	0.364	0.704	0	TRUE	Other	Inf
FBXL19-AS1	0	-1.1562052346558858	0.035	0.362	0	TRUE	Other	Inf
AC007336.1	0	-1.0453567847965388	0.233	0.584	0	TRUE	Other	Inf
NQO1	0	-1.2407543903060638	0.054	0.344	0	TRUE	Other	Inf
CENPBD1	0	-1.320240711080392	0.175	0.49	0	TRUE	Other	Inf
PHF23	0	-1.2155240457119374	0.4	0.696	0	TRUE	Other	Inf
FXR2	0	-1.1517014203674905	0.733	0.909	0	TRUE	Other	Inf
AC005838.2	0	-1.160861911988002	0.349	0.651	0	TRUE	Other	Inf
TOM1L2	0	-0.8043906516664145	0.804	0.934	0	TRUE	Other	Inf
AC079915.1	0	-1.041616216371037	0.283	0.639	0	TRUE	Other	Inf
CCL18	0	-1.4475699990467554	0.047	0.375	0	TRUE	Other	Inf
AC067852.2	0	-1.207909969456161	0.281	0.646	0	TRUE	Other	Inf
RNFT1	0	-0.6714455894770934	0.963	0.984	0	TRUE	Other	Inf
AC025048.4	0	-1.2767436648512416	0.039	0.349	0	TRUE	Other	Inf
MED13	0	-0.6390513846451058	0.982	0.992	0	TRUE	Other	Inf
ADAT3	0	-0.8323541565135417	0.01	0.286	0	TRUE	Other	Inf
TNFAIP8L1	0	-0.8728160218961789	0.548	0.838	0	TRUE	Other	Inf
KEAP1	0	-0.7658661182022442	0.843	0.928	0	TRUE	Other	Inf
ZNF579	0	-0.8718140260159326	0.588	0.825	0	TRUE	Other	Inf
AC008735.1	0	-1.016531727568622	0.247	0.621	0	TRUE	Other	Inf
AL117335.1	0	-0.6512301812754491	0.771	0.954	0	TRUE	Other	Inf
SLC23A2	0	-1.0647447280129492	0.539	0.8	0	TRUE	Other	Inf
ADA	0	-1.3729274420148778	0.347	0.727	0	TRUE	Other	Inf
HSPA13	0	-0.8191182559012824	0.582	0.818	0	TRUE	Other	Inf
LINC00189	0	-1.001724212695497	0.03	0.363	0	TRUE	Other	Inf
LRRC3	0	-0.9065349629775808	0.028	0.299	0	TRUE	Other	Inf
AP001469.3	0	-1.0686858907109238	0.054	0.342	0	TRUE	Other	Inf
AC112496.1	0	-1.2163360482894807	0.156	0.521	0	TRUE	Other	Inf
AL354822.1	0	-0.8921073107479482	0.049	0.36	0	TRUE	Other	Inf
TTC34	0	-0.9732863160530828	0.011	0.272	0	TRUE	Other	Inf
ZSCAN20	0	-0.9537275853509362	0.004	0.238	0	TRUE	Other	Inf
AL603832.1	0	-0.5588506292865766	0.004	0.253	0	TRUE	Other	Inf
GPR52	0	-0.581257761804444	0.003	0.267	0	TRUE	Other	Inf
AL645465.1	0	-0.7111774299961763	0.003	0.234	0	TRUE	Other	Inf
AL121652.1	0	-0.5487827950023484	0.003	0.21	0	TRUE	Other	Inf
SOS1-IT1	0	-0.9378473178471096	0.022	0.329	0	TRUE	Other	Inf
PLEKHH2	0	-0.8695439076165665	0.001	0.253	0	TRUE	Other	Inf
AC016722.2	0	-0.467021691518532	0.001	0.202	0	TRUE	Other	Inf
AC097468.3	0	-0.6819240405194863	0.005	0.291	0	TRUE	Other	Inf
