Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
SLC7A11	0	-1.715976272161562	0.282	0.642	0	TRUE	Other	Inf
FTH1	1.2464273003532929e-291	-0.6430039081347285	1	1	4.547590005338988e-290	TRUE	Other	289.34221869667675
TMSB10	1.031783829520633e-244	0.6455481742080211	0.989	0.986	3.7644633020060294e-240	TRUE	Other	239.42429693223667
ADA	1.0592703312086754e-222	-1.17888773493046	0.241	0.538	3.864747803414852e-218	TRUE	Other	217.4128788409847
PDE4DIP	3.893788597972001e-204	-1.082811283942819	0.299	0.578	1.4206487699700847e-199	TRUE	Other	198.8475132803543
C15orf48	1.9820008556833054e-192	-0.9472745761796536	0.503	0.778	7.231330121960541e-188	TRUE	Other	187.14078181176535
ATP6V1F	1.266072633255024e-179	-0.6768342545582322	0.719	0.881	4.6192660024309557e-175	TRUE	Other	174.33542702799775
NBPF19	8.759603537030966e-176	-0.8919416707031387	0.313	0.575	3.195941350485748e-171	TRUE	Other	170.49540119913092
KLF2	2.1833727521571926e-167	1.1438521779539672	0.532	0.268	7.966035486245517e-163	TRUE	Other	162.09875776327362
AQP9	5.850171339418172e-166	-0.7215934308903376	0.501	0.771	2.1344350131867197e-161	TRUE	Other	160.67071706355577
KYNU	2.455652128680664e-165	-0.8342890832445862	0.413	0.657	8.9594467914914e-161	TRUE	Other	160.04771880538473
SQSTM1	5.050450014527384e-164	-0.7725046993044407	0.634	0.81	1.8426566878003162e-159	TRUE	Other	158.73455557225927
BASP1	1.3028463593749575e-149	-0.8844889016140334	0.44	0.684	4.753434942179532e-145	TRUE	Other	144.32299244567866
CST3	8.40694588454005e-136	0.5493064260187008	0.933	0.91	3.0672742059744363e-131	TRUE	Other	130.5132473975361
ARHGDIB	4.648923204460404e-131	0.7240967639156655	0.674	0.463	1.696159631147379e-126	TRUE	Other	125.7705332772774
TXNRD1	3.4990762994027677e-128	-0.8312428333726449	0.264	0.481	1.2766379878370998e-123	TRUE	Other	122.89393223678027
FOSB	1.3128064107236914e-127	1.0580984092900327	0.65	0.48	4.789774189525388e-123	TRUE	Other	122.31968496060522
ACTB	3.083783600159417e-124	0.4942265365084992	0.964	0.961	1.125118446518163e-119	TRUE	Other	118.94880175492023
LHFPL2	2.4291776580559734e-123	-0.6609765969949966	0.287	0.523	8.862854685417218e-119	TRUE	Other	118.05242637129128
ZFYVE16	1.7696285555793734e-122	-0.7735435097498129	0.388	0.594	6.456489785031344e-118	TRUE	Other	117.19000353174506
TUBA1A	2.30068221906947e-118	1.019999934046376	0.387	0.173	8.394039076274964e-114	TRUE	Other	113.07602901337434
JUND	4.2430330251363025e-115	0.6417630426918635	0.869	0.823	1.5480705992209803e-110	TRUE	Other	109.81020923735277
FGL2	2.911716709245993e-114	0.8808510672787386	0.442	0.223	1.0623398413684005e-109	TRUE	Other	108.97373653069207
KLF6	7.364193089516829e-114	0.5372810181710403	0.902	0.857	2.686825848710215e-109	TRUE	Other	108.57076048220668
MS4A6A	1.6797673755651148e-112	0.860365061288193	0.492	0.277	6.128631269749321e-108	TRUE	Other	107.2126365072709
SLC6A6	3.3667858388969535e-111	-0.6167274555580695	0.337	0.556	1.2283718133215537e-106	TRUE	Other	105.91067015759803
ANPEP	1.421933934891813e-110	-0.665887192996947	0.351	0.564	5.187925961452779e-106	TRUE	Other	105.2850062304989
PID1	1.6416751518408625e-109	-0.7427624049829544	0.165	0.347	5.9896517914913856e-105	TRUE	Other	104.22259842459391
RDX	4.1277938631480333e-107	-0.7958857490892488	0.218	0.414	1.50602559096956e-102	TRUE	Other	101.82216764837274
MANF	1.7715395304936497e-101	-0.5801412829309023	0.292	0.504	6.46346197700608e-97	TRUE	Other	96.18953480169853
EPB41L3	3.834196813777378e-101	-0.6710643147185442	0.28	0.477	1.3989067075066762e-96	TRUE	Other	95.85421124745673
RALA	9.727645432736862e-101	-0.8027173034476907	0.279	0.475	3.5491314361340436e-96	TRUE	Other	95.44987791698637
VSIR	2.752518362453196e-100	0.732091549051732	0.342	0.144	1.0042563245410484e-95	TRUE	Other	94.99815542451576
SLC39A8	6.898568745912968e-95	-0.712092991770449	0.23	0.424	2.5169428069463463e-90	TRUE	Other	89.59912665291004
CD63	2.7324118904138956e-94	-0.509078964441998	0.804	0.901	9.969204782175096e-90	TRUE	Other	89.00133948286057
ITM2B	4.6647283316785735e-94	0.5351488693191913	0.843	0.799	1.7019261318129277e-89	TRUE	Other	88.76905929339492
CORO1A	7.629612121099892e-94	0.7152013221368991	0.531	0.35	2.7836639823832966e-89	TRUE	Other	88.55538318982444
AC020916.1	1.3678051981436513e-93	0.6564264447424377	0.733	0.596	4.9904372654271126e-89	TRUE	Other	88.3018613995385
JAKMIP2	3.20342975078009e-93	-0.6720999954450032	0.026	0.128	1.1687713445721158e-88	TRUE	Other	87.9322704447866
HSPA5	4.8357586229314735e-93	-0.4623684023195884	0.686	0.841	1.7643265335765485e-88	TRUE	Other	87.75342103450652
