Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
CALM1	1.0025233636012933e-196	0.6189636873158344	0.956	0.895	3.657706492099319e-192	TRUE	Other	191.43679114685736
EIF1	1.6267876200107406e-172	0.4854483416670661	0.99	0.978	5.935334631609186e-168	TRUE	Other	167.22655479068337
DUSP1	1.2899603888717618e-160	1.2654860933790868	0.463	0.202	4.706420478798624e-156	TRUE	Other	155.32730927489388
CD52	6.511556559445768e-146	0.9490646914347448	0.758	0.59	2.375741410713789e-141	TRUE	Other	140.6242008322143
FTH1	2.8532892560841324e-140	-0.6521192283599335	0.971	0.988	1.0410225850822955e-135	TRUE	Other	134.98253984832786
HLA-A	1.4666257018137319e-136	-0.4191507172308455	0.986	0.995	5.3509838730674e-132	TRUE	Other	131.27156635791164
IL32	1.371327132447589e-114	0.7996281288348244	0.717	0.552	5.0032870427350293e-110	TRUE	Other	109.30074458056654
IER2	1.842469549211851e-111	0.9120026676122128	0.697	0.525	6.722250150299439e-107	TRUE	Other	106.1724853304751
TNFAIP3	5.348711178657777e-110	0.68030941145873	0.687	0.49	1.95147727353329e-105	TRUE	Other	104.70963650204943
PPP1R15A	9.577065222131132e-107	0.966143372628384	0.468	0.266	3.494192246294543e-102	TRUE	Other	101.45665320433075
ACTB	2.7525177712944768e-105	0.675789034159648	0.847	0.75	1.0042561088567902e-100	TRUE	Other	99.99815551778924
SRSF7	1.5858611502616735e-102	0.7823688393096648	0.659	0.496	5.786014406729716e-98	TRUE	Other	97.23762048932691
KLF6	7.295100706081978e-96	0.8989173655173563	0.638	0.494	2.6616174926140094e-91	TRUE	Other	90.57485435787083
GIMAP7	2.4203085934709586e-94	-0.682103588727919	0.403	0.603	8.830495903278795e-90	TRUE	Other	89.05401490661382
H3F3B	3.935763120236521e-90	0.40220706940064854	0.972	0.953	1.4359631744182943e-85	TRUE	Other	84.84285669752548
NFKBIA	4.1952356191201575e-90	0.731499738966543	0.698	0.537	1.5306317156359895e-85	TRUE	Other	84.81512929206302
VIM	3.1885804896682014e-88	-0.30037777635509766	0.907	0.97	1.1633535916554433e-83	TRUE	Other	82.93428826500899
TUBA4A	1.386139077386957e-85	0.7031811248537916	0.522	0.334	5.057328423846312e-81	TRUE	Other	80.29607884228741
HCST	1.3242460218449749e-84	0.6039685534840613	0.733	0.603	4.831511610701391e-80	TRUE	Other	79.3159169724617
GIMAP5	3.4622690481431103e-79	-0.743859143757344	0.148	0.314	1.2632088622150136e-74	TRUE	Other	73.89852483613657
TUBA1A	2.2056014901751966e-78	0.8115595062987873	0.387	0.216	8.047137036904204e-74	TRUE	Other	73.0943586028902
AC020916.1	1.3853721046153126e-76	0.8409736027932682	0.342	0.174	5.054530123688967e-72	TRUE	Other	71.29631921082942
SRSF5	6.517298116606952e-75	0.4896254714448096	0.793	0.679	2.377836217844047e-70	TRUE	Other	69.62381806230613
HSP90AB1	4.3862258311890786e-70	0.4948835495150252	0.813	0.722	1.6003144945093353e-65	TRUE	Other	64.79579466121382
