Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
SLC25A37	2.4619741635808913e-291	-1.0781057245933474	0.295	0.619	8.982512735824882e-288	TRUE	Other	287.0466021583599
MET	1.5887273741695203e-288	-0.7750191269960798	0.021	0.202	5.796471824657495e-284	TRUE	Other	283.23683627080175
FTH1	2.2019343243322134e-283	-0.5754423114779907	0.999	1	8.033757382326079e-279	TRUE	Other	278.0950812880024
C15orf48	1.31659795805582e-158	-0.9841520341539997	0.624	0.778	4.803607649966658e-154	TRUE	Other	153.31843247221272
UBA52	3.243813683518767e-158	0.3077206523777667	0.987	0.988	1.1835054224318221e-153	TRUE	Other	152.92682974793615
RACK1	5.780585677208613e-158	0.4408491937548762	0.968	0.966	2.1090466843295626e-153	TRUE	Other	152.67591380692608
EEF1A1	1.0397714251467354e-147	0.26508245370748273	0.998	0.998	3.7936060446478635e-143	TRUE	Other	142.42094777137012
TPT1	4.480271568741001e-144	0.2362464123032648	0.998	0.999	1.6346270818551541e-139	FALSE	Other	138.78658131013836
SLC43A2	3.023291466982048e-139	-0.6683850858491589	0.36	0.587	1.1030478917284002e-134	TRUE	Other	133.9574056311121
EEF1B2	5.744097652826152e-139	0.5052473734852487	0.915	0.881	2.0957340286336213e-134	TRUE	Other	133.67866383486873
HBB	4.1272514968266526e-137	1.1910382792181644	0.219	0.032	1.5058277086172047e-132	TRUE	Other	131.82222471570324
BASP1	1.6183834705475776e-135	-0.8695486328680699	0.484	0.684	5.904672092292838e-131	TRUE	Other	130.22880421531752
SNHG6	3.9850057259730536e-135	0.6059804345088073	0.77	0.653	1.4539293391212686e-130	TRUE	Other	129.8374566996499
SLC39A8	1.6118385331890534e-132	-0.824898482644836	0.22	0.424	5.880792888340263e-128	TRUE	Other	127.2305641154517
AC253572.2	2.9431011520534246e-130	0.7191761862906239	0.624	0.406	1.0737904553266922e-125	TRUE	Other	124.96908046069814
SGK3	3.586187759962803e-129	-0.6885306037646115	0.218	0.414	1.3084206042224284e-124	TRUE	Other	123.88325262548435
GAS5	5.7357557716163645e-124	0.6675626742212852	0.682	0.535	2.0926904932742308e-119	TRUE	Other	118.67929499860956
ANPEP	1.6323057390990518e-122	-0.6225210241024193	0.35	0.564	5.955467489102889e-118	TRUE	Other	117.22508414182705
DDX3Y	4.062648465165835e-120	0.7209744840012149	0.374	0.164	1.482257292515755e-115	TRUE	Other	114.8290764043046
SQSTM1	1.9642578078174485e-119	-0.6224781792002911	0.698	0.81	7.1665946118219605e-115	TRUE	Other	114.14468716129412
DOCK4	2.977991671361916e-118	-0.5827147906240295	0.107	0.267	1.086520261296395e-113	TRUE	Other	112.96396217059778
PRKAG2	1.1481735313339695e-117	-0.6959916092070686	0.315	0.508	4.189111129071988e-113	TRUE	Other	112.37787811848753
EEF1G	1.429435982935936e-107	0.43363509109751064	0.89	0.846	5.215297183741762e-103	TRUE	Other	102.28272093909136
SH3BP5	9.255361381229632e-105	-0.5902428882425248	0.236	0.425	3.376818599941632e-100	TRUE	Other	99.47149226869843
AQP9	6.969046247043546e-102	-0.502162304927062	0.583	0.771	2.5426565232338374e-97	TRUE	Other	96.59471230287546
TNNT1	4.9314823806931704e-101	0.5869846862653717	0.198	0.043	1.7992513465959029e-96	TRUE	Other	95.74490816360561
TM4SF19	2.16666024234013e-99	-0.22383026632913536	0.006	0.068	7.905059894177964e-95	FALSE	Other	94.10209483520521
JAKMIP2	1.223543634852006e-98	-0.6193276089998552	0.032	0.128	4.4640989517575434e-94	TRUE	Other	93.35026618733974
CD81	6.560881602087934e-98	-0.4637954846412888	0.118	0.268	2.3937376525217822e-93	TRUE	Other	92.62092344887758
DAB2	5.816507010242121e-97	-0.4448144921902544	0.063	0.185	2.122152582686838e-92	TRUE	Other	91.67322339355597
PFDN5	1.0330740586195223e-94	0.3015826450432648	0.956	0.97	3.7691707028733268e-90	TRUE	Other	89.42375419323834
IRAK3	3.160973023968663e-92	-0.5747362419463717	0.335	0.509	1.1532810077949665e-87	TRUE	Other	86.93806485986454
NRG1	5.664713325881745e-92	0.5724297372979901	0.261	0.097	2.0667706569479543e-87	TRUE	Other	86.68470771299441
PLA2G7	1.0574906694615922e-91	-0.6245872972397725	0.127	0.27	3.858254707530619e-87	TRUE	Other	86.41360910525002
LMNA	3.6143778334954455e-91	0.6253365283927859	0.743	0.674	1.3187057525508136e-86	TRUE	Other	85.87985209929788
ANXA2	9.387490966145651e-91	-0.39230094658434744	0.86	0.91	3.4250260789982404e-86	TRUE	Other	85.46533611733304
CST3	1.2885218021086842e-89	0.5218768966002028	0.914	0.91	4.701171794993534e-85	TRUE	Other	84.3277938780918
DMXL2	4.928993918778734e-89	-0.5846516768926044	0.435	0.596	1.798343431266421e-84	TRUE	Other	83.74512736707369
TOMM7	8.940071097611318e-88	0.3828666387511728	0.875	0.842	3.2617849399634898e-83	TRUE	Other	82.4865446767924
FNDC3B	9.938563028879502e-88	-0.5186871013583771	0.398	0.569	3.6260847210866866e-83	TRUE	Other	82.44056205311679
HSP90AB1	1.0239489573889372e-87	0.5869386920829851	0.69	0.552	3.7358777710335375e-83	TRUE	Other	82.42760734128403
NACA	2.0227030158489123e-87	0.2831636002291935	0.978	0.984	7.379831953324756e-83	TRUE	Other	82.13195352741472
NPM1	3.1502495701620124e-87	0.49346960520627814	0.771	0.659	1.1493685556736102e-82	TRUE	Other	81.939540688431
ADSS	7.799791880003444e-87	-0.6040343819192817	0.288	0.451	2.845754067419256e-82	TRUE	Other	81.54580263474287
ARL4C	9.589451703108901e-84	-0.7161669796947736	0.348	0.514	3.4987114538792825e-79	TRUE	Other	78.4560918732231
ZFYVE16	8.833346996660857e-83	-0.5848170780410977	0.444	0.594	3.222846651731714e-78	TRUE	Other	77.49176035843155
SLC11A1	2.9399554113761315e-81	-0.5264590367324655	0.336	0.516	1.0726427318405815e-76	TRUE	Other	75.96954490564546
CYB561A3	6.820255768449022e-81	-0.4601916250557685	0.107	0.236	2.4883703171186263e-76	TRUE	Other	75.60408498784234
BTF3	3.218608829911174e-80	0.3587574225022645	0.902	0.888	1.1743094315930915e-75	TRUE	Other	74.93021745102142
RBM47	4.875557741171858e-80	-0.5882763566686202	0.281	0.433	1.7788472418665523e-75	TRUE	Other	74.74986134526227
CPVL	6.1292038907356656e-80	0.6016864611968133	0.562	0.41	2.236240039534908e-75	TRUE	Other	74.65048158081682
UBC	3.5689243369471715e-78	0.3043224059515035	0.971	0.965	1.3021220443351754e-73	TRUE	Other	72.88534830862703
HBA2	4.170320754043013e-78	0.755666901485418	0.164	0.039	1.521541527112593e-73	TRUE	Other	72.8177161900362
PIM1	3.106231914943274e-77	-0.4351136656074012	0.206	0.366	1.1333087141670535e-72	TRUE	Other	71.94565177186935
CCRL2	1.0103952077353867e-76	-0.43700440874400737	0.155	0.299	3.6864269154225593e-72	TRUE	Other	71.43339437170076
ACTR3	4.770480754167802e-76	-0.438591741577985	0.606	0.724	1.7405099031581225e-71	TRUE	Other	70.7593235013227
RNASEK	3.556697710890339e-75	-0.3016616760183015	0.887	0.946	1.2976611598183402e-70	TRUE	Other	69.88683869400091
C12orf57	1.595951020660025e-73	0.7447668935038589	0.451	0.29	5.822827298878102e-69	TRUE	Other	68.23486609058175
IVNS1ABP	2.075180218178149e-73	-0.5904276880921094	0.224	0.375	7.571295026022976e-69	TRUE	Other	68.12082983059855
HLA-DQB1	9.387520522530302e-73	0.5862188100400041	0.685	0.562	3.425036862645181e-68	TRUE	Other	67.46533474996507
RDX	1.4963460506193368e-72	-0.6464985771700797	0.266	0.414	5.45941856568465e-68	TRUE	Other	67.26285360769101
CRIP1	9.701130574037285e-72	0.4693873431990978	0.836	0.738	3.539457489937503e-67	TRUE	Other	66.45106329932509
CTSB	4.021292870029984e-71	-0.6182902555787064	0.428	0.561	1.4671687036304397e-66	TRUE	Other	65.83351994556826
DUSP6	5.216174511259508e-71	0.3708039716580056	0.745	0.594	1.9031212704330314e-66	TRUE	Other	65.72053353677771
TMSB10	6.761056060243328e-70	0.38214590428219175	0.983	0.986	2.466771303579778e-65	TRUE	Other	64.60787111244674
ATP6V1F	3.726891498838651e-69	-0.36995521790386343	0.808	0.881	1.3597563633512815e-64	TRUE	Other	63.866538900108395
PPIA	3.9494550784544653e-69	0.35584225039356765	0.844	0.801	1.4409586853741116e-64	TRUE	Other	63.84134847093568
SLAMF7	2.3232607516535678e-68	-0.6491314927658463	0.204	0.343	8.476416852408043e-64	TRUE	Other	63.07178769374404
TKT	1.1311457131328443e-67	0.436558637927464	0.789	0.753	4.1269851343651823e-63	TRUE	Other	62.38436709547315
HLA-DMA	1.7318884068216848e-67	0.510165935287642	0.481	0.325	6.318794852288917e-63	TRUE	Other	62.19936574432982
SLC6A6	2.0426899051715512e-66	-0.4453071722266826	0.405	0.556	7.452754119018405e-62	TRUE	Other	61.127683206760494
ZEB2	1.873816935408967e-65	-0.32186528020310945	0.916	0.948	6.836621088839614e-61	TRUE	Other	60.16515848966063
PFN1	3.80332025444372e-65	-0.30864556957592315	0.839	0.913	1.387641394833791e-60	TRUE	Other	59.8577227531657
FABP5	4.27612562325397e-65	0.6877812423036609	0.345	0.192	1.5601444336442112e-60	TRUE	Other	59.80683519406152
UQCRB	1.1315902403768037e-64	0.32660543926064456	0.874	0.866	4.1286069920147676e-60	TRUE	Other	59.38419645626862
CDC42EP3	1.6250375382350688e-64	-0.5286133165921925	0.545	0.664	5.92894945825065e-60	TRUE	Other	59.22702225181331
ARHGDIB	3.3727498347390875e-64	0.4734693534802463	0.61	0.463	1.2305477772045559e-59	TRUE	Other	58.909901519731605
CAVIN3	7.895729589545207e-64	0.441167016992854	0.133	0.03	2.880756940745569e-59	TRUE	Other	58.540493383075386
CAMKK2	8.899777693120968e-64	-0.34919102946143316	0.094	0.204	3.2470838913351847e-59	TRUE	Other	58.48850649084018
VRK2	9.980783440401558e-64	-0.42541394294234747	0.167	0.298	3.641488838230509e-59	TRUE	Other	58.43872101689256
PTMA	1.4997465236041904e-63	0.24256826998486591	0.989	0.982	5.471825191369889e-59	FALSE	Other	58.261867785490445
TYMP	2.3764037845197834e-63	-0.3750544831345697	0.67	0.777	8.67030920782043e-59	TRUE	Other	58.06196541407447
KYNU	2.91117787969381e-63	-0.4470712252942119	0.517	0.657	1.0621432494062867e-58	TRUE	Other	57.973816906765606
RAC1	3.0707539034802465e-63	-0.352398769265978	0.809	0.888	1.120364561684768e-58	TRUE	Other	57.950640636824694
BRI3	1.173039468372592e-62	-0.3368275255773443	0.795	0.879	4.279834500357402e-58	TRUE	Other	57.36857302467169
FN1	3.214676782910531e-62	0.5011421442129029	0.093	0.009	1.1728748242449072e-57	TRUE	Other	56.93074833574514
S100P	7.089347986719123e-61	-0.29412500442546885	0.012	0.064	2.5865486129544717e-56	TRUE	Other	55.58727935481938
MYOF	8.095801366557238e-61	-0.4444383824069402	0.174	0.3	2.953753128588408e-56	TRUE	Other	55.52962580535857
