Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
UBC	6.117445504615004e-98	0.4181208071355078	0.967	0.949	2.231949992358784e-93	TRUE	Other	92.6513155401493
IL1B	6.100577969033183e-80	0.8785587606474812	0.358	0.19	2.2257958720017566e-75	TRUE	Other	74.65251466737249
HBB	2.2640592560670904e-72	0.9362600084242092	0.133	0.028	8.260420195760779e-68	TRUE	Other	67.08299786017857
EIF1	5.223338815235854e-51	0.25864192630933047	0.986	0.978	1.9057351667388012e-46	TRUE	Other	45.719937451869384
HBA2	1.894506558227651e-46	0.4140755300536594	0.105	0.028	6.912107177693584e-42	TRUE	Other	41.16038953639721
CALM1	4.488943930750523e-43	0.31155049669357116	0.92	0.895	1.6377911931343284e-38	TRUE	Other	37.78574146854023
ACTB	7.692028696662657e-43	0.558971242045279	0.798	0.75	2.80643666997737e-38	TRUE	Other	37.551844753618795
SRSF2	2.306499586032328e-42	0.4478098416635916	0.602	0.486	8.415263739638951e-38	TRUE	Other	37.074932268413654
B2M	7.102881273120696e-41	0.13892295932416676	1	0.999	2.5914862324980858e-36	FALSE	Other	35.58645109404652
DDX3Y	8.356706347286914e-40	0.6202977139471988	0.2	0.103	3.0489443108076297e-35	TRUE	Other	34.51585050798287
CCL3	8.802824826219817e-39	0.5775354884214621	0.399	0.285	3.2117106378462997e-34	TRUE	Other	33.49326358980916
S100A9	2.0994839101575966e-38	0.5472046629585275	0.149	0.064	7.6599670462099905e-34	TRUE	Other	33.11577309873292
GZMB	3.4150788333390243e-38	0.6010974139879246	0.535	0.432	1.245991512343743e-33	TRUE	Other	32.90448491606757
GIMAP1	1.2628581046995518e-37	-0.4427964623375126	0.133	0.242	4.607537794996315e-33	TRUE	Other	32.33653109363661
FCGR3A	1.5311872822418898e-37	-0.5255138571200364	0.167	0.279	5.586536799259535e-33	TRUE	Other	32.25285733613313
PROK2	9.354517813933672e-36	0.4002909857738277	0.068	0.014	3.4129958244136996e-31	TRUE	Other	30.46686424305309
PTMA	9.727135814277478e-35	-0.1845199768136041	0.992	0.996	3.5489455018391376e-30	FALSE	Other	29.44990066969503
HLA-B	1.2180469909130828e-34	0.14859684932048722	0.998	0.998	4.444044446346384e-30	FALSE	Other	29.352221606187864
LMNA	1.802305842445069e-34	0.605135950805987	0.406	0.3	6.575712866160834e-30	TRUE	Other	29.18205715887501
GIMAP7	4.500531794564008e-34	-0.3842856593091435	0.48	0.603	1.6420190252466785e-29	TRUE	Other	28.7846218152362
LGALS1	2.304886512367992e-33	0.4791437212620715	0.598	0.504	8.409378440374617e-29	TRUE	Other	28.07523610288119
H3F3B	5.612111301847662e-33	0.2484227793059386	0.967	0.953	2.0475788084791196e-28	FALSE	Other	27.688759373851333
ANKRD12	8.3161985976546e-33	-0.35011011691811555	0.561	0.665	3.0341650583542806e-28	TRUE	Other	27.517960797319024
LYZ	3.5080262303379175e-32	0.4922526551719104	0.168	0.084	1.2799033701387891e-27	TRUE	Other	26.892822817383095
SRGN	3.413641479633663e-31	0.25041823206981473	0.922	0.906	1.245467093844342e-26	TRUE	Other	25.904667742355183
FAM102A	4.194602837915869e-31	-0.41400312982988263	0.149	0.249	1.5304008454136048e-26	TRUE	Other	25.815194803070696
TGFB1	5.68677056453888e-31	0.48911844401843174	0.637	0.58	2.0748182404720103e-26	TRUE	Other	25.683019942622966
SPON2	6.3921933309221795e-31	0.515992412307071	0.133	0.06	2.3321917367869575e-26	TRUE	Other	25.632235747735706
HBA1	7.135165780495325e-31	0.5848882073968837	0.069	0.018	2.6032652350137187e-26	TRUE	Other	25.584481581320436
DUSP1	7.093766950234217e-30	0.5835247881811543	0.304	0.202	2.588160871792954e-25	TRUE	Other	24.5870087328099
ABCB1	1.8689925253406195e-29	-0.4001431843679154	0.061	0.132	6.819019228705249e-25	TRUE	Other	24.166278084902366
CMC1	6.965732460058547e-29	-0.3805720891564168	0.39	0.506	2.5414474880523614e-24	TRUE	Other	23.594918859356792
EVI2B	2.003389515095437e-28	-0.3483176063177895	0.42	0.537	7.309366645825703e-24	TRUE	Other	23.13612025288341
EOMES	3.712478270754968e-28	-0.42914807662782894	0.118	0.204	1.35449769708495e-23	TRUE	Other	22.868221729017044
ZBTB38	5.071922773454226e-28	-0.3993304213621711	0.237	0.343	1.8504910238947743e-23	TRUE	Other	22.732713017179204
LINC00623	7.2992147413445205e-28	-0.36009495657629786	0.22	0.33	2.663118498379548e-23	TRUE	Other	22.574609508721636
LDHA	7.6714248422251465e-28	0.3806262442338517	0.773	0.762	2.798919353685845e-23	TRUE	Other	22.55300961484352
UBB	1.3894463399707854e-27	0.2733388774668821	0.894	0.87	5.06939497138341e-23	TRUE	Other	22.295043870305538
KLRC2	2.5240841806628564e-27	-0.5528855336998763	0.084	0.158	9.209121133148433e-23	TRUE	Other	22.03578181445423
PPP1R2	3.3781979743112845e-27	-0.3985156686006477	0.301	0.408	1.2325355309274723e-22	TRUE	Other	21.909200552242766
ANKRD28	3.87961147069967e-27	0.47260103752691746	0.108	0.047	1.415476245084775e-22	TRUE	Other	21.84909741468826
GZMM	7.855145434374763e-27	0.32886549987875435	0.577	0.479	2.8659498117316317e-22	TRUE	Other	21.542731419199963
STK17A	1.8830534433475974e-26	-0.2968755971359256	0.534	0.638	6.870320488053711e-22	TRUE	Other	21.163023003413986
FOS	5.036772758162672e-26	0.21970951113875792	0.336	0.221	1.837666540815651e-21	FALSE	Other	20.735733291982676
ITGB2	2.8356512973397817e-25	0.4960195951202515	0.294	0.206	1.0345873758344194e-20	TRUE	Other	19.98523282521062
ITM2B	3.658266671269573e-25	-0.22441821010312735	0.778	0.852	1.3347185950127033e-20	FALSE	Other	19.87461028899273
CCL4	9.762238081877796e-25	0.3365323096033572	0.598	0.508	3.5617525641731136e-20	TRUE	Other	19.448336254369348
SRSF3	1.349252203381644e-24	0.3398719650221902	0.521	0.438	4.9227466640379277e-20	TRUE	Other	19.3077925134536
ASF1A	1.7859128976905778e-24	-0.3457380785544436	0.08	0.15	6.515903207224073e-20	TRUE	Other	19.186025375695742
FGFBP2	3.5348815458152014e-24	0.3411610043773363	0.541	0.443	1.2897015319906762e-19	TRUE	Other	18.889510784280024
BIRC3	6.15879928402083e-24	-0.36287475864300767	0.282	0.386	2.247037918775e-19	TRUE	Other	18.648389598797696
IER2	6.40322135887912e-24	0.4227355920975939	0.596	0.525	2.3362153127870467e-19	TRUE	Other	18.63148713380017
RAB27A	1.1774160031406271e-23	-0.34356098122753287	0.225	0.322	4.295802287458578e-19	TRUE	Other	18.366955715074255
CXCL2	2.4093401639916174e-23	0.4208889607450576	0.123	0.062	8.790477588323416e-19	TRUE	Other	18.05598752898323
CARD19	1.1983764735433985e-22	-0.3174905614975555	0.118	0.196	4.3722765637230886e-18	TRUE	Other	17.359292375016015
GZMH	1.4593347409163129e-22	0.3065266507676139	0.677	0.602	5.324382802233166e-18	TRUE	Other	17.273730728005578
BTN3A2	2.5948906075362337e-22	-0.31596898656533345	0.208	0.302	9.467458381595946e-18	TRUE	Other	17.023766595336575
TRBV9	2.747577438422929e-22	0.2059732554145722	0.028	0.002	1.0024536284086055e-17	FALSE	Other	16.998935707876903
FDX1	3.008841238939118e-22	-0.40083506712316375	0.201	0.29	1.0977757260269371e-17	TRUE	Other	16.959486376550494
HIST1H1C	3.0237309379091973e-22	0.5002009660132707	0.23	0.153	1.1032082326961706e-17	TRUE	Other	16.957342505895678
PRDX1	6.181235806575966e-22	0.5179799444342372	0.403	0.327	2.2552238840292408e-17	TRUE	Other	16.64681033770085
GIMAP5	6.469305519392583e-22	-0.3405006471352614	0.22	0.314	2.360326118750384e-17	TRUE	Other	16.627027987797312
HMGB1	1.02558444161019e-21	-0.1854637784415729	0.919	0.942	3.741844835214779e-17	FALSE	Other	16.426914225549844
RBPJ	1.0575635995936275e-21	-0.3008925167778176	0.315	0.417	3.85852079311735e-17	TRUE	Other	16.413579155045543
SOD2	2.0487459870329403e-21	0.4669998509749065	0.428	0.355	7.474849733689683e-17	TRUE	Other	16.126397533503244
CD226	2.6367621099133024e-21	0.36358958828723714	0.107	0.052	9.620226558018682e-17	TRUE	Other	16.016814700130716
RGS10	7.480650376423816e-21	-0.3686759918563254	0.249	0.338	2.7293152898382296e-16	TRUE	Other	15.563946291839207
ACTG1	1.2667048529770135e-20	0.39805136109357786	0.697	0.652	4.621572656086634e-16	TRUE	Other	15.335210214997936
PRSS23	1.2842327993581443e-20	0.3414503398162223	0.097	0.046	4.68552336845819e-16	TRUE	Other	15.329241891790387
CLEC2B	1.371678790849651e-20	-0.2640015631297108	0.652	0.724	5.004570068414952e-16	TRUE	Other	15.300633225863978
TCF7	2.1271086746314556e-20	-0.28953208076812564	0.265	0.361	7.760755999392866e-16	TRUE	Other	15.110095970704121
STK4	2.3321927578344388e-20	-0.2573523828925941	0.559	0.651	8.509005276958952e-16	TRUE	Other	15.07012120701034
