Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
HLA-C	2.241824769871172e-119	0.6231305112410026	0.971	0.93	8.17929767287497e-115	TRUE	Other	114.08728398604626
SLC7A11	4.483371839504804e-104	-1.188287968784738	0.494	0.748	1.6357582156433277e-99	TRUE	Other	98.78628088976743
ANXA1	8.092703270161756e-99	0.7486919074210876	0.958	0.865	2.9526227881185166e-94	TRUE	Other	93.5297920327175
C15orf48	3.492267963720723e-85	-0.8499467275952172	0.827	0.921	1.2741539665635056e-80	TRUE	Other	79.89477808943495
IER3	1.1406555448173386e-74	-0.6282421880134983	0.87	0.948	4.161681755266059e-70	TRUE	Other	69.38073113345074
IL1A	3.1336949648304807e-69	-1.1321628327497328	0.536	0.727	1.143328607918401e-64	TRUE	Other	63.94182892962663
MARCKS	1.6891300454264494e-66	-0.6396250580369349	0.874	0.951	6.162790970738401e-62	TRUE	Other	61.21022256239984
NAMPT	6.417172747329162e-64	-0.6686497291853337	0.864	0.931	2.341305476863045e-59	TRUE	Other	58.630541918955714
SGPP2	2.573325933734173e-62	-0.881112396721214	0.113	0.327	9.388779669229132e-58	TRUE	Other	57.027390852607304
GRAMD1A	8.576054329360231e-62	-0.9127040498820808	0.243	0.463	3.1289734220670806e-57	TRUE	Other	56.504598125795525
TMSB10	5.9884382379558326e-61	0.4608704441770577	0.975	0.949	2.184881691118186e-56	TRUE	Other	55.660572074613746
EZR	7.872312432691515e-58	1.0730508251595174	0.524	0.297	2.8722131910674986e-53	TRUE	Other	52.54178332756764
NEU4	8.039763466230834e-58	-0.63131108049	0.016	0.164	2.93330770065432e-53	TRUE	Other	52.53264237763075
B2M	1.270247652814272e-57	0.26429236463858974	0.999	0.999	4.634498561292871e-53	TRUE	Other	52.33399724832515
SH3BGRL3	6.78354364618178e-56	0.4068334631567989	0.971	0.939	2.4749758993094228e-51	TRUE	Other	50.606429025759866
FTH1	5.599287237760805e-54	-0.3256290368096124	0.999	1	2.04289994869703e-49	TRUE	Other	48.68975290247808
ZEB2	3.311169689895962e-53	0.5036025682473548	0.909	0.85	1.208080261358542e-48	TRUE	Other	47.91790421148708
EEF1A1	5.438449215991068e-51	0.30000902592969947	1	0.996	1.9842181964543412e-46	TRUE	Other	45.70241057194715
LRRFIP1	1.843178344643333e-50	0.668111542997583	0.751	0.574	6.724836190431199e-46	TRUE	Other	45.17231829012976
MALAT1	4.944322467257809e-50	0.5474541083236026	0.999	0.999	1.803936052179012e-45	TRUE	Other	44.74377886184842
FAM107B	6.3574731835373755e-49	0.5543598410508022	0.877	0.75	2.3195240910136114e-44	TRUE	Other	43.634601112457595
