Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
FTH1	2.843611047772869e-239	-0.6796969001845223	1	1	1.0374914907799312e-234	TRUE	Other	233.98401545656523
F3	2.7330517177687595e-210	-2.0462988797596706	0.17	0.524	9.97153919227932e-206	TRUE	Other	205.00123779944968
LMNA	9.238265175611976e-177	1.1256629676346253	0.769	0.432	3.3705810493220294e-172	TRUE	Other	171.472295225312
ANXA1	1.1559030241750946e-168	0.8888125628579244	0.957	0.865	4.217312183702834e-164	TRUE	Other	163.37496424943777
RACK1	1.9564319038107027e-153	0.6482395432128953	0.958	0.938	7.138041801053349e-149	TRUE	Other	148.14642091310301
SLC39A8	1.969476269098974e-142	-1.4562143823125615	0.353	0.624	7.185634167807606e-138	TRUE	Other	137.14353489719912
SLC25A37	5.358199102791254e-138	-1.1293463425670685	0.257	0.565	1.9549389426533894e-133	TRUE	Other	132.70886680209563
HBB	7.00616061062079e-130	1.9402822065449323	0.258	0.004	2.5561976987849955e-125	TRUE	Other	124.59240556046235
CYTOR	4.414706846078679e-129	1.0308722628604985	0.798	0.58	1.6107057927918059e-124	TRUE	Other	123.79298377940427
C15orf48	5.538198738379028e-128	-0.940109776538927	0.829	0.921	2.0206118096975886e-123	TRUE	Other	122.69451711305544
PLD1	7.575852868012306e-128	-0.8242395144138488	0.096	0.353	2.76404991889429e-123	TRUE	Other	122.55845411784466
EEF1A1	9.570249151594563e-117	0.37722968251733757	0.996	0.996	3.491705402959276e-112	TRUE	Other	111.45696240507709
TPT1	1.0073569361451175e-115	0.2736534809916771	0.996	0.998	3.675341781525462e-111	TRUE	Other	110.43470226829989
UBA52	2.3447812976915218e-108	0.4039945107230478	0.976	0.979	8.554934564627517e-104	TRUE	Other	103.06778330796156
MARCKS	6.44617290368133e-108	-0.7380087374526623	0.919	0.951	2.3518861839081333e-103	TRUE	Other	102.6285836991336
AC253572.2	1.0243432351719817e-106	1.062068219598565	0.634	0.365	3.737316293524976e-102	TRUE	Other	101.4274401457362
SLAMF7	3.413220612374713e-104	-1.113151523636926	0.414	0.639	1.2453135404249138e-99	TRUE	Other	98.90472128974663
THBS1	3.170704652149169e-98	0.6766409226503356	0.884	0.623	1.156831592336624e-93	TRUE	Other	92.93672985958091
GAS5	5.884238826381718e-98	0.8154801293739389	0.665	0.424	2.146864535805369e-93	TRUE	Other	92.66819535808274
IL1A	7.654105410910778e-96	-1.1917457028749658	0.573	0.727	2.7926003591707967e-91	TRUE	Other	90.55399121045912
IVNS1ABP	2.3141043907941902e-95	-1.1724685111458868	0.216	0.454	8.443009869812604e-91	TRUE	Other	90.07350270303962
MIR4435-2HG	3.6645012224720196e-94	0.8685624269940602	0.476	0.202	1.3369932710189163e-89	TRUE	Other	88.8738707785022
DDX3Y	2.013388135974381e-93	0.7646208638819958	0.449	0.165	7.345846614102528e-89	TRUE	Other	88.13395814423798
CYBA	9.438653005194856e-92	-0.5722270224513846	0.842	0.911	3.4436925489453423e-87	TRUE	Other	86.46297562906996
NACA	5.149925465891507e-91	0.42753275816292113	0.969	0.97	1.8789503062305158e-86	TRUE	Other	85.72608470580435
CCL7	3.421205968137231e-90	1.1212547584500532	0.453	0.175	1.2482269974748686e-85	TRUE	Other	84.90370642844672
GPR183	1.7570582301213574e-83	0.8091981371229129	0.556	0.285	6.410626952597772e-79	TRUE	Other	78.19309949485891
MET	2.2539341590330713e-83	-0.5197030344260046	0.025	0.168	8.22347877923216e-79	TRUE	Other	78.0849444239418
EIF1B	2.5323898803145488e-83	0.7258785945228237	0.873	0.835	9.239424478327632e-79	TRUE	Other	78.03435508004297
HIST1H1C	4.85582403063829e-83	1.0390603132736644	0.287	0.071	1.7716473975783803e-78	TRUE	Other	77.75162270938108
SNHG6	1.7525773672995706e-81	0.6956880170473281	0.708	0.49	6.394278524592485e-77	TRUE	Other	76.19420845047611
HLA-DQB1	8.594475042353672e-80	0.8916943904393775	0.651	0.434	3.135694219202737e-75	TRUE	Other	74.5036662946444
SLC11A1	7.905442337435769e-79	-0.777348596207054	0.145	0.358	2.8843006368134403e-74	TRUE	Other	73.5399594741522
MAP3K4	2.352786024447985e-78	-0.79255669908823	0.054	0.216	8.584139810198471e-74	TRUE	Other	73.06630321761442
KCNJ2	2.673305162339047e-78	-0.7402527709086629	0.075	0.252	9.753553884794012e-74	TRUE	Other	73.01083711236994
SH3BP5	3.2321660410264155e-76	-0.6826435618510234	0.176	0.395	1.179255780068488e-71	TRUE	Other	70.92839198640242
TKT	7.234642894972625e-74	0.7075737030258153	0.635	0.398	2.639559460230762e-69	TRUE	Other	68.57846855038616
NRG1	1.1212961263969756e-72	0.6081185276268765	0.224	0.04	4.0910489171593646e-68	TRUE	Other	67.38816532755972
PPIA	1.3346341452993542e-70	0.5312926867525434	0.815	0.677	4.869412679124694e-66	TRUE	Other	65.3125234177581
DOCK4	4.118466414578646e-70	-0.6715561730310736	0.153	0.347	1.502622471359019e-65	TRUE	Other	64.82315012067778
EEF1B2	1.0622415646333859e-69	0.4580098518019726	0.91	0.862	3.875588348564909e-65	TRUE	Other	64.41166235841203
SGPP2	5.4894837326392355e-68	-0.7289738721520248	0.137	0.327	2.0028381398534258e-63	TRUE	Other	62.69835414696647
EEF1G	1.7546466882176314e-67	0.4956840148971837	0.86	0.753	6.401828441962029e-63	TRUE	Other	62.193695968384255
HBA2	3.272913580784464e-66	0.9646693425339558	0.139	0.002	1.1941225199492118e-61	TRUE	Other	60.92295111122336
CEBPB	4.503351069667041e-66	-0.750689453437626	0.413	0.612	1.64304763776802e-61	TRUE	Other	60.7843498446478
EMP1	5.19569996800384e-66	0.7511677337310572	0.418	0.197	1.895651133326201e-61	TRUE	Other	60.72224158514783
IRAK3	7.066663668725032e-66	-0.6646939098878155	0.357	0.556	2.578272239534327e-61	TRUE	Other	60.58867122744606
SLC2A6	6.717470928845312e-65	-0.5887221763400181	0.473	0.673	2.450869268389212e-60	TRUE	Other	59.61067985379541
CREB5	2.6353859193945924e-64	0.573091611010732	0.198	0.034	9.615205526911173e-60	TRUE	Other	59.01704142819623
FNDC3B	5.2368485485539795e-64	-0.6972630473669981	0.531	0.683	1.9106641929399193e-59	TRUE	Other	58.71881563527274
IDO1	1.0719702782669497e-63	-0.6761448532510081	0.014	0.115	3.911083560256966e-59	TRUE	Other	58.40770290525195
ZFY	1.0457824434577263e-62	0.589132606349672	0.212	0.044	3.815537244955515e-58	TRUE	Other	57.41844430277007
HOTAIRM1	1.982823900479415e-62	0.6835387878244897	0.263	0.077	7.234333000899146e-58	TRUE	Other	57.14060150426607
PLAUR	1.2388568353879575e-61	-0.7578156125143365	0.741	0.816	4.5199691639129644e-57	TRUE	Other	56.34486452801785
NEU4	3.672329186996353e-61	-0.5059675286233097	0.038	0.164	1.3398493038756194e-56	TRUE	Other	55.87294404504981
PRDM8	5.495687942887651e-61	0.6896596792784695	0.371	0.165	2.0051017459625593e-56	TRUE	Other	55.69786358484482
TNNT1	3.8618833863116607e-60	0.4738659615302283	0.146	0.01	1.4090081534958092e-55	TRUE	Other	54.85108649375509
FXYD5	4.0981006223495853e-60	0.5501652093643692	0.717	0.54	1.4951920120642458e-55	TRUE	Other	54.82530303180424
CYB561A3	1.9407941826046285e-59	-0.4929660116637712	0.054	0.19	7.080987575232987e-55	TRUE	Other	54.14990616765432
DMXL2	2.686445508419154e-59	-0.6421899895386722	0.424	0.606	9.80149643746728e-55	TRUE	Other	54.00870761360129
CRIM1	3.947905185362689e-59	-0.4664129304725625	0.026	0.138	1.4403932068795768e-54	TRUE	Other	53.84151893549686
WTAP	4.687557791523679e-59	-0.44907409416305466	0.849	0.913	1.710255460237414e-54	TRUE	Other	53.76693901435338
SNHG5	8.280963234144011e-59	0.5144478930793888	0.783	0.656	3.0213094359774424e-54	TRUE	Other	53.51980479294735
IQGAP2	1.2805853357990036e-58	-0.6231280495397423	0.231	0.425	4.6722155976626655e-54	TRUE	Other	53.33047712507484
DTNA	1.6293020564055013e-58	0.4953663428501048	0.136	0.007	5.944508552795473e-54	TRUE	Other	53.22588404375872
MMP14	9.159894570491729e-58	-0.6292413582279337	0.125	0.292	3.341987534043907e-53	TRUE	Other	52.47599517440254
PFDN5	1.416211549007545e-57	0.3605908043468826	0.928	0.917	5.167047836554027e-53	TRUE	Other	52.286757517735296
ADIRF	1.75008744209432e-57	1.423883653733853	0.127	0.004	6.385194032481126e-53	TRUE	Other	52.19482590091341
PNRC1	3.7982413389936943e-57	-0.49615193920276823	0.946	0.962	1.3857883525318492e-52	TRUE	Other	51.858303093206395
CYP1B1	7.797694891498419e-56	0.425205820801267	0.773	0.53	2.8449889811631987e-51	TRUE	Other	50.54591941131787
LDHA	2.045998652887019e-55	0.6098473811449994	0.579	0.365	7.46482608505829e-51	TRUE	Other	50.126980305980396
UBC	5.23036672806864e-55	0.33840140290892906	0.963	0.945	1.9082993007358432e-50	TRUE	Other	49.71935350884368
BASP1	5.476262453138735e-55	-0.5542769752291097	0.797	0.887	1.9980143560276672e-50	TRUE	Other	49.699401395628954
CTSL	6.4420025629914176e-55	0.6703117574691881	0.771	0.651	2.3503646351074186e-50	TRUE	Other	49.62886475614081
DNAJC3	7.931861576833351e-55	-0.6233887162632699	0.635	0.738	2.893939696307648e-50	TRUE	Other	49.53851052291763
BTF3	8.211547919588927e-55	0.3917561388564246	0.882	0.849	2.99598325846202e-50	TRUE	Other	49.52346061780097
AC245014.3	1.10842513779197e-54	0.7890365493916993	0.336	0.145	4.0440891152340025e-50	TRUE	Other	49.39317928289608
EIF3H	2.0482220116526887e-54	0.6110119253859672	0.675	0.51	7.472938009514836e-50	TRUE	Other	49.126508620344836
NFKB1	3.6147210311290656e-54	-0.4293387511888169	0.875	0.913	1.3188309682074397e-49	TRUE	Other	48.87981086349757
FABP5	5.202480372923091e-54	0.7464514794047244	0.332	0.145	1.89812496406099e-49	TRUE	Other	48.72167519896057
RDX	5.6199061088141e-54	-0.8050113381758142	0.289	0.455	2.0504227438008243e-49	TRUE	Other	48.68815658949431
SNHG8	9.842030095357539e-54	0.6074267356378271	0.625	0.433	3.590864680291199e-49	TRUE	Other	48.444800960707994
CCL20	1.4449105290650484e-53	-0.7234187790900464	0.599	0.765	5.271756065293829e-49	TRUE	Other	48.27804469362418
RASGRP3	5.804800355408384e-53	0.5404033002219492	0.177	0.035	2.117881409670749e-48	TRUE	Other	47.67409836177694
ARPC2	6.204278925921789e-53	-0.44426087620840526	0.769	0.84	2.263631166122565e-48	TRUE	Other	47.64519433524304
LY6K	2.403658326976206e-51	0.5883550226440348	0.174	0.035	8.769747405972687e-47	TRUE	Other	46.0570129153879
PMP22	2.7419663894983134e-51	0.5553210394294525	0.146	0.019	1.0004064372084595e-46	TRUE	Other	45.99982352242422
COX4I1	3.485290281365941e-51	0.356415577451052	0.921	0.899	1.2716081591563635e-46	TRUE	Other	45.895646694137874
SAMD9	5.372766270356591e-51	0.6394206701781056	0.329	0.142	1.9602537737396024e-46	TRUE	Other	45.70768770139841
TNFAIP3	7.045588388884743e-51	-0.6254016156252526	0.775	0.837	2.5705829236845987e-46	TRUE	Other	45.589968381791984
TFDP1	8.410827532903129e-51	-0.4356617782175328	0.05	0.172	3.0686904253797072e-46	TRUE	Other	45.513046921711776
GRAMD1A	2.268705892616891e-50	-0.7040453094470638	0.306	0.463	8.277373449212727e-46	TRUE	Other	45.082107450349824
GPRC5A	1.3055693309392743e-49	0.4992833581752489	0.178	0.04	4.7633697039319424e-45	TRUE	Other	44.32208570987061
