Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant
CXCL3	Inflammation	22.509234186407724	76.26262626262627	CD14 Mono_Mutant	1	#BEBEBE	3.1139256333007173	0.6502671490631939	-0.10412662803864504	0.763	0.755	1	FALSE
HLA-DRA	Antigen presentation	35.60438264845465	97.97979797979798	CD14 Mono_Mutant	20	#D3D3D3	3.572468738383463	0.782334325575419	0.01170216639398447	0.98	0.995	1	FALSE
ALCAM	Cell adhesion	1.407137241598766	44.44444444444444	CD14 Mono_Mutant	20	#D3D3D3	0.34155731537872747	0.2125472003865623	0.04679123126597129	0.444	0.38	1	FALSE
SOD2	Monocyte activation	262.4759364277495	100	CD14 Mono_Mutant	1	#BEBEBE	5.570159407078227	0.8529006026220062	-0.00383681597043761	1	0.995	1	FALSE
CCL4L2	Inflammation	108.04177751940662	97.47474747474747	CD14 Mono_Mutant	20	#D3D3D3	4.682517981208611	0.01673900199508819	0.16329458956351228	0.975	0.963	1	FALSE
HLA-DRB5	Antigen presentation	0.055892322462652605	3.0303030303030303	CD14 Mono_Mutant	1	#BEBEBE	-2.884328252392247	0.9014467227233444	-0.01056432234767997	0.03	0.032	1	FALSE
ITGB2	Cell adhesion	2.906314949926861	69.6969696969697	CD14 Mono_Mutant	20	#D3D3D3	1.066885938465739	0.7886766286792402	0.04677940930826474	0.697	0.681	1	FALSE
S100A4	Monocyte activation	22.076396656353896	95.95959595959596	CD14 Mono_Mutant	20	#D3D3D3	3.0945090131796475	0.8794163100011656	0.00606802108364767	0.96	0.972	1	FALSE
LGALS2	Inflammation	0.8748901358334212	28.28282828282828	CD14 Mono_Mutant	20	#D3D3D3	-0.1336569595552383	0.6190192162573123	0.12075091190410348	0.283	0.264	1	FALSE
HLA-DRB1	Antigen presentation	18.91997385475144	91.91919191919192	CD14 Mono_Mutant	20	#D3D3D3	2.940218181738604	0.8713004157046449	0.0272925298800315	0.919	0.949	1	FALSE
SDCBP	Cell adhesion	7.905370495480058	94.44444444444444	CD14 Mono_Mutant	1	#BEBEBE	2.0675423380615676	0.16524009555855515	-0.09824035683971656	0.944	0.949	1	FALSE
LYZ	Monocyte activation	50.454852904510055	98.48484848484848	CD14 Mono_Mutant	20	#D3D3D3	3.9210789345324	0.49936830424102946	0.02950647834560982	0.985	0.991	1	FALSE
CCL3L1	Inflammation	128.57445416344905	99.4949494949495	CD14 Mono_Mutant	20	#D3D3D3	4.856508146374496	0.29845916771537584	0.06730318018577641	0.995	0.986	1	FALSE
CTSS	Antigen presentation	18.42603070393959	98.48484848484848	CD14 Mono_Mutant	1	#BEBEBE	2.913764377023113	0.8416301729206812	-0.00585018767501743	0.985	0.981	1	FALSE
LIMS1	Cell adhesion	4.1836886674816345	78.28282828282829	CD14 Mono_Mutant	20	#D3D3D3	1.4311933137363058	0.7086012465216416	0.01161569898555203	0.783	0.745	1	FALSE
S100A9	Monocyte activation	112.21938231062414	98.98989898989899	CD14 Mono_Mutant	20	#D3D3D3	4.720455726035927	0.33212032370407557	0.12362369879331504	0.99	0.986	1	FALSE
IL1B	Inflammation	254.66478398910954	99.4949494949495	CD14 Mono_Mutant	1	#BEBEBE	5.539948107758164	0.8512886946919883	-0.04061027577453835	0.995	0.995	1	FALSE
CD74	Antigen presentation	17.219325625175095	96.46464646464646	CD14 Mono_Mutant	1	#BEBEBE	2.846032335931624	0.8904517017020819	-0.02236024170658179	0.965	0.954	1	FALSE
ANXA5	Cell adhesion	13.829959680714584	98.98989898989899	CD14 Mono_Mutant	20	#D3D3D3	2.626837230322785	0.63371921993854	0.00144840112476396	0.99	0.977	1	FALSE
S100A8	Monocyte activation	71.27324802991296	98.48484848484848	CD14 Mono_Mutant	20	#D3D3D3	4.266521054067491	0.698241224932858	0.04486421586176803	0.985	0.972	1	FALSE
IL6	Inflammation	15.088195869492917	83.33333333333334	CD14 Mono_Mutant	20	#D3D3D3	2.7139127076131033	0.2690527207082542	0.1813961093201573	0.833	0.801	1	FALSE
IFI30	Antigen presentation	4.5004773729805025	72.22222222222221	CD14 Mono_Mutant	20	#D3D3D3	1.5041834740344389	0.6481590219440136	0.07058301215788099	0.722	0.708	1	FALSE
ITGB1	Cell adhesion	3.2111146013935645	72.22222222222221	CD14 Mono_Mutant	1	#BEBEBE	1.1666181047207487	0.21072805217932905	-0.12343465972369838	0.722	0.773	1	FALSE
S100A10	Monocyte activation	52.312034508821746	98.98989898989899	CD14 Mono_Mutant	20	#D3D3D3	3.957226449931906	0.4046434692251734	0.03527564718046605	0.99	0.991	1	FALSE
IL1RN	Inflammation	20.579545661980923	89.8989898989899	CD14 Mono_Mutant	1	#BEBEBE	3.0242976534848984	0.19836564916926525	-0.2722986053201675	0.899	0.903	1	FALSE
HLA-DPA1	Antigen presentation	4.6611402369780714	68.18181818181817	CD14 Mono_Mutant	20	#D3D3D3	1.5392601042536025	0.3800045330393856	0.04527940146908271	0.682	0.69	1	FALSE
FCN1	Cell adhesion	12.454801633646692	95.45454545454545	CD14 Mono_Mutant	20	#D3D3D3	2.5221062219431296	0.9383882276480746	0.02164490565522703	0.955	0.954	1	FALSE
S100A11	Monocyte activation	42.49677418456656	98.98989898989899	CD14 Mono_Mutant	20	#D3D3D3	3.7494281715100932	0.11058047034219202	0.14680019834856228	0.99	0.986	1	FALSE
CCL4	Inflammation	335.1857646296729	98.48484848484848	CD14 Mono_Mutant	20	#D3D3D3	5.81468489941756	0.1651460737767478	0.08995769078047999	0.985	0.986	1	FALSE
HLA-DQA1	Antigen presentation	1.1456597960883397	26.767676767676768	CD14 Mono_Mutant	1	#BEBEBE	0.13598071216822677	0.35671863948935123	-0.04657111111367484	0.268	0.31	1	FALSE
CD226	Cell adhesion	0.5057279414306551	17.17171717171717	CD14 Mono_Mutant	20	#D3D3D3	-0.6817564194452209	0.8902183177692126	0.02257518757642385	0.172	0.181	1	FALSE
S100A6	Monocyte activation	52.74472186589735	98.48484848484848	CD14 Mono_Mutant	20	#D3D3D3	3.9654637079356303	0.26503480076864416	0.07520043599435766	0.985	0.986	1	FALSE
TNFAIP6	Inflammation	9.434100872096446	80.8080808080808	CD14 Mono_Mutant	1	#BEBEBE	2.2443308772043604	0.4664465653825163	-0.1226637515661828	0.808	0.806	1	FALSE
SEC61B	Antigen presentation	6.668162982923049	87.87878787878788	CD14 Mono_Mutant	20	#D3D3D3	1.8973444071397807	0.7941811634084676	0.01676258827765586	0.879	0.88	1	FALSE
ADAM8	Cell adhesion	0.6473688181305565	25.757575757575758	CD14 Mono_Mutant	20	#D3D3D3	-0.43483910341585247	0.03098790307502759	0.21906996415676727	0.258	0.167	1	FALSE
FCER1G	Monocyte activation	13.30779593167604	96.46464646464646	CD14 Mono_Mutant	20	#D3D3D3	2.5883500237792694	0.12402580174003304	0.09095248415808932	0.965	0.949	1	FALSE
CCL3	Inflammation	342.595050482377	98.98989898989899	CD14 Mono_Mutant	20	#D3D3D3	5.836549138857398	0.4128050998261748	0.05718931377499814	0.99	0.995	1	FALSE
HLA-DPB1	Antigen presentation	4.348500046554411	70.70707070707071	CD14 Mono_Mutant	20	#D3D3D3	1.4698309687535378	0.6637903730046278	0.03203717269128692	0.707	0.694	1	FALSE
VIM	Inflammation	186.18656302164973	100	CD14 Mono_Mutant	20	#D3D3D3	5.226749198015855	0.1314447964395202	0.06880320086080083	1	1	1	FALSE
CXCL8	Inflammation	352.98549286828626	99.4949494949495	CD14 Mono_Mutant	1	#BEBEBE	5.866426959398398	0.5382518420537854	-0.071237052559324	0.995	1	1	FALSE
IFITM2	Inflammation	1.7788118789940277	45.95959595959596	CD14 Mono_Mutant	1	#BEBEBE	0.5759456577263423	0.3618644749046535	-0.06847696841107243	0.46	0.505	1	FALSE
TNFSF10	Inflammation	0.24863710490729216	9.595959595959595	CD14 Mono_Mutant	1	#BEBEBE	-1.391760855583271	0.23796334688806747	-0.20393457651659036	0.096	0.13	1	FALSE
MNDA	Inflammation	0.5510079246053586	18.68686868686869	CD14 Mono_Mutant	20	#D3D3D3	-0.5960060877087644	0.5958864998061975	0.03378387507368252	0.187	0.162	1	FALSE
KLF4	Inflammation	1.2923494181082245	32.82828282828283	CD14 Mono_Mutant	20	#D3D3D3	0.25646181624827635	0.5356191614010238	0.01352190369126815	0.328	0.306	1	FALSE
CLEC4E	Inflammation	3.148590726370831	60.1010101010101	CD14 Mono_Mutant	1	#BEBEBE	1.1469549642757637	0.2014853944254868	-0.16843690874217865	0.601	0.69	1	FALSE
AIF1	Inflammation	7.696589831280708	88.88888888888889	CD14 Mono_Mutant	20	#D3D3D3	2.040777351705291	0.7967506726692042	0.06939597616479487	0.889	0.884	1	FALSE
