Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant
CXCL3	Inflammation	106.78173056686853	99.23497267759562	CD14 Mono_Mutant	20	#D3D3D3	4.670786849785331	1.477731303754158e-10	0.5944964991247597	0.992	0.899	5.391502661747045e-6	TRUE
HLA-DRA	Antigen presentation	22.122345003969674	97.3224043715847	CD14 Mono_Mutant	20	#D3D3D3	3.096588183872859	6.041689776509612e-7	0.4480900862634965	0.973	0.777	0.02204310514959532	TRUE
ALCAM	Cell adhesion	1.006010505733758	37.759562841530055	CD14 Mono_Mutant	20	#D3D3D3	0.005992514698325149	0.00103440208851268	0.25455378502426806	0.378	0.236	1	FALSE
SOD2	Monocyte activation	210.7688006219867	99.78142076502732	CD14 Mono_Mutant	20	#D3D3D3	5.350761801073908	6.856724693871624e-11	0.4272397461238002	0.998	0.953	2.501676004559062e-6	TRUE
CCL4L2	Inflammation	77.89013500190633	97.75956284153006	CD14 Mono_Mutant	20	#D3D3D3	4.355299308168336	2.771310425035063e-9	0.5301279565572186	0.978	0.811	1.0111126085740428e-4	TRUE
HLA-DRB5	Antigen presentation	2.3110625246441137	64.04371584699453	CD14 Mono_Mutant	20	#D3D3D3	0.837707386159539	3.621537387230252e-7	0.4131518023479195	0.64	0.399	0.01321317915730957	TRUE
ITGB2	Cell adhesion	0.6097554871586444	29.78142076502732	CD14 Mono_Mutant	20	#D3D3D3	-0.49469724289643136	0.05891701068107979	0.07834904367960105	0.298	0.216	1	FALSE
S100A4	Monocyte activation	16.024130500886873	97.43169398907104	CD14 Mono_Mutant	20	#D3D3D3	2.7740957424196497	2.3659002828435825e-7	0.342489731806368	0.974	0.764	0.00863198718195481	TRUE
LGALS2	Inflammation	1.309950185054458	48.25136612021858	CD14 Mono_Mutant	20	#D3D3D3	0.2699891098140415	1.6369336008454691e-9	0.5230928155464911	0.483	0.223	5.972352242684694e-5	TRUE
HLA-DRB1	Antigen presentation	5.547104288255909	83.49726775956285	CD14 Mono_Mutant	20	#D3D3D3	1.7132760417357202	3.081986205334452e-7	0.3752179170235048	0.835	0.588	0.01124462667016274	TRUE
SDCBP	Cell adhesion	4.2718731082631916	87.81420765027322	CD14 Mono_Mutant	20	#D3D3D3	1.4520523980948352	0.06244284652001319	0.05010552927189593	0.878	0.682	1	FALSE
LYZ	Monocyte activation	30.861740103797278	98.63387978142076	CD14 Mono_Mutant	20	#D3D3D3	3.429517232376994	2.0684699254158885e-4	0.19595842902150373	0.986	0.791	1	FALSE
CCL3L1	Inflammation	83.54345431756927	99.01639344262296	CD14 Mono_Mutant	20	#D3D3D3	4.425366907478827	1.4102203229300343e-10	0.5216539769576407	0.99	0.838	5.14518884821023e-6	TRUE
CTSS	Antigen presentation	6.188387865449743	92.8415300546448	CD14 Mono_Mutant	20	#D3D3D3	1.8226746110066336	5.893912188607059e-5	0.2834279929853838	0.928	0.703	1	FALSE
LIMS1	Cell adhesion	2.3146342806431877	67.26775956284153	CD14 Mono_Mutant	1	#BEBEBE	0.8392516969344462	0.9860735096567628	-0.2470870319531369	0.673	0.608	1	FALSE
S100A9	Monocyte activation	24.596087587051237	95.90163934426229	CD14 Mono_Mutant	20	#D3D3D3	3.202587389113149	1.777833502601275e-4	0.02514467510100182	0.959	0.75	1	FALSE
IL1B	Inflammation	396.25234336013784	100	CD14 Mono_Mutant	20	#D3D3D3	5.982051239016623	1.6408286838012128e-13	0.5020471780734628	1	0.973	5.986563452848724e-9	TRUE
CD74	Antigen presentation	8.869028532815896	91.85792349726776	CD14 Mono_Mutant	20	#D3D3D3	2.18256526752928	0.00138047396895947	0.22991254856691776	0.919	0.709	1	FALSE
ANXA5	Cell adhesion	15.870999231793704	98.30601092896175	CD14 Mono_Mutant	20	#D3D3D3	2.7644934961222765	4.042300075708552e-6	0.32600019038230466	0.983	0.791	0.14748331826222652	FALSE
S100A8	Monocyte activation	13.616040524438798	91.5846994535519	CD14 Mono_Mutant	1	#BEBEBE	2.611248548063281	0.0036965707168671	-0.10811157247987112	0.916	0.703	1	FALSE
IL6	Inflammation	12.026462769263581	87.21311475409837	CD14 Mono_Mutant	20	#D3D3D3	2.4871094526073954	7.082043768482868e-8	0.49699685569948393	0.872	0.635	0.00258388366893097	TRUE
IFI30	Antigen presentation	1.5449293769446637	52.51366120218579	CD14 Mono_Mutant	1	#BEBEBE	0.43497819858951414	0.07844849763327186	-0.33965715231308113	0.525	0.392	1	FALSE
ITGB1	Cell adhesion	3.558839617305793	82.62295081967214	CD14 Mono_Mutant	20	#D3D3D3	1.269434541535626	1.1878490951459804e-4	0.08155235296004948	0.826	0.581	1	FALSE
S100A10	Monocyte activation	31.21137480661523	98.68852459016394	CD14 Mono_Mutant	20	#D3D3D3	3.4407826055084447	3.549693062099045e-5	0.2774613568345714	0.987	0.818	1	FALSE
IL1RN	Inflammation	27.819887093460505	94.20765027322405	CD14 Mono_Mutant	20	#D3D3D3	3.3257511280205088	3.940839254703007e-7	0.4743128641827177	0.942	0.764	0.01437815202078392	TRUE
HLA-DPA1	Antigen presentation	3.6100015726390877	65.51912568306011	CD14 Mono_Mutant	20	#D3D3D3	1.283708207978791	4.116387188797234e-4	0.34034058973502535	0.655	0.48	1	FALSE
FCN1	Cell adhesion	5.848508329319762	89.67213114754098	CD14 Mono_Mutant	20	#D3D3D3	1.766186642288129	1.373748856904594e-4	0.2906018753562596	0.897	0.655	1	FALSE
S100A11	Monocyte activation	14.344466594116376	97.81420765027322	CD14 Mono_Mutant	20	#D3D3D3	2.6633642646441347	0.05384602170012888	0.09613314381532856	0.978	0.777	1	FALSE
CCL4	Inflammation	265.06155221157104	99.4535519125683	CD14 Mono_Mutant	20	#D3D3D3	5.579962071511637	1.080618586059378e-9	0.4678482609787231	0.995	0.932	3.94263691123764e-5	TRUE
HLA-DQA1	Antigen presentation	2.1763245563200426	56.830601092896174	CD14 Mono_Mutant	20	#D3D3D3	0.7776374705921429	2.2789111617248675e-5	0.2612877258657089	0.568	0.365	0.8314607373553179	FALSE
CD226	Cell adhesion	0.006101859360574568	0.4371584699453552	CD14 Mono_Mutant	1	#BEBEBE	-5.099161741040034	0.675145270088466	-0.07215512493427041	0.004	0.007	1	FALSE
S100A6	Monocyte activation	24.43047622150368	98.08743169398907	CD14 Mono_Mutant	20	#D3D3D3	3.1958313783872168	9.514039724101144e-6	0.27570211092991315	0.981	0.791	0.3471197393338302	FALSE
TNFAIP6	Inflammation	10.291898658350528	89.39890710382514	CD14 Mono_Mutant	20	#D3D3D3	2.331357047728047	1.9887808980242837e-7	0.4576069701999561	0.894	0.655	0.00725606710644159	TRUE
SEC61B	Antigen presentation	6.2103611065297155	91.69398907103825	CD14 Mono_Mutant	20	#D3D3D3	1.8262190434544203	6.59208813865585e-6	0.34000181741273927	0.917	0.669	0.2405123357388587	FALSE
ADAM8	Cell adhesion	0.12626666948985527	6.33879781420765	CD14 Mono_Mutant	1	#BEBEBE	-2.0693591839793855	0.9221342573728564	-0.05553726440601075	0.063	0.061	1	FALSE
FCER1G	Monocyte activation	8.360585699494656	93.71584699453553	CD14 Mono_Mutant	20	#D3D3D3	2.123528484390705	0.00680702958859206	0.08944392797999923	0.937	0.73	1	FALSE
CCL3	Inflammation	300.3348758287374	99.89071038251366	CD14 Mono_Mutant	20	#D3D3D3	5.704898104871781	2.7282070476154367e-9	0.44537128227488054	0.999	0.953	9.95386341322492e-5	TRUE
HLA-DPB1	Antigen presentation	4.315765909794393	69.2896174863388	CD14 Mono_Mutant	20	#D3D3D3	1.4622748081572177	2.062940531782229e-5	0.4532186458030565	0.693	0.473	0.7526638530207462	FALSE
VIM	Inflammation	163.77793591444308	99.94535519125684	CD14 Mono_Mutant	20	#D3D3D3	5.098511460968897	3.4556126729461497e-12	0.4186417784711116	0.999	0.966	1.260780283724403e-7	TRUE
CXCL8	Inflammation	547.8295784298031	100	CD14 Mono_Mutant	20	#D3D3D3	6.305964250314354	2.489603913128488e-7	0.35623358266883365	1	1	0.00908331987704928	TRUE
IFITM2	Inflammation	0.5893476444027652	26.284153005464482	CD14 Mono_Mutant	1	#BEBEBE	-0.5287390412586421	0.3402068851806279	-0.14156837623375584	0.263	0.216	1	FALSE
TNFSF10	Inflammation	0.06685020533574901	3.4426229508196724	CD14 Mono_Mutant	20	#D3D3D3	-2.7053009038495377	0.620690731077483	0.0406937887088205	0.034	0.027	1	FALSE
MNDA	Inflammation	0.21675409487074046	10.273224043715846	CD14 Mono_Mutant	20	#D3D3D3	-1.528991771362729	0.01553358504796945	0.1715543687636188	0.103	0.041	1	FALSE
KLF4	Inflammation	0.2013152298630403	9.180327868852459	CD14 Mono_Mutant	20	#D3D3D3	-1.602883291657095	0.3358900960575252	0.06893576885044922	0.092	0.068	1	FALSE
CLEC4E	Inflammation	2.904561594753257	70.60109289617486	CD14 Mono_Mutant	20	#D3D3D3	1.0662824648887894	4.915354426868609e-7	0.4187315181754647	0.706	0.459	0.01793367062643012	TRUE
AIF1	Inflammation	2.7198167203619086	68.96174863387978	CD14 Mono_Mutant	20	#D3D3D3	1.0005644958177355	0.00212978698885062	0.234064758503572	0.69	0.534	1	FALSE
