Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant
CXCL3	Inflammation	22.729063122231405	73.08868501529052	CD14 Mono_Mutant	20	#D3D3D3	3.123644419339283	0.9892235071196176	0.00102146028296612	0.731	0.726	1	FALSE
HLA-DRA	Antigen presentation	36.59200708737648	98.77675840978594	CD14 Mono_Mutant	1	#BEBEBE	3.5998298309669083	0.405341732441503	-0.06894763757660005	0.988	0.971	1	FALSE
ALCAM	Cell adhesion	1.6499805479779066	42.50764525993883	CD14 Mono_Mutant	20	#D3D3D3	0.5007634987386982	0.7963256137127217	0.00320619378281472	0.425	0.406	1	FALSE
SOD2	Monocyte activation	148.17610435308404	99.69418960244649	CD14 Mono_Mutant	20	#D3D3D3	4.998401460678584	0.38426537998392113	0.05640481158145327	0.997	0.989	1	FALSE
CCL4L2	Inflammation	16.41981436997632	72.17125382262996	CD14 Mono_Mutant	1	#BEBEBE	2.798488798843224	0.383031400054643	-0.28026742881910494	0.722	0.731	1	FALSE
HLA-DRB5	Antigen presentation	0.13773130996185026	4.892966360856269	CD14 Mono_Mutant	20	#D3D3D3	-1.9824505210123047	0.35971608362351054	0.01747899624450863	0.049	0.034	1	FALSE
ITGB2	Cell adhesion	3.818062191915599	81.65137614678899	CD14 Mono_Mutant	1	#BEBEBE	1.3397430143054097	0.4167587514007536	-0.0884846519809992	0.817	0.797	1	FALSE
S100A4	Monocyte activation	29.265922647549562	97.55351681957187	CD14 Mono_Mutant	1	#BEBEBE	3.3764237895843103	0.02573808432176651	-0.11812338531708022	0.976	0.969	1	FALSE
LGALS2	Inflammation	0.9518163070642877	29.66360856269113	CD14 Mono_Mutant	20	#D3D3D3	-0.04938321757334103	0.14378868009926565	0.1400719716899873	0.297	0.254	1	FALSE
HLA-DRB1	Antigen presentation	21.41409037704778	92.04892966360856	CD14 Mono_Mutant	1	#BEBEBE	3.064049134192652	0.3600286385042913	-0.05675912675927108	0.92	0.923	1	FALSE
SDCBP	Cell adhesion	8.783077310599124	94.4954128440367	CD14 Mono_Mutant	1	#BEBEBE	2.172826837196038	0.03440863665504556	-0.1119858537283558	0.945	0.949	1	FALSE
