Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
DDX3Y	3.9181396315519845e-8	-0.6619647912633394	0.015	0.176	5.327886270984388e-4	Other	3.273445054185178
TNNT1	7.660652487647428e-6	0.42737697909044914	0.217	0.065	0.10416955252702972	Other	0.9822592013992117
MEF2A	1.2929845353940934e-4	0.3738751508012538	0.328	0.167	1	Other	-0
LYPD3	5.52111015836884e-4	0.4463259496027592	0.455	0.282	1	Other	-0
MSRB1	6.227960475834732e-4	0.20055625782655775	0.086	0.014	1	Other	-0
ASXL1	6.519495243093331e-4	0.35556185328084683	0.227	0.102	1	Other	-0
ZFY	6.550012752287895e-4	-0.19405497573475464	0.005	0.069	1	Other	-0
EEF1A1	7.505154420607827e-4	0.1537562517896056	1	1	1	Other	-0
KIF20B	7.799911324108222e-4	-0.1697241342728769	0	0.056	1	Other	-0
AKR1C1	0.00112433043976047	-0.5210145723099711	0.005	0.065	1	Other	-0
SCAMP1	0.00121110078176563	-0.2773966702254992	0.04	0.13	1	Other	-0
STAT3	0.00124444333554168	0.24335073377336264	0.237	0.12	1	Other	-0
LYSMD3	0.00145950114136962	-0.2769666092822635	0.096	0.208	1	Other	-0
CAPG	0.00189015189074882	0.2760427578407516	0.742	0.602	1	Other	-0
TPD52L2	0.00200896079383487	0.3079857581700437	0.409	0.269	1	Other	-0
FKBP15	0.00206966082424203	0.2024114291856337	0.182	0.079	1	Other	-0
PSMA4	0.00218296540251764	-0.318543726022832	0.237	0.375	1	Other	-0
LRRC47	0.00221824812539163	-0.14198734754226924	0	0.046	1	Other	-0
DDA1	0.00226971051666483	0.2616700060896196	0.268	0.144	1	Other	-0
LY6K	0.0023087621763602	0.34708282942256163	0.212	0.102	1	Other	-0
MTMR11	0.00255031575529408	0.3282253425021738	0.222	0.111	1	Other	-0
CUL5	0.00278959303417278	0.27901865732085385	0.091	0.023	1	Other	-0
NABP1	0.00282004630414708	-0.3753889774972594	0.157	0.273	1	Other	-0
EGLN2	0.00288955797717974	0.3019231252456463	0.273	0.153	1	Other	-0
UTY	0.00316128635113336	-0.1716477876724886	0.005	0.056	1	Other	-0
RAB34	0.00332788458700975	0.15461751906407897	0.081	0.019	1	Other	-0
FAM160A2	0.00382371903219053	0.19642984584018816	0.061	0.009	1	Other	-0
AKR1A1	0.00383482090831227	0.23324397558640225	0.172	0.079	1	Other	-0
NDUFV3	0.0038881286828884	0.14248250844228466	0.061	0.009	1	Other	-0
ZNF330	0.0039117620874735	0.2551041007836059	0.293	0.171	1	Other	-0
CNPY3	0.0039395952512961	0.24310932656195391	0.293	0.171	1	Other	-0
ARL4C	0.00394385312177833	-0.3270035872234949	0.121	0.231	1	Other	-0
PLAC8	0.00401808489309156	-0.3575094420304734	0.475	0.606	1	Other	-0
POLDIP2	0.00430397917172751	-0.17063447638866583	0.01	0.065	1	Other	-0
ADGRE2	0.00461369038548811	0.18606352518505703	0.111	0.037	1	Other	-0
ATP13A3	0.00463729675474241	-0.30483043856779224	0.657	0.736	1	Other	-0
IER3	0.00466178893188926	-0.26834632048523277	0.939	0.968	1	Other	-0
MTHFD2L	0.0047330247163257	-0.2896335679824835	0.131	0.236	1	Other	-0
TRAPPC6A	0.00481124904054936	0.21221857917846595	0.101	0.032	1	Other	-0
PARP6	0.00487029852385539	0.16664873482821213	0.086	0.023	1	Other	-0
SRP19	0.00500261123241099	0.2373651835504762	0.49	0.343	1	Other	-0
SEPTIN9	0.00501621989102687	-0.2973555224975315	0.177	0.292	1	Other	-0
SLC24A1	0.00540719211837936	0.10510123596870127	0.035	0	1	Other	-0
PSMA2	0.0054316924189243	0.29790468939968484	0.348	0.218	1	Other	-0
CPSF2	0.00554915049308331	-0.17630696498362555	0.03	0.097	1	Other	-0
OAT	0.00558870039729373	0.252086350658714	0.192	0.097	1	Other	-0
CDC27	0.0061313083058064	0.13775106761408645	0.076	0.019	1	Other	-0
