Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
AC020911.2	6.375943397585338e-20	-0.8844447321298601	0.002	0.068	2.3262629486090106e-15	Other	14.633341196453852
BCAS3	1.962566958678514e-12	-0.3978404316879202	0	0.027	7.16042554873856e-8	Other	7.145061166522167
AC083973.1	2.2379077313658778e-12	-1.1591443011502407	0.008	0.074	8.165006357888403e-8	Other	7.088043472752815
TPT1	3.415478350271292e-12	0.3254482946381332	0.998	0.973	1.246137276096481e-7	Other	6.9044341125987865
SOD2	6.856724693871624e-11	0.4272397461238002	0.998	0.953	2.501676004559062e-6	Other	5.601768937066061
SERPINB1	7.382179100437531e-11	0.6009519555017939	0.874	0.635	2.693388044794633e-6	Other	5.569701071923638
CCL3L1	1.4102203229300343e-10	0.5216539769576407	0.99	0.838	5.14518884821023e-6	Other	5.288598680331975
EIF2S2	1.417576542295132e-10	0.4955333132995874	0.811	0.527	5.1720280145637885e-6	Other	5.2863391314062
CXCL3	1.477731303754158e-10	0.5944964991247597	0.992	0.899	5.391502661747045e-6	Other	5.268290176046295
HLA-DQA2	4.407320536889378e-10	0.6598194410279716	0.561	0.277	1.6080108978840897e-5	Other	4.793711012257414
EEF1A1	5.372474714323397e-10	0.3121893117757395	0.998	0.959	1.960147399520892e-5	Other	4.707711269260055
CCL4	1.080618586059378e-9	0.4678482609787231	0.995	0.932	3.94263691123764e-5	Other	4.404213216512031
LGALS2	1.6369336008454691e-9	0.5230928155464911	0.483	0.223	5.972352242684694e-5	Other	4.223854585986705
MTHFD2	2.0915337612051222e-9	0.46077695206862224	0.724	0.426	7.630960927756887e-5	Other	4.117420770125672
CCL3	2.7282070476154367e-9	0.44537128227488054	0.999	0.953	9.95386341322492e-5	Other	4.002008322933939
CCL4L2	2.771310425035063e-9	0.5301279565572186	0.978	0.811	1.0111126085740428e-4	Other	3.9952004739254114
TRMT12	2.9719710794586912e-9	-0.27818840942648165	0.002	0.034	1.0843236483405032e-4	Other	3.9648410704643022
HES1	5.556258179525469e-9	-1.2161384481245594	0.008	0.061	2.027200796799867e-4	Other	3.6931032317593133
DNAAF1	6.289857877681808e-9	0.4863341525734559	0.834	0.574	2.2948546466722077e-4	Other	3.6392448169447205
ISG20	1.0469132872749812e-8	0.558358785957958	0.863	0.608	3.819663128622769e-4	Other	3.4179749375677426
CTSL	1.2091694095327684e-8	0.490662194906454	0.895	0.689	4.411654590680306e-4	Other	3.3553984978714344
HIST1H3A	1.8169044450571096e-8	-0.8650401295763508	0.003	0.041	6.628975867790864e-4	Other	3.178553561990818
UBA52	2.0680197449620183e-8	0.35901191323984794	0.986	0.831	7.545170039493923e-4	Other	3.1223309684289093
CPNE5	2.885213611966405e-8	-0.6000876019306645	0.005	0.047	0.00105267018632594	Other	2.977707676958047
ACD	2.933333164772919e-8	-0.26751101856237947	0.005	0.047	0.00107022660516739	Other	2.9705242569370136
MALAT1	3.1749841698733084e-8	-0.9379867011034068	1	1	0.00115839297437827	Other	2.936144085123104
NACA	3.1937348314035846e-8	0.3893056570137432	0.981	0.811	0.00116523415323759	Other	2.933586794602858
SELENOS	3.288770485357028e-8	0.4446267400425592	0.703	0.432	0.00119990791158251	Other	2.920852083140874
AC123777.1	3.3724659254336816e-8	-0.413541121030988	0.001	0.027	0.00123044419289447	Other	2.909938079049846
HIST1H2AH	3.46411362256351e-8	-0.39874124985111814	0.001	0.027	0.00126388185519229	Other	2.898293521018929
MRPS24	4.4028223837450335e-8	0.5332686933410016	0.62	0.378	0.00160636974670937	Other	2.7941544836691032
YBX1	6.477355169586563e-8	0.29882936678408845	0.9	0.642	0.00236326303362365	Other	2.6264879382517248
HSPA1B	7.324355381305907e-8	-0.9009716782482724	0.007	0.054	0.00267229106086946	Other	2.5731162410897195
ITGB8	8.965268140406744e-8	0.22774912963116356	0.749	0.466	0.0032709780810274	Other	2.485322366092305
EIF3F	9.690690575795177e-8	0.37037661081624274	0.678	0.453	0.00353564845657887	Other	2.4515309226628443
FAU	1.1972058730895884e-7	0.3191237039257988	0.987	0.872	0.00436800562796736	Other	2.3597168107351885
TXN	1.302811834195722e-7	0.31590160162369374	0.827	0.554	0.00475330897706309	Other	2.323003954551824
PPIB	1.5536498332444306e-7	0.3761773942781321	0.871	0.669	0.0056684914165923	Other	2.246532506649148
CYCS	1.5829359304165553e-7	0.13820322768553917	0.761	0.493	0.0057753417421248	Other	2.2384223123314295
NEAT1	1.9776623365363097e-7	-0.8416324914384985	0.997	0.98	0.00721550103485272	Other	2.141733506688742
SRP14	2.0808477118552578e-7	0.36012275035516894	0.795	0.534	0.0075919728767039	Other	2.1196453521506884
COX4I1	2.442286877265568e-7	0.3866778203340986	0.966	0.723	0.00891068367170342	Other	2.050088973465084
LINC01635	2.774082666047506e-7	-0.1650751933203619	0.001	0.02	0.01012124060707432	Other	1.9947662507586381
