ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0030684	preribosome	66	0.5368680871613785	2.270409492809276	2.569144983082432e-7	3.5051929893256255e-4	3.368578420067339e-4	1708	tags=50%, list=23%, signal=39%	RIOK1/RRP7A/NOP58/MRTO4/UTP4/PPAN/EBNA1BP2/UTP20/KRI1/SNU13/WDR3/PES1/RRP1B/NOL10/WDR12/TSR1/NOB1/RSL1D1/SRFBP1/RRP9/HEATR1/UTP11/FCF1/DCAF13/ZNF622/FBL/NIP7/RRP36/MAK16/NGDN/NSA2/RPF1/KRR1
BP	GO:0006364	rRNA processing	160	0.3900126377056362	1.912749636245894	3.742864911185932e-7	3.5051929893256255e-4	3.368578420067339e-4	1823	tags=41%, list=24%, signal=31%	UTP15/RRP12/USP36/RIOK1/RRP7A/RPP40/NOLC1/NOP58/MRTO4/UTP4/RPUSD2/PPAN/PWP1/EBNA1BP2/WBP11/UTP20/DDX21/DHX37/KRI1/RPF2/SNU13/EXOSC6/GTPBP4/GAR1/WDR3/PES1/WDR43/NAF1/POP4/NOL10/LYAR/NIFK/WDR12/TSR1/RPUSD1/NOB1/SRFBP1/EXOSC1/RRP9/MRM3/HEATR1/ESF1/DDX49/UTP11/FCF1/NOL9/BUD23/DCAF13/WDR55/EXOSC10/FBL/RRP36/NHP2/MAK16/GTF2H5/NGDN/NSA2/RPF1/DKC1/KRR1/TSR2/PELP1/EXOSC3/TRMT61B/EMG1
BP	GO:0009615	response to virus	231	-0.43097290729937626	-1.7824403477576376	1.4443703881817462e-6	6.816545302776823e-4	6.550871086491341e-4	1399	tags=29%, list=19%, signal=25%	OAS3/SHFL/POLR3H/SMAD3/ATG16L1/TYK2/RAB2B/NLRC5/MX2/ABCF3/PLSCR1/IFITM1/TRIM25/IFNLR1/NMI/NT5C3A/STMN1/POU2F2/MX1/ZCCHC3/IKBKB/SENP7/LILRB1/ATAD3A/OAS1/XPR1/TRIM52/TRIM8/CREBZF/AIM2/WDFY4/PML/APOBEC3F/CARD8/EIF2AK4/STAT1/EIF2AK2/TRIM22/IFI44L/POLR3A/ZMYND11/AZI2/CLPB/OAS2/PIM2/APOBEC3C/JAK2/TRIM56/POLR3K/MAP3K14/TRIM5/APOBEC3D/MAVS/UNC93B1/IRF7/DDX60L/RSAD2/BAX/IFI6/IFI44/STAT2/DDX60/BST2/TLR7/CASP1/IRF3/HERC5/GBP1
BP	GO:0042254	ribosome biogenesis	215	0.3457665182482085	1.7662499188711185	1.455749130331409e-6	6.816545302776823e-4	6.550871086491341e-4	1823	tags=39%, list=24%, signal=30%	UTP15/RRP12/USP36/RIOK1/NOP16/RRP7A/ISG20L2/RPP40/NOLC1/NOP58/MRTO4/UTP4/PAK1IP1/SURF6/RPUSD2/PPAN/PWP1/EBNA1BP2/ABCE1/GNL2/WBP11/UTP20/DDX21/DHX37/KRI1/RPF2/SNU13/EXOSC6/DDX3X/GTPBP4/GAR1/WDR3/PES1/WDR43/MTERF3/NAF1/MALSU1/POP4/NOL10/LYAR/NIFK/WDR12/TSR1/RPUSD1/URB2/NOB1/SRFBP1/EXOSC1/RRP9/MRM3/HEATR1/ESF1/DDX49/UTP11/FCF1/NOL9/BUD23/RSL24D1/C1QBP/DCAF13/WDR55/TSC1/EXOSC10/ZNF622/FBL/NIP7/RRP36/NHP2/NGRN/MAK16/GTF2H5/NGDN/NSA2/MYBBP1A/RPF1/DKC1/KRR1/TSR2/PELP1/GRWD1/EXOSC3/TRMT61B/EMG1
BP	GO:0051607	defense response to virus	175	-0.4514453953705709	-1.8229896916738146	4.706545203578894e-6	0.0014692265277172114	0.0014119635610736682	1399	tags=31%, list=19%, signal=26%	OAS3/SHFL/POLR3H/ATG16L1/RAB2B/NLRC5/MX2/ABCF3/PLSCR1/IFITM1/TRIM25/IFNLR1/NT5C3A/MX1/ZCCHC3/SENP7/LILRB1/ATAD3A/OAS1/TRIM52/TRIM8/AIM2/PML/APOBEC3F/CARD8/EIF2AK4/STAT1/EIF2AK2/TRIM22/IFI44L/POLR3A/ZMYND11/AZI2/CLPB/OAS2/APOBEC3C/TRIM56/POLR3K/MAP3K14/TRIM5/APOBEC3D/MAVS/UNC93B1/IRF7/DDX60L/RSAD2/IFI6/STAT2/DDX60/BST2/TLR7/CASP1/IRF3/HERC5/GBP1
BP	GO:0140546	defense response to symbiont	175	-0.4514453953705709	-1.8229896916738146	4.706545203578894e-6	0.0014692265277172114	0.0014119635610736682	1399	tags=31%, list=19%, signal=26%	OAS3/SHFL/POLR3H/ATG16L1/RAB2B/NLRC5/MX2/ABCF3/PLSCR1/IFITM1/TRIM25/IFNLR1/NT5C3A/MX1/ZCCHC3/SENP7/LILRB1/ATAD3A/OAS1/TRIM52/TRIM8/AIM2/PML/APOBEC3F/CARD8/EIF2AK4/STAT1/EIF2AK2/TRIM22/IFI44L/POLR3A/ZMYND11/AZI2/CLPB/OAS2/APOBEC3C/TRIM56/POLR3K/MAP3K14/TRIM5/APOBEC3D/MAVS/UNC93B1/IRF7/DDX60L/RSAD2/IFI6/STAT2/DDX60/BST2/TLR7/CASP1/IRF3/HERC5/GBP1
BP	GO:0016072	rRNA metabolic process	185	0.3402451917816977	1.6991265104898228	1.0149849175009641e-5	0.0026755244893162254	0.0025712461723273925	1823	tags=38%, list=24%, signal=30%	UTP15/RRP12/USP36/RIOK1/RRP7A/RPP40/NOLC1/NOP58/MRTO4/UTP4/POLR1E/RPUSD2/PPAN/PWP1/EBNA1BP2/WBP11/UTP20/DDX21/DHX37/KRI1/RPF2/SNU13/EXOSC6/GTPBP4/GAR1/WDR3/PES1/WDR43/NAF1/POP4/NOL10/LYAR/GTF3C6/NIFK/SPIN1/WDR12/TSR1/RPUSD1/NOB1/SRFBP1/EXOSC1/RRP9/GTF3C1/MRM3/HEATR1/ESF1/DDX49/UTP11/FCF1/NOL9/BUD23/GTF3C5/DCAF13/WDR55/SMARCB1/EXOSC10/FBL/RRP36/NHP2/MAK16/GTF2H5/NGDN/NSA2/RPF1/DKC1/KRR1/TSR2/PELP1/EXOSC3/TRMT61B/EMG1
BP	GO:0022613	ribonucleoprotein complex biogenesis	343	0.2926460211357968	1.568160323059205	1.1427760765899522e-5	0.0026755244893162254	0.0025712461723273925	2203	tags=41%, list=30%, signal=30%	UTP15/TAF9/RRP12/USP36/RIOK1/NOP16/RRP7A/ISG20L2/RPP40/EIF2D/NOLC1/PRPF39/USP39/YJU2/NOP58/MRTO4/UTP4/PAK1IP1/SURF6/RPUSD2/PPAN/STRAP/PWP1/EBNA1BP2/ABCE1/GNL2/WBP11/UTP20/DDX21/DHX37/KRI1/SNRPD1/RPF2/SNU13/EXOSC6/DDX3X/GTPBP4/GAR1/DDX1/WDR3/PES1/WDR43/MTERF3/NAF1/SMN1/MALSU1/POP4/NOL10/LYAR/NIFK/SNRPB/WDR12/TSR1/RPUSD1/URB2/NOB1/SRFBP1/EXOSC1/RRP9/SNRPB2/TXNL4A/SF3B5/MRM3/HEATR1/POLR2D/SF3A2/ESF1/DDX49/NUFIP1/UTP11/FCF1/XAB2/NOL9/SNRPE/SNRPA1/SRSF5/BUD23/PUF60/RSL24D1/C1QBP/CLP1/DCAF13/WDR55/TSC1/EXOSC10/ZNF622/PRPF18/FBL/NIP7/RRP36/NHP2/NGRN/EIF3M/MAK16/GTF2H5/NGDN/NSA2/MYBBP1A/RPF1/SNRPC/DKC1/KRR1/TSR2/PTBP2/EIF3H/SF3B6/EIF3A/DHX9/PELP1/GRWD1/EXOSC3/TRMT61B/EMG1/SRPK2/HSP90AB1/EIF2S3/USP4/EIF3L/ZNF593/GEMIN7/METTL16/SART1/DIMT1/EIF3F/EIF4A3/EIF3G/ZNHIT3/NOP56/DDX31/RBFA/CDC73/NMD3/SF3B1/SNRPF/IMP3/SNRPG/DDX20/EIF3E/SNRPD2/EIF3J/EIF5
CC	GO:0031461	cullin-RING ubiquitin ligase complex	102	-0.4611692897614751	-1.7462390338691425	1.521544154848977e-4	0.03166502446702371	0.03043088309697954	1584	tags=35%, list=21%, signal=28%	DCAF1/CUL1/KLHL24/CAND1/DCAF6/ANAPC5/FBXL3/DCAF5/AMN1/APPBP2/DCAF10/KCTD17/DCAF17/BTRC/FBXO3/COP1/ANAPC7/KCTD10/CDKN1B/KLHDC10/FBXO9/FBXL12/CDC26/KLHDC2/SPOP/FBXW5/DCAF8/KLHDC3/FBXL20/ANAPC4/CUL4B/WDTC1/CKS1B/KLHL2/DDB2/SPSB2
MF	GO:0016772	transferase activity, transferring phosphorus-containing groups	432	-0.33657526227639495	-1.44628748490482	2.4539985475505985e-4	0.04596339279562271	0.044171973855910776	1816	tags=34%, list=24%, signal=27%	MAP4K3/PAPOLG/CDK13/TGFBR2/CDK14/PARP15/MAP2K7/RFK/FLAD1/PIK3C2A/LRRK2/PGM2L1/ITPKB/DYRK2/STK16/PARP14/CDK5R1/CDK10/DCAF1/PHKG2/MAPK1/PANK2/CPNE3/BMP2K/TAF1/ETNK1/STK11/PFKP/PIM1/OAS3/NADK/POLR3H/DLG1/CLK4/ATM/PIK3CA/SRPK1/MAP4K5/SCYL1/BMPR2/MAP3K4/TYK2/MAP3K3/UPRT/IGF2R/NUAK2/MTOR/DTYMK/TUT7/PARP8/ROCK2/GRK3/PRKCE/TTBK2/MED21/NME6/PKN1/DGKZ/GRK2/CMPK2/PRKDC/PMVK/MAP3K11/DGKE/TENT5A/TP53RK/UCKL1/PARP11/PPIP5K2/CHKB/NT5C3A/WNK1/ULK1/STK38/PRIM1/POLK/VRK3/IRAK4/PIGG/CDIPT/PDPK1/GNE/TESK2/IKBKB/DCK/MAPK9/SGMS1/PIP5K1A/BAZ1B/NT5C2/OAS1/CERT1/TNK2/CCL2/NEK4/DSTYK/POLD4/CLK2/PI4K2B/TRIO/PDIK1L/EIF2AK4/MAP2K1/HTATIP2/POLR2J3/BTK/MAP4K2/NRP2/PDK1/EIF2AK2/HK1/PRKACB/POLR3A/OAS2/PTK2B/PIM2/JAK3/CSK/FER/JAK2/PARP4/POLR3K/PRKD2/MAP3K14/EPHB6/PAN3/NEK7/STK39/CDC42BPB/PEAK1/CDK19/PPM1D/POLG/PIK3CD/CCND3/PRKCI/TRPT1/PARP12/PINK1/SGK3/BCKDK/PAPSS1/DGKA/TEP1/STK25/PIGF
