ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0051607	defense response to virus	215	-0.3786503040671933	-1.752502261600148	3.495567036872135e-6	0.0038189069877828078	0.003490047720498127	1633	tags=28%, list=16%, signal=24%	APOBEC3C/CARD8/CGAS/IFI6/MLKL/TRIM13/APOBEC3G/CD40/DDX60L/TRIM27/STAT2/POLR3F/AKAP1/OASL/IFI16/TRIM56/DHX58/DDIT4/AIM2/SERINC5/IFIT5/ISG15/IRF9/ABCF3/MAVS/POLR3K/PARP9/DTX3L/TRAF3IP1/SHFL/PLSCR1/FADD/RNASEL/RTP4/EIF2AK2/BCL2L1/DDX60/ATAD3A/OAS1/IFNLR1/GBP3/APOBEC3F/POLR3B/IFIT2/STAT1/MX2/OAS2/IFI44L/USP27X/MX1/TRIM5/GBP1/IRF7/OAS3/UNC13D/HERC5/IFIT3/TICAM1/MICB/RSAD2/IFIT1
BP	GO:0140546	defense response to symbiont	215	-0.3786503040671933	-1.752502261600148	3.495567036872135e-6	0.0038189069877828078	0.003490047720498127	1633	tags=28%, list=16%, signal=24%	APOBEC3C/CARD8/CGAS/IFI6/MLKL/TRIM13/APOBEC3G/CD40/DDX60L/TRIM27/STAT2/POLR3F/AKAP1/OASL/IFI16/TRIM56/DHX58/DDIT4/AIM2/SERINC5/IFIT5/ISG15/IRF9/ABCF3/MAVS/POLR3K/PARP9/DTX3L/TRAF3IP1/SHFL/PLSCR1/FADD/RNASEL/RTP4/EIF2AK2/BCL2L1/DDX60/ATAD3A/OAS1/IFNLR1/GBP3/APOBEC3F/POLR3B/IFIT2/STAT1/MX2/OAS2/IFI44L/USP27X/MX1/TRIM5/GBP1/IRF7/OAS3/UNC13D/HERC5/IFIT3/TICAM1/MICB/RSAD2/IFIT1
CC	GO:0005887	integral component of plasma membrane	415	0.36860753013617664	1.6069258910360689	6.142292520362585e-6	0.004473636385664083	0.004088396109167658	1950	tags=31%, list=20%, signal=26%	TSPAN32/CD1C/FCRL2/SCN3A/PTPRK/FCRL1/CR1/MILR1/FCRL5/KCNH8/CD22/CLEC4A/KCNQ1/CLCN4/ATP8B2/CNTNAP2/TNFSF12/CD72/SEMA4B/NCR3/SIRPA/ICAM1/SLC16A6/PECAM1/SLC16A7/ITGB2/SLC39A10/PCDH9/CHRNA1/P2RX5/EPS8/CD70/DIABLO/FCRLA/CD69/NCF1/SLC15A2/NCF4/CALHM6/STX8/FCGR3A/SIT1/KLRD1/CD226/NKG7/KCNK12/CYSLTR1/JAM3/FXYD1/FCGR2B/ITGB7/PLXNC1/SLC2A3/TSPAN13/TMC8/SEMA4D/CCR6/GYPC/SLC25A14/SLC9A1/ITGAX/HVCN1/GP1BB/FCER2/SLC2A1/ICAM3/ST3GAL5/PLAUR/IL2RA/KCNAB2/CD8B/AGER/KLRF1/CD27/SLC23A2/TRPV3/SLC25A13/SGMS1/HLA-DQA2/P2RY8/GABBR1/PTPRJ/P2RX4/TM2D3/GPR18/PI4K2A/ESYT2/PTPRN2/JAK2/ALCAM/HLA-DPA1/NOTCH4/RASGRP3/PTK2B/RAC2/ATP1B3/FGFR1/TFRC/IL4R/ITGA4/CSF3R/CD81/CXCR5/CEMIP2/SLC5A6/ATP11A/FCRL3/TLR10/PLGRKT/GPR65/SGCB/ATP10D/ADRB2/HLA-DQA1/SEMA4A/FCGR2A/TRPV2/CALM1/MS4A1/OPN3/PTPRO/LRRC8A/ATP1B1/IL10RB/STOM/SLC26A11/MFSD12/TNFRSF13B/TRAF6
CC	GO:0031226	intrinsic component of plasma membrane	438	0.3652002959743884	1.596980339473194	9.535274222853051e-6	0.005208643544233479	0.004760109263355853	2080	tags=32%, list=21%, signal=27%	TSPAN32/CD1C/FCRL2/SCN3A/PTPRK/FCRL1/CR1/MILR1/FCRL5/KCNH8/CD22/CLEC4A/KCNQ1/CLCN4/ATP8B2/CNTNAP2/TNFSF12/CD72/SEMA4B/NCR3/SIRPA/ICAM1/SLC16A6/PECAM1/SLC16A7/ITGB2/SLC39A10/PCDH9/CHRNA1/P2RX5/EPS8/CD24/CD70/DIABLO/CD14/FCRLA/CD69/NCF1/SLC15A2/NCF4/CALHM6/STX8/FCGR3A/SIT1/KLRD1/CD226/NKG7/KCNK12/CYSLTR1/JAM3/FXYD1/FCGR2B/ITGB7/PLXNC1/SLC2A3/TSPAN13/TMC8/SEMA4D/CD52/CCR6/GYPC/SLC25A14/SLC9A1/ITGAX/HVCN1/NTNG1/GP1BB/FCER2/SLC2A1/ICAM3/ST3GAL5/PLAUR/IL2RA/KCNAB2/CD8B/AGER/KLRF1/CD27/SLC23A2/TRPV3/SLC25A13/SGMS1/HLA-DQA2/P2RY8/GABBR1/PTPRJ/P2RX4/TM2D3/GPR18/PI4K2A/ESYT2/GPHN/PTPRN2/JAK2/ALCAM/HLA-DPA1/NOTCH4/RASGRP3/PTK2B/RAC2/ATP1B3/FGFR1/TFRC/IL4R/ITGA4/CSF3R/CD81/CXCR5/CEMIP2/SLC5A6/ATP11A/FCRL3/TLR10/PLGRKT/GPR65/SGCB/ATP10D/ADRB2/HLA-DQA1/SEMA4A/FCGR2A/TRPV2/CALM1/MS4A1/OPN3/PTPRO/LRRC8A/ATP1B1/IL10RB/STOM/SLC26A11/MFSD12/TNFRSF13B/TRAF6/VAMP5/EREG/CD79B/PLXNA3/TRAF5/CD48/NINJ2/CYBA
BP	GO:0070507	regulation of microtubule cytoskeleton organization	95	-0.4746002621957263	-1.9599104893484096	1.684867715882545e-5	0.007362871918406722	0.006728829593745659	1530	tags=32%, list=15%, signal=27%	HSPA1A/CDKN1B/FKBP4/NUP62/ARL2/CKAP2/TBCD/TTBK2/BICD1/SASS6/CDK5R1/CHMP5/CLASP1/MAPRE3/MAP1S/TRAF3IP1/GBA2/CDK2AP2/MID1IP1/PKD1/GPSM2/HDAC6/CENPJ/STMN1/CAMSAP1/HSPA1B/ABL1/BORA/PHLDB2/HDGFL3
BP	GO:0019079	viral genome replication	102	-0.4393168008522723	-1.8360929920620404	4.164500059844815e-5	0.01137429078845115	0.010394811333586334	1493	tags=26%, list=15%, signal=23%	N4BP1/APOBEC3G/OASL/TBC1D20/IFI16/PPID/PIK3C3/IFIT5/ISG15/MAVS/SRPK1/CXCL8/ZBED1/SHFL/PLSCR1/RNASEL/EIF2AK2/HACD3/OAS1/APOBEC3F/OAS2/MX1/OAS3/CTBP2/CCL2/RSAD2/IFIT1
BP	GO:0007159	leukocyte cell-cell adhesion	254	0.4068118456217723	1.704628135850186	3.857267133168009e-5	0.01137429078845115	0.010394811333586334	1597	tags=26%, list=16%, signal=22%	TSPAN32/KLF4/CR1/HLA-DOB/S100A9/IFNG/NT5E/PTPN22/SIRPA/AIF1/ICAM1/S100A8/PECAM1/ITGB2/CD24/CD70/ZBTB16/SOX4/BTN2A2/GCNT1/ZAP70/PTPN6/FCGR2B/VAV1/SKAP1/MAP3K8/HES1/ITGB7/PYCARD/SEMA4D/PRDX2/VSIR/IL7/EGR3/HLA-DMA/HLA-DOA/FOXO3/IL2RA/CD300A/NRARP/SYK/ZDHHC21/NR4A3/AGER/ICOS/CD27/CD86/HLA-DQA2/FCHO1/MAD1L1/HLA-DMB/PELI1/JAK2/CD80/LGALS9/HLA-DPA1/CCL28/TBX21/RAC2/TFRC/IL4R/ITGA4/CD81/NFKBID/TNFSF9/RIPOR2
BP	GO:0009615	response to virus	281	-0.3407878445893515	-1.6325677925162192	3.1537218525618316e-5	0.01137429078845115	0.010394811333586334	1813	tags=27%, list=18%, signal=23%	TYK2/ZMPSTE24/BAX/TARBP2/ATF2/RNF216/APOBEC3C/CARD8/CGAS/IFI6/MLKL/LGALS8/TRIM13/APOBEC3G/CD40/DDX60L/TRIM27/STAT2/BCL3/POLR3F/AKAP1/OASL/GATA3/IFI16/TRIM56/DHX58/DDIT4/AIM2/EXT1/NMI/SERINC5/IFIT5/ISG15/IRF9/ABCF3/MAVS/POLR3K/PARP9/CCL4/DTX3L/TRAF3IP1/SHFL/AP1S1/PLSCR1/FADD/RNASEL/RTP4/EIF2AK2/BCL2L1/DDX60/ATAD3A/STMN1/OAS1/IFNLR1/GBP3/APOBEC3F/POLR3B/IFIT2/STAT1/MX2/OAS2/IFI44L/USP27X/MX1/TRIM5/GBP1/IRF7/OAS3/UNC13D/HERC5/IFI44/IFIT3/TICAM1/MICB/RSAD2/IFIT1
MF	GO:0004888	transmembrane signaling receptor activity	186	0.41703947962104343	1.6933783972280636	6.439501555594604e-5	0.01407031089897421	0.012858667843118909	1910	tags=38%, list=19%, signal=31%	FCRL2/PTPRK/FCRL1/CR1/MILR1/FCRL5/HLA-DOB/CLEC4A/CR2/CD72/PTCH2/ICAM1/PECAM1/ITGB2/CHRNA1/P2RX5/CD14/FCRLA/CD69/FCGR3A/GPR160/KLRD1/CYSLTR1/PTPN6/IL3RA/FCGR2B/ABCA7/PLXNC1/SIGMAR1/SEMA4D/CCR6/TLR7/PTGER4/GP1BB/HLA-DOA/IL2RA/CD300A/AGER/KLRF1/CD27/GPR82/P2RY14/HLA-DQA2/P2RY8/GABBR1/P2RX4/GPR18/PTPRN2/HLA-DPA1/PTK2B/NOTCH1/FGFR1/TNFRSF1B/AGTRAP/IL4R/CSF3R/CXCR5/TMEM116/FCRL3/TLR10/FCMR/GPR65/ADRB2/HLA-DQA1/TAPT1/TNFRSF14/FCGR2A/OPN3/PTPRO/IL10RB
MF	GO:0003700	DNA-binding transcription factor activity	677	-0.2640700535588046	-1.3571942097383636	6.0435671601537295e-5	0.01407031089897421	0.012858667843118909	2018	tags=29%, list=20%, signal=25%	ZBTB7A/ZNF460/ZBED4/ZNF709/ZNF397/ZNF430/ZNF71/ZBTB43/SP1/MNT/ZNF585B/ZFP82/ZNF605/ZNF264/ZNF768/ZNF484/ZNF302/ZNF181/ZNF76/ZNF100/HIVEP1/NFE2L1/RBPJ/NR2C2/NR2C1/CREB3/ZNF649/ZNF700/ATF2/ZNF585A/ZNF525/ZSCAN16/ZNF576/MGA/ZNF160/DEAF1/ZNF689/ZNF131/FOXP4/ZNF784/CUX1/ZNF322/ELK1/MTF1/ZSCAN9/ZNF286A/HIVEP2/ZNF771/NFX1/TCF12/HINFP/ZNF253/E2F6/ZNF141/RFX1/ZNF134/STAT2/ZNF416/ZNF701/ZNF441/ZNF48/PLAGL2/HDGF/ZNF34/ZNF354A/ZNF217/GATA3/ZNF567/ZNF189/ZFP3/ZNF621/ZNF782/ZNF707/MLX/ZSCAN2/ZNF473/IKZF2/RFXANK/ZNF354B/ZBTB40/ZBTB49/ZNF718/SP2/ZNF574/ZKSCAN8/ZNF91/ZSCAN21/CEBPB/ZSCAN26/ZNF195/CASZ1/STAT6/ZNF813/ZNF724/ZNF749/ZNF222/STAT4/MSC/IRF9/ZNF37A/ZNF14/ZNF180/ZNF641/ZNF283/ZNF846/HIC2/ELK3/ZBTB38/ZNF551/ZKSCAN4/ZNF440/ZNF549/ETV6/AEBP1/ZNF667/ZNF561/ZNF329/ZFP69B/ZNF624/ZBED1/ZNF568/ZNF785/NFAT5/ZBTB5/ZNF675/MEF2B/ZBTB33/ZNF563/VEZF1/ZNF211/ZNF383/THAP11/ZNF107/PLSCR1/ZNF765/ZNF66/JDP2/ZNF267/ZNF775/RFX3/MYNN/ZNF789/ZNF569/MYPOP/SPI1/ZNF230/ZNF182/ZNF550/ZNF583/ZNF557/AHDC1/ZBTB6/MAFG/ZNF543/ZNF619/CC2D1A/ZBTB41/CREBL2/ZNF17/ZNF671/ZSCAN32/ZNF623/ZNF333/ERF/ZNF337/TSHZ2/KLF7/ZNF552/ZNF485/ZNF419/ETS2/ZNF234/PLAGL1/ZNF852/STAT1/ZNF853/ZNF573/ZNF780A/ZNF41/E4F1/ZNF260/MAFK/ZNF420/ZNF546/ZNF23/ZNF773/ZNF816/ZNF212/IRF7/ZNF225/ZIK1/ZNF354C/RFXAP/ZFP1/ZNF704/ZNF615/ZNF582/ZNF786
