ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	113	-0.4513361963867367	-2.350424407058005	1.5434693673675806e-9	3.6364138295180196e-6	3.471993724278442e-6	2055	tags=51%, list=17%, signal=43%	ERGIC1/MIA3/TEX261/KLHL12/LMAN1/TRAPPC3/BCAP29/GOSR1/SAR1A/STX5/NRBP1/SEC16A/IER3IP1/TMED10/RAB1A/RINT1/SEC23B/SEC13/YIF1A/P4HB/TRAPPC2B/CREB3L2/TMED5/ZW10/SEC24A/YIPF6/TMED9/TBC1D20/COPA/YIPF4/TRAPPC4/PREB/GOLT1B/COPB1/SEC31A/GBF1/VCP/TMED2/TMED7/ARCN1/VAPB/SEC24C/SEC23A/TRIP11/YKT6/TFG/INSIG1/COPG1/SEC23IP/SEC22B/ARF4/GOLGA2/USO1/COPB2/KDELR2/BET1/SEC24D/HYOU1
BP	GO:0048193	Golgi vesicle transport	255	-0.31217239821999815	-1.7490570216174048	6.923062167047316e-9	8.155367232781738e-6	7.786623079463219e-6	2055	tags=35%, list=17%, signal=30%	ERGIC1/MIA3/TEX261/KLHL12/LMAN1/CCDC93/TRAPPC3/BCAP29/GOSR1/SAR1A/STX5/NRBP1/SEC16A/IER3IP1/GOSR2/GGA2/TMED10/RAB1A/RABIF/RINT1/RABEP1/SEC23B/AP3S1/RAB6A/RAB8B/RAB14/SNX1/SEC13/NSF/YIF1A/BLZF1/P4HB/TRAPPC2B/CREB3L2/KIF1C/EXOC8/SNX12/TMED5/ZW10/SEC24A/YIPF6/TMED9/PITPNB/TBC1D20/GOLGA4/COPA/YIPF4/TRAPPC4/AP3D1/SNX8/PREB/GOLGA5/GOLT1B/COPB1/SEC31A/GBF1/BET1L/VCP/TMED2/TMED7/ARCN1/VAPB/SEC24C/SEC23A/ARFGAP3/AP4M1/TRIP11/CYTH3/ARL1/YKT6/TFG/ATP2C1/INSIG1/COPG1/SPIRE1/SEC23IP/SEC22B/SCYL1/ARF4/WIPI1/GOLGA2/USO1/TMEM115/COPB2/KDELR2/BET1/SEC24D/HYOU1/RAB13/PLPP3
BP	GO:0034976	response to endoplasmic reticulum stress	209	-0.3124952212561089	-1.7516281123897444	1.5930688538531917e-7	1.25109007322604e-4	1.1945221546260599e-4	1925	tags=34%, list=16%, signal=29%	RNF121/XBP1/FLOT1/EIF2S1/UFD1/CREBZF/CXCL8/PSMC6/STT3B/SEC16A/RNF103/EIF2AK3/EDEM3/ERO1A/TBL2/GET4/TRIM13/UBXN4/P4HB/TMBIM6/ATXN3/CREB3L2/HM13/BAG6/RNFT1/ATP2A3/UFM1/RNF185/EIF4G1/DDIT3/FAF2/ATP2A2/SIRT1/NIBAN1/MARCKS/NRBF2/CANX/DERL1/EDEM1/VCP/TMED2/NFE2L2/TRAF2/PPP2CB/VAPB/CLGN/SEC61B/PDIA3/DERL2/ERLEC1/SEL1L/GORASP2/CALR/SELENOS/PDIA6/HSPA5/DNAJC3/PDIA4/SYVN1/HSP90B1/SDF2L1/THBS1/DERL3/CREB3/DNAJB9/MANF/FICD/TRIM25/HYOU1/CHAC1/CAV1
CC	GO:0042470	melanosome	94	-0.42449387478706363	-2.1637586949292724	3.1426669061847437e-7	1.480824646194251e-4	1.4138693007403785e-4	2332	tags=46%, list=19%, signal=37%	RAB7A/HPS4/RAN/SYPL1/MFSD12/RAC1/PDCD6IP/FLOT1/ANKRD27/TMED10/RAB1A/RAB2A/RAB5A/P4HB/MREG/PPIB/STX3/CTSB/ANXA2/ATP6V1B2/CANX/CLTC/RPN1/GGH/PDIA3/ATP1B3/CTNS/CD63/SLC1A5/RAB5B/SLC3A2/RAB9A/PDIA6/HSPA5/SDCBP/PDIA4/ITGB1/HSP90B1/SEC22B/SLC1A4/MMP14/CALU/GPNMB
CC	GO:0048770	pigment granule	94	-0.42449387478706363	-2.1637586949292724	3.1426669061847437e-7	1.480824646194251e-4	1.4138693007403785e-4	2332	tags=46%, list=19%, signal=37%	RAB7A/HPS4/RAN/SYPL1/MFSD12/RAC1/PDCD6IP/FLOT1/ANKRD27/TMED10/RAB1A/RAB2A/RAB5A/P4HB/MREG/PPIB/STX3/CTSB/ANXA2/ATP6V1B2/CANX/CLTC/RPN1/GGH/PDIA3/ATP1B3/CTNS/CD63/SLC1A5/RAB5B/SLC3A2/RAB9A/PDIA6/HSPA5/SDCBP/PDIA4/ITGB1/HSP90B1/SEC22B/SLC1A4/MMP14/CALU/GPNMB
MF	GO:0008514	organic anion transmembrane transporter activity	110	-0.38254426409653225	-1.9857381978805313	6.228704580857073e-7	2.1081680855286071e-4	2.0128474661668455e-4	1305	tags=28%, list=11%, signal=25%	SLC26A6/SLC25A29/SLC38A7/SLC16A7/SLC66A1/SLC35B1/SLC43A3/ABCB1/SLC38A2/SLC33A1/SERINC5/CTNS/SLC25A13/SLC1A5/SLC52A2/SLC7A1/MFSD2A/SLC3A2/SLC25A19/SLC6A6/SLC4A7/SLC6A8/SLC4A2/SLC23A2/SLC39A8/SLC1A4/SLC17A5/SLCO4A1/SLC39A14/SLC7A11/SLC16A10
MF	GO:1901702	salt transmembrane transporter activity	190	-0.31260817517678124	-1.7254571321850436	7.093966374426223e-7	2.1081680855286071e-4	2.0128474661668455e-4	1166	tags=26%, list=9%, signal=24%	ATP2A3/SLC38A7/SLC39A6/SLC16A7/SLC9A6/SLC66A1/PKD2L1/TRPC4AP/ANXA2/ATP2A2/MFSD5/TMCO3/SLC35B1/ANO6/PACC1/SCN1B/CLIC4/NCS1/SLC38A2/SLC25A13/SLC52A2/SLC7A1/SEC61A1/SLC39A13/MFSD2A/ATP2C1/SLC3A2/SLC25A19/CLIC3/ORAI2/MCOLN2/AQP9/SLC6A6/SLC4A7/SLC6A8/SLC30A4/ITGAV/SLC4A2/SLC23A2/SLC39A8/SLC1A4/SLC39A7/KCNJ15/TMEM38B/SLC39A14/SLC44A1/SLC5A3/SLC7A11/SLC16A10
BP	GO:0015711	organic anion transport	206	-0.3017471304949902	-1.680502332123247	7.158465485665898e-7	2.1081680855286071e-4	2.0128474661668455e-4	1327	tags=24%, list=11%, signal=22%	ABCD4/SLC26A6/PLIN2/SLC25A29/MGST1/SLC38A7/SLC16A7/TNFRSF11A/ACSL1/SLC66A1/NF1/FABP5/SLC35B1/SLC43A3/PLA2G4A/ABCB1/PPARA/PLEKHA8/ACSL5/SLC38A2/SLC33A1/SERINC5/CTNS/CLN8/SLC25A13/SLC1A5/SLC52A2/SLC7A1/ARL6IP1/MFSD2A/PPARG/SLC3A2/SLC25A19/ITGB1/AQP9/THBS1/SLC6A6/SLC4A7/SLC6A8/SLC4A2/SLC23A2/SLC39A8/SLC1A4/SLC17A5/SLCO4A1/SLC39A14/NMB/SLC7A11/AKR1C1/SLC16A10
MF	GO:0015291	secondary active transmembrane transporter activity	117	-0.3542985031137237	-1.845067495740148	4.615716836204092e-6	0.001087462886609684	0.0010382933556808574	1305	tags=32%, list=11%, signal=29%	SLC16A4/SLC16A1/SLC1A3/SLC30A5/SLC22A4/SLC37A2/SLC26A6/SLC35E1/SLC38A7/SLC16A7/SLC9A6/ANKH/TMCO3/SLC35B1/SLC38A2/SLC33A1/CTNS/SLC25A13/SLC1A5/MFSD2A/SLC35E3/SLC3A2/SLC11A2/SLC25A19/SLC6A6/SLC4A7/SLC6A8/SLC30A4/SLC4A2/SLC23A2/SLC39A8/SLC1A4/SLC17A5/SLCO4A1/SLC39A14/SLC5A3/SLC7A11/SLC16A10
MF	GO:0048018	receptor ligand activity	148	-0.328921482822306	-1.7549968721368738	4.3074115600364835e-6	0.001087462886609684	0.0010382933556808574	1111	tags=26%, list=9%, signal=24%	CCL4/CCL7/COPA/CXCL1/HDGF/CXCL16/TNFSF15/WNT5A/CCL23/EPGN/IL1RN/TIMP1/IL19/VEGFA/CDC42EP2/CSF2/OSGIN2/PDGFB/LGALS3/SPP1/CCL2/IL36RN/PDGFC/SEMA6B/FAM3C/SEMA3C/VEGFB/MANF/OSGIN1/BMP6/CXCL10/IL24/IL36G/EBI3/CXCL5/CCL18/NMB/GPNMB
