ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0050851	antigen receptor-mediated signaling pathway	160	0.5512671220701578	1.745373073448043	1.536994927576671e-9	3.4582385870475097e-6	3.200185228154374e-6	2013	tags=37%, list=19%, signal=30%	IGHA1/IGLC1/IGLC3/IGHG3/THEMIS/IGHM/SH2D1A/IGKC/TRDC/CD28/CD3G/IGHD/CARD11/SKAP1/ITK/GATA3/TRAT1/LAX1/TESPA1/CD79A/UBASH3A/CTLA4/PTPN22/CD79B/FCRL3/CD8B/LIME1/NFATC2/TRAC/MS4A1/CD160/TRBC2/TRBC1/EZR/INPP5D/CD3E/CD3D/RAB29/CD8A/ZAP70/SLA2/CD300A/FYB1/LCK/PDE4D/PLCG1/BTN3A2/CBLB/CD247/KLHL6/MEF2C/NCKAP1L/BTN3A1/EIF2B4/STAP1/NFAM1/PLEKHA1/TXK/VAV3
MF	GO:0140640	catalytic activity, acting on a nucleic acid	435	0.45847239128868417	1.4934724562528066	5.880085890294411e-9	6.615096626581212e-6	6.121478890001233e-6	3938	tags=52%, list=38%, signal=34%	NEIL1/METTL2A/DIS3L2/ZC3H12D/HELLS/POP5/TSEN2/TRMT11/MSH2/SHPRH/POLR1A/MCM3/HLTF/POP1/ALKBH4/DCP1B/ERI3/MCM6/ELAC2/ATAD5/SEPSECS/POLG2/DTD2/PRIM1/POLR1E/TYW1/POLH/TDP1/PUS10/POLR3K/DHX35/TRMT13/CDKAL1/RFC4/METTL5/POLR3A/POLL/RAD51D/PCNA/RFC1/POLRMT/MRE11/POLB/LARS2/NUDT16/WRN/MRM3/EXOG/IARS2/FANCM/QTRT1/TUT4/QRSL1/DNASE2/CNOT6L/MCM4/DCLRE1C/SLFN13/DDX51/TRMT2B/NSUN5/NOP2/DCPS/VPS72/DHX30/MCM8/POLI/CHD3/POLR2I/METTL16/FAN1/MCM5/ERI1/LIG1/DDX11/ENDOG/DHX33/DDX20/RCL1/EME2/SMG6/DDX31/CNOT7/TSNAX/MTFMT/BCDIN3D/TYW5/RAD17/RTCA/SMARCA2/RFC3/ANGEL2/DDX19A/METTL8/TRMT44/EXOSC10/DNMT1/REXO2/DTWD1/SLFN12/EXOSC9/TRMU/RAD50/TRMT61B/PARN/TUT1/AARSD1/DIMT1/MCM9/MGME1/DBR1/CHD7/RPP30/EXOSC2/TSR3/POLR2H/EXOSC7/RUVBL1/DDX55/MSH3/TENT4B/ERCC3/GATC/CRCP/PRORP/RPP38/DDX24/APEX1/TRPT1/DUS4L/DUS1L/DALRD3/NME1/GEN1/DIS3L/TSEN54/PUS3/DTD1/DDX46/CHD9/RTCB/METTL2B/IGHMBP2/YTHDC2/ERCC5/DHX29/HARS2/FBL/TARBP1/ZNHIT1/POLD3/DHX37/POLR3F/PRPF18/POP7/TEP1/ALKBH2/RAD51C/RFC2/APTX/RUVBL2/BUD23/MSH6/MGMT/SMARCAL1/POLR3E/ZGRF1/NT5C3A/POP4/FARSB/NOB1/DNMT3A/SNRNP200/DDX1/POLE3/SMC3/PAN3/CHRAC1/CPSF3/TTF2/BLM/EXO5/RPP21/MUTYH/RNASE2/METTL14/CNOT6/PSTK/SAMHD1/ALKBH3/HENMT1/XRCC1/DHX16/METTL15/RNGTT/POLR2F/POLR1B/FTSJ3/TRDMT1/MPG/TATDN1/MBD4/PTRH1/LRRC47/ERCC4/ERCC1/XRCC5/YARS2/DHX57/CHD6/TYW3/G3BP1/PNPT1/DDX19B/ERCC6/REV1/MBLAC1/DDX54/ASCC3/SMARCAD1/DDX23/DDX41/DHX9/POLR2J3/NAV2/DDX27
BP	GO:0002250	adaptive immune response	323	0.4746368413639623	1.535487798076045	1.3888622353075968e-8	1.0416466764806976e-5	9.639191233117285e-6	2084	tags=34%, list=20%, signal=28%	IGHA1/JCHAIN/IGLC1/IGLC3/IGHG3/CD40LG/THEMIS/CCR6/XCL1/IGHM/TRBV28/SH2D1A/FCER2/IGKC/KLRC1/TRDC/RNF125/CAMK4/CD28/CD3G/IGHD/KDM5D/KLRK1/SKAP1/TNFRSF13C/KLRC2/PRKCQ/KLRD1/CLU/ITK/CX3CR1/ERAP2/BACH2/TNFRSF13B/HLA-DOA/GATA3/TRAT1/LAX1/MSH2/RORA/SERPING1/CD79A/SH2D1B/IRF4/CD6/CTLA4/BTLA/CD79B/IL21R/ATAD5/IL18R1/LY9/CD7/CD8B/LIME1/GZMM/IFNG/RNF8/IL2RB/TRAC/CD160/PRF1/TRBC2/SPN/TRBC1/OTUD7B/LEF1/INPP5D/CD3E/CD3D/CD8A/ZAP70/JAM3/SLA2/CD84/DCLRE1C/THOC1/CD27/BTN3A2/IL27RA/FCGR3A/IL12RB1/RIPK3/CD247/HLA-DMB/CD244/TBX21/KLHL6/RNF168/MEF2C/PKN1/NCKAP1L/FCGR1A/BTN3A1/IL12A/SLC15A4/PIK3CG/ADCY7/SLAMF6/MR1/NOD2/TRAF2/TNFSF13/SLAMF1/HSPD1/TXK/EOMES/GPR183/IL7R/BATF/HRAS
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	246	0.4925586694898786	1.5826887807965206	4.356698052663681e-8	2.4506426546233205e-5	2.2677759863602002e-5	1964	tags=32%, list=19%, signal=26%	IGHA1/IGLC1/IGLC3/IGHG3/THEMIS/IGHM/SH2D1A/IGKC/KLRC1/TRDC/C5AR2/YES1/CD28/CD3G/IGHD/KLRK1/CARD11/SKAP1/KLRC2/PRKCQ/KLRD1/ITK/KLRC4/GATA3/TRAT1/LAX1/TESPA1/CD79A/UBASH3A/CTLA4/BTLA/PTPN22/CD79B/FCRL3/CD8B/PTK2/LIME1/NFATC2/KLRC3/TRAC/MS4A1/CD160/TRBC2/TRBC1/EZR/INPP5D/CD3E/CD3D/TLR6/RAB29/CD8A/ZAP70/SLA2/CD300A/NCR3/FYB1/LCK/PDE4D/FER/PLCG1/BTN3A2/FCGR3A/CBLB/CD247/LIMK1/KLHL6/MEF2C/NCKAP1L/FCGR1A/BTN3A1/EIF2B4/STAP1/NFAM1/APPL1/TLR1/PLEKHA1/NOD2/TXK
MF	GO:0030546	signaling receptor activator activity	141	-0.3450323714094545	-1.8419222332275385	2.1674539952062998e-7	9.753542978428349e-5	9.025734742143286e-5	738	tags=26%, list=7%, signal=25%	ADM/PDGFC/ZP3/CCL20/EDN1/POMC/MACC1/OSGIN2/SEMA3C/VEGFA/TGFA/INHBA/IL6/OSM/CXCL1/TNF/IL18/IL1A/WNT5A/OSGIN1/CSF2/IL36G/DLL1/CSF3/CDC42EP2/CCL23/GPNMB/IL19/IL10/IL23A/TNFSF15/CCL18/IL12B/IL24/WNT5B/EBI3/CXCL5
MF	GO:0048018	receptor ligand activity	137	-0.3465978467532648	-1.8185752743540702	3.14985077424832e-7	1.0545274921305883e-4	9.758387740043526e-5	738	tags=27%, list=7%, signal=25%	ADM/PDGFC/ZP3/CCL20/EDN1/POMC/MACC1/OSGIN2/SEMA3C/VEGFA/TGFA/INHBA/IL6/OSM/CXCL1/TNF/IL18/IL1A/WNT5A/OSGIN1/CSF2/IL36G/DLL1/CSF3/CDC42EP2/CCL23/GPNMB/IL19/IL10/IL23A/TNFSF15/CCL18/IL12B/IL24/WNT5B/EBI3/CXCL5
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	230	0.48944198405422823	1.5697012674208526	3.7494310831309805e-7	1.0545274921305883e-4	9.758387740043526e-5	2013	tags=32%, list=19%, signal=26%	IGHA1/IGLC1/IGLC3/IGHG3/THEMIS/IGHM/SH2D1A/IGKC/TRDC/C5AR2/YES1/CD28/CD3G/IGHD/KLRK1/CARD11/SKAP1/KLRC2/KLRD1/ITK/KLRC4/GATA3/TRAT1/LAX1/TESPA1/CD79A/UBASH3A/CTLA4/PTPN22/CD79B/FCRL3/CD8B/PTK2/LIME1/NFATC2/KLRC3/TRAC/MS4A1/CD160/TRBC2/TRBC1/EZR/INPP5D/CD3E/CD3D/TLR6/RAB29/CD8A/ZAP70/SLA2/CD300A/NCR3/FYB1/LCK/PDE4D/PLCG1/BTN3A2/CBLB/CD247/LIMK1/KLHL6/MEF2C/NCKAP1L/BTN3A1/EIF2B4/STAP1/NFAM1/APPL1/TLR1/PLEKHA1/NOD2/TXK/VAV3
BP	GO:0042254	ribosome biogenesis	225	0.48074792876661965	1.541102849685702	3.537601139764816e-7	1.0545274921305883e-4	9.758387740043526e-5	4388	tags=63%, list=42%, signal=37%	METTL17/SHQ1/NAT10/UTP20/URB2/C1orf109/NVL/ERI3/ZNHIT6/MTERF3/KRI1/HEATR1/MDN1/NOL9/RRS1/GTF3A/METTL5/GTF2H5/NUDT16/MRM3/REXO4/DDX51/TRMT2B/NSUN5/NOP2/RRP9/DHX30/UTP15/UTP25/BMS1/WDR36/METTL16/ERI1/PDCD11/RCL1/DDX31/SURF6/UTP4/PRKDC/MYBBP1A/RRP15/EXOSC10/NOL6/EXOSC9/TRMT61B/LAS1L/DIMT1/MALSU1/CHD7/GRWD1/RPP30/EXOSC2/TSR3/EXOSC7/NPM3/BRIX1/TENT4B/RPUSD2/RPP38/NHP2/WDR55/WDR46/RIOK1/RPUSD1/TSR2/EXOSC6/PWP1/LTV1/DHX29/FBL/DHX37/LYAR/RBIS/NOP56/RBFA/POP7/C1QBP/ERAL1/GNL3L/MTERF4/NOL8/LSG1/SRFBP1/BUD23/RIOX2/RRP8/FASTKD2/POP4/FCF1/EXOSC1/NOB1/ESF1/NOM1/TMA16/KRR1/PA2G4/RPF1/PAK1IP1/BYSL/GTPBP10/NOP53/EXOSC8/METTL15/KAT2B/FTSJ3/MPHOSPH10/FRG1/TSC1/WDR3/WDR75/NPM1/XRCC5/RRP7A/TSR1/EFL1/PELP1/WDR43/WDR12/DDX54/NSA2/NGRN/IMP4/DDX27/URB1/TBL3/AATF/MAK16/NOL11/NIFK/RIOK2/PIN4/LSM6/LTO1/WBP11/USP36/ZNF593/MRTO4/MTREX/SDAD1/METTL18/NOP58
BP	GO:0034470	ncRNA processing	328	0.4541452617276385	1.4698177812790938	4.555182657109826e-7	1.1387956642774565e-4	1.053818865001548e-4	4076	tags=53%, list=39%, signal=33%	TRUB1/ADAT2/METTL2A/POP5/SHQ1/TSEN2/TRMT11/NAT10/UTP20/FAM98B/INTS9/POP1/NVL/ERI3/ZNHIT6/ELAC2/SEPSECS/KRI1/TYW1/HEATR1/AGO1/NOL9/PUS10/POLR3K/OSGEP/TRMT13/RRS1/CDKAL1/METTL5/GTF2H5/NUDT16/MRM3/QTRT1/TUT4/NUP155/REXO4/MTO1/ZMPSTE24/DDX51/TRMT2B/INTS7/NSUN5/NOP2/RRP9/UTP15/CLP1/INTS2/UTP25/BMS1/ZC3H7B/WDR36/METTL16/ERI1/PDCD11/THADA/RCL1/ELP1/TSNAX/UTP4/MTFMT/BCDIN3D/TYW5/PRKDC/METTL8/TRMT44/RRP15/EXOSC10/NOL6/DTWD1/EXOSC9/TRMU/TRMT61B/PARN/TUT1/LAS1L/DIMT1/CHD7/INTS10/RPP30/EXOSC2/THUMPD1/ELP4/TSR3/EXOSC7/NPM3/INTS8/BRIX1/TENT4B/TRUB2/RPUSD2/PRORP/LAGE3/RPP38/GRSF1/TRPT1/NHP2/WDR55/DUS4L/DUS1L/WDR46/DALRD3/RIOK1/RPUSD1/TSR2/EXOSC6/TSEN54/PUS3/PWP1/RTCB/METTL2B/CDK5RAP1/TP53/SPOUT1/FBL/TARBP1/DHX37/LYAR/NOP56/RBFA/POP7/MTERF4/NOL8/SRFBP1/BUD23/RRP8/CTU2/POP4/FCF1/EXOSC1/NOB1/ESF1/ELP3/DDX1/KRR1/PA2G4/RPF1/RPP21/PSTK/BYSL/NOP53/EXOSC8/HENMT1/METTL15/KAT2B/FTSJ3/MPHOSPH10/FRG1/TRDMT1/NCBP1/WDR3/WDR75/ELP2/ELP6/RRP7A/TYW3/CTU1/TSR1/PELP1/WDR43/NCBP2/WDR12/DDX54/NSA2/IMP4/TGFB1/DDX27/URB1/SMAD3/TOE1/TBL3/MOCS3/INTS12/HSD17B10/MAK16
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	108	-0.35959062160338656	-1.9002505370119882	5.178884406151611e-7	1.1652489913841125e-4	1.0782982479334616e-4	2005	tags=44%, list=19%, signal=36%	COG3/PEF1/TRAPPC8/TRAPPC3/GBF1/KDELR1/LMAN2/TRAPPC4/TMED2/COPB1/P4HB/SEC24B/TMED9/RNF139/GOLGA2/COPA/ARCN1/SEC13/VAPB/SEC24C/YIPF6/SEC16A/STX5/RAB1A/YIF1A/YKT6/VCP/TMED5/TFG/GOLT1B/ARF4/SEC22B/COPB2/TRAPPC2B/SEC24D/INSIG1/TMED7/SEC31A/KDELR2/COPG1/BET1/USO1/HYOU1/SEC23IP/SEC24A/PREB/SEC23B
CC	GO:0012507	ER to Golgi transport vesicle membrane	50	-0.504806482955482	-2.284370413102014	5.890321327950691e-7	1.2048384534444595e-4	1.1149335489652123e-4	1772	tags=42%, list=17%, signal=35%	MCFD2/PEF1/GOSR2/TMED2/HLA-DQA2/SEC24B/SEC13/SEC24C/SEC16A/STX5/SEC22B/SLC30A5/SEC24D/TMED7/SEC31A/TGFA/USO1/SEC23IP/SEC24A/SEC23B/HLA-DRB5
MF	GO:0030545	signaling receptor regulator activity	149	-0.33212572813809754	-1.7377983962042036	8.667522279505139e-7	1.500148086837428e-4	1.3882072120535355e-4	738	tags=26%, list=7%, signal=24%	ADM/PDGFC/ZP3/CCL20/EDN1/POMC/MACC1/OSGIN2/SEMA3C/VEGFA/TGFA/INHBA/CLEC12A/IL6/OSM/CXCL1/TNF/IL18/IL1A/WNT5A/OSGIN1/CSF2/IL36G/DLL1/CSF3/CDC42EP2/CCL23/GPNMB/IL19/IL10/IL23A/TNFSF15/CCL18/IL12B/IL24/WNT5B/EBI3/CXCL5
BP	GO:0050852	T cell receptor signaling pathway	116	0.5463787994673782	1.7053276971719413	8.589479406891791e-7	1.500148086837428e-4	1.3882072120535355e-4	1186	tags=30%, list=11%, signal=27%	THEMIS/SH2D1A/TRDC/CD28/CD3G/CARD11/SKAP1/ITK/GATA3/TRAT1/TESPA1/UBASH3A/CTLA4/PTPN22/CD8B/LIME1/TRAC/CD160/TRBC2/TRBC1/EZR/INPP5D/CD3E/CD3D/RAB29/CD8A/ZAP70/SLA2/CD300A/FYB1/LCK/PDE4D/PLCG1/BTN3A2/CBLB
MF	GO:0005125	cytokine activity	89	-0.3977099179126887	-2.0198945442417857	1.0349534387683289e-6	1.6633180265919573e-4	1.5392014299877853e-4	385	tags=26%, list=4%, signal=25%	VEGFA/INHBA/IL6/OSM/CXCL1/TNF/IL18/IL1A/WNT5A/CSF2/IL36G/CSF3/CCL23/IL19/IL10/IL23A/TNFSF15/CCL18/IL12B/IL24/WNT5B/EBI3/CXCL5
CC	GO:0030134	COPII-coated ER to Golgi transport vesicle	76	-0.4149022054041023	-2.0335941341785686	1.2082573857227182e-6	1.8123860785840772e-4	1.6771460413751135e-4	1772	tags=38%, list=17%, signal=32%	GOSR2/LMAN2/TMED2/HLA-DQA2/SERPINA1/SEC24B/COL7A1/TMED9/GOLGA2/SEC13/SEC24C/YIPF6/SEC16A/STX5/YIF1A/CTSC/TMED5/SEC22B/SLC30A5/F8/SEC24D/TMED7/SEC31A/TGFA/USO1/SEC23IP/SEC24A/SEC23B/HLA-DRB5
