ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	113	-0.40733240539158894	-2.11205438886388	2.4849976739177046e-8	5.901869475554548e-5	5.6030158079281304e-5	2813	tags=60%, list=23%, signal=47%	CUL3/SEC22C/SAR1B/TRAPPC11/MIA3/KLHL12/CSNK1D/LMAN1/TRAPPC6B/SEC22A/PEF1/RINT1/TRAPPC3/SEC24B/TEX261/GOSR1/SEC16A/IER3IP1/P4HB/TMED10/ERGIC1/SAR1A/YIF1A/NRBP1/RAB1A/TMED9/BCAP29/SEC13/STX5/LMAN2L/YIPF6/SEC23B/TMED5/COPA/ZW10/GBF1/TRAPPC2B/CREB3L2/SEC31A/SEC24C/TMED2/YIPF4/SEC24A/TBC1D20/SEC23A/VCP/TRAPPC4/COPB1/TRIP11/TMED7/GOLT1B/TFG/ARCN1/PREB/SEC22B/INSIG1/VAPB/ARF4/COPG1/SEC23IP/YKT6/GOLGA2/USO1/KDELR2/COPB2/BET1/SEC24D/HYOU1
BP	GO:0002250	adaptive immune response	339	0.4374511409159619	1.5363738359432786	2.0130558523629243e-7	2.3905038246809727e-4	2.2694555977691497e-4	3126	tags=37%, list=26%, signal=29%	IGLC3/JCHAIN/IGHA1/TRBV28/KLRC1/CX3CR1/RAP1GAP2/IGHM/TRGC1/IGKC/FUT7/RNF125/XCL1/CD1D/CARD9/KLRC2/IGHD/IGLC1/IRF4/KDM5D/CD79A/KLRK1/HFE/TNFRSF13C/SERPING1/CD28/KLRD1/MEF2C/CAMK4/RORA/FCER2/HLA-DMB/TNFSF13/IGHG3/IFNG/PRKCZ/BTN3A1/C5/CD79B/LAX1/JAM3/ATAD5/THEMIS/PRF1/FCGR2B/TRDC/CD3E/TNFSF13B/SLA2/CD27/CD8B/CLU/TRAT1/HLA-DOA/C1QA/SLAMF1/PYCARD/IL2RB/CR1/INPP5D/FCGR1A/CD1C/THOC1/GATA3/JAK3/LEF1/SPN/LIME1/PRR7/BATF/BTN3A2/GZMM/EOMES/C1RL/CD7/SKAP1/ITK/LILRA1/PRKCQ/ZAP70/EIF2AK4/CD8A/LTA/TFRC/CD40LG/DUSP22/ERAP2/CLEC10A/BACH2/LILRB3/CCR6/PRKD2/PRKCB/CD4/SASH3/CD3G/CLEC6A/HLA-DMA/PIK3CD/BTK/SH2D1A/PIK3CG/KMT5C/NLRP3/CLEC4G/IL12RB1/ADGRE1/RAB27A/PKN1/LAT2/TRBC2/JAK2/APLF/CD244/CD80/BTN3A3/CD46/ADCY7/WAS/IL21R/CD84/PVR/TYK2/LOXL3/SIGLEC10/IL17RA/TBX21
BP	GO:1905954	positive regulation of lipid localization	67	-0.4375226618222661	-2.0743239417412767	7.1852927384523615e-6	0.0030518813392897822	0.0028973428603916735	804	tags=28%, list=7%, signal=27%	SIRT1/LPL/PLA2G4A/PTGES/TMF1/ACSL5/PLIN3/DENND5B/TNFRSF11A/PPARG/ABCA1/SPP1/EEPD1/NMB/HILPDA/BMP6/DAB2/C3/CAV1
MF	GO:0008514	organic anion transmembrane transporter activity	110	-0.36549037404801704	-1.880594850756257	5.204185040066117e-6	0.0030518813392897822	0.0028973428603916735	1598	tags=34%, list=13%, signal=30%	SLC38A2/MFSD12/SLC16A6/SLC16A1/SLC1A2/SLC66A1/SLC16A7/SLC38A7/ABCD1/SLC25A29/SLC2A6/SLC3A2/SERINC5/CTNS/SLC26A6/SLC35B1/MFSD2A/SLC52A2/SLC33A1/SLC43A3/SLC22A4/SLC1A5/SLC6A8/SLC25A13/SLC4A7/SLC7A1/SLC6A6/SLC25A19/SLC4A2/SLC23A2/SLC39A8/SLC1A4/SLC17A5/SLC39A14/SLCO4A1/SLC7A11/SLC16A10
BP	GO:1905952	regulation of lipid localization	99	-0.3576342713784544	-1.8357524069881728	1.1565024022571806e-5	0.0030518813392897822	0.0028973428603916735	804	tags=22%, list=7%, signal=21%	SIRT1/LPL/PLA2G4A/PTGES/TMF1/ACSL5/PLIN3/DENND5B/PPARA/SURF4/TNFRSF11A/PPARG/ABCA1/SPP1/ITGAV/EEPD1/NMB/HILPDA/BMP6/DAB2/C3/CAV1
MF	GO:0015291	secondary active transmembrane transporter activity	118	-0.34888947000332465	-1.8191079190107806	5.01790011100992e-6	0.0030518813392897822	0.0028973428603916735	1598	tags=34%, list=13%, signal=30%	SLC38A2/MFSD12/SLC35C1/SLC16A6/SLC35E1/SLC16A1/SLC37A2/SLC2A13/SLC1A2/SLC16A7/SLC38A7/SLC3A2/ANKH/SLC9A6/CTNS/SLC26A6/SLC35B1/MFSD2A/TMCO3/SLC33A1/SLC22A4/SLC1A5/SLC6A8/SLC25A13/SLC35E3/SLC4A7/SLC6A6/SLC11A2/SLC25A19/SLC4A2/SLC23A2/SLC39A8/SLC30A4/SLC5A3/SLC1A4/SLC17A5/SLC39A14/SLCO4A1/SLC7A11/SLC16A10
MF	GO:1901702	salt transmembrane transporter activity	188	-0.2876206817170894	-1.6390507093469164	8.020528514260406e-6	0.0030518813392897822	0.0028973428603916735	1199	tags=25%, list=10%, signal=23%	CNNM4/SLC16A7/SLC38A7/SLC25A29/ATP2A2/TRPC4AP/SLC3A2/SLC39A6/PACC1/MFSD5/SLC9A6/SLC26A6/ANO6/SLC35B1/MFSD2A/TMCO3/SLC52A2/SEC61A1/NCS1/SCN1B/CLIC4/SLC39A13/MCOLN2/SLC6A8/SLC25A13/PKD2L1/SLC4A7/ATP2C1/AQP9/SLC7A1/SLC6A6/ORAI2/SLC25A19/SLC4A2/SLC23A2/SLC39A8/ITGAV/SLC30A4/SLC39A7/SLC5A3/SLC1A4/TMEM38B/KCNJ15/SLC44A1/SLC39A14/SLC7A11/SLC16A10
BP	GO:0046649	lymphocyte activation	591	0.3773835657466173	1.3425648134771353	1.1184631165962278e-5	0.0030518813392897822	0.0028973428603916735	2997	tags=31%, list=24%, signal=25%	ZBTB16/KLRC1/TRGC1/FUT7/XCL1/CD1D/KLRC2/FCRL3/VSIR/TPD52/MERTK/FLT3/IRF4/SLC46A2/ITGA4/CD79A/KLRK1/RIPOR2/HFE/FCHO1/MYB/MNDA/TNFRSF13C/FGL2/JAML/CD28/BANK1/KLRD1/MEF2C/CD300A/BST1/PTPN22/CAMK4/HDAC4/HELLS/RORA/HLA-DMB/TNFSF13/IFNG/PRKCZ/VSIG4/CCND3/BTN3A1/FLOT2/CD79B/TBC1D10C/MAPK8IP1/LAX1/TSPAN32/ATAD5/THEMIS/GPR18/PRF1/FCGR2B/ZEB1/TRDC/DROSHA/PRKDC/KAT2A/CD3E/YES1/ZFP36L2/BCL11B/TNFSF13B/SLA2/CD27/ATM/CD8B/PTGER4/GPR89B/HLA-DOA/TNFAIP8L2/ITGAL/GPAM/KLRC3/CEACAM21/SLAMF1/PYCARD/IL2RB/CR1/INPP5D/NFAM1/CD1C/SMARCD3/THOC1/TESPA1/GATA3/JAK3/LEF1/SPN/NFATC2/RASGRP1/TMEM131L/PRDX2/CORO1A/NKG7/CCDC88B/CD2/PRR7/BATF/CD5/HES1/CMTM7/SKAP2/DOCK2/EOMES/CD7/CARD11/GAS6/NCR1/SH2D2A/LEPR/SCRIB/ITK/PRKCQ/TP53/ZAP70/EGR1/EIF2AK4/HSH2D/CD8A/ID2/EFNB1/SOX4/TFRC/CD40LG/HHEX/DUSP22/DOCK8/CCR6/SH3RF1/ITPKB/AIF1/PRKCB/TCF7/SIRPB1/CD4/BST2/SASH3/DNAJA3/FKBP1A/CD3G/NRARP/GSN/HLA-DMA/PIK3CD/BTK/PIK3CG/KMT5C/CDK6/MS4A1/LGALS9/NLRP3/CLEC4G/RHOH/NEDD9/STOML2/IL12RB1/CTPS1/THEMIS2/MEN1/IKZF3/RAB27A/CASP8/PKN1/LAT2/TRBC2/MFNG/FANCD2/PHF14/JAK2/SMARCA2/CD22/SLC39A10/APLF/CD244/CD80/IKZF1/APBB1IP/CD46/WAS/IRF8/IL21R/PLCL2/CD84
BP	GO:0045321	leukocyte activation	695	0.37090855003046747	1.323022020220448	1.0628880428852847e-5	0.0030518813392897822	0.0028973428603916735	2997	tags=31%, list=24%, signal=25%	ZBTB16/KLRC1/CX3CR1/TRGC1/FUT7/XCL1/CD1D/RAB44/KLRC2/FCRL3/VSIR/TPD52/MERTK/FLT3/IRF4/SLC46A2/ITGA4/CD79A/KLRK1/CXCR2/RIPOR2/FES/HFE/PRAM1/FCHO1/MYB/SELPLG/MNDA/TNFRSF13C/FGL2/JAML/CD28/BANK1/KLRD1/MEF2C/CD300A/BST1/PTGDS/CD300LF/PTPN22/CAMK4/SYT11/HDAC4/HELLS/RORA/HLA-DMB/TNFSF13/IFNG/PRKCZ/VSIG4/CCND3/BTN3A1/FLOT2/CD79B/TBC1D10C/MAPK8IP1/LRRK2/LAX1/TSPAN32/ATAD5/THEMIS/GPR18/PRF1/FCGR2B/ZEB1/TRDC/DROSHA/PRKDC/KAT2A/CD3E/YES1/ZFP36L2/BCL11B/TNFSF13B/SLA2/CD27/ATM/CD8B/CLU/PTGER4/GPR89B/HLA-DOA/TNFAIP8L2/ITGAL/GPAM/C1QA/KLRC3/CEACAM21/SLAMF1/VAMP8/PYCARD/IL2RB/CR1/INPP5D/NFAM1/CD1C/PLPP6/SMARCD3/THOC1/CST7/TESPA1/GATA3/JAK3/NR1D1/LEF1/SPN/NFATC2/RASGRP1/TMEM131L/PRDX2/CEBPA/CORO1A/NKG7/CCDC88B/CD2/PRR7/BATF/CD5/HES1/CMTM7/SKAP2/DOCK2/CD33/EOMES/CD7/CARD11/GAS6/NCR1/SH2D2A/STK39/LEPR/SCRIB/ITK/BCR/PRKCQ/TP53/ZAP70/EGR1/EIF2AK4/HSH2D/CD8A/ID2/ITGB2/EFNB1/SOX4/TFRC/CD40LG/HHEX/SNCA/LDLR/DUSP22/DOCK8/C12orf4/CCR6/SH3RF1/ITPKB/AIF1/PRKCB/TLR6/TCF7/SIRPB1/CD4/BST2/SASH3/DNAJA3/FKBP1A/CD3G/NRARP/GSN/HLA-DMA/PIK3CD/BTK/PIK3CG/KMT5C/DYSF/CDK6/MS4A1/ITGAM/LGALS9/LILRA2/NLRP3/CLEC4G/RHOH/SPHK2/NEDD9/STOML2/SNAP23/IL12RB1/CTPS1/NR1H3/THEMIS2/MEN1/IKZF3/RAB27A/CASP8/PKN1/LAT2/TRBC2/MFNG/FANCD2/PHF14/JAK2/SMARCA2/CD22/SLC39A10/APLF/CD244/CD80/IKZF1/APBB1IP/IFI35/CD46/WAS/IRF8/IL21R/PLCL2/CD84
BP	GO:0050853	B cell receptor signaling pathway	58	0.5700423563119035	1.7965817646120308	2.2867560876777554e-5	0.0054310457082346695	0.00515603319979553	2992	tags=48%, list=24%, signal=37%	IGLC3/IGHA1/IGHM/IGKC/IGHD/FCRL3/IGLC1/CD79A/MNDA/BANK1/MEF2C/CD300A/PTPN22/IGHG3/CD79B/FCGR2B/NFAM1/NFATC2/LIME1/ITK/PRKCB/PIK3CD/BTK/MS4A1/LAT2/CD22/SLC39A10/PLCL2
