ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	716	-0.29880520334465155	-1.5636401894898797	2.294445415568106e-9	4.806251420396007e-6	4.5332973697531524e-6	2031	tags=27%, list=17%, signal=24%	ZNF850/STAT1/ZNF761/NFXL1/ZNF333/ZNF281/ZFP14/ZBTB5/ZNF708/TGIF1/ZNF217/MLX/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZNF700/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/LHX4/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/CC2D1A/BMI1/ZNF829/MTF1/IRF3/PRMT5/ZNF510/ETV6/ZNF107/ZNF583/FOXO4/ZBTB7A/ZNF287/ZNF816/TBX19/ZNF286A/ZNF765/HIVEP2/ZNF500/ZNF675/ZSCAN16/ZNF766/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF441/ZNF354A/ZNF546/ZNF681/E4F1/ZBTB2/VDR/ZNF7/ZNF565/ZNF267/ZNF445/ETS2/ZC3H8/ZNF189/IKZF4/ZSCAN32/ZNF483/ZNF594/TCF4/SAFB/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF443/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ZNF212/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ETV7/ZNF670/IKZF2/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/ZNF71/ZFP1/ZNF280B/HLF/APP/EHMT2/ZNF354C/ZNF420/SMAD3/CC2D1B/MED12/PRDM15/ZNF623/HOXB3/ZNF782/AEBP1/NR2C2/TFEB/ZBTB41/ZNF486/TBP/ZNF852/ZSCAN29/ZBTB9/NR2F6/POU2F2/SOX8/ZKSCAN3/ZNF709/ZNF181/ZNF574/ZNF517/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/TFCP2/ZNF284/ZNF12/IKZF3/ZNF865/ZNF696/ZNF530/ZNF691/ZNF416/ZNF319/ZNF573/ZNF239/GLIS3/MAFG/SNAPC3/ZNF624/ZNF704/ZNF526/ZNF175/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/STOX1/ZNF17/EOMES/ZNF853/ZNF322/IRF7/ZNF627/ZNF283/ZNF57/ZNF799/ZKSCAN4/FOXP3/GTF2IRD1/ZNF232/ZNF823/MYPOP/ZNF449/ZNF2/MYB
MF	GO:0000976	transcription cis-regulatory region binding	798	-0.28724117286995327	-1.5198926892207991	4.1290819762852296e-9	4.806251420396007e-6	4.5332973697531524e-6	2031	tags=26%, list=17%, signal=23%	ZNF850/STAT1/ZNF761/NFXL1/ZNF333/ZNF281/TAF4/TBL1XR1/ZFP14/SUV39H1/ZBTB5/ZNF708/TGIF1/ZNF217/MTOR/MLX/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZNF700/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/LHX4/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/ZBTB14/CC2D1A/BMI1/ZNF829/MTF1/IRF3/PRMT5/MTERF3/ZNF510/ETV6/ZNF107/ZNF583/FOXO4/ZBTB7A/ZNF287/ZNF816/TBX19/ZNF286A/ZNF765/HIVEP2/ZNF500/ZNF675/ZSCAN16/ZNF766/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF441/ZNF354A/ZNF546/ZNF681/E4F1/ZBTB2/VDR/ZNF7/ZNF565/ZNF267/ZNF445/ETS2/ZC3H8/ZNF189/IKZF4/ZSCAN32/ZNF483/ZNF594/TCF4/SAFB/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF443/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ZNF212/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ETV7/ZNF670/BASP1/IKZF2/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/POLRMT/ZNF71/ZFP1/ZNF280B/HLF/APP/EHMT2/ZNF354C/ZNF420/SMAD3/CC2D1B/MED12/PRDM15/ZNF623/HOXB3/ZNF782/AEBP1/NR2C2/TFEB/ZBTB41/ZNF486/TBL1X/TBP/ZNF852/ZSCAN29/ZBED6/ZBTB9/NR2F6/POU2F2/SOX8/ZKSCAN3/ZNF709/ZNF181/ZNF574/ZNF517/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/MEN1/TFCP2/ZNF284/ZNF12/IKZF3/ZNF865/ZNF696/ZNF530/ZNF691/ZNF416/ZNF319/ZNF573/ZNF239/GLIS3/MAFG/SNAPC3/ZNF624/ZNF579/ZNF704/ZNF526/ZNF175/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/STOX1/ZNF17/EOMES/ZNF853/ZNF322/IRF7/ZNF627/ZNF283/ZNF57/ZNF799/ZKSCAN4/FOXP3/GTF2IRD1/ZNF232/ZNF823/MYPOP/ZNF449/ZNF2/MYB
MF	GO:0001067	transcription regulatory region nucleic acid binding	800	-0.28679498562772804	-1.517803642215512	7.036391867173475e-9	5.460240088926616e-6	5.150145064885568e-6	2031	tags=26%, list=17%, signal=23%	ZNF850/STAT1/ZNF761/NFXL1/ZNF333/ZNF281/TAF4/TBL1XR1/ZFP14/SUV39H1/ZBTB5/ZNF708/TGIF1/ZNF217/MTOR/MLX/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZNF700/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/LHX4/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/ZBTB14/CC2D1A/BMI1/ZNF829/MTF1/IRF3/PRMT5/MTERF3/ZNF510/ETV6/ZNF107/ZNF583/FOXO4/ZBTB7A/ZNF287/ZNF816/TBX19/ZNF286A/ZNF765/HIVEP2/ZNF500/ZNF675/ZSCAN16/ZNF766/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF441/ZNF354A/ZNF546/ZNF681/E4F1/ZBTB2/VDR/ZNF7/ZNF565/ZNF267/ZNF445/ETS2/ZC3H8/ZNF189/IKZF4/ZSCAN32/ZNF483/ZNF594/TCF4/SAFB/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF443/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ZNF212/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ETV7/ZNF670/BASP1/IKZF2/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/POLRMT/ZNF71/ZFP1/ZNF280B/HLF/APP/EHMT2/ZNF354C/ZNF420/SMAD3/CC2D1B/MED12/PRDM15/ZNF623/HOXB3/ZNF782/AEBP1/NR2C2/TFEB/ZBTB41/ZNF486/TBL1X/TBP/ZNF852/ZSCAN29/ZBED6/ZBTB9/NR2F6/POU2F2/SOX8/ZKSCAN3/ZNF709/ZNF181/ZNF574/ZNF517/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/MEN1/TFCP2/ZNF284/ZNF12/IKZF3/ZNF865/ZNF696/ZNF530/ZNF691/ZNF416/ZNF319/ZNF573/ZNF239/GLIS3/MAFG/SNAPC3/ZNF624/ZNF579/ZNF704/ZNF526/ZNF175/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/STOX1/ZNF17/EOMES/ZNF853/ZNF322/IRF7/ZNF627/ZNF283/ZNF57/ZNF799/ZKSCAN4/FOXP3/GTF2IRD1/ZNF232/ZNF823/MYPOP/ZNF449/ZNF2/MYB
BP	GO:0051607	defense response to virus	218	-0.4100038569181093	-1.9348282081814545	4.2369950957452214e-8	1.8153960229963977e-5	1.712297026573741e-5	1642	tags=26%, list=14%, signal=23%	LYST/IRF3/NMB/TICAM1/SLFN11/APOBEC3H/EXOC1/ATAD3A/IFIH1/DTX3L/CD40/TRIM56/TRIM13/POLR3C/IFNAR2/GBP3/MX2/TRIM34/RNASEL/IFI16/DDX60/TRIM25/MAVS/TRIM35/EXOSC4/STAT2/DHX58/RTP4/TRIM27/EIF2AK2/POLR3K/HYAL2/IFIT3/IL6/USP27X/F2RL1/TRIM21/RIPK3/PLSCR1/HERC5/IFIT5/ZNF175/TRIM32/PARP9/FADD/IFI44L/IRF7/TRIM5/OAS2/MX1/FOXP3/AIM2/RSAD2/OAS3/OAS1/IFIT1
BP	GO:0140546	defense response to symbiont	218	-0.4100038569181093	-1.9348282081814545	4.2369950957452214e-8	1.8153960229963977e-5	1.712297026573741e-5	1642	tags=26%, list=14%, signal=23%	LYST/IRF3/NMB/TICAM1/SLFN11/APOBEC3H/EXOC1/ATAD3A/IFIH1/DTX3L/CD40/TRIM56/TRIM13/POLR3C/IFNAR2/GBP3/MX2/TRIM34/RNASEL/IFI16/DDX60/TRIM25/MAVS/TRIM35/EXOSC4/STAT2/DHX58/RTP4/TRIM27/EIF2AK2/POLR3K/HYAL2/IFIT3/IL6/USP27X/F2RL1/TRIM21/RIPK3/PLSCR1/HERC5/IFIT5/ZNF175/TRIM32/PARP9/FADD/IFI44L/IRF7/TRIM5/OAS2/MX1/FOXP3/AIM2/RSAD2/OAS3/OAS1/IFIT1
MF	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	648	-0.2927273606099764	-1.5238968371617134	4.678855729372159e-8	1.8153960229963977e-5	1.712297026573741e-5	2031	tags=27%, list=17%, signal=24%	ZNF850/STAT1/ZNF761/ZNF333/ZNF281/ZFP14/ZNF708/TGIF1/ZNF217/MLX/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/CC2D1A/BMI1/ZNF829/MTF1/IRF3/PRMT5/ETV6/ZNF107/ZNF583/FOXO4/ZBTB7A/ZNF287/ZNF816/TBX19/ZNF286A/ZNF765/HIVEP2/ZNF500/ZNF675/ZSCAN16/ZNF766/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF354A/ZNF546/ZNF681/E4F1/ZBTB2/VDR/ZNF7/ZNF565/ZNF267/ZNF445/ETS2/ZNF189/IKZF4/ZSCAN32/ZNF483/ZNF594/TCF4/SAFB/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ZNF212/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ZNF670/IKZF2/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/ZNF71/ZFP1/ZNF280B/HLF/APP/ZNF354C/ZNF420/SMAD3/CC2D1B/MED12/PRDM15/ZNF623/HOXB3/ZNF782/NR2C2/TFEB/ZBTB41/ZNF486/TBP/ZNF852/ZSCAN29/ZBTB9/NR2F6/POU2F2/SOX8/ZKSCAN3/ZNF181/ZNF574/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/TFCP2/ZNF284/ZNF12/IKZF3/ZNF865/ZNF530/ZNF691/ZNF416/ZNF319/ZNF573/ZNF239/GLIS3/MAFG/SNAPC3/ZNF624/ZNF704/ZNF526/ZNF175/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/ZNF17/EOMES/ZNF853/ZNF322/IRF7/ZNF283/ZKSCAN4/FOXP3/GTF2IRD1/ZNF232/MYPOP/ZNF449/ZNF2/MYB
BP	GO:0009615	response to virus	288	-0.3629971731096729	-1.7652414484484267	2.1437291705649212e-7	7.129430727250194e-5	6.724539924508912e-5	1050	tags=21%, list=9%, signal=20%	APOBEC3H/LGALS8/EXOC1/ATAD3A/IFIH1/DTX3L/CD40/TRIM56/TRIM13/POLR3C/IFNAR2/GBP3/MX2/NMI/CCL4/TRIM34/SMAD3/RNASEL/STMN1/IFI16/DDX60/TRIM25/MAVS/POU2F2/TRIM35/EXOSC4/STAT2/IRAK3/ITGB8/DHX58/RTP4/TRIM27/EIF2AK2/SRC/POLR3K/HYAL2/IFIT3/IL6/USP27X/F2RL1/TRIM21/RIPK3/PLSCR1/HERC5/IFIT5/ZNF175/TRIM32/PARP9/FADD/IFI44L/IRF7/TRIM5/OAS2/MX1/FOXP3/AIM2/RSAD2/OAS3/ACTA2/OAS1/IFIT1
MF	GO:0003700	DNA-binding transcription factor activity	641	-0.2869422932440354	-1.495248670938875	4.462990539087437e-7	1.298730246874444e-4	1.2249734558600518e-4	2385	tags=30%, list=20%, signal=25%	ZNF566/GABPA/MAFK/ZNF66/ELK4/ZBTB48/ZNF678/ZNF169/ZNF383/ZFP90/ZNF439/ZNF581/IKZF1/ZNF562/ZNF438/ZNF671/CREBL2/MAZ/ZNF652/NACC1/ENO1/RFX1/ZBTB4/ZNF850/STAT1/NFXL1/ZNF559/ZNF281/ZBTB5/ZNF708/ZNF337/TGIF1/ZNF217/MLX/ZNF100/ZNF37A/PPARA/ZBED1/ZNF700/ZBTB38/MEF2A/NFE2L1/ZNF174/ZNF33A/SREBF2/LHX4/ZNF133/ZNF446/ZNF91/THAP11/ZBTB14/CC2D1A/ZNF829/MTF1/ZNF248/IRF3/ZNF582/ZNF510/ETV6/ZNF107/FOXO4/ZBTB7A/ZNF557/ZNF287/ZNF550/TBX19/HIVEP2/ZNF500/ZNF675/GTF2IRD2B/ZSCAN16/ZBTB34/CREB3/ZNF506/WIZ/ZNF85/ZNF441/E4F1/ZNF674/ZBTB47/ZBTB2/VDR/ZNF343/ZNF267/ZNF445/ETS2/ZNF398/ZC3H8/IKZF4/ZSCAN32/ZNF594/TCF4/ZNF48/ZNF225/ZNF443/ZNF93/ZNF646/ELK3/ZNF197/E2F3/ZKSCAN1/ESRRA/ZNF212/SP1/POU6F1/GFI1/ETV7/ZNF764/IKZF2/ZNF25/ZNF224/ZSCAN22/ZNF485/TFAP4/ZNF71/ZNF280B/HLF/GTF2I/SMAD3/CC2D1B/ZNF77/PRDM15/HOXB3/ZFP37/ZNF782/AEBP1/TSHZ2/NR2C2/TFEB/ZNF787/ZBTB41/ZNF486/ZSCAN29/ZBED6/ZBTB9/NR2F6/POU2F2/SOX8/ZFP69/ZKSCAN3/ZNF709/ZNF574/ZNF517/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/TFCP2/ZNF284/IKZF3/HOMEZ/ZNF865/ZNF785/ZNF696/ZNF691/PCBP3/ZNF319/ZNF239/ZNF619/GLIS3/MAFG/PLSCR1/HOXB2/ZNF579/ZNF704/ZBTB3/ZNF175/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/EOMES/ZNF555/ZNF853/ZNF322/IRF7/ZNF627/ZNF57/ZNF799/ZKSCAN4/ZFP69B/FOXP3/GTF2IRD1/ZNF232/ZNF823/MYPOP/ZNF449/MYB
MF	GO:0000987	cis-regulatory region sequence-specific DNA binding	662	-0.287896628821943	-1.500560319475494	5.738010507533734e-7	1.484232051282059e-4	1.3999403413702185e-4	2031	tags=27%, list=17%, signal=24%	ZNF850/STAT1/ZNF761/ZNF333/ZNF281/ZFP14/ZNF708/TGIF1/ZNF217/MTOR/MLX/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/CC2D1A/BMI1/ZNF829/MTF1/IRF3/PRMT5/ETV6/ZNF107/ZNF583/FOXO4/ZBTB7A/ZNF287/ZNF816/TBX19/ZNF286A/ZNF765/HIVEP2/ZNF500/ZNF675/ZSCAN16/ZNF766/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF354A/ZNF546/ZNF681/E4F1/ZBTB2/VDR/ZNF7/ZNF565/ZNF267/ZNF445/ETS2/ZNF189/IKZF4/ZSCAN32/ZNF483/ZNF594/TCF4/SAFB/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ZNF212/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ZNF670/IKZF2/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/ZNF71/ZFP1/ZNF280B/HLF/APP/ZNF354C/ZNF420/SMAD3/CC2D1B/MED12/PRDM15/ZNF623/HOXB3/ZNF782/NR2C2/TFEB/ZBTB41/ZNF486/TBP/ZNF852/ZSCAN29/ZBTB9/NR2F6/POU2F2/SOX8/ZKSCAN3/ZNF181/ZNF574/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/TFCP2/ZNF284/ZNF12/IKZF3/ZNF865/ZNF530/ZNF691/ZNF416/ZNF319/ZNF573/ZNF239/GLIS3/MAFG/SNAPC3/ZNF624/ZNF704/ZNF526/ZNF175/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/ZNF17/EOMES/ZNF853/ZNF322/IRF7/ZNF283/ZKSCAN4/FOXP3/GTF2IRD1/ZNF232/MYPOP/ZNF449/ZNF2/MYB
MF	GO:0038023	signaling receptor activity	348	0.39804612953498336	1.6931945238689237	9.39204056766275e-7	1.8220558701265735e-4	1.7185786512407452e-4	2178	tags=31%, list=18%, signal=26%	NR4A1/NR4A3/CHRNA1/NR4A2/CR1/PTGDR/PTGER2/CD69/KRT1/CD300A/KLRC1/REG4/CHRNE/ITGB2/OR4D1/TREM1/FCN1/CCR8/PTCH1/PTCH2/GP1BB/P2RX5/PLXNA4/HLA-DQA2/KLRK1/LTB4R/TLR1/CYSLTR2/IL17RC/CD8A/ADGRF3/P2RY11/CD8B/HLA-DOA/ADGRE5/PTGER4/ABCA7/MMD/PECAM1/KLRG1/GABBR1/RNF139/CLEC7A/CSF3R/ADGRG1/ADRB2/RXRA/P2RY14/CCR10/LILRB3/CD79B/AGTRAP/HPGD/LPAR2/VIPR1/RAMP1/P2RX7/CD14/KLRB1/NR3C2/SDC4/NOD2/IL1RAP/IL11RA/CTSH/FZD3/TNFRSF10D/CD93/P2RX4/SREBF1/TNFRSF10B/TNFRSF9/HRH2/LRP6/INTS6/TSPO/GPR150/NRP2/OPN3/GPR146/GPR135/FGFR1/HLA-DPA1/TMIGD2/GPR65/ANXA2R/ICAM1/CD4/PKD1/DCBLD2/ITGA4/C5AR1/SPN/PLAUR/TNFRSF10A/ADGRL1/FCER1G/JMJD6/LTBP4/PTPRK/CXCR4/NR1D1/INPP5K/PLXNB2/TNFRSF4/EPHA1/PTPRN2
