ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0044282	small molecule catabolic process	203	-0.45760907314156646	-1.7936264895079048	9.93685326473471e-7	0.0021930635155269504	0.0021223026604364975	2690	tags=46%, list=26%, signal=34%	GALM/AKT2/BPNT1/GATD1/ENO2/GLYCTK/ACOX3/ACAD8/PEX13/AMDHD2/RBKS/GLS/SCP2/ADA/ENTPD4/APOBEC3C/ACOT8/KYNU/CROT/CRAT/PKM/IDNK/HSD17B10/BCAT2/NUDT5/ACADVL/DDAH2/ACADM/SULT1A1/BAD/ADAL/BDH2/ACSF3/ACAA1/PFKP/ATP2B4/ENTPD7/AUH/KYAT3/INPP5B/ECHS1/INPP5E/AHCY/AKT1/HMGCL/ETFB/MPST/QDPR/HSD17B4/GALT/APOBEC3F/GPD2/ECI2/ALDH6A1/SULT1A3/APOBEC3D/ACAT2/AKR1A1/PEX7/DECR1/DPEP2/PGD/DECR2/ECH1/NUDT8/HIBADH/MCEE/TYSND1/SLC25A12/GLB1/FUT8/SHMT1/ECI1/PNKD/PCCB/GALK1/GCDH/RIDA/GALE/GK/HADH/FUT10/SRD5A3/SLC25A44/INPP4B/PFKL/NUDT7/GNPDA1/AASS/PDXP/AMACR/SLC27A4/TKTL1
BP	GO:0072527	pyrimidine-containing compound metabolic process	56	-0.5841184653846736	-1.9371950223897327	1.603663742413566e-5	0.011797619598355801	0.01141696046791974	1536	tags=41%, list=15%, signal=35%	ENTPD7/DCTD/MTOR/NME3/DUT/DHFR2/APOBEC3F/OGG1/SMUG1/ALDH6A1/APOBEC3D/TYMP/UCKL1/ENTPD5/SHMT1/CAD/NME4/CMPK2/DHODH/DTYMK/UCK2/NTHL1/TKTL1
MF	GO:0016491	oxidoreductase activity	382	-0.37616977179167427	-1.5439989569135684	1.2929621778076408e-5	0.011797619598355801	0.01141696046791974	2414	tags=32%, list=24%, signal=25%	CYP1B1/TXNRD2/NDUFA2/SESN1/SDHA/PNPO/DHRS13/OGFOD2/HMOX2/NDUFB10/H6PD/SURF1/CYP2U1/GSTO1/CPOX/IFI30/HIF1AN/CRAT/HSD17B10/ACADVL/PRDX3/ACADM/KCNAB2/MGST3/ALKBH7/PCYOX1/RDH10/NDUFS7/PCBD2/CBR4/TECR/BDH2/CCS/NDUFS8/PTGS2/P3H1/DHFR/TM7SF2/NDUFA8/CYB561D2/ETHE1/DNAJC10/RSBN1L/ACAA1/DUS3L/BLVRA/SCO2/CYP2R1/UGDH/NDUFB3/DHRS12/VKORC1/CRYZ/ETFB/DHRS4L2/VKORC1L1/RDH11/FADS3/EGLN2/G6PD/QDPR/ALDH3A2/P4HTM/HSD17B4/FADS1/FOXRED1/DHFR2/ME2/COX15/RIOX2/QSOX2/GPD2/CHCHD4/ALDH6A1/HPGD/HSD17B7/ABCC4/AKR1A1/PDIA4/TXNDC5/DECR1/PGD/DECR2/ALDH18A1/GMPR2/SESN3/AIFM1/IDH1/HIBADH/PYCR2/UQCRC1/GLRX2/GLRX/MTHFR/MTHFD1/HSDL2/CBR1/JMJD7/VAT1/DHODH/DHRS1/GCDH/PPOX/DEGS2/PCBD1/NDUFB5/HADH/KDM5D/SRD5A3/CYB5A/CP/AKR7A2/PAM/HTATIP2/DHTKD1/ENOX2/AASS/HSPBAP1/DHRS4/MSRB2/PAOX
BP	GO:0046395	carboxylic acid catabolic process	126	-0.46947795193507036	-1.7501833737477992	2.259546314971332e-5	0.012467046792854325	0.012064788087044295	2482	tags=44%, list=24%, signal=33%	ACOX3/ACAD8/PEX13/AMDHD2/GLS/SCP2/ACOT8/KYNU/CROT/CRAT/IDNK/HSD17B10/BCAT2/ACADVL/DDAH2/ACADM/BDH2/ACSF3/ACAA1/ATP2B4/AUH/KYAT3/ECHS1/AHCY/AKT1/HMGCL/ETFB/QDPR/HSD17B4/ECI2/ALDH6A1/ACAT2/AKR1A1/PEX7/DECR1/DPEP2/PGD/DECR2/ECH1/NUDT8/HIBADH/MCEE/TYSND1/SHMT1/ECI1/PCCB/GCDH/RIDA/HADH/SLC25A44/NUDT7/GNPDA1/AASS/AMACR/SLC27A4
BP	GO:0016054	organic acid catabolic process	128	-0.47124895803773537	-1.759789660163599	4.055872550061642e-5	0.017902621435972085	0.01732497979805278	2482	tags=44%, list=24%, signal=34%	ACOX3/ACAD8/PEX13/AMDHD2/GLS/SCP2/ACOT8/KYNU/CROT/CRAT/IDNK/HSD17B10/BCAT2/ACADVL/DDAH2/ACADM/BDH2/ACSF3/ACAA1/ATP2B4/AUH/KYAT3/ECHS1/AHCY/AKT1/HMGCL/ETFB/MPST/QDPR/HSD17B4/ECI2/ALDH6A1/ACAT2/AKR1A1/PEX7/DECR1/DPEP2/PGD/DECR2/ECH1/NUDT8/HIBADH/MCEE/TYSND1/SHMT1/ECI1/PCCB/GCDH/RIDA/HADH/SLC25A44/NUDT7/GNPDA1/AASS/AMACR/SLC27A4
BP	GO:1901605	alpha-amino acid metabolic process	95	-0.4946061750859484	-1.780227537099451	5.834671050919353e-5	0.020020817523454606	0.019374830684706267	2149	tags=42%, list=21%, signal=34%	ENOPH1/GART/HSD17B10/NIT2/BCAT2/DDAH2/SERINC3/MTAP/MTR/PCBD2/DHFR/ATP2B4/AUH/KYAT3/AHCY/HMGCL/MPST/QDPR/DHFR2/APIP/ALDH6A1/PPAT/ICMT/MRI1/ALDH18A1/CLN3/HIBADH/PYCR2/SLC25A12/MTHFR/MTHFD1/SHMT1/CAD/GCDH/RIDA/PCBD1/BCAT1/AASS/DGLUCY/SLC7A11
BP	GO:0044057	regulation of system process	172	0.35551910882792886	1.6576420658054947	6.350055399373912e-5	0.020020817523454606	0.019374830684706267	865	tags=17%, list=8%, signal=16%	CD38/ATP1B1/PER2/EPAS1/NR4A1/HOMER1/SREBF1/GPR35/NR4A3/HEY2/STX1A/MTMR2/PROK2/LMNA/INPP5K/TNF/ATP2B1/EGR2/CNIH2/SRC/ABL1/FABP5/CTDP1/ITGAX/GLRX3/RAB8B/FOXO1/TWF1/ADRB2/JARID2
BP	GO:0033993	response to lipid	428	0.271229151794167	1.3864716725497184	1.2952934581980275e-4	0.03573390827803809	0.03458092666689208	1604	tags=21%, list=16%, signal=19%	AREG/CD38/IRF8/ABCA1/NOCT/LDLR/PF4/RORB/YES1/NR4A1/FOSB/SREBF1/GDAP1/NR4A3/PPBP/CD55/LANCL2/LGALS9/ABCG1/SCD/EFNA5/GRAMD1B/SPON2/TNF/TESC/NLRP3/ATP2B1/PAK1/ADAM9/PTGDS/SBNO2/CES1/POR/TNFAIP3/BCL2L11/S100A9/SIGIRR/SRC/UCP2/ABL1/LYN/ADNP2/KLF4/CRLS1/FOXO1/JUND/PLCG2/PRKCE/TGFB1/PLAA/DDIT4/SYNJ1/CNOT1/AKAP8/FOS/CSF1/ZNF35/INSIG1/GOT1/PER1/PELI1/SLC11A1/STAT3/LITAF/RNF14/CNOT2/DAG1/IL18BP/ACSL1/AKR1C3/CTSH/SLC7A5/ARID5A/MAP2K7/NFKB1/HAVCR2/ABCA2/MAPK8/XBP1/PGRMC2/AHR/KDM3A/DNAJA1/CALR/RXRA/PPP5C/TRIM24/TRAF6/SIRT1/AIF1/RNF6
BP	GO:0002274	myeloid leukocyte activation	127	0.3725866013939277	1.6683400988011072	2.3145370508151166e-4	0.04256819392624135	0.04119469891319186	1375	tags=28%, list=13%, signal=25%	LDLR/NR4A3/LAT2/ITGAM/TLR3/MYO18A/LGALS9/TNF/CD226/ADAM9/C12orf4/PTGDS/SBNO2/NDRG1/TLR1/TSPAN32/LYN/JUN/JUND/PLCG2/PRKCE/JMJD6/CD93/PSEN1/CSF1/NOTCH2/IL4R/SLC11A1/GAB2/BATF3/VAMP7/RABGEF1/IFNG/HAVCR2/S100A13/SNX4
BP	GO:0006909	phagocytosis	139	0.3662010943731798	1.652703130700747	1.740886191393423e-4	0.04256819392624135	0.04119469891319186	1808	tags=28%, list=18%, signal=23%	IRF8/ABCA1/LDLR/YES1/ITGAM/VPS33B/MYO18A/IGHA1/SPON2/ARHGAP12/TNF/PAK1/SRC/VAV3/ABL1/LYN/CORO1C/NCF2/CNN2/ELMO2/PLCG2/PRKCE/JMJD6/ITGAV/CD93/SLC11A1/ELMO1/VAMP7/CD302/IFNG/RAB5A/CALR/MYO1G/AIF1/BIN2/ITGB2/PIK3CA/ARL8B/VIPAS39
