ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0002694	regulation of leukocyte activation	317	0.2906233457705363	1.5297298054489443	3.913588036214908e-6	0.007936756537443834	0.0075594042594256386	1026	tags=22%, list=12%, signal=20%	NLRP3/IFNG/SPHK1/IRF4/IL2RA/TSPAN32/PELI1/ITGAM/VSIR/CD55/AHR/TNFRSF4/IL4R/GPR137B/IL15RA/GPR183/CD226/VAV1/NEDD9/RUNX1/FGL2/IL12RB1/SLC7A1/ID2/HMGB3/MAD1L1/NR4A3/IGHM/CDKN1A/CD83/RABGEF1/YES1/NFKBIZ/KAT5/TNFRSF9/TNFRSF1B/LYN/MAP3K8/CARD11/FBXO7/SLC15A4/CD160/IL6ST/CD3E/CRTAM/ITGB2/TGFB1/DUSP10/SHLD3/HAVCR2/JUND/DCAF15/VAMP7/HSPD1/ZC3H12A/PRNP/SHLD1/IGKC/EXOSC6/TFRC/PPP2R3C/SOCS5/PNP/TNIP2/TNFSF14/RARA/LGALS3/IRS2/XRCC6
CC	GO:0005814	centriole	88	-0.5280153551399364	-1.830939397015368	2.1004433530062527e-5	0.013860550051904985	0.013201551616965455	1821	tags=56%, list=22%, signal=44%	CEP350/CEP76/OFD1/SSNA1/IQCB1/CEP89/KIF2A/TUBD1/HERC2/SCLT1/KIF3A/RAB11A/CEP120/CETN2/IFT43/CEP44/HYLS1/HSPA1A/CEP104/CCDC88A/CEP170/IFT88/CEP290/TUBGCP3/CCDC92/CEP78/MDM1/CEP192/NEDD1/POC1B/CCDC57/CEP63/RTTN/WRAP73/CEP295/NIN/AHI1/CEP152/SFI1/CETN3/SASS6/CEP164/CCSAP/TTBK2/RABL2B/ALMS1/SDCCAG8/SPICE1/TSGA10
BP	GO:0050867	positive regulation of cell activation	220	0.31168883692308447	1.5762020427949868	1.6726255308229573e-5	0.013860550051904985	0.013201551616965455	1026	tags=23%, list=12%, signal=20%	NLRP3/IFNG/IL2RA/PELI1/ITGAM/VSIR/CD55/TNFRSF4/IL4R/GP1BB/IL15RA/GPR183/CD226/VAV1/RUNX1/IL12RB1/SLC7A1/NR4A3/IGHM/CDKN1A/CD83/YES1/NFKBIZ/KAT5/LYN/MAP3K8/CARD11/CD160/IL6ST/CD3E/ITGB2/TGFB1/DUSP10/SHLD3/HAVCR2/JUND/VAMP7/HSPD1/SHLD1/IGKC/EXOSC6/TFRC/PPP2R3C/SOCS5/PNP/TNIP2/TNFSF14/RARA/IRS2/XRCC6
BP	GO:0050865	regulation of cell activation	332	0.27757471883623624	1.473683629452106	3.142756637235003e-5	0.013860550051904985	0.013201551616965455	1026	tags=21%, list=12%, signal=20%	NLRP3/IFNG/SPHK1/IRF4/IL2RA/TSPAN32/PELI1/ITGAM/VSIR/CD55/AHR/TNFRSF4/IL4R/GPR137B/GP1BB/IL15RA/GPR183/CD226/VAV1/NEDD9/RUNX1/FGL2/IL12RB1/SLC7A1/ID2/HMGB3/MAD1L1/NR4A3/IGHM/CDKN1A/CD83/RABGEF1/YES1/NFKBIZ/KAT5/TNFRSF9/TNFRSF1B/LYN/MAP3K8/CARD11/FBXO7/PRKCD/SLC15A4/CD160/IL6ST/CD3E/CRTAM/ITGB2/TGFB1/DUSP10/SHLD3/HAVCR2/JUND/DCAF15/VAMP7/HSPD1/ZC3H12A/PRNP/SHLD1/IGKC/EXOSC6/TFRC/PPP2R3C/SOCS5/PNP/TNIP2/TNFSF14/RARA/LGALS3/IRS2/XRCC6
BP	GO:0098609	cell-cell adhesion	337	0.27704517291644304	1.464813731103672	3.4172953776886054e-5	0.013860550051904985	0.013201551616965455	940	tags=21%, list=11%, signal=19%	NECTIN3/NLRP3/IFNG/ITGAX/IL2RA/ST3GAL4/PALLD/TSPAN32/PELI1/AMIGO2/ITGAM/VSIR/CD55/CX3CR1/IL1RN/IL4R/NINJ1/VAV1/ICAM1/MYADM/PIK3CB/ITGA6/CSRP1/RUNX1/CLSTN3/FGL2/IL12RB1/SLC7A1/HSPB1/MAD1L1/NR4A3/CD83/YES1/ITGAV/NFKBIZ/EPB41L5/CD58/TENM1/KAT5/EZR/BAIAP2/LYN/NFAT5/MAP3K8/NF2/CARD11/VMP1/PRKCD/PKD1/CD160/IL6ST/CD3E/ANXA2/CTNNA1/IRAK1/CRTAM/ITGB2/TGFB1/DUSP10/TNIP1/S100A8/HAVCR2/HSPD1/ZC3H12A/PRNP/RIC8A/SERPINB8/TFRC/SOCS5/PNP/TNFSF14
BP	GO:0035710	CD4-positive, alpha-beta T cell activation	72	0.4415944687475625	1.8997721834958308	5.6939988460168566e-5	0.019245716099536975	0.01833068049551041	1221	tags=35%, list=14%, signal=30%	NLRP3/IFNG/IRF4/IL2RA/VSIR/CD55/IL4R/GPR183/RUNX1/IL12RB1/CD83/NFKBIZ/CARD11/PTGER4/CRACR2A/CD160/CD3E/ZFPM1/STOML2/ZC3H12A/SOCS5/RARA/BRAF/STAT3/RELB
BP	GO:0002696	positive regulation of leukocyte activation	217	0.3055077694436131	1.5450980207684306	7.902200856874154e-5	0.02289380476820112	0.021805321161449738	1026	tags=23%, list=12%, signal=20%	NLRP3/IFNG/IL2RA/PELI1/ITGAM/VSIR/CD55/TNFRSF4/IL4R/IL15RA/GPR183/CD226/VAV1/RUNX1/IL12RB1/SLC7A1/NR4A3/IGHM/CDKN1A/CD83/YES1/NFKBIZ/KAT5/LYN/MAP3K8/CARD11/CD160/IL6ST/CD3E/ITGB2/TGFB1/DUSP10/SHLD3/HAVCR2/JUND/VAMP7/HSPD1/SHLD1/IGKC/EXOSC6/TFRC/PPP2R3C/SOCS5/PNP/TNIP2/TNFSF14/RARA/IRS2/XRCC6
BP	GO:0046634	regulation of alpha-beta T cell activation	71	0.43909742366680315	1.887647396668274	9.164565261861314e-5	0.02323217293881843	0.022127601651994094	975	tags=27%, list=12%, signal=24%	NLRP3/IFNG/IRF4/IL2RA/VSIR/CD55/IL4R/RUNX1/IL12RB1/CD83/NFKBIZ/CARD11/CD160/CD3E/CRTAM/ZC3H12A/SOCS5/PNP/RARA
BP	GO:0051249	regulation of lymphocyte activation	284	0.2757685133757206	1.444252940147558	1.3253310322416156e-4	0.02986412592651107	0.02844423911302181	1026	tags=21%, list=12%, signal=19%	NLRP3/IFNG/IRF4/IL2RA/TSPAN32/PELI1/VSIR/CD55/AHR/TNFRSF4/IL4R/IL15RA/GPR183/VAV1/NEDD9/RUNX1/FGL2/IL12RB1/SLC7A1/ID2/HMGB3/MAD1L1/IGHM/CDKN1A/CD83/YES1/NFKBIZ/KAT5/TNFRSF9/TNFRSF1B/LYN/MAP3K8/CARD11/FBXO7/SLC15A4/CD160/IL6ST/CD3E/CRTAM/TGFB1/DUSP10/SHLD3/HAVCR2/DCAF15/HSPD1/ZC3H12A/PRNP/SHLD1/IGKC/EXOSC6/TFRC/PPP2R3C/SOCS5/PNP/TNIP2/TNFSF14/RARA/LGALS3/IRS2/XRCC6
BP	GO:0045321	leukocyte activation	519	0.239597908504075	1.3168475693679922	1.575512628393451e-4	0.03195139610381919	0.030432270243178763	1221	tags=22%, list=14%, signal=20%	NLRP3/IFNG/SPHK1/IRF4/IL2RA/EGR1/ERCC1/CSF2/TSPAN32/PELI1/IRF8/ITGAM/VSIR/CD55/CX3CR1/NCAPH2/NDRG1/PRR7/AHR/TLR3/PRDX1/TNFRSF4/IL4R/GPR137B/IL15RA/GPR183/CD226/VAV1/IL21R/ICAM1/NEDD9/RUNX1/CDK6/JMJD6/FGL2/IL12RB1/CD3G/SLC7A1/ID2/HMGB3/MAD1L1/NR4A3/IGHM/CDKN1A/CD83/RABGEF1/YES1/NFKBIZ/CTPS1/KAT5/TNFRSF9/TNFRSF1B/LYN/RNF168/MAP3K8/CARD11/PTGER4/FBXO7/CRACR2A/PRKCD/GPR18/SLC15A4/SLA2/CD160/IL6ST/CD3E/CRTAM/ITGB2/SBNO2/TGFB1/ZFPM1/DUSP10/STOML2/SHLD3/HAVCR2/JUND/DCAF15/VAMP7/HSPD1/ZC3H12A/PRNP/LRRC8A/SHLD1/IFNGR1/IGKC/EXOSC6/TFRC/PPP2R3C/EZH2/SOCS5/PNP/TNIP2/TNFSF14/JUN/KIF13B/RAB29/RARA/NFIL3/LGALS3/IRS2/XRCC6/FNIP1/NHEJ1/SH2D2A/RASSF5/SMAD3/PAG1/PLCG2/BRAF/XBP1/IRF2BP2/IL15/STAT3/EXOSC3/MAFB/RELB
BP	GO:0002274	myeloid leukocyte activation	111	0.3684369604019881	1.7151951029767398	2.4468104718669206e-4	0.04511028760860105	0.0429655235968976	949	tags=24%, list=11%, signal=22%	IFNG/SPHK1/IRF4/CSF2/TSPAN32/ITGAM/CX3CR1/NDRG1/TLR3/IL4R/GPR137B/CD226/JMJD6/NR4A3/RABGEF1/LYN/PRKCD/ITGB2/SBNO2/HAVCR2/JUND/VAMP7/HSPD1/ZC3H12A/IFNGR1/TNIP2/JUN
BP	GO:1903900	regulation of viral life cycle	99	-0.49254331770097254	-1.7320465274075174	2.7212293278388526e-4	0.045988775640476605	0.04380224400512539	1333	tags=29%, list=16%, signal=25%	MAVS/OAS3/TRIM21/TRIM34/EIF2AK2/TRIM25/TRIM59/TASOR/NOTCH1/LY6E/ISG15/MORC2/ADARB1/IFITM3/TRIM22/MX1/PPIE/IFIT1/TRIM5/TRIM68/TRIM27/OAS2/APOBEC3H/PPARA/RSAD2/TRIM14/BST2/FAM111A/OAS1
