ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0051607	defense response to virus	155	-0.5032695533473255	-2.169267131083547	2.775304133533793e-9	2.3409690366357546e-6	2.119455946188176e-6	936	tags=39%, list=15%, signal=34%	RNF135/SENP7/PPM1B/NT5C3A/NCBP3/LYST/MLKL/GBP3/EXOC1/NDUFAF4/STAT2/APOBEC3G/APOBEC3C/TRIM38/ADAR/IRF9/NLRC5/PTPN22/IFI16/MYD88/SETD2/POLR3D/DDX56/TRIM22/CCDC92/IRF2/POLR3K/IFIH1/APOBEC3F/TOMM70/ZMYND11/ISG15/STAT1/DTX3L/TBK1/OASL/TRIM56/TRIM13/ABCF3/IFIT2/SLFN13/IRF3/PLSCR1/APOBEC3D/BIRC3/APOBEC3H/MX2/DDX60L/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/OAS2/IFIT3/HERC5/MX1
BP	GO:0140546	defense response to symbiont	155	-0.5032695533473255	-2.169267131083547	2.775304133533793e-9	2.3409690366357546e-6	2.119455946188176e-6	936	tags=39%, list=15%, signal=34%	RNF135/SENP7/PPM1B/NT5C3A/NCBP3/LYST/MLKL/GBP3/EXOC1/NDUFAF4/STAT2/APOBEC3G/APOBEC3C/TRIM38/ADAR/IRF9/NLRC5/PTPN22/IFI16/MYD88/SETD2/POLR3D/DDX56/TRIM22/CCDC92/IRF2/POLR3K/IFIH1/APOBEC3F/TOMM70/ZMYND11/ISG15/STAT1/DTX3L/TBK1/OASL/TRIM56/TRIM13/ABCF3/IFIT2/SLFN13/IRF3/PLSCR1/APOBEC3D/BIRC3/APOBEC3H/MX2/DDX60L/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/OAS2/IFIT3/HERC5/MX1
BP	GO:0009615	response to virus	209	-0.4327569686255939	-1.933642770227147	1.4546295723006118e-7	8.17986696157044e-5	7.405850910204168e-5	936	tags=32%, list=15%, signal=28%	RNF135/CREBZF/SENP7/PPM1B/NT5C3A/NCBP3/LYST/MLKL/SMAD3/GBP3/EXOC1/NDUFAF4/STAT2/APOBEC3G/APOBEC3C/TRIM38/ADAR/IRF9/NLRC5/PTPN22/IFI16/MYD88/SETD2/POLR3D/LGALS8/DDX56/TRIM22/CCDC92/IRF2/NMI/POLR3K/POU2F2/IFIH1/APOBEC3F/TOMM70/GATA3/ZMYND11/ISG15/STAT1/DTX3L/TBK1/OASL/TRIM56/TRIM13/ABCF3/IFIT2/SLFN13/IRF3/PLSCR1/APOBEC3D/BIRC3/APOBEC3H/MX2/DDX60L/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/OAS2/IFIT3/HERC5/MX1
BP	GO:0098542	defense response to other organism	423	-0.3491697136081846	-1.6837380173790577	1.3664000644342196e-6	5.762792271751321e-4	5.21749077235277e-4	1070	tags=29%, list=18%, signal=25%	STX4/BNIP3L/RELB/HK1/PSTPIP1/IFITM3/TRIM44/SRPK1/MR1/CYLD/PIK3CG/RNF135/SENP7/ADAM17/PPM1B/NT5C3A/TIFA/NCBP3/LYST/MLKL/CD96/GBP3/EXOC1/NDUFAF4/XIAP/CEBPG/STAT2/STXBP3/APOBEC3G/APOBEC3C/TRIM38/KLRC2/ADAR/PTK2B/IRF9/NLRC5/PTPN22/IFI16/RAB27A/MYD88/SETD2/POLR3D/GBP4/CRK/SP100/LGALS8/TRIM4/TUSC2/APPL1/MALT1/DDX56/TRIM22/CD2/CCDC92/PLEKHM2/CD6/ERAP1/IRF2/APPL2/PARP1/STAT5B/NMI/CXCL8/POLR3K/TMEM33/TMEM43/TRAFD1/PARP14/CXCL2/ADAM8/IFIH1/IFI35/APOBEC3F/TOMM70/GATA3/ZMYND11/ISG15/SH2D1B/NLRC3/STAT1/FBXO9/N4BP1/TRIM14/CD244/DTX3L/TBK1/N4BP3/OASL/TNFRSF1A/TRIM56/TRIM13/FASLG/CXCL3/ABCF3/IFIT2/SLFN13/IRF3/RBPJ/ZDHHC18/PLSCR1/APOBEC3D/BIRC3/APOBEC3H/MX2/DDX60L/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/CCL3L1/PPP1R14B/MIAT/OAS2/IFIT3/HERC5/MX1
BP	GO:0045069	regulation of viral genome replication	59	-0.5787831254474006	-2.1311851839263483	2.8330886219674155e-6	7.965700842098383e-4	7.21195015872758e-4	1037	tags=42%, list=17%, signal=35%	PKN2/IFITM3/SRPK1/VAPB/PPIE/APOBEC3G/APOBEC3C/TRIM38/ADAR/IFI16/CXCL8/IFIH1/TMEM39A/APOBEC3F/ISG15/HACD3/N4BP1/OASL/PLSCR1/APOBEC3D/APOBEC3H/EIF2AK2/IFIT5/OAS2/MX1
BP	GO:0045087	innate immune response	341	-0.35768249685523323	-1.6890474593203495	2.531118286242576e-6	7.965700842098383e-4	7.21195015872758e-4	1017	tags=28%, list=17%, signal=24%	PSTPIP1/IFITM3/SRPK1/MR1/CYLD/PIK3CG/RNF135/SENP7/TIFA/LYST/CD96/GBP3/XIAP/CEBPG/STAT2/STXBP3/APOBEC3G/APOBEC3C/TRIM38/KLRC2/ADAR/PTK2B/NLRC5/PTPN22/IFI16/RAB27A/MYD88/SETD2/POLR3D/GBP4/CRK/SP100/TRIM4/APPL1/MALT1/TRIM22/CD2/CCDC92/PLEKHM2/CD6/ERAP1/APPL2/PARP1/STAT5B/NMI/POLR3K/TMEM33/TMEM43/TRAFD1/PARP14/ADAM8/IFIH1/IFI35/APOBEC3F/TOMM70/GATA3/ISG15/SH2D1B/NLRC3/STAT1/FBXO9/N4BP1/TRIM14/CD244/DTX3L/TBK1/N4BP3/OASL/TRIM56/TRIM13/FASLG/IFIT2/IRF3/ZDHHC18/PLSCR1/APOBEC3D/BIRC3/APOBEC3H/MX2/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/CCL3L1/PPP1R14B/OAS2/IFIT3/HERC5/MX1
BP	GO:0048525	negative regulation of viral process	52	-0.6081861124632776	-2.189694380514695	3.875204058316057e-6	8.614952101916884e-4	7.799766324451002e-4	807	tags=40%, list=13%, signal=35%	APOBEC3G/APOBEC3C/IFI16/LY6E/IFIH1/APOBEC3F/ISG15/STAT1/N4BP1/TRIM14/OASL/TRIM13/PLSCR1/APOBEC3D/APOBEC3H/TRIM5/TRIM27/EIF2AK2/IFIT5/OAS2/MX1
BP	GO:0019079	viral genome replication	87	-0.5122693709091575	-2.0255895497835334	4.085335910808244e-6	8.614952101916884e-4	7.799766324451002e-4	1037	tags=33%, list=17%, signal=28%	PKN2/IFITM3/SRPK1/VAPB/SMARCB1/PPIE/APOBEC3G/APOBEC3C/TRIM38/ADAR/IFI16/ATG16L2/DDX56/CXCL8/IFIH1/TMEM39A/APOBEC3F/ISG15/GRK2/HACD3/N4BP1/OASL/PLSCR1/APOBEC3D/APOBEC3H/EIF2AK2/IFIT5/OAS2/MX1
BP	GO:1903900	regulation of viral life cycle	81	-0.5312562501570175	-2.075171875116129	4.6568021934512965e-6	8.728917000391486e-4	7.902947348184599e-4	1037	tags=37%, list=17%, signal=31%	PKN2/IFITM3/SRPK1/VAPB/PPIE/APOBEC3G/APOBEC3C/TRIM38/ADAR/IFI16/LY6E/TRIM22/CXCL8/IFIH1/TMEM39A/APOBEC3F/ISG15/HACD3/N4BP1/TRIM14/OASL/PLSCR1/APOBEC3D/APOBEC3H/TRIM5/TRIM27/EIF2AK2/IFIT5/OAS2/MX1
BP	GO:0007155	cell adhesion	410	0.32038085541881545	1.5913555308976421	1.3369197539022344e-5	0.0019688978120570347	0.001782591785664217	1057	tags=26%, list=17%, signal=23%	CX3CR1/TSPAN32/VSIR/RHOB/ST3GAL4/FGL2/CD226/IFNG/HLA-DMA/DUSP1/CD3E/NEDD9/ITGB7/TESC/IL32/ANXA2/HSPB1/S100A9/ADGRG1/MYADM/SERPINB8/SELL/SPON2/CITED2/ITGA6/TFRC/S100A8/DAB2/BCL2L11/ITGB2/MYO1G/ITGAX/FNDC3A/CD160/NCAM1/PYCARD/RSU1/CHST2/LGALS1/ITGAM/YES1/IGFBP7/PELI1/PSEN1/SIPA1/RELA/AKT1/PPP2R1A/BCL2/METAP1/PDE3B/PRDX2/HLA-DPB1/CXCR4/PTPN11/ACTB/ICAM3/MAD1L1/PXN/ITGAL/ZAP70/CCL28/TRAF6/CDK6/SIGLEC7/IL4R/SKAP1/XCL1/GTPBP4/ST6GAL1/XBP1/VMP1/DUSP22/LPP/FERMT3/CYFIP2/CD55/CEBPB/SPOCK2/NFKBIZ/STK10/ACTG1/TNF/CALR/VCL/DENND6A/IL12RB1/ID1/KLRK1/EZR/CYTH1/FLOT2/ADGRE5/HLA-DPA1/HSD17B12/NF2/CORO1A/HAVCR2/THEMIS2/AATF/RAC2/ACTN4/RIPK2/CRKL/HLA-DRB1
