ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:1990904	ribonucleoprotein complex	29	-0.7014963950084714	-2.0905731812510226	4.98345822021314e-6	0.00799872529666667	0.007409782263835083	100	tags=62%, list=19%, signal=53%	PCBP1/HNRNPA2B1/UBA52/CIRBP/FAU/HNRNPA3/BTF3/DDX5/VIM/RACK1/EEF2/PABPC1/HNRNPA1/PTGES3/NCL/EIF3K/NPM1/NEAT1
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	10	-0.8678963997698932	-2.0302632520679373	1.897554079256444e-5	0.00799872529666667	0.007409782263835083	9	tags=30%, list=2%, signal=30%	ANXA1/PTPRC/IL7R
BP	GO:0046631	alpha-beta T cell activation	9	-0.8898162658855605	-2.02188471821608	1.3429951787380453e-5	0.00799872529666667	0.007409782263835083	53	tags=56%, list=10%, signal=51%	NKG7/TRBC2/ANXA1/PTPRC/CD3D
BP	GO:0002456	T cell mediated immunity	7	-0.9270984108533276	-1.959459496974533	1.4554024479963754e-5	0.00799872529666667	0.007409782263835083	7	tags=29%, list=1%, signal=29%	PTPRC/IL7R
BP	GO:0002709	regulation of T cell mediated immunity	7	-0.9270984108533276	-1.959459496974533	1.4554024479963754e-5	0.00799872529666667	0.007409782263835083	7	tags=29%, list=1%, signal=29%	PTPRC/IL7R
BP	GO:0042102	positive regulation of T cell proliferation	7	-0.9267167730211335	-1.9586528901829097	1.4554024479963754e-5	0.00799872529666667	0.007409782263835083	9	tags=43%, list=2%, signal=43%	HMGB1/ANXA1/PTPRC
BP	GO:0001910	regulation of leukocyte mediated cytotoxicity	7	-0.9232754415831093	-1.951379498826034	1.901577226352569e-5	0.00799872529666667	0.007409782263835083	7	tags=29%, list=1%, signal=29%	PTPRC/IL7R
BP	GO:0046634	regulation of alpha-beta T cell activation	6	-0.9481916775833406	-1.9200637605491386	1.0257928840567867e-5	0.00799872529666667	0.007409782263835083	9	tags=50%, list=2%, signal=50%	HMGB1/ANXA1/PTPRC
BP	GO:0001913	T cell mediated cytotoxicity	6	-0.9444508099732104	-1.9124885998500598	1.4944782555968436e-5	0.00799872529666667	0.007409782263835083	7	tags=33%, list=1%, signal=33%	PTPRC/IL7R
BP	GO:0001914	regulation of T cell mediated cytotoxicity	6	-0.9444508099732104	-1.9124885998500598	1.4944782555968436e-5	0.00799872529666667	0.007409782263835083	7	tags=33%, list=1%, signal=33%	PTPRC/IL7R
BP	GO:0046635	positive regulation of alpha-beta T cell activation	5	-0.9692806953176204	-1.8586084923037605	1.7425396211252555e-5	0.00799872529666667	0.007409782263835083	9	tags=60%, list=2%, signal=60%	RHOA/ANXA1/PTPRC
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	16	-0.7680933349517428	-2.0055463936368025	4.8766919539103824e-5	0.018803711392286114	0.017419201435371123	17	tags=44%, list=3%, signal=44%	CD47/FYN/CD74/CD44/ANXA1/PTPRC/IL7R
BP	GO:0002819	regulation of adaptive immune response	11	-0.8210706524667164	-1.9575767771756385	6.339140493917814e-5	0.01955413537690515	0.018114371993847956	9	tags=27%, list=2%, signal=27%	ANXA1/PTPRC/IL7R
BP	GO:0010629	negative regulation of gene expression	43	-0.5990421589490603	-1.918021709145224	6.001781856541785e-5	0.01955413537690515	0.018114371993847956	106	tags=44%, list=20%, signal=38%	CCL3/PDCD10/HNRNPA2B1/RGCC/SAP18/CIRBP/THBS1/LAPTM5/HSP90AB1/DDX5/VIM/CAST/RACK1/PABPC1/NCL/ANXA1/NPM1/PTPRC/NEAT1
CC	GO:0031981	nuclear lumen	139	-0.46362858207261515	-1.6962549603371218	5.66244442275197e-5	0.01955413537690515	0.018114371993847956	121	tags=37%, list=23%, signal=38%	ARPC2/PSMA7/SUB1/CMPK1/SET/SOD1/CMIP/PCNP/BNIP2/PCBP1/ELF1/HNRNPA2B1/ELOB/UBA52/EDF1/PIP4K2A/RGCC/SAP18/BTG1/CIRBP/FAU/COX4I1/S100A10/SNHG29/EEF1A1/HNRNPA3/STK24/HSP90AB1/PCGF5/NFKBIA/HSP90AA1/HNRNPDL/NDUFA13/DDX5/KAT6A/VIM/PTPN12/RACK1/HNRNPA1/SON/PTGES3/STK4/HINT1/NCL/EEF1D/DDX24/ANXA1/NPM1/NEAT1/ANKRD12/IL7R
BP	GO:0042129	regulation of T cell proliferation	8	-0.8777469584718862	-1.9297700197722227	8.442410289834889e-5	0.02170168467281446	0.02010379807029688	9	tags=38%, list=2%, signal=37%	HMGB1/ANXA1/PTPRC
BP	GO:0030072	peptide hormone secretion	5	-0.953659525061844	-1.828654692710553	8.310743005365183e-5	0.02170168467281446	0.02010379807029688	9	tags=40%, list=2%, signal=40%	SELENOT/ANXA1
BP	GO:0030073	insulin secretion	5	-0.953659525061844	-1.828654692710553	8.310743005365183e-5	0.02170168467281446	0.02010379807029688	9	tags=40%, list=2%, signal=40%	SELENOT/ANXA1
CC	GO:0043231	intracellular membrane-bounded organelle	387	-0.42496285623474456	-1.5784159805674751	1.062707652081225e-4	0.02587972792726225	0.023974213624790852	141	tags=34%, list=27%, signal=95%	CCNI/RABGAP1L/YBX1/MOB1A/SLC40A1/EMC3/MORF4L1/ACTR3/VPS28/SEPTIN7/ANO6/CD47/VAMP8/SUMO2/TACC3/FYN/PDGFA/MSN/RAP1A/CD74/ATF4/SUPT4H1/RAB27B/NDUFA1/YWHAE/ARL6IP5/ATP5F1E/ARPC2/PSMA7/SUB1/CMPK1/SET/SOD1/SLC25A3/PTP4A2/CMIP/COX6A1/COX6B1/PCNP/SPNS1/BNIP2/ARPC3/PDCD10/NDUFA5/COX7A2/PCBP1/PET100/EEF1G/ELF1/HNRNPA2B1/ZYX/ELOB/TPI1/SSX2IP/UBA52/MALAT1/EDF1/RAP2B/PIP4K2A/RGCC/SAP18/SLC25A6/BTG1/CIRBP/TRAM1/THBS1/PDIA3/LEPROT/NACA/LAPTM5/FAU/COX4I1/S100A10/SNHG29/EEF1A1/HNRNPA3/ZFAS1/STK24/HSP90AB1/PCGF5/PNRC1/YWHAB/NFKBIA/NKG7/HSP90AA1/SARAF/HNRNPDL/PYCR2/NDUFA13/LDHA/BTF3/DDX5/KAT6A/UQCR10/VIM/CAST/PTPN12/RACK1/TOMM7/PFDN5/EEF1B2/EEF2/PABPC1/UQCRB/HNRNPA1/SON/PTGES3/STK4/HINT1/COX7C/NCL/GNLY/RNASEK/CYBA/S100A6/EEF1D/CD44/DDX24/MBP/ATP5MC2/EIF3K/S100A11/TXNIP/IDS/ANXA1/NPM1/PTPRC/NEAT1/ANKRD12/CD3D/IL7R
BP	GO:2001028	positive regulation of endothelial cell chemotaxis	2	0.9971311621585341	1.538877333746036	1.2930152716149028e-4	0.029913908308810775	0.027711358873767813	2	tags=50%, list=0%, signal=50%	HSPB1
BP	GO:0022409	positive regulation of cell-cell adhesion	17	-0.7365229674057774	-1.9559207810409067	1.797902870780378e-4	0.030810728085558556	0.028542146159133336	17	tags=47%, list=3%, signal=47%	JAK1/CD47/FYN/CD74/CD44/ANXA1/PTPRC/IL7R
BP	GO:0050777	negative regulation of immune response	7	-0.8886933625284836	-1.8782888943816365	1.699161836254337e-4	0.030810728085558556	0.028542146159133336	9	tags=57%, list=2%, signal=57%	FYN/ANXA1/PTPRC/IL7R
MF	GO:0003723	RNA binding	70	-0.5311450906549274	-1.8177860218106647	1.5291961110290548e-4	0.030810728085558556	0.028542146159133336	100	tags=40%, list=19%, signal=37%	PCBP1/HNRNPA2B1/ZYX/EDF1/SAP18/CIRBP/PDIA3/FAU/EEF1A1/HNRNPA3/HSP90AB1/HSP90AA1/HNRNPDL/BTF3/DDX5/VIM/CAST/RACK1/EEF2/PABPC1/HNRNPA1/SON/PRRC2C/NCL/DDX24/EIF3K/NPM1/NEAT1
BP	GO:0001911	negative regulation of leukocyte mediated cytotoxicity	5	-0.9463482476640908	-1.8146352220590716	1.615591292612801e-4	0.030810728085558556	0.028542146159133336	7	tags=40%, list=1%, signal=40%	PTPRC/IL7R
BP	GO:0002704	negative regulation of leukocyte mediated immunity	5	-0.9463482476640908	-1.8146352220590716	1.615591292612801e-4	0.030810728085558556	0.028542146159133336	7	tags=40%, list=1%, signal=40%	PTPRC/IL7R
