ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0022412	cellular process involved in reproduction in multicellular organism	64	-0.5578421156613885	-2.111660538854895	3.3723446168443376e-6	0.00410837561983064	0.003736459511088077	893	tags=42%, list=18%, signal=35%	RNF8/CCNB1IP1/BAX/TUT4/TMF1/TIAL1/TUT7/SRPK1/MFSD14A/FBXW11/TPGS1/ZNF830/FOXJ3/PTK2B/SMARCA2/SOS1/CEP57/PANK2/ATM/ETV6/ODF2/STRBP/YTHDC2/BRCA2/TBC1D20/UBR2/CCR6
BP	GO:0007281	germ cell development	54	-0.5650030994496316	-2.076596305522306	7.221674117362933e-6	0.00410837561983064	0.003736459511088077	893	tags=46%, list=18%, signal=38%	PITHD1/YTHDC1/RNF8/CCNB1IP1/BAX/TUT4/TMF1/TIAL1/TUT7/SRPK1/MFSD14A/FBXW11/TPGS1/ZNF830/PTK2B/SMARCA2/CEP57/PANK2/ATM/ODF2/STRBP/YTHDC2/BRCA2/TBC1D20/CCR6
BP	GO:0009617	response to bacterium	181	0.3645003408573975	1.8066636898951973	8.21675123966128e-6	0.00410837561983064	0.003736459511088077	811	tags=30%, list=16%, signal=26%	GBP5/CXCL3/LY86/IL6/GNLY/TGFB1/CXCL2/CCL3/PTGS2/SLC7A5/LYZ/GBP4/JCHAIN/IL1B/TRBC1/C15orf48/CNP/GBP2/LITAF/CXCL8/SOD2/BCL3/FCER1G/IGHG1/IGHA1/HSF1/CD86/TNIP1/IGHD/LSM5/PTPN22/DUSP10/SEH1L/TBK1/TNIP2/IGKC/FOS/HNRNPA0/IRAK1/EMILIN2/ARID5A/RAB1A/NFKBIB/HLA-DRB1/OAS3/RBCK1/CARD16/IGLC3/CD55/NR4A1/IGLC1/HMGB1/ZNFX1/LGALS9/IGHM
MF	GO:0140096	catalytic activity, acting on a protein	719	-0.2958114953997984	-1.4685294856448323	3.412937211407868e-5	0.012798514542779504	0.011639912173643675	1214	tags=30%, list=25%, signal=27%	METTL21A/MED30/HERC4/TRIM5/UFSP2/SUDS3/AKAP13/TMEM59/FBXO11/ADAM10/RIPK2/NAE1/KATNA1/PIAS2/LTN1/RC3H2/ERO1A/PPIL4/RNF168/PRPF19/TRIM22/HUWE1/MAPK6/UFL1/PIN4/KAT6B/MED11/PPP3CA/IRF2BPL/TOPORS/CAPN2/TRIM59/MAP4K4/CSNK1A1/PRKDC/KDM6A/NUAK2/USP14/PPIE/WNK1/EHMT1/PRDM2/FKBP11/PPP4C/RNF220/TRIM44/MSL2/BLK/TRIM28/CLPP/CUL2/USP12/RNF8/PCSK7/FAM98A/CPNE3/TTL/SPPL2A/CCNB1IP1/SENP7/EP300/TGFBR2/DUSP22/SENP6/CTSB/PGGT1B/P4HA1/MGAT1/ZDHHC2/NKTR/STYX/RNF113A/KMT2C/TESK2/CUL3/GLRX2/PPM1K/SIRT1/PRPF4B/PGP/KMT2A/SRPK1/PARP4/RCHY1/MED7/MGAT2/LCMT1/SHPRH/MTMR14/KMT5B/UBE2Q2/USP33/ROCK2/KDM4C/C1GALT1/MAP2K4/EZH1/TXNRD1/HTRA2/TAOK3/SENP5/AKT3/CLK4/ADAM28/RC3H1/OTUD1/NEK1/CHM/PIKFYVE/ADAM17/NMT2/IRAK4/ZDHHC3/USP36/OBI1/CTSH/TRIM27/FBXL5/KMT2B/TRPM7/SENP2/VCPIP1/HECTD1/SIK3/FBXW11/STK26/ADAM8/TPGS1/MARK3/DESI1/ZDHHC21/SENP1/HDAC3/EPHB6/EIF2AK2/RNF4/NSMCE1/MGAT4B/SPPL2B/TRIM25/MAP4K5/ATXN3/MAPK1/ABHD13/PTK2B/XIAP/PJA2/ZNRF2/CSK/RNF34/UBE3C/ABHD16A/PPTC7/USP24/TPP1/UBE2H/PPIF/UBE2Q1/RNF13/ITCH/RNF10/FAM111B/HDAC1/NHLRC3/TRIO/USP28/PARP8/TRIM52/OGT/EED/FKBP4/BTK/BARD1/RNF20/MAEA/ATM/PCMTD1/PPWD1/FKBP8/MEX3C/PARP12/SETDB2/DLG1/CARD8/RMND5A/ASH1L/GRK3/UCHL5/CASP3/ZDHHC5/NRP2/RPAP2/ZRANB1/CDK11A/UBA1/PRKACB/SGK1/TMX3/RNF141/LNPEP/MDM2/ANKIB1/FBXO9/HERC1/SCO2/CBL/USPL1/PTEN/BRCA2/PREPL/UBR2/CTSC/RNF111/PPID/MAP2K1/LTA4H/MAP3K4/UBR4/PKN2
BP	GO:0048609	multicellular organismal reproductive process	167	-0.3913983095131028	-1.7183831339579592	7.85369664359213e-5	0.019634241608980325	0.01785682605279895	1065	tags=34%, list=22%, signal=28%	PITHD1/PAX5/YTHDC1/DDX3X/HSPB11/PUM1/PLEKHA1/NCOR2/SMAD4/FAM50A/RNF8/CCNB1IP1/BAX/PRDX3/TUT4/CTSB/TMF1/SFMBT1/TIAL1/TUT7/TESK2/SETX/SIRT1/NRIP1/SRPK1/MYCBP/ADAM28/SP3/TRIM27/MFSD14A/ARID4A/PAFAH1B2/FBXW11/CFAP97/MSH6/TPGS1/ZNF830/FOXJ3/PTK2B/SMARCA2/ALKBH5/SOS1/CEP57/PANK2/ATM/ETV6/ASH1L/ODF2/CASP3/ATRX/STRBP/YTHDC2/BRCA2/TBC1D20/ADA/UBR2/CCR6
BP	GO:0032504	multicellular organism reproduction	173	-0.38626192982213264	-1.7034182502677186	7.657727987583351e-5	0.019634241608980325	0.01785682605279895	1065	tags=34%, list=22%, signal=28%	PITHD1/PAX5/YTHDC1/DDX3X/HSPB11/PUM1/PLEKHA1/NCOR2/SMAD4/FAM50A/RNF8/CCNB1IP1/BAX/PRDX3/TUT4/CTSB/TMF1/SFMBT1/TIAL1/TUT7/TESK2/SETX/SIRT1/NRIP1/SRPK1/MYCBP/ADAM28/SP3/TRIM27/MFSD14A/ARID4A/PAFAH1B2/FBXW11/CFAP97/MSH6/TPGS1/ZNF830/FOXJ3/PTK2B/UBE2Q1/SMARCA2/ALKBH5/SOS1/CEP57/PANK2/ATM/ETV6/ASH1L/ODF2/CASP3/ATRX/STRBP/YTHDC2/PTEN/BRCA2/TBC1D20/ADA/UBR2/CCR6
CC	GO:0098800	inner mitochondrial membrane protein complex	111	0.3875017726836876	1.793589840259766	1.3460168595201276e-4	0.023448218104015737	0.021325537307231156	1840	tags=65%, list=37%, signal=42%	MTX1/C15orf48/TIMM9/TIMM23/UQCRFS1/SDHA/NDUFB9/NDUFS3/COX7A2L/NDUFS4/MICOS10/NDUFAB1/NDUFB11/SMDT1/NDUFA6/ATP5PO/COX5A/COX7B/TIMM10/COX7C/COX4I1/COX6C/CHCHD10/MICU1/NDUFS8/MCUB/ATP5ME/NDUFA4/UQCRB/COX7A2/NDUFA3/UQCRH/NDUFB1/ATP5F1E/ATP5F1B/ATP5MF/COX6B1/SDHB/ATP5MC3/NDUFS6/MPC1/NDUFB6/UQCRQ/UQCR10/NDUFA2/NDUFB10/MICOS13/ATP5F1C/UQCR11/NDUFA11/NDUFC2/ATP5MG/NDUFB7/ATP5PF/SLC25A6/NDUFA9/NDUFA13/ATP5PB/ATP5MC2/NDUFS5/NDUFA5/UQCRC2/COX8A/PAM16/NDUFA12/NDUFA1/TIMM17A/ROMO1/NDUFC1/NDUFS7/NDUFB8/ATP5F1D
BP	GO:0022414	reproductive process	291	-0.3405675842816103	-1.5874839347161909	1.2572743812978753e-4	0.023448218104015737	0.021325537307231156	1065	tags=31%, list=22%, signal=25%	PITHD1/ARID5B/IRF2BPL/PAX5/CAPN2/YTHDC1/DDX3X/HSPB11/SLC9B2/PUM1/PRKDC/PLEKHA1/NCOR2/CDC27/SMAD4/TRIM28/FAM50A/RNF8/TOP2B/PSAP/CCNB1IP1/TGFBR2/BAX/PRDX3/TUT4/CTSB/TMF1/SFMBT1/CLIC4/TIAL1/TUT7/TESK2/SETX/SIRT1/NBN/NRIP1/SRPK1/MYCBP/ADAM28/SP3/TRIM27/MFSD14A/CEBPB/ARID4A/HECTD1/PAFAH1B2/FBXW11/CTNNA1/CFAP97/MSH6/TPGS1/ZNF830/FOXJ3/PTK2B/SMC1A/ANAPC13/NIPBL/UBE2Q1/CENPX/SMARCA2/FKBP4/ALKBH5/SOS1/YTHDF3/CEP57/HUS1/PANK2/ATM/ETV6/CD46/DLG1/ASH1L/ODF2/CASP3/ATRX/STRBP/SMC4/LNPEP/CHD7/CBL/YTHDC2/PTEN/BRCA2/TBC1D20/ADA/UBR2/CCR6/MAP3K4/MUS81
BP	GO:0000003	reproduction	294	-0.3372974556402388	-1.5739518529065342	1.4068930862409443e-4	0.023448218104015737	0.021325537307231156	1065	tags=30%, list=22%, signal=25%	PITHD1/ARID5B/IRF2BPL/PAX5/CAPN2/YTHDC1/DDX3X/HSPB11/SLC9B2/PUM1/PRKDC/PLEKHA1/NCOR2/CDC27/SMAD4/TRIM28/FAM50A/RNF8/TOP2B/PSAP/CCNB1IP1/TGFBR2/BAX/PRDX3/TUT4/CTSB/TMF1/SFMBT1/CLIC4/TIAL1/TUT7/TESK2/SETX/SIRT1/NBN/NRIP1/SRPK1/MYCBP/ADAM28/SP3/TRIM27/MFSD14A/CEBPB/ARID4A/HECTD1/PAFAH1B2/FBXW11/CTNNA1/CFAP97/MSH6/TPGS1/ZNF830/FOXJ3/PTK2B/SMC1A/ANAPC13/NIPBL/UBE2Q1/CENPX/SMARCA2/FKBP4/ALKBH5/SOS1/YTHDF3/CEP57/HUS1/PANK2/ATM/ETV6/CD46/DLG1/ASH1L/ODF2/CASP3/ATRX/STRBP/SMC4/LNPEP/CHD7/CBL/YTHDC2/PTEN/BRCA2/TBC1D20/ADA/UBR2/CCR6/MAP3K4/MUS81
BP	GO:0042742	defense response to bacterium	65	0.4456809542293902	1.8732760412424874	2.033505143729263e-4	0.02780100762575009	0.025284284830155872	811	tags=37%, list=16%, signal=31%	IL6/GNLY/LYZ/GBP4/JCHAIN/IL1B/TRBC1/GBP2/BCL3/FCER1G/IGHG1/IGHA1/IGHD/SEH1L/TBK1/IGKC/EMILIN2/RAB1A/OAS3/RBCK1/IGLC3/IGLC1/ZNFX1/IGHM
