ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0009617	response to bacterium	149	0.49294252846047615	1.9994397999252467	4.838477041926249e-7	6.06261173353359e-4	5.088040594615076e-4	725	tags=38%, list=19%, signal=32%	S100A9/FOS/LYZ/GBP5/LY86/CXCL3/JCHAIN/CXCL2/CD24/PLAC8/IGHA1/PRDX2/IL1B/IGLC3/PLCG2/LGALS9/ZFP36/NFKBIA/HMGB2/BANK1/TFEB/RGS1/TSPO/IGLC1/PELI1/RAB1A/SOD2/CARD16/LITAF/NR4A1/JUND/TGFB1/CCL3/TNFAIP3/STAP1/IRF8/RBCK1/TLR1/GRN/IGLC2/HNRNPA0/PTGER4/IGKC/IGHD/CD55/DUSP10/CASP4/MIF/CYBA/FAU/GBP4/IGHM/SNX3/HLA-B/ARID5A/B2M/HLA-E
BP	GO:0002376	immune system process	688	0.3454989650813699	1.5707764936841369	1.0803031504141433e-6	6.768099237344608e-4	5.680120248756469e-4	887	tags=30%, list=24%, signal=28%	FCRL1/S100A9/FOS/DUSP1/LYZ/GBP5/KLF2/VPREB3/CD22/TSC22D3/CCND3/HES1/LY86/SLC39A10/PRKCB/CXCL3/JCHAIN/CIITA/CXCL2/KLF10/RNASET2/CD24/TBC1D10C/HEXIM1/SOCS1/IGHA1/PRDX2/IL1B/IGLC3/CRIP2/JUNB/KLF6/NCF1/JUN/PTPN6/CDKN1A/PLCG2/SNX10/NKG7/DOCK2/LGALS9/MAP3K8/ZFP36/FCER2/NFKBIA/LTB/IFITM2/HLA-DMA/CYBC1/TIPARP/HMGB2/BANK1/TFEB/RGS1/HLA-DQA2/CNN2/HCST/UBE2J1/HLA-DPA1/ARID1A/DDX3X/SBDS/IGLC1/PELI1/IL4R/B4GALT1/CXCR5/HLA-DMB/TRIM8/MAP3K1/ITGA4/SOD2/NINJ1/PMAIP1/ETS1/HMGN2/ZC3HAV1/LITAF/DUSP22/EXOSC6/CTNNBL1/IMPDH2/TMEM14C/JUND/TGFB1/CCL3/TNFAIP3/FBXW7/PTK2B/SKAP2/STAP1/G3BP2/DNAJB9/IRF1/ATG12/PQBP1/IRF8/RBCK1/HLA-DPB1/BLK/CD19/CRIP1/CNOT7/PLEK/TLR1/GRN/PHB2/PPIA/VAMP2/KAT7/PLSCR1/NFKBID/SRPK2/CD83/IGLC2/RHBDF2/IGBP1/PKN1/PAX5/AIMP1/SIN3A/PTGER4/LGALS1/CD74/HLA-DRA/IGKC/IGHD/KLF3/GPR65/JARID2/CD55/BIRC2/HLA-DQB1/DUSP10/AKIRIN1/CXCR4/CASP4/BACH2/CTSS/STX4/PLCL2/EZR/MIF/ACTB/BST2/BTN3A2/CYBA/CYBB/BID/LY9/HLA-F/NFKBIZ/CDC42/FAU/CD79B/GBP4/TAPBP/IGHM/SMARCB1/ERCC1/USP15/THBS1/SMARCD1/MYC/PPP2R3C/L3MBTL3/UBE2N/UFD1/HLA-B/ARID5A/CALR/B2M/HLA-E/WASF2/IFNGR2/PRDX1/PIK3AP1/CD79A/NCK2/PPIB/CCL3L1/CD81/RAB4A/HLA-DQA1/MEF2C/SPG21/RNF213/LAPTM5/CD48/ICOSLG/PSMB9/TMEM131L/HSP90AA1/IFI35/TUBB4B/ROMO1/RFTN1/TNFRSF13B/SMARCE1/EXOSC9/PSMA1/SFPQ/EEF2/CCR6/TLR10/ISG20/CNPY3
BP	GO:0002237	response to molecule of bacterial origin	88	0.5335558497697064	2.0131446664426873	4.190426411784093e-6	0.001750201431321823	0.0014688547317095822	565	tags=35%, list=15%, signal=31%	S100A9/FOS/LY86/CXCL3/CXCL2/CD24/PRDX2/IL1B/PLCG2/LGALS9/ZFP36/NFKBIA/HMGB2/TSPO/PELI1/SOD2/CARD16/LITAF/NR4A1/JUND/TGFB1/CCL3/TNFAIP3/STAP1/IRF8/TLR1/HNRNPA0/PTGER4/CD55/DUSP10/MIF
BP	GO:0006955	immune response	444	0.3601107156045815	1.6051505162587412	1.0414878427195965e-5	0.003262460667319136	0.0027380167233602027	887	tags=34%, list=24%, signal=29%	S100A9/LYZ/GBP5/VPREB3/CD22/LY86/SLC39A10/PRKCB/CXCL3/JCHAIN/CIITA/CXCL2/RNASET2/CD24/HEXIM1/SOCS1/IGHA1/IL1B/IGLC3/JUNB/NCF1/PTPN6/PLCG2/NKG7/DOCK2/LGALS9/FCER2/NFKBIA/LTB/IFITM2/HLA-DMA/CYBC1/HMGB2/BANK1/TFEB/RGS1/HLA-DQA2/HCST/UBE2J1/HLA-DPA1/DDX3X/IGLC1/PELI1/IL4R/CXCR5/HLA-DMB/TRIM8/MAP3K1/NINJ1/ETS1/HMGN2/ZC3HAV1/LITAF/DUSP22/EXOSC6/TGFB1/CCL3/TNFAIP3/PTK2B/STAP1/G3BP2/IRF1/ATG12/PQBP1/IRF8/RBCK1/HLA-DPB1/BLK/CD19/CRIP1/CNOT7/TLR1/GRN/PHB2/VAMP2/PLSCR1/NFKBID/SRPK2/CD83/IGLC2/RHBDF2/PKN1/SIN3A/PTGER4/LGALS1/CD74/HLA-DRA/IGKC/IGHD/GPR65/CD55/BIRC2/HLA-DQB1/DUSP10/CXCR4/CASP4/BACH2/CTSS/STX4/PLCL2/EZR/MIF/BST2/BTN3A2/CYBA/CYBB/LY9/HLA-F/NFKBIZ/CDC42/FAU/CD79B/GBP4/TAPBP/IGHM/ERCC1/USP15/THBS1/PPP2R3C/UBE2N/UFD1/HLA-B/ARID5A/B2M/HLA-E/IFNGR2/PRDX1/PIK3AP1/CD79A/CCL3L1/CD81/HLA-DQA1/MEF2C/SPG21/LAPTM5/CD48/ICOSLG/HSP90AA1/IFI35/TUBB4B/ROMO1/RFTN1/TNFRSF13B/EXOSC9/PSMA1/SFPQ/CCR6/TLR10/ISG20/CNPY3
BP	GO:0032496	response to lipopolysaccharide	85	0.5242978852251645	1.9678364642621033	1.4096198537190999e-5	0.0035325073534200643	0.002964653123927117	565	tags=34%, list=15%, signal=30%	S100A9/FOS/LY86/CXCL3/CXCL2/PRDX2/IL1B/PLCG2/LGALS9/ZFP36/NFKBIA/HMGB2/TSPO/PELI1/SOD2/CARD16/LITAF/NR4A1/JUND/TGFB1/CCL3/TNFAIP3/STAP1/IRF8/HNRNPA0/PTGER4/CD55/DUSP10/MIF
BP	GO:0043207	response to external biotic stimulus	388	0.3601507329562201	1.5930818344944049	3.116101297459914e-5	0.005577821322453246	0.004681180746108954	740	tags=28%, list=20%, signal=25%	S100A9/FOS/LYZ/GBP5/LY86/CXCL3/JCHAIN/CIITA/CXCL2/RNASET2/CD24/PLAC8/HEXIM1/SOCS1/IGHA1/PRDX2/IL1B/IGLC3/NCF1/PTPN6/PLCG2/NKG7/LGALS9/ZFP36/NFKBIA/IFITM2/CYBC1/HMGB2/BANK1/TFEB/RGS1/COTL1/TSPO/HLA-DPA1/DDX3X/IGLC1/PELI1/IL4R/ODC1/RAB1A/TRIM8/SOD2/PMAIP1/HMGN2/CARD16/ZC3HAV1/LITAF/NR4A1/JUND/TGFB1/CCL3/TNFAIP3/NPC2/PTK2B/STAP1/G3BP2/IRF1/ATG12/PQBP1/IRF8/RBCK1/BLK/CNOT7/TLR1/GRN/PHB2/PLSCR1/SRPK2/IGLC2/HNRNPA0/SIN3A/PTGER4/CD74/IGKC/IGHD/CD55/BIRC2/DUSP10/CXCR4/CASP4/STX4/EIF5A/MIF/BST2/CYBA/CFL1/NT5C3A/CYBB/EEF1G/LY9/HLA-F/CDC42/FAU/HNRNPUL1/GBP4/IGHM/USP15/BNIP3L/TPT1/PPP2R3C/SNX3/UFD1/HLA-B/ARID5A/CALR/B2M/HLA-E/IFNGR2/PRDX1
BP	GO:0051707	response to other organism	388	0.3601507329562201	1.5930818344944049	3.116101297459914e-5	0.005577821322453246	0.004681180746108954	740	tags=28%, list=20%, signal=25%	S100A9/FOS/LYZ/GBP5/LY86/CXCL3/JCHAIN/CIITA/CXCL2/RNASET2/CD24/PLAC8/HEXIM1/SOCS1/IGHA1/PRDX2/IL1B/IGLC3/NCF1/PTPN6/PLCG2/NKG7/LGALS9/ZFP36/NFKBIA/IFITM2/CYBC1/HMGB2/BANK1/TFEB/RGS1/COTL1/TSPO/HLA-DPA1/DDX3X/IGLC1/PELI1/IL4R/ODC1/RAB1A/TRIM8/SOD2/PMAIP1/HMGN2/CARD16/ZC3HAV1/LITAF/NR4A1/JUND/TGFB1/CCL3/TNFAIP3/NPC2/PTK2B/STAP1/G3BP2/IRF1/ATG12/PQBP1/IRF8/RBCK1/BLK/CNOT7/TLR1/GRN/PHB2/PLSCR1/SRPK2/IGLC2/HNRNPA0/SIN3A/PTGER4/CD74/IGKC/IGHD/CD55/BIRC2/DUSP10/CXCR4/CASP4/STX4/EIF5A/MIF/BST2/CYBA/CFL1/NT5C3A/CYBB/EEF1G/LY9/HLA-F/CDC42/FAU/HNRNPUL1/GBP4/IGHM/USP15/BNIP3L/TPT1/PPP2R3C/SNX3/UFD1/HLA-B/ARID5A/CALR/B2M/HLA-E/IFNGR2/PRDX1
BP	GO:0009607	response to biotic stimulus	400	0.35773432497263513	1.584509929739833	4.683683942039235e-5	0.0073358199742189515	0.006156579286969994	740	tags=28%, list=20%, signal=25%	S100A9/FOS/LYZ/GBP5/LY86/CXCL3/JCHAIN/CIITA/CXCL2/RNASET2/CD24/PLAC8/HEXIM1/SOCS1/IGHA1/PRDX2/IL1B/IGLC3/NCF1/PTPN6/PLCG2/NKG7/LGALS9/TXNIP/ZFP36/NFKBIA/IFITM2/CYBC1/HMGB2/BANK1/TFEB/RGS1/COTL1/TSPO/HLA-DPA1/DDX3X/IGLC1/PELI1/IL4R/ODC1/RAB1A/TRIM8/SOD2/PPP1R15B/PMAIP1/HMGN2/CARD16/ZC3HAV1/LITAF/NR4A1/JUND/TGFB1/CCL3/TNFAIP3/NPC2/PTK2B/STAP1/G3BP2/IRF1/ATG12/PQBP1/IRF8/RBCK1/BLK/CNOT7/TLR1/GRN/PHB2/PLSCR1/SRPK2/IGLC2/HNRNPA0/SIN3A/PTGER4/CD74/IGKC/IGHD/CD55/BIRC2/DUSP10/CXCR4/CASP4/STX4/EIF5A/MIF/BST2/CYBA/CFL1/NT5C3A/CYBB/EEF1G/LY9/HLA-F/CDC42/FAU/HNRNPUL1/GBP4/IGHM/USP15/BNIP3L/TPT1/PPP2R3C/SNX3/UFD1/HLA-B/ARID5A/CALR/B2M/HLA-E/HSPA5/IFNGR2/PRDX1
BP	GO:0044419	biological process involved in interspecies interaction between organisms	451	0.34400138033637917	1.5350369589545747	6.526494679190462e-5	0.008177697833025648	0.006863124404748708	791	tags=29%, list=21%, signal=26%	S100A9/FOS/LYZ/GBP5/LY86/CXCL3/JCHAIN/CIITA/CXCL2/RNASET2/CD24/CHMP1B/PLAC8/HEXIM1/SOCS1/IGHA1/PRDX2/IL1B/IGLC3/NCF1/JUN/PTPN6/PLCG2/NKG7/LGALS9/ZFP36/FCER2/NFKBIA/IFITM2/CYBC1/HMGB2/BANK1/TFEB/RGS1/COTL1/TSPO/HLA-DPA1/DDX3X/IGLC1/PELI1/IL4R/ODC1/RAB1A/TRIM8/DYNLT1/SOD2/PMAIP1/HMGN2/CARD16/ZC3HAV1/LITAF/LY6E/NR4A1/JUND/TGFB1/CCL3/TNFAIP3/NPC2/PTK2B/STAP1/G3BP2/IRF1/ATG12/PQBP1/IRF8/UVRAG/RBCK1/BLK/CNOT7/TLR1/GRN/PHB2/PPIA/PLSCR1/SRPK2/IGLC2/HNRNPA0/GRK2/SIN3A/PTGER4/LGALS1/CD74/IGKC/IGHD/IST1/CD55/BIRC2/DUSP10/CXCR4/CASP4/STX4/EIF5A/MIF/BST2/CYBA/CFL1/NT5C3A/CYBB/EEF1G/LY9/HLA-F/CDC42/FAU/HNRNPUL1/THOC7/GBP4/IGHM/SMARCB1/USP15/BNIP3L/TPT1/PPP2R3C/SNX3/UFD1/HLA-B/ARID5A/CALR/B2M/HLA-E/IFNGR2/PRDX1/PPIB/CCNK/CCL3L1/CD81/EEF1A1/CHMP3/HSP90AB1/MEF2C
BP	GO:0009605	response to external stimulus	579	0.32976889304600476	1.488653506874537	5.927330027842294e-5	0.008177697833025648	0.006863124404748708	745	tags=26%, list=20%, signal=25%	S100A9/FOSB/FOS/DUSP1/LYZ/GBP5/LY86/CXCL3/CDKN2D/JCHAIN/CIITA/NR4A2/CXCL2/KLF10/RNASET2/CD24/PLAC8/HEXIM1/SOCS1/IGHA1/PRDX2/IL1B/IGLC3/NCF1/JUN/PTPN6/CDKN1A/PLCG2/NKG7/DOCK2/DAP/LGALS9/TXNIP/ZFP36/NFKBIA/BHLHE40/IFITM2/CYBC1/HMGB2/BANK1/TFEB/RGS1/COTL1/CNN2/TSPO/HLA-DPA1/DDX3X/TYMP/SBDS/IGLC1/PELI1/IL4R/ODC1/NUDT1/RAB1A/CXCR5/TRIM8/MAP3K1/ITGA4/SOD2/NINJ1/PMAIP1/ETS1/HMGN2/CARD16/ZC3HAV1/LITAF/NR4A1/TLE5/JUND/TGFB1/CCL3/TNFAIP3/MGMT/NPC2/PTK2B/STAP1/G3BP2/IRF1/ATG12/TTN/PQBP1/IRF8/RBCK1/BLK/CNOT7/TLR1/GRN/PHB2/PPIA/PLSCR1/SRPK2/IGLC2/RHBDF2/HNRNPA0/SIN3A/PTGER4/LGALS1/CD74/IGKC/IGHD/EIF2A/CD55/FOXK1/BIRC2/DUSP10/AKIRIN1/UCP2/CXCR4/CASP4/STK24/STX4/EIF5A/MIF/BST2/CYBA/CFL1/WDR45B/NT5C3A/CYBB/RBM4/NENF/EEF1G/LY9/HLA-F/NFKBIZ/CDC42/FAU/HNRNPUL1/GBP4/IGHM/ERCC1/USP15/THBS1/BNIP3L/TPT1/PPP2R3C/SNX3/UFD1/HLA-B/ARID5A/CALR/B2M/HLA-E/BNIP2/HNRNPA1/HSPA5/TMSB4X/IFNGR2/PRDX1/PIK3AP1
