ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	113	-0.3888648676440596	-2.0151298108877125	1.1991467891033929e-7	2.841977890175041e-4	2.70376044448365e-4	2835	tags=51%, list=23%, signal=40%	LMAN1/STX5/TMED10/COG3/COPB1/MIA3/LMAN2L/SEC16A/ZW10/TBC1D20/ARCN1/MIA2/TRAPPC3/TRAPPC8/TRAPPC10/RAB1B/P4HB/VCP/TFG/YIF1A/TMED2/SEC24B/INSIG1/TRAPPC4/BCAP29/RAB1A/SEC22C/TMED5/TMED9/SCFD1/SEC31A/YIPF6/COPA/SEC23B/GBF1/YKT6/VAPB/TRAPPC11/SEC23A/TEX261/SEC24D/ERGIC1/ARF4/COPG1/TMED7/YIPF4/TRIP11/TRAPPC6B/SEC23IP/SEC22A/SEC24C/GOLGA2/SEC22B/KDELR2/HYOU1/USO1/BET1/COPB2
CC	GO:0072562	blood microparticle	50	0.6542129417386903	1.9785875937856388	5.096490765300528e-7	4.026227704587417e-4	3.83041516465745e-4	1659	tags=44%, list=13%, signal=38%	FN1/IGLC3/IGHA1/JCHAIN/IGKC/IGLC2/HBA2/IGHM/IGHD/IGLC1/CLU/SERPING1/IGHG1/HSPA1B/HSPA2/F13A1/ITGA2B/ITIH4/HSPA8/TFRC/IGHG3/IGHG4
BP	GO:0002250	adaptive immune response	347	0.43732225569515737	1.4906804718680768	4.470041558264001e-7	4.026227704587417e-4	3.83041516465745e-4	2696	tags=32%, list=22%, signal=26%	FCER2/IGLC3/IGHA1/JCHAIN/C1QA/IGKC/TRBV28/IGHM/FCGR2B/IRF4/IGHD/XCL1/HLA-DOA/KLRC1/IGLC1/ULBP2/TRGC1/RNF125/CARD9/KDM5D/RAP1GAP2/RORA/CD79A/TRAT1/TNFRSF13C/CD28/KLRK1/FUT7/CLU/CAMK4/BACH2/ADGRE1/CD1D/KLRD1/ITK/SLAMF1/MEF2C/SERPING1/FCGR1A/SLA2/PRKCQ/HLA-DQA2/IGHG1/CD8A/CD79B/TNFRSF21/CD1C/HFE/IFNG/SKAP1/TRDC/CD3E/HLA-DMB/CD27/EMP2/CD80/ZAP70/HLA-DQA1/PYCARD/ERAP2/HLA-DMA/CLEC10A/THOC1/CX3CR1/BTK/CLEC6A/IL7R/CR1/HLA-DRB5/CD7/CD3G/OTUD7B/CD40LG/BTN3A1/TNFSF13/LIME1/HLA-DPA1/CD6/TFRC/PRF1/IGHG3/IGHG4/GATA3/HLA-DPB1/TRBC2/CLCF1/C5/ERCC1/IL1B/BATF/JAG1/WAS/CD8B/INPP5D/C1RL/HLA-DQB1/CD84/EIF2AK4/HSPD1/BTN3A2/CD3D/CTSC/LEF1/SHLD1/SH2D1A/PRR7/TRBC1/ATAD5/PRKCB/EXOSC6/IL21R
BP	GO:0031341	regulation of cell killing	79	0.5747785517674258	1.8221614170987614	4.581100488330553e-6	0.0021217098989132445	0.002018522142337184	1901	tags=32%, list=15%, signal=27%	FCER2/FCGR2B/XCL1/KLRC1/ULBP2/SERPINB4/CXCL6/KLRK1/KLRB1/RASGRP1/CD1D/KLRD1/IL18RAP/CD1C/HFE/IFNG/KLRC4/KLRC3/CX3CR1/IL7R/CR1/PRF1/CD59/CRTAM/LGALS9
MF	GO:1901702	salt transmembrane transporter activity	192	-0.2894368187959875	-1.6257061502105778	4.9770243262447894e-6	0.0021217098989132445	0.002018522142337184	1309	tags=28%, list=10%, signal=26%	TRPC4AP/SLC26A11/ANO6/SLC12A4/SLC1A3/SLC35B1/SLC16A7/CLCN7/TMEM165/SEC61A1/P2RX4/SFXN5/SLC66A1/TRPM7/TPCN2/SCN1B/CLIC4/SLC52A2/TMCO3/SLC4A7/ANXA2/TRPM2/SLC1A2/SLC39A13/FKBP1B/SLC26A6/SLC9A6/SLC30A1/SLC39A14/ATP2C1/SLC39A7/KCNK6/SLC6A6/MCOLN2/SLC25A13/AQP9/PACC1/KCNJ2/ORAI2/SLC7A11/SLC4A2/SLC38A7/ATP2A3/CACNA2D4/MFSD5/SLC25A29/SLC44A1/KCNJ15/TMEM38B/TRPM4/SLC5A3/SLC23A2/SLC39A8/SLC16A10
BP	GO:0050851	antigen receptor-mediated signaling pathway	169	0.47957339870941296	1.5977291860809695	5.37141746560315e-6	0.0021217098989132445	0.002018522142337184	2791	tags=37%, list=22%, signal=29%	IGLC3/IGHA1/IGKC/IGHM/FCGR2B/IGHD/IGLC1/TRGC1/CD79A/TRAT1/FCRL3/CD28/BANK1/CARD11/ITK/MEF2C/TESPA1/FCHO1/PTPN22/SLA2/EIF2B3/MNDA/IGHG1/CD8A/CD79B/TNFRSF21/SKAP1/TRDC/SHB/EZR/CD3E/MS4A1/CD300A/ZAP70/CACNB3/NFATC2/BTK/CD3G/PAWR/BTN3A1/LIME1/IGHG3/IGHG4/GATA3/PRAM1/HLA-DPB1/TRBC2/CD8B/INPP5D/PRKCH/HLA-DQB1/BTN3A2/FOXP1/CD3D/STOML2/SH2D1A/TRBC1/PRKCB/PLCL2/PDE4D/THEMIS/BCL2
BP	GO:0050853	B cell receptor signaling pathway	62	0.5805032345869561	1.7955099333271525	1.2968003191184362e-5	0.004390595366158134	0.0041770620805288575	1659	tags=37%, list=13%, signal=32%	IGLC3/IGHA1/IGKC/IGHM/FCGR2B/IGHD/IGLC1/CD79A/FCRL3/BANK1/ITK/MEF2C/PTPN22/MNDA/IGHG1/CD79B/MS4A1/CD300A/NFATC2/BTK/LIME1/IGHG3/IGHG4
BP	GO:0032368	regulation of lipid transport	79	-0.39539975872165134	-1.93686331300904	2.1129054477345392e-5	0.006259482388913573	0.005955057196114978	1313	tags=25%, list=10%, signal=23%	GHRL/SIRT1/AKT2/TMF1/P2RX4/TTC39B/ACSL1/ANXA2/ABCA1/PLA2G4A/P2RX7/ACSL5/NMB/CES1/PPARG/EEPD1/PPARA/NTSR1/DAB2/CAV1
CC	GO:0101003	ficolin-1-rich granule membrane	52	-0.45772365336729937	-2.045077739509906	2.9270350207839463e-5	0.007358470105610321	0.007000596476223544	1243	tags=37%, list=10%, signal=33%	RAC1/MGAM/FCER1G/SIRPA/CD93/ARL8A/SIGLEC5/UBR4/SIGLEC14/TRPM2/FCAR/FPR1/CD58/SLC11A1/DYNLL1/CLEC4D/LGALS3/ADAM8/FPR2
BP	GO:0006959	humoral immune response	105	0.5117469685126513	1.6596914593060756	3.104839707008574e-5	0.007358470105610321	0.007000596476223544	2938	tags=44%, list=23%, signal=34%	FCER2/IGHA1/JCHAIN/C1QA/PRSS3/IGHM/CXCL14/FCGR2B/VSIG4/ANG/CXCL6/CD28/CLU/RNASE6/CXCL1/MEF2C/SERPING1/CFD/CXCL3/TNFRSF21/IFNG/CTSG/MS4A1/ST6GAL1/BST1/CR1/GNLY/CD59/GATA3/C5/IL1B/GPI/PPBP/C1RL/HMGN2/HLA-DQB1/IL7/CXCL11/LEAP2/PF4V1/SH2D1A/BCL2/LYZ/CCR6/TRAF3IP2/C1QBP
