ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0050851	antigen receptor-mediated signaling pathway	160	0.554377148510874	1.7722752784904852	3.0284809870337625e-9	7.001848042022059e-6	6.876245777928239e-6	2182	tags=41%, list=20%, signal=33%	IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/THEMIS/IGKC/IGHG4/IGLC2/SHB/IGHM/PAWR/IGHD/SH2D1A/TRDC/TRAT1/FCRL3/PDE4D/CD28/CD79A/CD8B/ITK/CD3G/MEF2C/TESPA1/RAB29/GATA3/EZR/LIME1/CD79B/SKAP1/PRAM1/CD300A/CD3E/LAX1/BLNK/NCKAP1L/INPP5D/KLHL6/CARD11/LCK/PLCG1/BTN3A2/MALT1/CBLB/TRBC2/CD8A/MS4A1/EIF2B2/TRBC1/ZAP70/CACNB3/PLEKHA1/STAP1/PTPN22/BTN3A1/EIF2B4/CD3D/PRKCB/NFATC2/HLA-DPB1/SLA2/ABL1/DUSP22/TRAC/HLA-DQB1
CC	GO:0009897	external side of plasma membrane	204	0.5152453903968104	1.6624663514213036	2.0132970756490743e-8	2.32737141945033e-5	2.2856219958816073e-5	1762	tags=36%, list=16%, signal=31%	IGHA1/IGHG3/IGLC1/CD40LG/IGLC3/IGHG1/ITGA2/CCR4/ITGA6/SLAMF9/CLEC10A/ACKR3/KLRC1/IGKC/IGHG4/FCER2/IGLC2/KLRC4/ABCG2/CUBN/IGHM/ASGR2/THBD/IGHD/FCGR1A/NCAM1/TRDC/CCR6/KLRC2/ITGA4/TNFRSF13C/CD28/CD79A/CD3G/ULBP2/CRLF2/SPN/MFGE8/CXCR4/KLRD1/KLRK1/KLRC3/CD79B/CD2/CD6/CD5/ITGA2B/IL12RB1/LY9/CD3E/TFRC/SLAMF1/ABCG1/CD84/CD59/CD69/S1PR1/BTN3A2/ADGRE1/IL2RB/TRBC2/TGFBR3/CD8A/MS4A1/TRBC1/SLC38A1/CLCN3/FASLG/INSR/ITGAL/LDLR/HEG1/BTN3A1/IL21R
BP	GO:0050853	B cell receptor signaling pathway	58	0.6550889243936464	1.9521723728878126	9.219908786425153e-8	7.105476371404985e-5	6.978015176252301e-5	2066	tags=53%, list=19%, signal=43%	IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/IGKC/IGHG4/IGLC2/IGHM/IGHD/TRDC/FCRL3/CD79A/ITK/MEF2C/LIME1/CD79B/CD300A/BLNK/NCKAP1L/KLHL6/LCK/TRBC2/MS4A1/TRBC1/PLEKHA1/STAP1/PTPN22/PRKCB/NFATC2/ABL1
CC	GO:0101003	ficolin-1-rich granule membrane	51	-0.5631364982622782	-2.4804172246866427	1.5685528783024146e-7	7.252988509270365e-5	7.122881175785912e-5	1709	tags=43%, list=16%, signal=36%	PTPRN2/FCAR/ARL8A/MGAM/UBR4/SERPINB10/SLC2A3/CD93/LAMP1/SIRPA/LAMP2/VPS35L/ADAM8/DYNLL1/SIGLEC5/ATP6V0A1/TRPM2/SLC11A1/SIGLEC14/FPR1/CLEC4D/FPR2
MF	GO:0003823	antigen binding	51	0.6681050083863287	1.9606490454917795	1.4958442335898627e-7	7.252988509270365e-5	7.122881175785912e-5	2205	tags=49%, list=21%, signal=39%	JCHAIN/IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/TRBV28/IGKC/IGHG4/IGLC2/IGHM/IGHD/TRDC/KLRC2/ITGA4/KLRD1/SLAMF1/TRBC2/TRBC1/SPON2/HLA-DQA1/HLA-DPB1/IL7R/HLA-DQB1/TSPAN4
BP	GO:0006959	humoral immune response	105	0.567934038694784	1.7746324653585945	4.434114255311556e-7	1.4645245940400454e-4	1.4382533005574477e-4	1524	tags=33%, list=14%, signal=29%	JCHAIN/IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/CXCL14/IGKC/PF4/IGHG4/FCER2/IGLC2/IFNG/IGHM/IGHD/SH2D1A/CLU/TRDC/C1QA/CCR6/CD28/RNASE6/MEF2C/GATA3/PI3/GPR183/GNLY/BLNK/CD59/C1RL/TRBC2/MS4A1/TRBC1/IL36RN/GPI
CC	GO:0098552	side of membrane	351	0.4579768165687035	1.4998205656026304	3.8341630974267037e-7	1.4645245940400454e-4	1.4382533005574477e-4	1762	tags=28%, list=16%, signal=24%	IGHA1/IGHG3/IGLC1/CD40LG/IGLC3/IGHG1/ITGA2/GNG11/CCR4/ESYT1/ITGA6/SLAMF9/CLEC10A/PTK2/ACKR3/GNG12/KLRC1/IGKC/IGHG4/FCER2/IGLC2/KLRC4/YES1/ABCG2/CUBN/IGHM/FES/GNAI1/ASGR2/THBD/IGHD/ERRFI1/FCGR1A/JUP/NCAM1/TRDC/CCR6/KLRC2/ITGA4/TNFRSF13C/CD28/CD79A/CD3G/ULBP2/CRLF2/SPN/MFGE8/CXCR4/FARP1/KLRD1/KLRK1/EZR/THADA/KLRC3/CD79B/CD2/CD6/CD5/TRAF5/TIAM1/ITGA2B/IL12RB1/LY9/CD3E/TFRC/SLAMF1/ABCG1/CD84/CD59/CD69/ESYT2/S1PR1/GNG4/SLA/LCK/BTN3A2/ADGRE1/IL2RB/TRBC2/TGFBR3/CD8A/MS4A1/PTPN4/TRBC1/ZAP70/SLC38A1/CLCN3/RASA3/FASLG/CYTH3/GM2A/INSR/ITGAL/PTPN22/GNG7/LDLR/HEG1/BTN3A1/IL21R
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	203	0.4899268283549626	1.5801498238636393	7.882800619251688e-7	2.0250038924122117e-4	1.9886784720147242e-4	2227	tags=37%, list=21%, signal=30%	IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/THEMIS/PTK2/C5AR2/IGKC/IGHG4/IGLC2/SHB/KLRC4/YES1/IGHM/PAWR/IGHD/SH2D1A/TRDC/TRAT1/FCRL3/PDE4D/KLRC2/CD28/CD79A/CD8B/ITK/CD3G/MEF2C/TESPA1/KLRD1/RAB29/GATA3/KLRK1/EZR/KLRC3/LIME1/CD79B/SKAP1/PRAM1/CD300A/CD3E/LAX1/BLNK/NCKAP1L/INPP5D/KLHL6/CARD11/LCK/PLCG1/BTN3A2/MALT1/CBLB/TRBC2/CD8A/MS4A1/EIF2B2/TRBC1/ZAP70/CACNB3/PLEKHA1/STAP1/PTPN22/BTN3A1/EIF2B4/CD3D/PRKCB/NFATC2/HLA-DPB1/FPR3/SLA2/ABL1/DUSP22/TRAC/HLA-DQB1/NR4A3
BP	GO:0002757	immune response-activating signal transduction	203	0.4899268283549626	1.5801498238636393	7.882800619251688e-7	2.0250038924122117e-4	1.9886784720147242e-4	2227	tags=37%, list=21%, signal=30%	IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/THEMIS/PTK2/C5AR2/IGKC/IGHG4/IGLC2/SHB/KLRC4/YES1/IGHM/PAWR/IGHD/SH2D1A/TRDC/TRAT1/FCRL3/PDE4D/KLRC2/CD28/CD79A/CD8B/ITK/CD3G/MEF2C/TESPA1/KLRD1/RAB29/GATA3/KLRK1/EZR/KLRC3/LIME1/CD79B/SKAP1/PRAM1/CD300A/CD3E/LAX1/BLNK/NCKAP1L/INPP5D/KLHL6/CARD11/LCK/PLCG1/BTN3A2/MALT1/CBLB/TRBC2/CD8A/MS4A1/EIF2B2/TRBC1/ZAP70/CACNB3/PLEKHA1/STAP1/PTPN22/BTN3A1/EIF2B4/CD3D/PRKCB/NFATC2/HLA-DPB1/FPR3/SLA2/ABL1/DUSP22/TRAC/HLA-DQB1/NR4A3
BP	GO:0008037	cell recognition	77	0.5930043000559536	1.8125613902493736	1.2530006798429726e-6	2.8969375717969524e-4	2.844971017285571e-4	862	tags=29%, list=8%, signal=26%	IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/LY6K/EPHA4/IGKC/IGHG4/IGLC2/IGHM/IGHD/CRTAM/FCGR1A/TRDC/CDK5R1/NEXN/MFGE8/CXCR4/NRP1/CD6/CD5
