ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0003823	antigen binding	54	0.741914532473583	2.198330082278415	1e-10	3.2394397351012355e-8	3.035434859784547e-8	1150	tags=43%, list=9%, signal=39%	IGLC3/JCHAIN/TRBV28/IGHA1/IGLC1/IGHM/IGLC2/IGKC/IGHD/KLRC2/KLRD1/TRDC/IGHG1/SLAMF1/TSPAN4/ITGA4/CD1D/IGHG4/IGHG3/CD1C/TRBC2/TRBC1/IL7R
CC	GO:0009897	external side of plasma membrane	226	0.5680811085827713	1.85609434085627	1e-10	3.2394397351012355e-8	3.035434859784547e-8	1522	tags=35%, list=12%, signal=31%	FCER2/IGLC3/IGHA1/KLRC1/IGLC1/TRGC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/KLRC2/CD79A/KLRD1/CD28/KLRK1/CD200R1/TNFRSF13C/CLEC2D/ITGA2B/ULBP2/GFRA2/CD5/KLRC3/TRDC/CCR4/CD40LG/TGFBR3/CD2/ACKR3/MS4A1/IGHG1/CD27/KLRC4/CD3G/SLAMF1/CD3E/ABCB1/ITGA4/SPA17/CD1D/CD8A/CLEC10A/CD79B/S1PR1/THBD/CD80/ASGR2/IL21R/NCAM1/IGHG4/SLC38A1/SLAMF9/IGHG3/ADGRE1/SEMA7A/CCR6/CD1C/TRBC2/CX3CR1/CD69/FCGR1A/IL2RB/LY75/CD6/ABCC4/BTN3A1/TRBC1/IL7R/FASLG/TRGC2/ITGA6/BTN3A2/HFE/CD3D/CXCR3/TFRC/CD33
BP	GO:0050851	antigen receptor-mediated signaling pathway	165	0.5638448538295612	1.8203016504651977	1.0700048670854618e-10	3.2394397351012355e-8	3.035434859784547e-8	2440	tags=41%, list=20%, signal=33%	IGLC3/IGHA1/IGLC1/TRGC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/CD79A/FCRL3/CD28/SKAP1/TRDC/CARD11/TRAT1/MS4A1/IGHG1/NFATC2/GATA3/CD8B/CD3G/PAWR/SLA2/CD3E/BANK1/ITK/CD8A/PTPN22/ZAP70/TESPA1/LAX1/CD79B/LIME1/CACNB3/MEF2C/FCHO1/CD300A/IGHG4/IGHG3/EIF2B3/TNFRSF21/THEMIS/TRBC2/SH2D1A/BTN3A1/TRBC1/TRGC2/SHB/BTN3A2/EZR/CD3D/STAP1/PRKCH/CD247/MNDA/INPP5D/UBASH3A/PDE4D/PRAM1/BTK/TRAC/BCL2/BLNK/PLCL2/PLEKHA1/BTN3A3
BP	GO:0002449	lymphocyte mediated immunity	229	0.5340700288966528	1.7458517278523527	1e-10	3.2394397351012355e-8	3.035434859784547e-8	1924	tags=32%, list=15%, signal=27%	FCER2/IGLC3/C1QA/IGHA1/KLRC1/XCL1/IGLC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/KLRC2/KLRD1/KLRB1/CD28/GZMB/KLRK1/CD96/HLA-DOA/ULBP2/KLRC3/TRDC/CARD9/CD40LG/CD2/RASGRP1/IGHG1/CD27/GATA3/NKG7/KDM5D/PRF1/KLRC4/SLAMF1/SLA2/FUT7/CD1D/CD8A/CLU/GZMM/BATF/IL21R/IGHG4/IGHG3/CD70/CCR6/CD1C/TRBC2/SERPING1/FCGR1A/IL18R1/SH2D1A/HLA-DMB/TRBC1/THOC1/IL7R/ATAD5/BTN3A2/HFE/HLA-DQA2/EMP2/SH2D1B/TFRC/TBX21/HLA-DMA/MSH2/CRTAM/TNFSF13/NCR3/HLA-DQA1/NCR1/INPP5D
BP	GO:0002250	adaptive immune response	348	0.5220216395684665	1.725408071700466	1e-10	3.2394397351012355e-8	3.035434859784547e-8	1489	tags=27%, list=12%, signal=25%	FCER2/IGLC3/JCHAIN/C1QA/TRBV28/IGHA1/KLRC1/XCL1/IGLC1/TRGC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/KLRC2/CD79A/IRF4/KLRD1/RNF125/CD28/KLRK1/HLA-DOA/RORA/IFNG/TNFRSF13C/SKAP1/TRDC/CARD9/TRAT1/CD40LG/RAP1GAP2/IGHG1/CD27/GATA3/PRKCQ/OTUD7B/KDM5D/PRF1/CAMK4/CD8B/BACH2/CD3G/EOMES/SLAMF1/SLA2/CD3E/FUT7/ITK/CD1D/CD8A/CD7/LEF1/CLEC10A/CLU/ZAP70/LAX1/CD79B/LIME1/GZMM/CD80/MEF2C/BATF/IL21R/IGHG4/IGHG3/ADGRE1/TNFRSF21/THEMIS/CD70/CCR6/CD1C/TRBC2/CX3CR1/SERPING1/FCGR1A/IL18R1/ERAP2/SH2D1A/CD6/HLA-DMB/BTN3A1/TRBC1/THOC1/IL7R/ATAD5/TRGC2/BTN3A2/HFE/CD3D/HLA-DQA2/EMP2/SH2D1B/CRACR2A/TFRC
CC	GO:0098552	side of membrane	383	0.49573319680442113	1.642224634159939	1e-10	3.2394397351012355e-8	3.035434859784547e-8	1522	tags=26%, list=12%, signal=23%	FCER2/IGLC3/IGHA1/KLRC1/IGLC1/TRGC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/KLRC2/CD79A/KLRD1/CD28/KLRK1/CD200R1/TNFRSF13C/CLEC2D/ITGA2B/ULBP2/GFRA2/CD5/KLRC3/TRDC/CCR4/GNG4/CD40LG/PGM5/TGFBR3/CD2/ACKR3/MS4A1/IGHG1/CD27/KLRC4/YES1/CD3G/GNG12/BORCS5/SLAMF1/CD3E/ABCB1/ITGA4/SPA17/CD1D/CD8A/GNG11/PTPN22/CLEC10A/STAC3/ZAP70/CD79B/S1PR1/THBD/GNAL/CD80/FES/ASGR2/IL21R/NCAM1/SLA/IGHG4/SLC38A1/SLAMF9/PTK2/IGHG3/ADGRE1/SEMA7A/PTPN4/CCR6/CD1C/TRBC2/GNAI1/CX3CR1/CD69/FCGR1A/IL2RB/PTPN7/GNGT2/LY75/CD6/ABCC4/BTN3A1/TRBC1/IL7R/FASLG/TRGC2/ITGA6/BTN3A2/EZR/HFE/CD3D/HLA-DQA2/DNAJC19/CXCR3/TRAF5/TFRC/CD33
BP	GO:0046649	lymphocyte activation	616	0.4510187388692717	1.5088964234668307	1e-10	3.2394397351012355e-8	3.035434859784547e-8	2951	tags=34%, list=24%, signal=27%	IGLC3/IGHA1/KLRC1/XCL1/IGLC1/TRGC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/VSIG4/KLRC2/CD79A/IRF4/KLRD1/FCRL3/CD28/KLRK1/HLA-DOA/RORA/IFNG/TPD52/TNFRSF13C/ULBP2/CD5/KLRC3/TRDC/CARD11/ZEB1/BCL11B/CD40LG/PAX5/HELLS/CD2/RASGRP1/ZBTB16/CDH26/MS4A1/IGHG1/CD27/NFATC2/GATA3/PRKCQ/NKG7/PRF1/MYB/CAMK4/CD8B/YES1/CD3G/CDK6/SH2D2A/EOMES/SLAMF1/PAWR/SLA2/CD3E/FUT7/BANK1/HES1/ITK/ITGA4/CD1D/CD8A/CD7/LEF1/PTPN22/MERTK/ZAP70/TESPA1/LAX1/CD79B/KAT2A/MZB1/CD80/MEF2C/BATF/FCHO1/CD300A/IL21R/IGHG4/SLAMF9/RIPOR2/IGHG3/FLT3/ICOS/TNFRSF21/ITM2A/THEMIS/CD70/CCR6/GPR18/CD1C/TRBC2/TCF7/INHBA/RHOH/IL2RB/IL18R1/IMPDH2/IKZF3/SLC46A2/CD6/HLA-DMB/PRKDC/BTN3A1/TRBC1/THOC1/IL7R/ATAD5/GPAM/VSIR/GAS6/TRGC2/SHB/SOX4/GPR89B/FGL2/TSPAN32/ZFP36L2/HFE/NLRC3/CD3D/DROSHA/HLA-DQA2/EMP2/FANCD2/CHD7/CRACR2A/TFRC/ATM/ZC3H8/TBC1D10C/JAML/TBX21/TNFRSF13B/SOCS1/MAPK8IP1/BST1/CD247/HHEX/HLA-DMA/MSH2/CRTAM/TNFSF13/MNDA/CTPS1/NCR3/HLA-DQA1/PTGER4/TIGIT/NCR1/CMTM7/INPP5D/PYCARD/EXOSC6/HDAC4/CLCF1/CR1/BTK/DNAJA3/NRARP/TP53/DPP4/TNFSF9/CTSG/TRAC/HSPD1/CCND3/BCL2/BLNK/IKZF1/CORO1A/LEPR/CASP8/PLCL2/ITGAL/IL10/EIF2AK4/ID2/SHLD1/TMEM131L/GLMN/SKAP2/F2RL1/EPHB2/STOML2/DOCK2/CD84/SLC39A10/LGALS9/CD38/PIK3R1/ITPKB/IL12RB1/CD244/HLA-DPB1/CCR7/SPN/HLA-DPA1/BST2/ERCC1/EGR1/HLA-DRB5/PRKCB/IGFBP2
BP	GO:0045321	leukocyte activation	724	0.43982913848052263	1.476249902467694	1e-10	3.2394397351012355e-8	3.035434859784547e-8	2951	tags=33%, list=24%, signal=27%	FN1/IGLC3/C1QA/IGHA1/KLRC1/XCL1/IGLC1/TRGC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/VSIG4/KLRC2/CD79A/IRF4/KLRD1/FCRL3/CD28/KLRK1/HLA-DOA/PTGDS/RORA/IFNG/TPD52/TNFRSF13C/ULBP2/CD5/KLRC3/TRDC/CARD11/ZEB1/BCL11B/CD40LG/PAX5/HELLS/CD2/RASGRP1/ZBTB16/CDH26/MS4A1/IGHG1/CD27/NFATC2/GATA3/PRKCQ/TSLP/NKG7/PRF1/MYB/CAMK4/CD8B/YES1/CD3G/CDK6/SH2D2A/EOMES/SLAMF1/CST7/PAWR/SLA2/SYT11/CD3E/FUT7/BANK1/HES1/ITK/ITGA4/CD1D/CD8A/CD7/LEF1/RAB44/PTPN22/CXCL6/CLU/MERTK/ZAP70/TESPA1/MFHAS1/LAX1/CD79B/KAT2A/MZB1/CD80/MEF2C/FES/BATF/FCHO1/CD300A/IL21R/IGHG4/SLAMF9/RIPOR2/IGHG3/FLT3/ICOS/TNFRSF21/ITM2A/THEMIS/CD70/CCR6/GPR18/CD1C/TRBC2/TCF7/INHBA/CX3CR1/RHOH/IL2RB/IL18R1/IMPDH2/IKZF3/SELPLG/SLC46A2/CD6/HLA-DMB/HAMP/PRKDC/BTN3A1/TRBC1/THOC1/IL7R/ATAD5/STK39/GPAM/VSIR/GAS6/TRGC2/SHB/SOX4/GPR89B/FGL2/TSPAN32/ZFP36L2/HFE/NLRC3/CD3D/DROSHA/HLA-DQA2/EMP2/FANCD2/SH2D1B/CHD7/CRACR2A/TFRC/ATM/CD33/STAP1/ZC3H8/TBC1D10C/JAML/VAMP8/TBX21/TNFRSF13B/SOCS1/MAPK8IP1/BST1/BPI/CD247/HHEX/HLA-DMA/MSH2/CD300LF/CRTAM/TNFSF13/MNDA/NR4A3/CTPS1/NCR3/HLA-DQA1/PTGER4/TIGIT/NCR1/CMTM7/INPP5D/SNCA/PYCARD/EXOSC6/HDAC4/CLCF1/NR1H3/DCSTAMP/CR1/PRAM1/BTK/DNAJA3/NRARP/TP53/DPP4/TNFSF9/CTSG/LDLR/TRAC/HSPD1/CCND3/PLPP6/BCL2/BLNK/IKZF1/CORO1A/LEPR/CASP8/CEBPA/PLCL2/ITGAL/IL10/EIF2AK4/ID2/SHLD1/TMEM131L/NR1D1/GLMN/SKAP2/F2RL1/EPHB2/STOML2/DOCK2/CD84/SLC39A10/CSF2/LGALS9/CD38/PIK3R1/ITPKB/IL12RB1/CD244/BCR/HLA-DPB1/CCR7/SPN/HLA-DPA1/BST2/ERCC1/EGR1/HLA-DRB5/PRKCB/IGFBP2
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	227	0.5264790115163266	1.720445929628009	2.502199623076374e-10	6.733697207878864e-8	6.309640219125922e-8	1346	tags=28%, list=11%, signal=25%	IGLC3/IGHA1/KLRC1/IGLC1/TRGC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/KLRC2/CD79A/KLRD1/FCRL3/CD28/KLRK1/CD200R1/SKAP1/KLRC3/TRDC/CARD11/TRAT1/MS4A1/IGHG1/NFATC2/GATA3/PRKCQ/KLRC4/CD8B/YES1/CD3G/PAWR/SLA2/CD3E/BANK1/ITK/CD8A/PTPN22/ZAP70/TESPA1/LAX1/CD79B/LIME1/CACNB3/MEF2C/FCHO1/CD300A/IGHG4/PTK2/IGHG3/EIF2B3/TNFRSF21/THEMIS/TRBC2/FCGR1A/SH2D1A/BTN3A1/TRBC1/TRGC2/SHB/BTN3A2/EZR/CD3D
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	210	0.5294556857248025	1.725285165832181	6.931231342773713e-10	1.3989535260164944e-7	1.3108539276333442e-7	2440	tags=37%, list=20%, signal=30%	IGLC3/IGHA1/IGLC1/TRGC1/IGHM/IGLC2/IGKC/IGHD/FCGR2B/KLRC2/CD79A/KLRD1/FCRL3/CD28/KLRK1/SKAP1/KLRC3/TRDC/CARD11/TRAT1/MS4A1/IGHG1/NFATC2/GATA3/KLRC4/CD8B/YES1/CD3G/PAWR/SLA2/CD3E/BANK1/ITK/CD8A/PTPN22/ZAP70/TESPA1/LAX1/CD79B/LIME1/CACNB3/MEF2C/FCHO1/CD300A/IGHG4/PTK2/IGHG3/EIF2B3/TNFRSF21/THEMIS/TRBC2/SH2D1A/BTN3A1/TRBC1/TRGC2/SHB/BTN3A2/EZR/CD3D/STAP1/PRKCH/CD247/MNDA/NR4A3/NCR3/INPP5D/UBASH3A/CR1/PDE4D/PRAM1/BTK/TRAC/BCL2/BLNK/PLCL2/PLEKHA1/BTN3A3
