ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0048018	receptor ligand activity	102	0.6051059023056571	2.527576106846298	1e-10	4.604e-8	4.0210526315789476e-8	1737	tags=44%, list=16%, signal=38%	CCL7/CXCL3/CXCL1/NBL1/IL1RN/IL1B/CXCL2/INHBA/XCL1/SCGB3A1/METRNL/EREG/SEMA6B/CCL3L1/CCL3/XCL2/NRG2/SEMA4A/OSM/CXCL8/TNFSF8/IFNG/TGFB1/ADM/CCL4/AREG/TNF/ADA2/TYMP/CSF3/IL6/FASLG/WNT10A/CCL20/NAMPT/ALKBH1/GFER/CLEC11A/CXCL16/TIMP1/LTA/FGF9/CCL5/FLT3LG/WNT7A
MF	GO:0030546	signaling receptor activator activity	107	0.5840393488127766	2.457929384814837	1e-10	4.604e-8	4.0210526315789476e-8	1737	tags=42%, list=16%, signal=36%	CCL7/CXCL3/CXCL1/NBL1/IL1RN/IL1B/CXCL2/INHBA/XCL1/SCGB3A1/METRNL/EREG/SEMA6B/CCL3L1/CCL3/XCL2/NRG2/SEMA4A/OSM/CXCL8/TNFSF8/IFNG/TGFB1/ADM/CCL4/AREG/TNF/ADA2/TYMP/CSF3/IL6/FASLG/WNT10A/CCL20/NAMPT/ALKBH1/GFER/CLEC11A/CXCL16/TIMP1/LTA/FGF9/CCL5/FLT3LG/WNT7A
MF	GO:0030545	signaling receptor regulator activity	114	0.5729425320536747	2.436098735080139	1e-10	4.604e-8	4.0210526315789476e-8	1737	tags=42%, list=16%, signal=36%	CCL7/CXCL3/CXCL1/NBL1/IL1RN/IL1B/CXCL2/INHBA/XCL1/SCGB3A1/METRNL/EREG/SEMA6B/CCL3L1/CCL3/XCL2/NRG2/SEMA4A/OSM/CXCL8/TNFSF8/IFNG/TGFB1/ADM/CCL4/AREG/TNF/ADA2/TYMP/CSF3/DKK3/MTRNR2L12/IL18BP/IL6/FASLG/WNT10A/CCL20/NAMPT/ALKBH1/GFER/CLEC11A/CXCL16/TIMP1/LTA/FGF9/CCL5/FLT3LG/WNT7A
BP	GO:0097529	myeloid leukocyte migration	128	0.5420885804597065	2.341006849223694	1e-10	4.604e-8	4.0210526315789476e-8	1417	tags=32%, list=13%, signal=28%	CCL7/CXCL3/CXCL1/NBL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CD300A/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/CD9/DUSP1/ITGB2/CXCL8/CSF3R/AIF1/VAV3/P2RX4/CCL4/B4GALT1/THBS1/PECAM1/JAM3/MCOLN2/FCER1G/IL6/SWAP70/NOD2/MPP1/CD74/LGMN/CCL20/SPI1/SELENOK/RIN3
BP	GO:0006954	inflammatory response	390	0.39608596768392146	1.96333058203975	1e-10	4.604e-8	4.0210526315789476e-8	945	tags=19%, list=8%, signal=18%	CCL7/CXCL3/CXCL1/PTGS2/LYZ/IL1RN/S100A12/IL1B/CXCL2/CXCR6/XCL1/S100A9/METRNL/IGFBP4/TREM1/KLF4/CLEC7A/CD14/CCL3L1/CCL3/NINJ1/XCL2/CST7/OLR1/S100A8/TNFAIP6/TNIP3/KRT1/JUN/PIK3AP1/CCRL2/OSM/ITGB2/FOS/CXCL8/AIF1/IFNG/PTGER2/CD68/CXCR3/ADGRE5/SPHK1/TGFB1/ABCD1/PER1/PLK2/ADM/SERPINA1/CYBB/FASN/NLRP3/CCL4/TNFRSF4/FURIN/B4GALT1/DUSP10/DHRS7B/THBS1/LTB4R/JAM3/REL/RHBDF2/TNF/NCR3/HAVCR2/TNFAIP3/KLRG1/PLCG1/ABCC1/NFKB1/IRAK2/ZBP1/UNC13D/IL6/NFKBIA
BP	GO:0097530	granulocyte migration	87	0.6040568207860804	2.4580112278024617	1.645368829528581e-10	5.766955515261817e-8	5.036757526247233e-8	766	tags=29%, list=7%, signal=27%	CCL7/CXCL3/CXCL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CD300A/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/ITGB2/CXCL8/CSF3R/VAV3/CCL4/THBS1/PECAM1/JAM3/MCOLN2/FCER1G
BP	GO:0060326	cell chemotaxis	153	0.510092008497554	2.2641283677986745	1.75363547379812e-10	5.766955515261817e-8	5.036757526247233e-8	1417	tags=32%, list=13%, signal=28%	CCL7/CXCL3/CXCL1/NBL1/S100A12/IL1B/CXCL2/CXCR6/XCL1/S100A9/TREM1/CCL3L1/CCL3/NINJ1/XCL2/NR4A1/S100A8/TNFAIP6/KLRK1/DUSP1/CCRL2/ITGB2/CXCL8/CSF3R/AIF1/CXCR3/VAV3/P2RX4/CCL4/THBS1/JAM3/NEDD9/FCER1G/ABCC1/IL6/SWAP70/NOD2/CXCR4/MPP1/CD74/LGMN/CCL20/GPR183/FGFR1/SPI1/BIN2/RAB13/CXCL16/RIN3
BP	GO:1990266	neutrophil migration	77	0.6138909553291919	2.4443539891294113	6.724723229961769e-10	1.9350391094214988e-7	1.6900291275298655e-7	1212	tags=35%, list=11%, signal=31%	CCL7/CXCL3/CXCL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/ITGB2/CXCL8/CSF3R/VAV3/CCL4/PECAM1/JAM3/MCOLN2/FCER1G/NOD2/MPP1/CD74/CCL20
MF	GO:0005125	cytokine activity	63	0.6511261216700566	2.4966892295810656	8.903978301871065e-10	2.2774397834341323e-7	1.9890758545700276e-7	1737	tags=51%, list=16%, signal=43%	CCL7/CXCL3/CXCL1/IL1RN/IL1B/CXCL2/INHBA/XCL1/SCGB3A1/CCL3L1/CCL3/XCL2/OSM/CXCL8/TNFSF8/IFNG/TGFB1/CCL4/AREG/TNF/CSF3/IL6/FASLG/WNT10A/CCL20/NAMPT/CXCL16/TIMP1/LTA/CCL5/FLT3LG/WNT7A
BP	GO:0071621	granulocyte chemotaxis	69	0.6287852816003774	2.445884842288046	2.4001307836884255e-9	5.525101064050755e-7	4.825526101941992e-7	1212	tags=38%, list=11%, signal=34%	CCL7/CXCL3/CXCL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/ITGB2/CXCL8/CSF3R/VAV3/CCL4/THBS1/JAM3/FCER1G/NOD2/MPP1/CD74/CCL20
