ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0050792	regulation of viral process	120	0.6120835099764215	2.418515524242195	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1544	tags=43%, list=16%, signal=37%	OAS3/RSAD2/IFIT1/LGALS9/IFITM1/PLSCR1/OAS1/ISG15/MX1/LAMP3/CD4/BST2/TRIM34/OAS2/LY6E/STAT1/TNF/ISG20/IFIH1/FCN1/EIF2AK2/TRIM22/APOBEC3H/TRIM25/PARP10/OASL/ZFP36/SHFL/PPARA/ZC3HAV1/TRIM5/ZNFX1/TMEM250/CXCR4/IFIT5/DYNLT1/ADARB1/IFITM2/INPP5K/CD28/TRIM14/TRIM11/VPS37B/CXCL8/KPNA2/TRIM21/FURIN/FMR1/TNIP1/STOM/ADAR/MORC2
BP	GO:0051607	defense response to virus	213	0.5602077597983782	2.397475693035548	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1134	tags=31%, list=12%, signal=28%	OAS3/RSAD2/IFI44L/IFIT1/IFI6/IFITM1/PLSCR1/OAS1/MX2/ISG15/DDX60L/MX1/HERC5/IRF7/BST2/MOV10/DDX60/TRIM34/OAS2/IL1B/IFIT3/STAT1/IFNG/DDIT4/ISG20/IL15/STAT2/IL6/IFIH1/DHX58/EIF2AK2/TRIM22/SPON2/FGL2/PARP9/APOBEC3H/IFIT2/SEC14L1/DTX3L/RTP4/GBP1/TRIM25/TNFAIP3/RNF125/PML/OASL/AIM2/IL12RB1/ZC3H12A/MYD88/SHFL/ZC3HAV1/TRIM5/ZNFX1/SERINC5/TBKBP1/POLR3B/PMAIP1/IFIT5/SAMHD1/ADARB1/ZBP1/IFITM2/ARMC5/NMB/PRF1/TRIM11
BP	GO:0140546	defense response to symbiont	213	0.5602077597983782	2.397475693035548	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1134	tags=31%, list=12%, signal=28%	OAS3/RSAD2/IFI44L/IFIT1/IFI6/IFITM1/PLSCR1/OAS1/MX2/ISG15/DDX60L/MX1/HERC5/IRF7/BST2/MOV10/DDX60/TRIM34/OAS2/IL1B/IFIT3/STAT1/IFNG/DDIT4/ISG20/IL15/STAT2/IL6/IFIH1/DHX58/EIF2AK2/TRIM22/SPON2/FGL2/PARP9/APOBEC3H/IFIT2/SEC14L1/DTX3L/RTP4/GBP1/TRIM25/TNFAIP3/RNF125/PML/OASL/AIM2/IL12RB1/ZC3H12A/MYD88/SHFL/ZC3HAV1/TRIM5/ZNFX1/SERINC5/TBKBP1/POLR3B/PMAIP1/IFIT5/SAMHD1/ADARB1/ZBP1/IFITM2/ARMC5/NMB/PRF1/TRIM11
BP	GO:1903900	regulation of viral life cycle	102	0.6222371381672105	2.397457225734286	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1544	tags=45%, list=16%, signal=38%	OAS3/RSAD2/IFIT1/LGALS9/IFITM1/PLSCR1/OAS1/ISG15/MX1/LAMP3/CD4/BST2/TRIM34/OAS2/LY6E/TNF/ISG20/IFIH1/FCN1/EIF2AK2/TRIM22/APOBEC3H/TRIM25/PARP10/OASL/SHFL/PPARA/ZC3HAV1/TRIM5/ZNFX1/IFIT5/ADARB1/IFITM2/INPP5K/CD28/TRIM14/TRIM11/VPS37B/CXCL8/KPNA2/TRIM21/FURIN/FMR1/TNIP1/ADAR/MORC2
BP	GO:0009615	response to virus	276	0.5130283167725812	2.2554720648761886	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1025	tags=26%, list=11%, signal=24%	OAS3/RSAD2/IFI44L/IFIT1/IFI6/LGALS9/IFITM1/PLSCR1/OAS1/MX2/ISG15/DDX60L/MX1/IFI44/HERC5/IRF7/BST2/MOV10/DDX60/TRIM34/OAS2/IL1B/IFIT3/STAT1/IFNG/DDIT4/TNF/ISG20/IL15/STAT2/IL6/IFIH1/DHX58/EIF2AK2/TRIM22/SPON2/FGL2/PARP9/APOBEC3H/IFIT2/XCL1/SEC14L1/DTX3L/RTP4/GBP1/TRIM25/TNFAIP3/JAK2/RNF125/PML/OASL/AIM2/IL12RB1/ZC3H12A/XPR1/MYD88/SHFL/ZC3HAV1/TRIM5/ZNFX1/SERINC5/TBKBP1/CXCR4/IVNS1ABP/POLR3B/PMAIP1/IFIT5/SAMHD1/ADARB1/ZBP1/IFITM2/ARMC5
BP	GO:0019058	viral life cycle	211	0.5132684301945547	2.1966666011664695	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1467	tags=32%, list=15%, signal=28%	NCAM1/OAS3/RSAD2/IFIT1/LGALS9/IFITM1/PLSCR1/OAS1/ISG15/MX1/LAMP3/CD4/BST2/TRIM34/OAS2/LY6E/MVB12B/TNF/ISG20/IFIH1/FCN1/EIF2AK2/TRIM22/HSPA1B/CD55/NFIA/SLAMF1/APOBEC3H/TNFRSF4/TRIM25/PARP10/OASL/ITGAV/CHMP1B/ZC3H12A/SLC3A2/XPR1/SHFL/PPARA/ZC3HAV1/TRIM5/SCARB2/ZNFX1/CXCR4/F11R/IFIT5/HSPA1A/DYNLT1/ADARB1/TNFRSF14/CHMP5/IFITM2/INPP5K/CD28/SLC1A5/TRIM14/TRIM11/VPS37B/CXCL8/KPNA2/TRIM21/FURIN/HSPA8/FMR1/CCR5/CTBP2/TNIP1/STOM
BP	GO:0034097	response to cytokine	484	0.44167806795085957	2.055001136270511	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1455	tags=28%, list=15%, signal=25%	CD38/GPR35/OAS3/IFIT1/TNFRSF18/LGALS9/GFPT2/IFITM1/PLSCR1/OAS1/CXCL3/MX2/USP18/ISG15/MX1/IL2RA/CXCL1/LAMP3/CD4/IRF7/BST2/PIGA/AIF1/EREG/OAS2/IL1B/IFIT3/VCAM1/STAT1/IFNG/PNPT1/IL1RN/CXCL2/TNF/IL15/STAT2/IL6/IL18RAP/GBP5/IFIH1/PF4/EIF2AK2/HSPA1B/XAF1/PTGS2/IRAK2/CYP1B1/SOCS1/PARP9/HDAC4/IFIT2/CXCL5/XCL1/CSF3/TNFRSF4/IL7R/NKIRAS1/GBP1/TRIM25/MT2A/TNFAIP3/JAK2/PARP14/RNF125/PML/OASL/GBP4/AIM2/IL12RB1/ZFP36/ZC3H12A/MYD88/SHFL/MAPK7/BCAT2/CXCR3/PLCB1/IL18R1/ADAM9/TIMP1/RORA/IL15RA/THBS1/KYNU/TBKBP1/TNFRSF25/CXCR4/CLCF1/KEAP1/CCL3/HSPA1A/SAMHD1/SIGIRR/TNFRSF14/ZBP1/CACTIN/IL21R/IFITM2/INPP5K/LRCH1/SYNJ1/CEBPA/KDM3A/SLC11A1/FOS/IL18BP/ENDOG/EGR1/SPOCK2/MAP4K3/CCL20/TRADD/GCH1/TNFRSF1B/RELB/PPBP/RARA/CXCL8/TRAF1/JAK3/MCL1/ARHGEF2/TRIM56/UPF1/CDC34/NUB1/TRIM21/TLE4/SRSF7/CCR5/MKKS/CTBP2/DUSP1/STAT3
BP	GO:0043207	response to external biotic stimulus	731	0.3829503031708528	1.8395820088788615	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1192	tags=23%, list=13%, signal=22%	OAS3/RSAD2/IFI44L/IFIT1/ABCA1/IFI6/CMPK2/LGALS9/IFITM1/PLSCR1/OAS1/CXCL3/MX2/USP18/ISG15/DDX60L/IFI35/MX1/HERC6/CXCL1/IFI44/ATP1B1/HERC5/CD4/IRF7/BST2/NOCT/MOV10/DDX60/YES1/AIF1/EREG/TRIM34/OAS2/IL1B/IFIT3/VCAM1/CD68/STAT1/IFNG/KLRC1/LAG3/CD226/CXCL2/DDIT4/TNF/ISG20/IL15/STAT2/IL6/LYZ/GBP5/IFIH1/FCN1/DHX58/BAK1/PF4/EIF2AK2/TRIM22/SPON2/CD55/PTGS2/FGL2/SLC7A5/IRAK2/SOCS1/SLAMF1/PARP9/APOBEC3H/IFIT2/CXCL5/XCL1/CSF3/S100A9/SEC14L1/CNP/TMEM229B/IL7R/DTX3L/CADM1/NOD2/RTP4/TRDC/GBP1/TRIM25/S100A12/CASP6/TNFAIP3/RNF213/JAK2/PARP14/RNF125/PML/SOD2/OASL/FKBP5/GBP4/AIM2/ABL1/IL12RB1/RGS1/ZFP36/ZC3H12A/PTGER4/XPR1/MYD88/SHFL/GNLY/C15orf48/PRDX1/DUSP10/PRDX2/ZC3HAV1/TRIM5/ADAM9/LGALS3/TNFSF8/ZNFX1/JUND/SERINC5/KYNU/TBKBP1/SLA/PDE4B/DROSHA/CXCR4/IVNS1ABP/CA5B/CCL3/POLR3B/PMAIP1/TRGV8/NCF1/TNK2/IFIT5/TRAF4/KAT5/SAMHD1/SIGIRR/ADARB1/TNFRSF14/ZBP1/CACTIN/SLC17A5/GSDMD/CHMP5/IFITM2/PAK1/CD6/ARMC5/MSRB1/SLC11A1/FOS/NMB/RBCK1/IL18BP/TRIM14/PRF1/TRIM11/HAVCR2/CCL20/GCH1/TSPO/TNFRSF1B/RELB/ITGAM/PRKRA/CDK6/TAP2/GRN
BP	GO:0051707	response to other organism	731	0.3829503031708528	1.8395820088788615	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1192	tags=23%, list=13%, signal=22%	OAS3/RSAD2/IFI44L/IFIT1/ABCA1/IFI6/CMPK2/LGALS9/IFITM1/PLSCR1/OAS1/CXCL3/MX2/USP18/ISG15/DDX60L/IFI35/MX1/HERC6/CXCL1/IFI44/ATP1B1/HERC5/CD4/IRF7/BST2/NOCT/MOV10/DDX60/YES1/AIF1/EREG/TRIM34/OAS2/IL1B/IFIT3/VCAM1/CD68/STAT1/IFNG/KLRC1/LAG3/CD226/CXCL2/DDIT4/TNF/ISG20/IL15/STAT2/IL6/LYZ/GBP5/IFIH1/FCN1/DHX58/BAK1/PF4/EIF2AK2/TRIM22/SPON2/CD55/PTGS2/FGL2/SLC7A5/IRAK2/SOCS1/SLAMF1/PARP9/APOBEC3H/IFIT2/CXCL5/XCL1/CSF3/S100A9/SEC14L1/CNP/TMEM229B/IL7R/DTX3L/CADM1/NOD2/RTP4/TRDC/GBP1/TRIM25/S100A12/CASP6/TNFAIP3/RNF213/JAK2/PARP14/RNF125/PML/SOD2/OASL/FKBP5/GBP4/AIM2/ABL1/IL12RB1/RGS1/ZFP36/ZC3H12A/PTGER4/XPR1/MYD88/SHFL/GNLY/C15orf48/PRDX1/DUSP10/PRDX2/ZC3HAV1/TRIM5/ADAM9/LGALS3/TNFSF8/ZNFX1/JUND/SERINC5/KYNU/TBKBP1/SLA/PDE4B/DROSHA/CXCR4/IVNS1ABP/CA5B/CCL3/POLR3B/PMAIP1/TRGV8/NCF1/TNK2/IFIT5/TRAF4/KAT5/SAMHD1/SIGIRR/ADARB1/TNFRSF14/ZBP1/CACTIN/SLC17A5/GSDMD/CHMP5/IFITM2/PAK1/CD6/ARMC5/MSRB1/SLC11A1/FOS/NMB/RBCK1/IL18BP/TRIM14/PRF1/TRIM11/HAVCR2/CCL20/GCH1/TSPO/TNFRSF1B/RELB/ITGAM/PRKRA/CDK6/TAP2/GRN
BP	GO:0009607	response to biotic stimulus	754	0.3739032141078864	1.8004869236393888	1e-10	2.1440000000000002e-8	1.6968421052631582e-8	1192	tags=23%, list=13%, signal=21%	OAS3/RSAD2/IFI44L/IFIT1/ABCA1/IFI6/CMPK2/LGALS9/IFITM1/PLSCR1/OAS1/CXCL3/MX2/USP18/ISG15/DDX60L/IFI35/MX1/HERC6/CXCL1/IFI44/ATP1B1/HERC5/CD4/IRF7/BST2/NOCT/MOV10/DDX60/YES1/AIF1/EREG/TRIM34/OAS2/IL1B/IFIT3/VCAM1/CD68/STAT1/IFNG/KLRC1/LAG3/CD226/CXCL2/DDIT4/TNF/ISG20/IL15/STAT2/IL6/LYZ/GBP5/IFIH1/FCN1/DHX58/BAK1/PF4/EIF2AK2/TRIM22/SPON2/CD55/PTGS2/FGL2/SLC7A5/IRAK2/SOCS1/SLAMF1/PARP9/APOBEC3H/IFIT2/CXCL5/XCL1/CSF3/S100A9/SEC14L1/CNP/TMEM229B/IL7R/DTX3L/CADM1/NOD2/RTP4/TRDC/GBP1/TRIM25/S100A12/CASP6/TNFAIP3/RNF213/JAK2/PARP14/RNF125/PML/SOD2/OASL/FKBP5/GBP4/AIM2/ABL1/IL12RB1/RGS1/ZFP36/ZC3H12A/PTGER4/XPR1/MYD88/SHFL/GNLY/C15orf48/PRDX1/DUSP10/PRDX2/ZC3HAV1/TRIM5/ADAM9/LGALS3/TNFSF8/ZNFX1/JUND/SERINC5/KYNU/TBKBP1/SLA/PDE4B/DROSHA/CXCR4/IVNS1ABP/CA5B/CCL3/POLR3B/PMAIP1/TRGV8/NCF1/TNK2/IFIT5/TRAF4/KAT5/SAMHD1/SIGIRR/ADARB1/TNFRSF14/ZBP1/CACTIN/SLC17A5/GSDMD/CHMP5/IFITM2/PAK1/CD6/ARMC5/MSRB1/SLC11A1/FOS/NMB/RBCK1/IL18BP/TRIM14/PRF1/TRIM11/HAVCR2/CCL20/GCH1/TSPO/TNFRSF1B/RELB/ITGAM/PRKRA/CDK6/TAP2/GRN
