ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0030595	leukocyte chemotaxis	108	0.5529167619603395	2.4160008138233895	1.1412659322832152e-10	7.051752691598869e-8	5.832526877877906e-8	697	tags=31%, list=8%, signal=29%	CCL7/CXCL3/JAM3/CXCL1/NBL1/TNFAIP6/AIF1/TNFRSF11A/IL1B/CSF1/CXCL2/S100A12/S100A9/SPI1/S100A8/NINJ1/PTK2/THBS1/CCR7/MPP1/CXCL8/XCL1/NEDD9/GPR183/IL23A/CCL3/VAV1/LGALS3/PDE4B/SWAP70/VEGFA/LGALS9/SLC12A2
BP	GO:0050900	leukocyte migration	185	0.46088570967271036	2.181130992527703	1.331147275431594e-10	7.051752691598869e-8	5.832526877877906e-8	697	tags=24%, list=8%, signal=23%	RIPK3/CCL7/CXCL3/JAM3/IL1R1/CXCL1/MMP9/NBL1/TNFAIP6/AIF1/TNFRSF11A/ICAM1/CRTAM/IL1B/CSF1/CXCL2/S100A12/S100A9/SPI1/S100A8/NINJ1/PTK2/THBS1/CCR7/MPP1/CXCL8/XCL1/B4GALT1/NEDD9/GPR183/IL23A/CCL3/VAV1/CNN2/LGALS3/ITGA6/SELL/TNFRSF18/RABGEF1/PDE4B/YES1/SWAP70/VEGFA/LGALS9/SLC12A2
BP	GO:0006954	inflammatory response	343	0.4213395950784637	2.1350948276842074	1e-10	7.051752691598869e-8	5.832526877877906e-8	1307	tags=31%, list=14%, signal=28%	ADORA2A/CCL7/CXCL3/IL1RN/JAM3/IL1R1/CXCL1/IL2RA/PLK2/LYZ/TPST1/IFNG/MMP9/NLRP3/OLR1/TNFAIP6/AIF1/TNFRSF11A/CCRL2/IL1B/PTGS2/CSF1/CXCL2/S100A12/S100A9/S100A8/NINJ1/NFKBIZ/CD14/THBS1/SPHK1/ITGAM/KDM6B/IL4R/CCR7/CXCL8/FURIN/BPGM/XCL1/ZC3H12A/IRAK2/TRAF3IP2/B4GALT1/IL23A/SERPINA1/ADGRE5/NFKB1/CCL3/SMAD3/CD68/IFNGR2/BIRC2/USP18/REL/SLC11A1/NFKBIB/NFKBIA/IL1RAP/LXN/JUN/RABGEF1/NCF1/TNFRSF4/IL18RAP/OTULIN/YES1/LGALS9/CLEC7A/SBNO2/MAPK13/GIT1/EZH2/SPATA2/SIGIRR/RELB/LTA/HAVCR2/IFNGR1/HIF1A/TFRC/IL18/NFKBID/POLB/TCIRG1/DUSP10/TNFRSF1B/PSMA6/XCL2/ITGB2/TLR1/NFE2L2/NR1D2/PARK7/LDLR/CD96/IL6/RELA/ZNF580/TGFB1/MVK/RHBDF2/WDR83/CD44/TNIP2/ALOX5AP/PIK3AP1/PTGER4
BP	GO:0006952	defense response	791	0.2986181308943084	1.6097280763053814	1e-10	7.051752691598869e-8	5.832526877877906e-8	1603	tags=26%, list=18%, signal=24%	ADORA2A/ULBP2/RIPK3/CCL7/CXCL3/IL1RN/JAM3/IL1R1/CXCL1/INHBA/IL2RA/PLK2/LYZ/TPST1/IFNG/MMP9/NLRP3/OLR1/TNFAIP6/AIF1/TNFRSF11A/CCRL2/CRTAM/IL1B/PTGS2/CSF1/CXCL2/S100A12/S100A9/SPI1/S100A8/NINJ1/PTK2/NFKBIZ/EREG/CD14/IRF4/PRDX1/IKBKE/TRAF4/THBS1/SPHK1/ITGAM/CD55/KDM6B/IL4R/FES/HMGB3/AKAP1/CCR7/IFITM1/CD160/CD83/CXCL8/FURIN/BPGM/XCL1/ZC3H12A/IRAK2/RNF19B/TRAF3IP2/B4GALT1/STAT4/IL23A/SERPINA1/IFITM3/BCL2L1/APOL1/ADGRE5/CST3/NFKB1/CCL3/VAV1/SMAD3/PAK1/OAS3/CD68/IFNGR2/LGALS3/CASP6/BIRC2/USP18/IRF8/REL/SLC11A1/NFKBIB/NFKBIA/IL1RAP/LXN/JUN/RABGEF1/NCF1/TNFRSF4/IL18RAP/OTULIN/TRIM61/YES1/LGALS9/CLEC7A/SBNO2/MAPK13/GIT1/GCH1/ECSIT/MUL1/KLRC1/EZH2/IL12RB1/SPATA2/SIGIRR/DDIT4/NCF2/RELB/SLA/LTA/ATP1B1/KAT5/PMAIP1/HAVCR2/IFNGR1/HIF1A/TFRC/IL18/SERPINB9/NFKBID/POLB/EMILIN2/TCIRG1/DUSP10/TNFRSF1B/PSMA6/XCL2/STAT6/ACTG1/ARHGEF2/ITGB2/MX2/KLRB1/ARL8B/GZMM/TLR1/NFE2L2/NR1D2/TSPAN32/PARK7/ITGAX/LDLR/CD96/IL6/GBP1/ARID5A/PPP1R14B/ISG20/SFPQ/SLC15A4/FCN1/RELA/VAMP3/ZNF580/TGFB1/TNK2/KYNU/TRBC1/GBP4/MVK/RHBDF2/WDR83/CD44/TNIP2/ALOX5AP/UFD1/PIK3AP1/PTGER4/IFITM2/GBP2/GAS5/NR1H2/SEC14L1/CRCP/ATRN/PQBP1/GPSM3/GZMB/PLEKHM2/NCR3/PTPN2/ABCF1/GBP5/NOP53/SELENOK/ROMO1/RIOK3/CCL3L1/CXCR6/EXOSC4/IFI35/SHC1/SETD6/NT5C3A/CCL4/PML/VDAC1/RBM14/TNIP1/NOTCH2/PSPC1/GFER
BP	GO:0097529	myeloid leukocyte migration	110	0.5278839567441764	2.3146460013412775	6.51691670362472e-10	2.7618692989961566e-7	2.284350802428455e-7	679	tags=29%, list=7%, signal=27%	CCL7/CXCL3/JAM3/IL1R1/CXCL1/NBL1/TNFAIP6/AIF1/TNFRSF11A/IL1B/CSF1/CXCL2/S100A12/S100A9/SPI1/S100A8/PTK2/THBS1/CCR7/MPP1/CXCL8/XCL1/B4GALT1/IL23A/CCL3/VAV1/CNN2/LGALS3/RABGEF1/PDE4B/SWAP70/VEGFA
BP	GO:0032496	response to lipopolysaccharide	161	0.4663751028306369	2.170114691604323	1.1673724440468773e-9	3.9249414475909906e-7	3.2463314424574653e-7	1307	tags=37%, list=14%, signal=32%	CXCL3/CXCL1/NR4A1/IL12RB2/NLRP3/TNFRSF11A/IL1B/PTGS2/CSF1/CXCL2/S100A9/SPI1/S100A8/CD14/CSF2/CD55/NOCT/CCR7/CXCL8/ZC3H12A/PCK2/IRAK2/JUND/NFKB1/SLC7A5/CCL3/CD68/TAB2/IRF8/PELI1/SLC11A1/NFKBIB/NFKBIA/PDE4B/LGALS9/ABCA1/SBNO2/RARA/GIT1/GCH1/LITAF/SOD2/SIGIRR/LTA/HAVCR2/IL18/DUSP10/TNFRSF1B/XBP1/ABL1/CD96/IL6/ARID5A/NFKBIL1/RELA/TGFB1/WDR83/TNIP2/PTGER4
BP	GO:0002237	response to molecule of bacterial origin	165	0.46453325448894967	2.1695822865847187	1.2965828283688973e-9	3.9249414475909906e-7	3.2463314424574653e-7	1307	tags=36%, list=14%, signal=32%	CXCL3/CXCL1/NR4A1/IL12RB2/NLRP3/TNFRSF11A/IL1B/PTGS2/CSF1/CXCL2/S100A9/SPI1/S100A8/CD14/CSF2/CD55/NOCT/CCR7/CXCL8/ZC3H12A/PCK2/IRAK2/JUND/NFKB1/SLC7A5/CCL3/CD68/TAB2/IRF8/PELI1/SLC11A1/NFKBIB/NFKBIA/PDE4B/LGALS9/ABCA1/SBNO2/RARA/GIT1/GCH1/LITAF/SOD2/SIGIRR/LTA/HAVCR2/IL18/DUSP10/TNFRSF1B/XBP1/TLR1/ABL1/CD96/IL6/ARID5A/NFKBIL1/RELA/TGFB1/WDR83/TNIP2/PTGER4
MF	GO:0048018	receptor ligand activity	84	0.5754662269892672	2.4159281179836665	1.8963188375887968e-9	5.022874521063325e-7	4.1544353481386147e-7	1286	tags=42%, list=14%, signal=36%	CCL7/CXCL3/IL1RN/CXCL1/INHBA/IFNG/NBL1/PDGFA/IL1B/CSF1/CXCL2/SEMA6B/EREG/CSF2/AREG/CXCL8/NAMPT/XCL1/OSGIN2/IL23A/CCL3/LGALS3/VEGFA/LTA/LTB/ADA2/IL18/XCL2/CD320/GMFB/IL6/TGFB1/TYMP/RABEP2/TNFSF14
MF	GO:0030545	signaling receptor regulator activity	91	0.547806130507163	2.3332826349135414	3.008758003750987e-9	7.083953566609268e-7	5.859160323094028e-7	1286	tags=40%, list=14%, signal=34%	CCL7/CXCL3/IL1RN/CXCL1/INHBA/IFNG/NBL1/PDGFA/IL1B/CSF1/CXCL2/SEMA6B/EREG/CSF2/AREG/CXCL8/NAMPT/XCL1/OSGIN2/ESR2/IL23A/CCL3/LGALS3/VEGFA/LTA/LTB/ADA2/IL18/XCL2/CD320/GMFB/IL6/TGFB1/TYMP/RABEP2/TNFSF14
BP	GO:0034097	response to cytokine	478	0.32982174357194405	1.717476716253824	3.350110549013182e-9	7.098884253358933e-7	5.87150954116521e-7	1353	tags=24%, list=15%, signal=21%	CCL7/CXCL3/IL1RN/IL1R1/CXCL1/IL2RA/IFNG/IL12RB2/AIF1/TNFRSF11A/CCRL2/ICAM1/LAMP3/PIGA/IL1B/PTGS2/CSF1/CXCL2/GPR35/SPI1/EREG/CD14/IL15RA/IKBKE/TRAF1/CSF2/THBS1/SPHK1/IL4R/RFX2/CCR7/IFITM1/CXCL8/XCL1/ZC3H12A/PCK2/IRAK2/TRAF3IP2/STAT4/IFITM3/ACSL1/BCL2L1/NFKB1/CCL3/SPOCK2/OAS3/IFNGR2/BIRC2/USP18/IRF8/REL/SLC11A1/NFAT5/NFKBIA/FAS/TNFRSF18/IL1RAP/RABGEF1/TNFRSF4/IL18RAP/EIF5A/OTULIN/LGALS9/SLC12A2/SBNO2/MAPK13/RARA/WDR35/TYMS/GCH1/MUL1/MT2A/IL12RB1/SPATA2/SIGIRR/RELB/NFIL3/IL21R/IFNGR1/HIF1A/TFRC/IL18/TCIRG1/TNFRSF1B/XCL2/STAT6/ACTG1/ARHGEF2/MX2/TNFRSF25/XBP1/CNOT9/NFE2L2/IL6/GBP1/COMMD7/SRSF3/HSPA5/RELA/VAMP3/KYNU/GBP4/HSP90AB1/SPPL2A/CYP1B1/CD44/TNIP2/KDM5B/IFITM2/GBP2/DUSP1/ETV3/PRKACA/NR1H2
BP	GO:0060326	cell chemotaxis	133	0.4852914093903832	2.188432855106335	4.714972846304586e-9	9.082752237563107e-7	7.512373003920706e-7	976	tags=30%, list=11%, signal=27%	CCL7/CXCL3/JAM3/CXCL1/NR4A1/NBL1/TNFAIP6/AIF1/TNFRSF11A/CCRL2/IL1B/CSF1/CXCL2/S100A12/S100A9/SPI1/S100A8/NINJ1/PTK2/THBS1/CCR7/MPP1/CXCL8/XCL1/NEDD9/GPR183/IL23A/CCL3/VAV1/LGALS3/PDE4B/SWAP70/VEGFA/LGALS9/SLC12A2/RHOG/PIP5K1A/GPR18/XCL2/ITGB2
