ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0005615	extracellular space	760	0.33618984611264313	1.7549285900905183	1e-10	1.3760000000000001e-7	1.2221052631578948e-7	1040	tags=34%, list=25%, signal=32%	S100B/HBA2/CXCL3/A1BG/KRT86/IL1B/CXCL2/IL32/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/CRELD2/ITGB2/ITGB7/TTC38/CXCL8/RSU1/IFNG/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/GFER/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/ATXN10/DDX23/PRKCB/TSPO/POMC/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/DIPK2A/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/LTB/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/NUDT1/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/CTSW/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/GNL3/ATP2B1/CAPNS1/PRKRIP1/CTSS/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/LIME1/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/DNAJB11/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TGFB1/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/C1QBP/TSG101/RAB29/IL4R/SERPINB2/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/CCL3/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/AREG/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/TRBC1/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/BLOC1S1/DCXR/XCL2/HEXA/YWHAQ/HPRT1/FGFBP2/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC/DNAJC9/SLC25A3/CD55/HLA-B/CMTM3/WAS/TIMM8B/HNRNPA1
CC	GO:0070062	extracellular exosome	669	0.31155781548480854	1.6101654927666404	6.141923303694677e-7	2.1728903122238895e-4	1.9298696851988492e-4	1008	tags=33%, list=24%, signal=30%	HBA2/A1BG/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/ITGB2/ITGB7/TTC38/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/DDX23/PRKCB/TSPO/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/ATP2B1/CAPNS1/PRKRIP1/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/TSG101/RAB29/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/DCXR/HEXA/YWHAQ/HPRT1/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC
CC	GO:0043230	extracellular organelle	670	0.31121231945649064	1.609278059482455	7.895677006627505e-7	2.1728903122238895e-4	1.9298696851988492e-4	1008	tags=33%, list=24%, signal=30%	HBA2/A1BG/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/ITGB2/ITGB7/TTC38/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/DDX23/PRKCB/TSPO/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/ATP2B1/CAPNS1/PRKRIP1/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/TSG101/RAB29/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/DCXR/HEXA/YWHAQ/HPRT1/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC
CC	GO:0065010	extracellular membrane-bounded organelle	670	0.31121231945649064	1.609278059482455	7.895677006627505e-7	2.1728903122238895e-4	1.9298696851988492e-4	1008	tags=33%, list=24%, signal=30%	HBA2/A1BG/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/ITGB2/ITGB7/TTC38/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/DDX23/PRKCB/TSPO/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/ATP2B1/CAPNS1/PRKRIP1/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/TSG101/RAB29/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/DCXR/HEXA/YWHAQ/HPRT1/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC
CC	GO:1903561	extracellular vesicle	670	0.31121231945649064	1.609278059482455	7.895677006627505e-7	2.1728903122238895e-4	1.9298696851988492e-4	1008	tags=33%, list=24%, signal=30%	HBA2/A1BG/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/ITGB2/ITGB7/TTC38/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/DDX23/PRKCB/TSPO/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/ATP2B1/CAPNS1/PRKRIP1/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/TSG101/RAB29/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/DCXR/HEXA/YWHAQ/HPRT1/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC
MF	GO:0005509	calcium ion binding	98	0.5230418763480357	2.1502557614973936	2.269681599180319e-6	5.205136467453531e-4	4.622983046751492e-4	787	tags=44%, list=19%, signal=37%	S100B/ANXA2/SPOCK2/THBS1/S100A4/S100A9/CRELD2/CEMIP2/TPM4/S100A8/CD320/SPTAN1/NUCB1/CALM3/CALR/ADGRE5/CALM2/S100A11/HSPA5/MGMT/MAN1A1/CAPNS1/SYT11/EHD1/SDF4/CLSTN1/ANXA4/S100A6/NUCB2/GCH1/ANXA11/PRF1/HSP90B1/MICU2/CALM1/ANXA7/CIB1/NCALD/MYL12A/NDUFAB1/LCP1/MYL6/CBL
MF	GO:0005102	signaling receptor binding	299	0.3684476426325357	1.7674226951815726	6.79891275060085e-6	0.00133647199211811	0.0011869981508943741	789	tags=27%, list=19%, signal=24%	S100B/CXCL3/IL1B/CXCL2/IL32/TOB1/THBS1/CD226/SYTL1/S100A4/CX3CR1/S100A9/FCRL6/ITGB2/ITGB7/PRMT2/CXCL8/CD160/IFNG/EML2/GFER/S100A8/LGALS3/ITGB1BP1/HDGFL3/BID/POMC/CRTAM/ICAM3/CD3E/ITGAM/CD320/PILRB/ITGAE/PIK3AP1/TIMP1/YES1/BTN3A1/SIPA1L1/RNF126/CALM3/LTB/CALR/SH3BP1/FKBP1A/ARRDC3/SCP2/FGR/GALNT11/ITGAL/TUBB4B/CD81/HCST/DOK2/DNAJB11/DBI/HSP90B1/VAV3/TGFB1/ICAM2/ANXA7/PTPN2/ITGAX/CNPY3/FLNA/MIF/STOML2/C1QBP/STAT3/PTPN11/DOCK2/ASXL1/HSP90AB1/ADAM10/MYL12A/RIPK2/LCP1/ERBIN/CCL3/SLA/CBL/CDC42
MF	GO:0003677	DNA binding	607	-0.2974243111223067	-1.526338734007421	9.42068838876907e-6	0.0016203584028682799	0.0014391341078106433	1072	tags=34%, list=25%, signal=30%	STAT6/UBN1/ZNF638/BBX/ZNF506/TCEA1/GPBP1/PURB/PIN4/PDS5B/HDAC1/BAZ1A/TOP1/POLR2K/DHX9/SAFB2/IKZF3/ZNF655/ZMAT2/ZNF131/CAMTA1/NR3C1/SUPT6H/CREB3/ZBP1/GTF2F1/FOXJ3/OGT/CGGBP1/GPBP1L1/NFE2L2/LEMD3/EZH2/SMG1/DHX36/ASH1L/AKAP9/AEBP2/SBNO1/CREBBP/LCORL/SMARCB1/ZNF721/HUWE1/GTF2A1/GOLGB1/MCM7/MBD4/TGIF1/BACH1/SMAD4/AKNA/TAF15/ELK3/NFATC2/TRIM28/ATRX/CSRNP1/SP110/ZBTB24/KAT6A/KMT2A/RABGEF1/ZNF480/ZKSCAN1/YAF2/RBMS1/CRLF3/KIN/UIMC1/MEF2A/ZNF430/RLF/SHPRH/ZC3H12A/RB1/ZBTB16/ZNF292/HP1BP3/DNAJC1/UPF2/STAT5A/TMPO/AGFG1/ZBTB7A/CDK5RAP2/GTF2F2/TENT4B/TDG/ZNF24/ATR/DICER1/KLF12/FMR1/SKIL/IRF9/TOP2B/USF2/PDCD5/DMTF1/DRAP1/MECP2/WBP2/GATAD2B/ZC3H8/MAFF/ZFP36L1/KLF13/HDGF/ZBTB44/ZNF33A/KMT2C/KMT2B/FBXO21/NCOA2/NSD1/RNF10/CHD3/PAXBP1/CDK9/BCL11B/CCAR1/AGO2/FOXN2/UHRF2/ZFR/ATXN1/TSNAX/RFX1/ADAR/SSRP1/SP100/HNRNPAB/SOS1/GATAD1/LUC7L3/IFI16/CENPB/ERCC5/HOPX/XPC/GATA3/PURA/CREBZF/BMI1/IFIH1/REV3L/SMARCC2/ARID1A/BPTF/SMARCAD1/ZNF688/SIN3A/NBN/ZNF281/SMC1A/RAD23B/CREB1/IRF2/ZNF827/PARP4/MLX/RBM6/MSL3/ZNF32/THAP11/HIVEP2/ZBTB43/RPA1/HLTF/ZNF708/ZFX/DNMT1/PLSCR1/ZNF217/CTCF/BAZ2B/PHF5A/OASL/SMCHD1/NCOR1/ZGPAT/RBPJ/GFI1/LMNB1/SAFB/IFIT5/MXI1/GTF2I/KLF10/IRF7/CALCOCO1/PCID2/STAT5B/ARID5B/STAT1/ATF3/PARP1/ATF1/TBL1XR1/ELL/ZMYND11/IRF3/ZBTB38/MLLT3/EOMES/SP140/HOXB2
BP	GO:0051607	defense response to virus	119	-0.47107970512120645	-2.006533514153665	3.228838950392585e-5	0.004442882395740197	0.003945981075163991	948	tags=45%, list=22%, signal=36%	PDE12/CNOT7/ZBP1/ISG15/DHX36/ANKRD17/DTX3L/TBK1/NT5C3A/PMAIP1/SENP7/RNF216/TRIM28/IFNAR2/APOBEC3G/ATG5/ZC3H12A/TRIM8/RAB2B/DDX17/IRF9/SETD2/TRIM13/CARD8/ADAR/TRIM22/IFI16/APOBEC3C/IFIH1/SIN3A/IRF2/PLSCR1/LYST/OASL/PTPN22/TRIM44/TRIM38/PUM2/SLFN13/IFIT5/IFIT2/IRF7/STAT1/TRIM56/TOMM70/EIF2AK2/IFIT3/ZMYND11/PARP9/IRF3/HERC5/MX1/BIRC3/OAS2
BP	GO:0140546	defense response to symbiont	119	-0.47107970512120645	-2.006533514153665	3.228838950392585e-5	0.004442882395740197	0.003945981075163991	948	tags=45%, list=22%, signal=36%	PDE12/CNOT7/ZBP1/ISG15/DHX36/ANKRD17/DTX3L/TBK1/NT5C3A/PMAIP1/SENP7/RNF216/TRIM28/IFNAR2/APOBEC3G/ATG5/ZC3H12A/TRIM8/RAB2B/DDX17/IRF9/SETD2/TRIM13/CARD8/ADAR/TRIM22/IFI16/APOBEC3C/IFIH1/SIN3A/IRF2/PLSCR1/LYST/OASL/PTPN22/TRIM44/TRIM38/PUM2/SLFN13/IFIT5/IFIT2/IRF7/STAT1/TRIM56/TOMM70/EIF2AK2/IFIT3/ZMYND11/PARP9/IRF3/HERC5/MX1/BIRC3/OAS2
