ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0034470	ncRNA processing	291	-0.4209489835104294	-1.6314579145774735	7.002441092025139e-7	0.001472613361652887	0.001400488218405028	2404	tags=38%, list=27%, signal=29%	NOP56/NAF1/TRMT112/SIRT7/DKC1/RPUSD1/TSN/WDR74/SRFBP1/UTP23/TRMT10C/BUD23/TRMT1L/INTS7/RPP14/SHQ1/TRMT44/TYW1/ELP3/TARBP2/ZC3H10/METTL3/METTL2A/RRP1/PES1/LAS1L/WDR36/PWP1/RNF113A/BRIX1/RPP38/DIS3/MPHOSPH10/NHP2/DDX18/OSGEPL1/NUDT16/INTS12/NSUN2/AARS2/METTL2B/MAK16/RPP25L/SPOUT1/PDCD11/TRPT1/INTS4/PUS3/PRORP/TP53/DUS3L/KRI1/DGCR8/TRMU/EXOSC8/EXOSC7/DIMT1/UTP15/RIOK1/TFB1M/CTU1/INTS6L/RPF1/METTL5/RIOK2/TSEN15/PUS10/NSUN3/RPUSD4/MPHOSPH6/TSEN34/TRMT2B/NCBP2/PUSL1/AGO3/MTO1/METTL15/ZC3H7B/TRIT1/WDR75/NAT10/BCDIN3D/INTS14/TSEN54/RRP1B/SBDS/MRTO4/POP5/ELP2/TP53RK/RIPK1/RPF2/NOP2/METTL8/DALRD3/DDX56/RRS1/UTP6/WDR55/RRP36/ZCCHC8/GON7/DICER1/TRDMT1/GAR1/NOB1/METTL18/PUM1/TENT4B/NOL8/NCOR2/ABT1
BP	GO:0034660	ncRNA metabolic process	389	-0.39177553332413995	-1.536895172408914	7.812753590838798e-6	0.008215110400766997	0.007812753590838798	2157	tags=36%, list=25%, signal=29%	NOP56/NAF1/SLFN12/TRMT112/SPIN1/SIRT7/DKC1/RPUSD1/TSN/WDR74/SRFBP1/UTP23/ATRX/REST/TRMT10C/BUD23/TRMT1L/INTS7/FARSB/RPP14/SHQ1/TRMT44/PNLDC1/TYW1/ELP3/YARS2/TARBP2/ZC3H10/METTL3/DIS3L/METTL2A/RRP1/PES1/LAS1L/WDR36/PWP1/SMARCB1/RNF113A/BRIX1/RPP38/DIS3/MPHOSPH10/NHP2/DDX18/TENT2/TAF1B/OSGEPL1/DIS3L2/NUDT16/INTS12/NSUN2/PPARD/AARS2/METTL2B/MAK16/RPP25L/SPOUT1/PDCD11/TRPT1/INTS4/PUS3/PRORP/ICE2/MRTFB/TP53/AARSD1/DUS3L/KRI1/DGCR8/PDGFB/TRMU/EXOSC8/EXOSC7/DIMT1/UTP15/RIOK1/QRSL1/TFB1M/CTU1/LILRB4/INTS6L/RPF1/METTL5/RPAP2/RIOK2/LRRC47/TSEN15/PUS10/NSUN3/HARS2/TDRD7/RPUSD4/MPHOSPH6/TSEN34/TRMT2B/SNAPC1/NCBP2/PUSL1/AGO3/MTO1/GTF3C4/METTL15/ZC3H7B/ZC3H8/TRIT1/WDR75/NAT10/BCDIN3D/INTS14/TSEN54/RRP1B/SBDS/MRTO4/POP5/ELP2/DEDD2/TP53RK/RIPK1/RPF2/NOP2/METTL8/DALRD3/DDX56/RRS1/UTP6/WDR55/RRP36/ZCCHC8/GON7/DICER1/TRDMT1/GAR1/NOB1/METTL18/ICE1/ZCCHC7/PUM1/TENT4B/NOL8/NCOR2/ABT1
BP	GO:0006399	tRNA metabolic process	117	-0.48906494187125094	-1.768022710556258	1.5599754042989175e-5	0.009486017163495501	0.009021414325720876	2098	tags=42%, list=24%, signal=32%	TRMT10C/TRMT1L/FARSB/RPP14/TRMT44/TYW1/ELP3/YARS2/METTL2A/RPP38/OSGEPL1/NSUN2/AARS2/METTL2B/RPP25L/TRPT1/PUS3/PRORP/AARSD1/DUS3L/TRMU/EXOSC8/EXOSC7/QRSL1/CTU1/LRRC47/TSEN15/PUS10/NSUN3/HARS2/RPUSD4/TSEN34/TRMT2B/PUSL1/MTO1/GTF3C4/TRIT1/NAT10/BCDIN3D/TSEN54/POP5/ELP2/TP53RK/METTL8/DALRD3/GON7/DICER1/TRDMT1/ZCCHC7
BP	GO:0022613	ribonucleoprotein complex biogenesis	336	-0.39043538680960627	-1.5215927919779395	1.8042828651441753e-5	0.009486017163495501	0.009021414325720876	3666	tags=56%, list=42%, signal=34%	SF3A3/ESF1/PTGES3/HSP90AB1/FRG1/LSG1/ZRSR2/SNRPD2/IMP3/NPM1/NCBP1/DDX23/RUVBL2/SRSF5/SCAF11/HELB/SNRPD1/NMD3/UTP18/UTP11/NOP10/EIF3H/SNRPB/RBIS/SNRPF/C1QBP/ABCE1/POP4/EIF3E/DDX21/EIF4B/RAN/EIF3I/RPUSD2/NUP88/CPSF7/NUFIP1/DHX9/LSM2/SRPK1/RRP15/DHX29/GTPBP4/EIF3F/EIF3L/MTERF4/EIF2S3/ZNHIT6/TSR2/PRPF31/XRN2/TGS1/SF3B1/ATR/AGO4/SRSF1/EIF3A/AGO2/WDR43/SNRPB2/GTF3A/PIN4/SF1/SETX/EIF3B/PTEN/RRP8/DCAF13/SFSWAP/HELQ/NOL9/GNL2/MTREX/SNRNP200/CELF2/LYAR/PRPF8/SDAD1/LUC7L/RSL1D1/CDC73/NOP56/NAF1/PINX1/PRPF19/CINP/TRMT112/NGRN/SIRT7/DKC1/NOC2L/RPUSD1/RBMX2/SNRPA1/MCTS1/XPO1/WDR74/DDX20/CUL4A/SRFBP1/UTP23/GPATCH4/LUC7L3/BUD23/SHQ1/GTPBP10/DDX31/TARBP2/SPATA5L1/ERAL1/RRP1/PES1/LAS1L/WDR36/PWP1/BRIX1/RPP38/DIS3/HTATSF1/MPHOSPH10/NHP2/CELF1/DDX18/NUDT16/MAK16/PDCD11/PRMT5/GEMIN2/RRN3/PRMT7/NIP7/SF3B3/KRI1/GEMIN7/MTG2/EXOSC8/EXOSC7/SNRPD3/RAMAC/EIF2D/DIMT1/UTP15/RIOK1/LTV1/TFB1M/TSC1/LTO1/CPSF6/DDX28/RPF1/METTL5/RIOK2/NSUN3/BUD13/RPUSD4/MPHOSPH6/GRWD1/TRMT2B/AGO3/PRPF3/GEMIN6/METTL15/WDR75/NAT10/RRP1B/SBDS/MRTO4/SURF6/POP5/METTL17/RPF2/NOP2/ZNF622/DDX56/RRS1/UTP6/USP4/WDR55/RRP36/DICER1/GAR1/NOB1/METTL18/CLNS1A/TENT4B/DENR/COIL/NOL8/ABT1
BP	GO:0007224	smoothened signaling pathway	56	-0.5674198729917631	-1.8590349190383717	3.385704648273839e-5	0.010171624107599834	0.00967344185221097	2376	tags=43%, list=27%, signal=31%	RB1/SSNA1/CLUAP1/HERC4/TTC21B/FBXL17/DYNC2H1/TEDC1/TCTN3/CFAP410/DYRK2/PTCH2/IFT80/C2CD3/FGF9/TTBK2/NSDHL/GORAB/POR/UCHL5/ARL13B/MOSMO/TXNDC15/TGFBR2
CC	GO:0016604	nuclear body	588	-0.3561583099156827	-1.415435906959561	2.646328553246194e-5	0.010171624107599834	0.00967344185221097	3621	tags=49%, list=41%, signal=31%	SMNDC1/DHX36/FRG1/DDX5/LSG1/UQCC2/PRKACA/CALCOCO2/SNRNP40/CCNDBP1/NELFE/YME1L1/NPM1/MAGOH/BAZ2A/FAAP20/BCL6/PPWD1/TP53BP1/SPN/SUZ12/SRSF5/SCAF11/SLTM/DENND1B/TERF1/NOP10/HNRNPM/PNISR/CASP8AP2/CIR1/MTDH/SP140L/BASP1/ATMIN/SP100/GNL3/ZC3H18/FYTTD1/NR3C1/PRKAA1/EIF3E/SARNP/HABP4/EEF1AKMT2/NSMCE2/ACD/EFTUD2/RBM25/RBM14/DHX9/ZNF217/MAML3/SRPK1/BECN1/CCNL2/TOPBP1/TRIM41/PRPF4/TRIM25/CSNK1A1/MAML2/PRPF31/PARP1/TGS1/PYHIN1/SMC4/RNF169/CLK3/THOC1/FMR1/RBM39/RIF1/SF3B1/COPS4/ATXN2L/ATR/F8A1/IKBKE/MRE11/DBF4/CHD3/SRSF1/SNRPB2/PIN1/CNOT7/SMU1/IL16/HP1BP3/SF1/DHX15/CENPB/SLC2A4RG/SETX/STK17A/ZC3H13/PTEN/TMEM179B/AKAP17A/BRD1/ARL6IP4/TKT/CTR9/LYRM4/FAM76B/ZBED1/APEX1/SRP19/CCNL1/SMC5/EWSR1/PSME4/SNRNP70/MTREX/USP7/DCAF7/MBD4/PRPF8/DDX42/ZNF638/SFPQ/PRPF19/PPP4R3B/IFI16/RB1/NSRP1/ZC3H14/ARIH1/NGRN/SIRT7/PQBP1/DKC1/MSL1/ZBTB1/RBM15B/TOPORS/ELF2/SNRPA1/WAC/DGKZ/CDC40/GON4L/THAP7/SUMO1/XPO1/NPAT/FBXL3/DDX20/PPP4R3A/CDK12/SATB1/AK6/NSL1/JADE1/ZBTB4/ATRX/ZMYM2/LUC7L3/HNRNPU/INTS7/HDAC4/PHF7/MECOM/SENP2/ABRAXAS1/MED7/MAPK9/RREB1/LIMK1/TP53INP1/SFMBT2/YARS2/TARBP2/METTL3/CIITA/KIF22/WRAP53/ATPAF2/CBX4/NFATC1/ASCC2/CBY1/SBF1/RBM10/ELF4/RNF113A/HBP1/RBM27/SAFB2/ADD1/SMURF2/NHP2/TBXA2R/SCNM1/DNAJC11/PIAS3/COP1/TAF5L/GTF2H2/HCFC2/GEMIN2/ICE2/KCTD13/TP53/CXXC1/CACTIN/GEMIN7/TP53INP2/DGCR8/NDUFS3/SP140/MAML1/SCAPER/NCBP3/CENPC/SNRPD3/DUSP11/RBM15/DCLRE1B/EIF2D/GPATCH2/GTF2H2C/RGS14/TRIM27/FIBP/CPSF6/YLPM1/DVL2/NR1D1/REXO1/LSM10/ALYREF/CDK13/TRIP11/AFF3/FAM193B/ABITRAM/NOC3L/AAGAB/TOP3A/CASC3/MBD1/POLI/BABAM1/PPP1R16B/PRPF3/PRCC/SMC6/GEMIN6/TRIM52/CDK9/ASCC1/ZPR1/MYO1C/DRG1/SUDS3/UBXN7/ZC3H8/INO80B/BMP2K/ORC3/SGK1/API5/USP28/NXF1/NAA15/HSF1/PIAS2/NELFA/HIKESHI/RNF111/PARP11/ZCCHC8/KLHDC2/EAF2/TCERG1/CHTOP/STAG1/CWC25/GAR1/HIVEP1/ACIN1/PIP5K1A/RNF2/ICE1/UNC45A/TFIP11/COIL/MDM2/NCOR2/GATAD2B
BP	GO:0006396	RNA processing	701	-0.3423606591239367	-1.3656231946462303	3.118447534107209e-5	0.010171624107599834	0.00967344185221097	3259	tags=42%, list=37%, signal=29%	TYW3/HABP4/RPUSD2/SUPT7L/PDE12/CPSF7/NUFIP1/EFTUD2/PRPF38B/RBM25/RBM14/PPP2R1A/DHX9/RBM26/LSM2/SRPK1/RRP15/NCL/GTPBP4/SREK1IP1/CCNL2/PRPF4/MAP2K1/MBNL3/WDR33/MTERF4/ZNHIT6/IWS1/TSR2/PRPF31/XRN2/HNRNPH1/PRKRA/TGS1/PUS7L/CLK3/THOC1/FMR1/HSPA8/RBM39/SF3B1/AGO4/SUPV3L1/SRSF1/AGO2/WDR43/SNRPB2/TPRKB/PIN4/SMU1/SF1/INTS11/FAM98A/DHX15/CSTF3/SETX/AHNAK/ZC3H13/RRP8/DCAF13/AKAP17A/ARL6IP4/SFSWAP/ZFP36L1/PPP2CA/KHDRBS1/INTS1/ATXN7L3/CCNL1/PABPC4/URM1/HELQ/SNRNP70/FUS/TUT4/NOL9/METTL14/MTREX/SNRNP200/CELF2/LYAR/PPP3CA/PRPF8/LUC7L/LSM7/RSL1D1/CTNNBL1/RBMS1/ZNF638/RP9/SFPQ/SNRNP25/CDC73/NOP56/SLC38A2/NAF1/PRPF19/TRMT112/NSRP1/ZC3H14/SIRT7/PQBP1/DKC1/TRA2A/RBM15B/RPUSD1/PCF11/RBMX2/SNRPA1/CDC40/TSN/WDR74/DDX20/TAF15/SNRNP48/SRFBP1/UTP23/CDK12/LUC7L3/REST/TRMT10C/HNRNPD/BUD23/HNRNPU/TRMT1L/INTS7/RPP14/SHQ1/TRMT44/TYW1/ELP3/TARBP2/ZC3H10/METTL3/DIS3L/CMTR2/METTL2A/SCAF1/RRP1/THOC5/PES1/RBM10/LAS1L/WDR36/SNHG1/PWP1/JMJD6/RNF113A/BRIX1/TIA1/RBM27/RPP38/SAFB2/DIS3/HTATSF1/MPHOSPH10/NHP2/U2SURP/CELF1/DDX18/TENT2/SCNM1/LEO1/TAF5L/OSGEPL1/NUDT16/INTS12/NSUN2/AARS2/TBRG4/METTL2B/FASTK/MAK16/RPP25L/SPOUT1/PDCD11/TRPT1/INTS4/PUS3/PRMT5/PRORP/GEMIN2/PRMT7/SF3B3/TP53/CACTIN/DUS3L/KRI1/GEMIN7/SCAF4/DGCR8/TRMU/EXOSC8/EXOSC7/LSM8/NCBP3/ATXN7/SNRPD3/DUSP11/RAMAC/RNPC3/RBM15/DIMT1/UTP15/DDX41/RIOK1/TFB1M/CPSF6/CHERP/CTU1/INTS6L/LSM10/RPF1/ALYREF/CDK13/METTL5/RIOK2/TSEN15/PUS10/NSUN3/SCAF8/CWF19L1/BUD13/RPUSD4/BICD1/MPHOSPH6/CASC3/RAVER1/TSEN34/TRMT2B/NCBP2/PUSL1/AGO3/TTF2/PRPF3/CPSF3/GEMIN6/MTO1/TRRAP/CDK9/CSTF2T/METTL15/ZPR1/ZC3H7B/RBM41/PAXBP1/TRIT1/WDR75/NAT10/BCDIN3D/INTS14/TSEN54/RPRD1A/RRP1B/SBDS/MRTO4/DCPS/POP5/ELP2/DEDD2/TP53RK/RIPK1/RPF2/HSF1/NOP2/METTL8/PPIL3/DALRD3/DBR1/DDX56/RRS1/SUPT20H/UTP6/USP4/WDR55/RRP36/ZCCHC8/GON7/DICER1/ZBTB7A/TCERG1/TRDMT1/CDK11B/CWC25/GAR1/ACIN1/NOB1/METTL18/PAN3/TFIP11/PUM1/CLNS1A/TENT4B/COIL/NOL8/NCOR2/ABT1
CC	GO:1990234	transferase complex	592	-0.3538166426672898	-1.4062044497903625	3.911328201237032e-5	0.010281904009001848	0.00977832050309258	2764	tags=38%, list=32%, signal=28%	EEA1/ZC3H13/WDR82/DCAF13/ZNFX1/TANK/BRD1/CTR9/PFKP/DCAF11/ATXN7L3/ARIH2/CCNL1/SMC5/TAF3/POLR3E/RNF19B/METTL14/POLR2C/DCAF7/ORMDL1/GNPTG/POLR3GL/YEATS4/STRADB/FEM1C/SUGT1/PDCD6/PIGC/CRCP/MED17/KMT2D/SPSB3/MED11/EZH1/OSTC/CDC73/RHBDD2/SEL1L/ING3/RB1CC1/CSNK2A1/CUL5/RABGGTB/ARIH1/MSL1/DMAP1/RBM15B/DCUN1D5/KLHL42/KMT2B/CCNQ/TOPORS/CHM/MEAF6/FBXO21/FBXO33/PRKX/CHD8/BCCIP/FBXL3/ARMC8/CCNT1/ATG12/XRCC6/CHRAC1/ANKIB1/TBK1/CUL4A/MSL3/CDK12/JADE1/TRMT10C/SESN2/DCAF6/ACVR2A/DCUN1D4/CCNA2/FBXL17/MED7/TRIM40/KLHL7/UBE2D4/POLR3D/DAPK1/TEX10/AMN1/BRCA2/METTL3/KLHDC1/RNF40/PYCARD/RANBP10/FBXL20/MED24/APPBP2/CBX4/POLD1/DPM1/LAS1L/MORF4L2/POLD2/NAA35/CAND1/ATG3/PIK3C3/DDA1/TAF11/PGGT1B/KANSL3/MAEA/SPTLC2/SMURF2/MBTD1/CCNK/TENT2/LEO1/COP1/TAF5L/CCNT2/FBXO45/GTF2H2/BOD1/SUMO4/FBH1/STT3A/ACVR1B/CDK4/HCFC2/PRMT5/KCTD13/SF3B3/FBXO31/CXXC1/POLRMT/ILVBL/NCOA6/KCTD17/ATXN7/KAT6B/POLR2J3/DYRK2/SNRPD3/POLR2H/RAMAC/RBM15/GTF2H2C/RIOK1/PEX2/FBXO32/KLHL9/DCAF10/CKS2/UBR1/TAF4B/DCAF15/CDK16/TAF1/BRCC3/CDK13/FBXL5/RPAP2/WDTC1/DCAF17/IRS1/ANAPC13/WDR5/POLR3A/GTF2H1/UBE4A/POLR3B/NAA30/KEAP1/PIGM/SMC6/ASB1/GTF2E1/TRRAP/MED30/CDK9/POLD3/ULK1/STK11/TRPC4AP/BRPF1/KLHL2/RNF14/CCNJL/KLHDC3/DCAF12/KAT5/EID3/PAGR1/RPRD1A/PRPS2/ANAPC10/TBP/LMO7/FBXO42/PHC2/CHML/NAA15/KANSL2/CBX7/ERCC3/ASH2L/SUPT20H/SPTLC1/KLHDC2/MNAT1/CDC27/MAD2L2/ANAPC15/ATG14/TGFBR2/MED27/DCAF5/PRPSAP1/INO80C/RNF2/UBAC1/CLNS1A
BP	GO:0034243	regulation of transcription elongation by RNA polymerase II	71	-0.5255332112963428	-1.7851353404293873	6.942076886929037e-5	0.016221319659124184	0.015426837526508972	2881	tags=54%, list=33%, signal=36%	WDR43/SUPT16H/INTS11/MED8/MED16/CTNNB1/INTS1/MED17/MED11/CDC73/MED28/CCNT1/CDK12/MED1/HNRNPU/INTS7/MED7/MED24/MED14/CCNK/LEO1/INTS12/INTS4/NELFB/CDK13/SIRT6/NCBP2/MED18/MED30/CDK9/INTS14/MED23/MED25/CBX7/NELFA/EAF2/TCERG1/MED27
BP	GO:0032784	regulation of DNA-templated transcription elongation	87	-0.5054216531749938	-1.7640567737016124	8.065814789398459e-5	0.01696240850210496	0.016131629578796918	2881	tags=52%, list=33%, signal=35%	WDR43/SUPT16H/INTS11/MED8/MED16/WDR82/CTNNB1/INTS1/MED17/MED11/CDC73/MED28/TSFM/CCNT1/CDK12/MED1/HNRNPU/INTS7/MED7/MED24/THOC5/MED14/HTATSF1/CCNK/LEO1/CCNT2/INTS12/INTS4/NELFB/ALYREF/CDK13/SCAF8/SIRT6/NCBP2/MED18/MED30/CDK9/INTS14/MED23/MED25/CBX7/NELFA/EAF2/TCERG1/MED27
