ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	113	-0.4513361963867367	-2.3033217343053396	4.0108790579003724e-10	6.03276319098795e-6	5.812819249386562e-6	2055	tags=51%, list=17%, signal=43%	ERGIC1/MIA3/TEX261/KLHL12/LMAN1/TRAPPC3/BCAP29/GOSR1/SAR1A/STX5/NRBP1/SEC16A/IER3IP1/TMED10/RAB1A/RINT1/SEC23B/SEC13/YIF1A/P4HB/TRAPPC2B/CREB3L2/TMED5/ZW10/SEC24A/YIPF6/TMED9/TBC1D20/COPA/YIPF4/TRAPPC4/PREB/GOLT1B/COPB1/SEC31A/GBF1/VCP/TMED2/TMED7/ARCN1/VAPB/SEC24C/SEC23A/TRIP11/YKT6/TFG/INSIG1/COPG1/SEC23IP/SEC22B/ARF4/GOLGA2/USO1/COPB2/KDELR2/BET1/SEC24D/HYOU1
BP	GO:0048193	Golgi vesicle transport	255	-0.31217239821999815	-1.8949578900137742	5.703975010645751e-9	4.188718963651586e-5	4.036005633132949e-5	2055	tags=35%, list=17%, signal=30%	ERGIC1/MIA3/TEX261/KLHL12/LMAN1/CCDC93/TRAPPC3/BCAP29/GOSR1/SAR1A/STX5/NRBP1/SEC16A/IER3IP1/GOSR2/GGA2/TMED10/RAB1A/RABIF/RINT1/RABEP1/SEC23B/AP3S1/RAB6A/RAB8B/RAB14/SNX1/SEC13/NSF/YIF1A/BLZF1/P4HB/TRAPPC2B/CREB3L2/KIF1C/EXOC8/SNX12/TMED5/ZW10/SEC24A/YIPF6/TMED9/PITPNB/TBC1D20/GOLGA4/COPA/YIPF4/TRAPPC4/AP3D1/SNX8/PREB/GOLGA5/GOLT1B/COPB1/SEC31A/GBF1/BET1L/VCP/TMED2/TMED7/ARCN1/VAPB/SEC24C/SEC23A/ARFGAP3/AP4M1/TRIP11/CYTH3/ARL1/YKT6/TFG/ATP2C1/INSIG1/COPG1/SPIRE1/SEC23IP/SEC22B/SCYL1/ARF4/WIPI1/GOLGA2/USO1/TMEM115/COPB2/KDELR2/BET1/SEC24D/HYOU1/RAB13/PLPP3
CC	GO:0071746	IgA immunoglobulin complex, circulating	2	1	1.5058275888786805	2.2278938707009303e-8	4.188718963651586e-5	4.036005633132949e-5	2	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071748	monomeric IgA immunoglobulin complex	2	1	1.5058275888786805	2.2278938707009303e-8	4.188718963651586e-5	4.036005633132949e-5	2	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071749	polymeric IgA immunoglobulin complex	2	1	1.5058275888786805	2.2278938707009303e-8	4.188718963651586e-5	4.036005633132949e-5	2	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071750	dimeric IgA immunoglobulin complex	2	1	1.5058275888786805	2.2278938707009303e-8	4.188718963651586e-5	4.036005633132949e-5	2	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071751	secretory IgA immunoglobulin complex	2	1	1.5058275888786805	2.2278938707009303e-8	4.188718963651586e-5	4.036005633132949e-5	2	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071752	secretory dimeric IgA immunoglobulin complex	2	1	1.5058275888786805	2.2278938707009303e-8	4.188718963651586e-5	4.036005633132949e-5	2	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0042470	melanosome	94	-0.42449387478706363	-2.1191665337023733	1.8919604342940387e-7	2.8456976892216637e-4	2.741948553616877e-4	2332	tags=46%, list=19%, signal=37%	RAB7A/HPS4/RAN/SYPL1/MFSD12/RAC1/PDCD6IP/FLOT1/ANKRD27/TMED10/RAB1A/RAB2A/RAB5A/P4HB/MREG/PPIB/STX3/CTSB/ANXA2/ATP6V1B2/CANX/CLTC/RPN1/GGH/PDIA3/ATP1B3/CTNS/CD63/SLC1A5/RAB5B/SLC3A2/RAB9A/PDIA6/HSPA5/SDCBP/PDIA4/ITGB1/HSP90B1/SEC22B/SLC1A4/MMP14/CALU/GPNMB
CC	GO:0048770	pigment granule	94	-0.42449387478706363	-2.1191665337023733	1.8919604342940387e-7	2.8456976892216637e-4	2.741948553616877e-4	2332	tags=46%, list=19%, signal=37%	RAB7A/HPS4/RAN/SYPL1/MFSD12/RAC1/PDCD6IP/FLOT1/ANKRD27/TMED10/RAB1A/RAB2A/RAB5A/P4HB/MREG/PPIB/STX3/CTSB/ANXA2/ATP6V1B2/CANX/CLTC/RPN1/GGH/PDIA3/ATP1B3/CTNS/CD63/SLC1A5/RAB5B/SLC3A2/RAB9A/PDIA6/HSPA5/SDCBP/PDIA4/ITGB1/HSP90B1/SEC22B/SLC1A4/MMP14/CALU/GPNMB
