ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0019814	immunoglobulin complex	12	0.9411887631435858	2.183254622608786	1.4752279604436315e-10	2.1433587037285524e-6	2.0550701924748444e-6	523	tags=92%, list=5%, signal=87%	IGHA1/JCHAIN/IGLC1/IGLC3/IGHG3/IGHM/IGKC/IGHD/CD79A/CD79B/LIME1
BP	GO:0050851	antigen receptor-mediated signaling pathway	160	0.5512671220701578	1.7504756529963454	3.4489312002082595e-10	2.50547607039129e-6	2.4022713422924266e-6	2013	tags=37%, list=19%, signal=30%	IGHA1/IGLC1/IGLC3/IGHG3/THEMIS/IGHM/SH2D1A/IGKC/TRDC/CD28/CD3G/IGHD/CARD11/SKAP1/ITK/GATA3/TRAT1/LAX1/TESPA1/CD79A/UBASH3A/CTLA4/PTPN22/CD79B/FCRL3/CD8B/LIME1/NFATC2/TRAC/MS4A1/CD160/TRBC2/TRBC1/EZR/INPP5D/CD3E/CD3D/RAB29/CD8A/ZAP70/SLA2/CD300A/FYB1/LCK/PDE4D/PLCG1/BTN3A2/CBLB/CD247/KLHL6/MEF2C/NCKAP1L/BTN3A1/EIF2B4/STAP1/NFAM1/PLEKHA1/TXK/VAV3
CC	GO:0071735	IgG immunoglobulin complex	5	0.9947433814393577	1.8470132813306825	9.535192486737797e-10	2.770736232796269e-6	2.656604997252379e-6	60	tags=100%, list=1%, signal=99%	IGHA1/IGLC1/IGLC3/IGHG3/IGKC
CC	GO:0071745	IgA immunoglobulin complex	5	0.9947433814393577	1.8470132813306825	9.535192486737797e-10	2.770736232796269e-6	2.656604997252379e-6	60	tags=100%, list=1%, signal=99%	IGHA1/JCHAIN/IGLC1/IGLC3/IGKC
CC	GO:0071753	IgM immunoglobulin complex	5	0.9947433814393577	1.8470132813306825	9.535192486737797e-10	2.770736232796269e-6	2.656604997252379e-6	60	tags=100%, list=1%, signal=99%	JCHAIN/IGLC1/IGLC3/IGHM/IGKC
MF	GO:0140640	catalytic activity, acting on a nucleic acid	435	0.45847239128868417	1.4968658345080952	2.957569348079489e-9	7.161754176374482e-6	6.8667496056989395e-6	3938	tags=52%, list=38%, signal=34%	NEIL1/METTL2A/DIS3L2/ZC3H12D/HELLS/POP5/TSEN2/TRMT11/MSH2/SHPRH/POLR1A/MCM3/HLTF/POP1/ALKBH4/DCP1B/ERI3/MCM6/ELAC2/ATAD5/SEPSECS/POLG2/DTD2/PRIM1/POLR1E/TYW1/POLH/TDP1/PUS10/POLR3K/DHX35/TRMT13/CDKAL1/RFC4/METTL5/POLR3A/POLL/RAD51D/PCNA/RFC1/POLRMT/MRE11/POLB/LARS2/NUDT16/WRN/MRM3/EXOG/IARS2/FANCM/QTRT1/TUT4/QRSL1/DNASE2/CNOT6L/MCM4/DCLRE1C/SLFN13/DDX51/TRMT2B/NSUN5/NOP2/DCPS/VPS72/DHX30/MCM8/POLI/CHD3/POLR2I/METTL16/FAN1/MCM5/ERI1/LIG1/DDX11/ENDOG/DHX33/DDX20/RCL1/EME2/SMG6/DDX31/CNOT7/TSNAX/MTFMT/BCDIN3D/TYW5/RAD17/RTCA/SMARCA2/RFC3/ANGEL2/DDX19A/METTL8/TRMT44/EXOSC10/DNMT1/REXO2/DTWD1/SLFN12/EXOSC9/TRMU/RAD50/TRMT61B/PARN/TUT1/AARSD1/DIMT1/MCM9/MGME1/DBR1/CHD7/RPP30/EXOSC2/TSR3/POLR2H/EXOSC7/RUVBL1/DDX55/MSH3/TENT4B/ERCC3/GATC/CRCP/PRORP/RPP38/DDX24/APEX1/TRPT1/DUS4L/DUS1L/DALRD3/NME1/GEN1/DIS3L/TSEN54/PUS3/DTD1/DDX46/CHD9/RTCB/METTL2B/IGHMBP2/YTHDC2/ERCC5/DHX29/HARS2/FBL/TARBP1/ZNHIT1/POLD3/DHX37/POLR3F/PRPF18/POP7/TEP1/ALKBH2/RAD51C/RFC2/APTX/RUVBL2/BUD23/MSH6/MGMT/SMARCAL1/POLR3E/ZGRF1/NT5C3A/POP4/FARSB/NOB1/DNMT3A/SNRNP200/DDX1/POLE3/SMC3/PAN3/CHRAC1/CPSF3/TTF2/BLM/EXO5/RPP21/MUTYH/RNASE2/METTL14/CNOT6/PSTK/SAMHD1/ALKBH3/HENMT1/XRCC1/DHX16/METTL15/RNGTT/POLR2F/POLR1B/FTSJ3/TRDMT1/MPG/TATDN1/MBD4/PTRH1/LRRC47/ERCC4/ERCC1/XRCC5/YARS2/DHX57/CHD6/TYW3/G3BP1/PNPT1/DDX19B/ERCC6/REV1/MBLAC1/DDX54/ASCC3/SMARCAD1/DDX23/DDX41/DHX9/POLR2J3/NAV2/DDX27
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	246	0.4925586694898786	1.5860551634902529	1.7784305923804275e-8	3.276674888667138e-5	3.141703198077233e-5	1964	tags=32%, list=19%, signal=26%	IGHA1/IGLC1/IGLC3/IGHG3/THEMIS/IGHM/SH2D1A/IGKC/KLRC1/TRDC/C5AR2/YES1/CD28/CD3G/IGHD/KLRK1/CARD11/SKAP1/KLRC2/PRKCQ/KLRD1/ITK/KLRC4/GATA3/TRAT1/LAX1/TESPA1/CD79A/UBASH3A/CTLA4/BTLA/PTPN22/CD79B/FCRL3/CD8B/PTK2/LIME1/NFATC2/KLRC3/TRAC/MS4A1/CD160/TRBC2/TRBC1/EZR/INPP5D/CD3E/CD3D/TLR6/RAB29/CD8A/ZAP70/SLA2/CD300A/NCR3/FYB1/LCK/PDE4D/FER/PLCG1/BTN3A2/FCGR3A/CBLB/CD247/LIMK1/KLHL6/MEF2C/NCKAP1L/FCGR1A/BTN3A1/EIF2B4/STAP1/NFAM1/APPL1/TLR1/PLEKHA1/NOD2/TXK
BP	GO:0002250	adaptive immune response	323	0.4746368413639623	1.5380942304088383	1.8042122038225e-8	3.276674888667138e-5	3.141703198077233e-5	2084	tags=34%, list=20%, signal=28%	IGHA1/JCHAIN/IGLC1/IGLC3/IGHG3/CD40LG/THEMIS/CCR6/XCL1/IGHM/TRBV28/SH2D1A/FCER2/IGKC/KLRC1/TRDC/RNF125/CAMK4/CD28/CD3G/IGHD/KDM5D/KLRK1/SKAP1/TNFRSF13C/KLRC2/PRKCQ/KLRD1/CLU/ITK/CX3CR1/ERAP2/BACH2/TNFRSF13B/HLA-DOA/GATA3/TRAT1/LAX1/MSH2/RORA/SERPING1/CD79A/SH2D1B/IRF4/CD6/CTLA4/BTLA/CD79B/IL21R/ATAD5/IL18R1/LY9/CD7/CD8B/LIME1/GZMM/IFNG/RNF8/IL2RB/TRAC/CD160/PRF1/TRBC2/SPN/TRBC1/OTUD7B/LEF1/INPP5D/CD3E/CD3D/CD8A/ZAP70/JAM3/SLA2/CD84/DCLRE1C/THOC1/CD27/BTN3A2/IL27RA/FCGR3A/IL12RB1/RIPK3/CD247/HLA-DMB/CD244/TBX21/KLHL6/RNF168/MEF2C/PKN1/NCKAP1L/FCGR1A/BTN3A1/IL12A/SLC15A4/PIK3CG/ADCY7/SLAMF6/MR1/NOD2/TRAF2/TNFSF13/SLAMF1/HSPD1/TXK/EOMES/GPR183/IL7R/BATF/HRAS
CC	GO:0071746	IgA immunoglobulin complex, circulating	2	1	1.4979940396142517	4.381742656978087e-8	4.5473099330881875e-5	4.359998670860752e-5	2	tags=100%, list=0%, signal=100%	IGHA1/JCHAIN
CC	GO:0071748	monomeric IgA immunoglobulin complex	2	1	1.4979940396142517	4.381742656978087e-8	4.5473099330881875e-5	4.359998670860752e-5	2	tags=100%, list=0%, signal=100%	IGHA1/JCHAIN
CC	GO:0071749	polymeric IgA immunoglobulin complex	2	1	1.4979940396142517	4.381742656978087e-8	4.5473099330881875e-5	4.359998670860752e-5	2	tags=100%, list=0%, signal=100%	IGHA1/JCHAIN
