ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0071745	IgA immunoglobulin complex	5	0.989865140988966	1.8788741662846649	1.3944330424522183e-8	1.0496594727059073e-4	1.0122116063947892e-4	129	tags=100%, list=1%, signal=99%	IGLC3/JCHAIN/IGHA1/IGKC/IGLC1
CC	GO:0071753	IgM immunoglobulin complex	5	0.989865140988966	1.8788741662846649	1.3944330424522183e-8	1.0496594727059073e-4	1.0122116063947892e-4	129	tags=100%, list=1%, signal=99%	IGLC3/JCHAIN/IGHM/IGKC/IGLC1
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	113	-0.40733240539158894	-2.10807902904437	3.664971804096851e-8	1.8392050170226032e-4	1.7735891621790798e-4	2813	tags=60%, list=23%, signal=47%	CUL3/SEC22C/SAR1B/TRAPPC11/MIA3/KLHL12/CSNK1D/LMAN1/TRAPPC6B/SEC22A/PEF1/RINT1/TRAPPC3/SEC24B/TEX261/GOSR1/SEC16A/IER3IP1/P4HB/TMED10/ERGIC1/SAR1A/YIF1A/NRBP1/RAB1A/TMED9/BCAP29/SEC13/STX5/LMAN2L/YIPF6/SEC23B/TMED5/COPA/ZW10/GBF1/TRAPPC2B/CREB3L2/SEC31A/SEC24C/TMED2/YIPF4/SEC24A/TBC1D20/SEC23A/VCP/TRAPPC4/COPB1/TRIP11/TMED7/GOLT1B/TFG/ARCN1/PREB/SEC22B/INSIG1/VAPB/ARF4/COPG1/SEC23IP/YKT6/GOLGA2/USO1/KDELR2/COPB2/BET1/SEC24D/HYOU1
BP	GO:0002250	adaptive immune response	339	0.4374511409159619	1.532909779486984	1.296374168848162e-7	4.879228278002269e-4	4.7051559307246973e-4	3126	tags=37%, list=26%, signal=29%	IGLC3/JCHAIN/IGHA1/TRBV28/KLRC1/CX3CR1/RAP1GAP2/IGHM/TRGC1/IGKC/FUT7/RNF125/XCL1/CD1D/CARD9/KLRC2/IGHD/IGLC1/IRF4/KDM5D/CD79A/KLRK1/HFE/TNFRSF13C/SERPING1/CD28/KLRD1/MEF2C/CAMK4/RORA/FCER2/HLA-DMB/TNFSF13/IGHG3/IFNG/PRKCZ/BTN3A1/C5/CD79B/LAX1/JAM3/ATAD5/THEMIS/PRF1/FCGR2B/TRDC/CD3E/TNFSF13B/SLA2/CD27/CD8B/CLU/TRAT1/HLA-DOA/C1QA/SLAMF1/PYCARD/IL2RB/CR1/INPP5D/FCGR1A/CD1C/THOC1/GATA3/JAK3/LEF1/SPN/LIME1/PRR7/BATF/BTN3A2/GZMM/EOMES/C1RL/CD7/SKAP1/ITK/LILRA1/PRKCQ/ZAP70/EIF2AK4/CD8A/LTA/TFRC/CD40LG/DUSP22/ERAP2/CLEC10A/BACH2/LILRB3/CCR6/PRKD2/PRKCB/CD4/SASH3/CD3G/CLEC6A/HLA-DMA/PIK3CD/BTK/SH2D1A/PIK3CG/KMT5C/NLRP3/CLEC4G/IL12RB1/ADGRE1/RAB27A/PKN1/LAT2/TRBC2/JAK2/APLF/CD244/CD80/BTN3A3/CD46/ADCY7/WAS/IL21R/CD84/PVR/TYK2/LOXL3/SIGLEC10/IL17RA/TBX21
CC	GO:0019814	immunoglobulin complex	12	0.891359057942534	2.1235607935327896	1.872349186182235e-7	5.116908686489716e-4	4.934356804283674e-4	587	tags=83%, list=5%, signal=79%	IGLC3/JCHAIN/IGHA1/IGHM/IGKC/IGHD/IGLC1/CD79A/IGHG3/CD79B
CC	GO:0042571	immunoglobulin complex, circulating	3	0.9977118574814089	1.6481410731997466	2.0392860922576087e-7	5.116908686489716e-4	4.934356804283674e-4	31	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1/IGHM
CC	GO:0071738	IgD immunoglobulin complex	4	0.9897842432167375	1.7613220392608526	4.977954420791621e-7	0.0010706157686431123	0.0010324202612264368	129	tags=100%, list=1%, signal=99%	IGLC3/IGKC/IGHD/IGLC1
MF	GO:0003823	antigen binding	43	0.6540552115972126	1.974545501889265	2.538520263299732e-6	0.0028268463432249854	0.002725995194165883	1160	tags=33%, list=9%, signal=30%	JCHAIN/IGHA1/TRBV28/IGHM/IGKC/CD1D/KLRC2/IGHD/IGLC1/ITGA4/KLRD1/TSPAN4/SLAMF1/CD1C
CC	GO:0072562	blood microparticle	46	0.635962567041287	1.9349230698121278	2.3792659768599354e-6	0.0028268463432249854	0.002725995194165883	1141	tags=41%, list=9%, signal=38%	IGLC3/JCHAIN/IGHA1/IGHM/IGLC2/IGKC/IGHD/IGLC1/HP/HSPA1B/ITGA2B/SERPING1/ITIH4/HSPA1A/IGHG3/CLU/F13A1/HBA2/APOL1
MF	GO:0008514	organic anion transmembrane transporter activity	110	-0.36549037404801704	-1.878884182446679	3.0439110803863382e-6	0.0028268463432249854	0.002725995194165883	1598	tags=34%, list=13%, signal=30%	SLC38A2/MFSD12/SLC16A6/SLC16A1/SLC1A2/SLC66A1/SLC16A7/SLC38A7/ABCD1/SLC25A29/SLC2A6/SLC3A2/SERINC5/CTNS/SLC26A6/SLC35B1/MFSD2A/SLC52A2/SLC33A1/SLC43A3/SLC22A4/SLC1A5/SLC6A8/SLC25A13/SLC4A7/SLC7A1/SLC6A6/SLC25A19/SLC4A2/SLC23A2/SLC39A8/SLC1A4/SLC17A5/SLC39A14/SLCO4A1/SLC7A11/SLC16A10
