ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0050900	leukocyte migration	227	0.38696265610749114	2.0192121140067245	1.8833130438062456e-10	1.5934413759150985e-6	1.5253559804131596e-6	1291	tags=25%, list=11%, signal=23%	FLT1/YES1/NOD2/C3AR1/NINJ1/VAV3/CRTAM/NBL1/ITGB2/JAM3/PPBP/KLRK1/MDK/ICAM1/XCL2/CXCR3/PF4/DUSP1/LGMN/NEDD9/S100A9/ITGA2/CCL7/CCR2/EPS8/EXT1/FER/XCL1/CD300A/CNN2/AIF1/FUT4/B4GALT1/EDN3/IL17RC/SRC/S100A8/ARHGEF5/MPP1/IL1R1/VAV1/F2RL1/CXCL16/TBX21/GCSAM/FUT7/PDE4B/CCL5/MYO1G/PTGER4/CD74/MMP14/CHST2/GPR183/IL23A/CDC42/TNFRSF11A
BP	GO:0006954	inflammatory response	424	0.31483088373474855	1.7237348913390018	2.178916143737315e-10	1.5934413759150985e-6	1.5253559804131596e-6	1539	tags=26%, list=13%, signal=23%	TLR3/YES1/NOD2/C3AR1/NINJ1/FOS/SOCS3/KRT1/ITGB2/PLA2G4B/JAM3/PPBP/IGFBP4/ADGRE5/MDK/IFNG/XCL2/BCL6/CXCR3/PF4/REL/TLR1/PLCG2/TNFRSF4/TGFB1/JUN/IL2RA/METRNL/HAVCR2/KLF4/SBNO2/PIK3AP1/TLR6/NFKBIZ/NFKB1/S100A9/LDLR/ITGA2/CCL7/NLRP3/RHBDF2/CCR2/IL18RAP/EXT1/PER1/FURIN/XCL1/NFKB2/C1QTNF12/LILRB4/NT5E/PLK2/AIF1/FUT4/RELB/B4GALT1/IL17RC/NCR3/SLC39A8/SRC/LTA/KDM6B/NFKBIA/S100A8/TNIP2/LYZ/IL1R1/F2RL1/TPST1/ITIH4/HIF1A/POLB/MAPKAPK2/FUT7/CCL5/VAMP7/NFKBIB/RELA/PTGER4/IL10RB/KLRG1/STAT3/TNIP1/TRAF3IP2/SIGIRR/CD96/DUSP10/CHST2/PTGER2/IL23A/IFNGR1/TNFRSF11A/ABCF1/ELF4/ZC3H12A/TNFAIP3/SERPINA1/UNC13D/ABCC1/PSMA6/OSM/MVK/BIRC2/ACOD1/CCL20/LXN/IFNGR2/TFRC/PIK3CG/LTB4R
BP	GO:0002252	immune effector process	380	0.3250868341541431	1.7885271552867672	4.81488689229124e-10	2.3474178562217225e-6	2.2471161598023082e-6	1241	tags=23%, list=11%, signal=21%	ULBP2/TLR3/YES1/NOD2/VAV3/KRT1/CRTAM/ITGB2/IL4I1/KLRK1/SEMA4A/PAK1/MDK/IFNG/ICAM1/PANX1/BCL6/NR4A3/PLCG2/TNFRSF4/CD8A/SLC7A5/TNFSF13/TGFB1/BATF/IRF4/HAVCR2/SBNO2/IL21R/NFKBIZ/BCL3/CD70/NLRP3/ARID5A/CCR2/SHB/HLA-DQA2/IL18RAP/FER/SUSD4/XCL1/ITM2A/CD300A/ERCC1/LILRB4/CD226/CD55/RELB/AHR/KMT5C/LITAF/NCR3/SRC/LTA/JUNB/PTGDS/IL1R1/VAV1/EXOSC6/KLRB1/F2RL1/PRKCE/RARA/TBX21/PRDX1/GZMM/SERPINB9/IL2RB/MAPKAPK2/FUT7/MYO1G/VAMP7/STXBP1/TUBB4B/PTGER4/CD74/STAT3/PRF1/TRAF3IP2/KLRD1/DOCK2/CD96/DUSP10/GPR183/HLA-DMA/PLD2/CLEC4E/IL23A
BP	GO:0045321	leukocyte activation	626	0.27213682739757883	1.537442599448603	1.0311459414561392e-9	3.770385134934373e-6	3.609282149291608e-6	1530	tags=23%, list=13%, signal=21%	ULBP2/TLR3/YES1/NOD2/SOX4/VAV3/CRTAM/ITGB2/IL4I1/CDKN1A/TNFRSF9/KLRK1/SEMA4A/HMGB3/MAPK8IP1/MDK/IFNG/TSPAN32/ICAM1/PRDM1/NDRG1/ICOS/BCL6/PNP/PRR7/NR4A3/TLR1/PLCG2/TNFRSF4/CD8A/BATF3/TNFSF8/TNFSF13/TGFB1/JUN/BATF/IRF4/IL2RA/HAVCR2/PELI1/SBNO2/EGR1/CD83/TLR6/SMARCD3/NFIL3/NEDD9/IL21R/NFKBIZ/BCL3/CD70/LDLR/VSIR/SDC4/NLRP3/CCR2/SHB/HLA-DQA2/IL18RAP/FER/XCL1/RABL3/ITM2A/CD300A/ERCC1/LILRB4/CD226/CD55/HSPH1/AIF1/MAP3K8/CD274/RELB/AHR/ARG2/KMT5C/RUNX2/NCR3/SIRPG/SRC/CD8B/JUNB/TNIP2/PTGDS/PRNP/VAV1/EXOSC6/F2RL1/PRKCE/RARA/TBX21/SH2D2A/ZBTB16/PRDX1/IRF1/CDK6/SOCS1/IL2RB/FUT7/CCL5/VAMP7/STXBP1/ADAM9/ID2/PTGER4/CD74/JUND/MMP14/KLF6/STAT3/JMJD6/PRF1/TRAF3IP2/KLRD1/DOCK2/ZNF335/DUSP10/GPR183/HLA-DMA/CLEC4E/IL23A/IFNGR1/CRTC3/IL15RA/ELF4/ZC3H12A/TNFAIP3/EFNB1/UNC13D/LCP2/RUNX3/FKBP1B/ZNF3/PPP2R3C/SELENOK/HLA-DRA/SAMSN1/IFNGR2/SLA2/ZEB1/CD38/TFRC/PIK3CG/SHLD1/KLRC1
BP	GO:0002443	leukocyte mediated immunity	252	0.346825736997351	1.8295411991946557	1.7316058256619758e-8	5.065293361226411e-5	4.8488608604484084e-5	1538	tags=27%, list=13%, signal=24%	ULBP2/TLR3/NOD2/CRTAM/ITGB2/IL4I1/KLRK1/ICAM1/BCL6/NR4A3/PLCG2/CD8A/TNFSF13/TGFB1/BATF/HAVCR2/IL21R/NFKBIZ/BCL3/CD70/NLRP3/ARID5A/CCR2/HLA-DQA2/IL18RAP/FER/SUSD4/XCL1/CD300A/ERCC1/LILRB4/CD226/CD55/AHR/KMT5C/NCR3/LTA/PTGDS/IL1R1/VAV1/EXOSC6/KLRB1/F2RL1/TBX21/PRDX1/GZMM/SERPINB9/IL2RB/FUT7/MYO1G/VAMP7/STXBP1/TUBB4B/CD74/PRF1/TRAF3IP2/KLRD1/CD96/HLA-DMA/IL23A/UNC13D/DENND1B/HLA-DRA/SLA2/TFRC/PIK3CG/SHLD1/KLRC1/GZMB
BP	GO:0097529	myeloid leukocyte migration	135	0.4275418027233219	2.0739320056241266	7.197844540312172e-8	7.964120451729379e-5	7.623825352720999e-5	1056	tags=26%, list=9%, signal=24%	FLT1/NOD2/C3AR1/VAV3/NBL1/ITGB2/JAM3/PPBP/MDK/XCL2/PF4/DUSP1/LGMN/S100A9/CCL7/CCR2/XCL1/CD300A/CNN2/AIF1/FUT4/B4GALT1/EDN3/IL17RC/S100A8/ARHGEF5/MPP1/IL1R1/VAV1/FUT7/PDE4B/CCL5/PTGER4/CD74/MMP14
BP	GO:0060326	cell chemotaxis	157	0.4044529656963217	2.01026663526061	5.550393908804524e-8	7.964120451729379e-5	7.623825352720999e-5	1357	tags=25%, list=12%, signal=23%	FLT1/NOD2/C3AR1/NINJ1/VAV3/NBL1/ITGB2/JAM3/PPBP/KLRK1/MDK/XCL2/PF4/ELMO2/DUSP1/LGMN/NEDD9/S100A9/CCL7/CCR2/XCL1/FGFR1/AIF1/EDN3/IL17RC/S100A8/CCL27/ARHGEF5/MPP1/VAV1/F2RL1/CXCL16/PDE4B/CCL5/CD74/NR4A1/GPR183/IL23A/TNFRSF11A/ABCC1
BP	GO:0002697	regulation of immune effector process	231	0.3517044333834495	1.8329608294157411	4.6382281749917005e-8	7.964120451729379e-5	7.623825352720999e-5	1530	tags=27%, list=13%, signal=24%	ULBP2/TLR3/NOD2/CRTAM/ITGB2/IL4I1/KLRK1/IFNG/ICAM1/PANX1/BCL6/NR4A3/PLCG2/TNFRSF4/SLC7A5/TNFSF13/TGFB1/BATF/IRF4/HAVCR2/NFKBIZ/NLRP3/ARID5A/CCR2/SHB/IL18RAP/FER/SUSD4/XCL1/CD300A/LILRB4/CD226/CD55/AHR/KMT5C/LITAF/NCR3/LTA/JUNB/IL1R1/VAV1/EXOSC6/KLRB1/F2RL1/RARA/TBX21/SERPINB9/MAPKAPK2/FUT7/VAMP7/STXBP1/CD74/KLRD1/CD96/DUSP10/IL23A/ZC3H12A/UNC13D/DENND1B/HLA-DRA/TFRC/SHLD1/KLRC1
BP	GO:0002696	positive regulation of leukocyte activation	265	0.33304375335181857	1.7516640889795927	5.741677619848597e-8	7.964120451729379e-5	7.623825352720999e-5	1523	tags=26%, list=13%, signal=23%	YES1/NOD2/SOX4/VAV3/ITGB2/IL4I1/CDKN1A/KLRK1/MDK/IFNG/ICOS/BCL6/PNP/NR4A3/TNFRSF4/TNFSF13/TGFB1/IL2RA/HAVCR2/PELI1/CD83/TLR6/SMARCD3/NFKBIZ/CD70/VSIR/NLRP3/CCR2/SHB/HLA-DQA2/XCL1/LILRB4/CD226/CD55/HSPH1/AIF1/MAP3K8/CD274/KMT5C/SIRPG/SRC/TNIP2/VAV1/EXOSC6/F2RL1/RARA/TBX21/ZBTB16/SOCS1/CCL5/VAMP7/STXBP1/CD74/JUND/MMP14/ZNF335/DUSP10/GPR183/HLA-DMA/IL23A/IL15RA/EFNB1/RUNX3/PPP2R3C/SELENOK/HLA-DRA/CD38/TFRC/SHLD1
BP	GO:0050867	positive regulation of cell activation	270	0.3310821549020424	1.7483012845991828	7.623252175865671e-8	7.964120451729379e-5	7.623825352720999e-5	1523	tags=26%, list=13%, signal=23%	YES1/NOD2/SOX4/VAV3/ITGB2/IL4I1/CDKN1A/KLRK1/MDK/IFNG/ICOS/BCL6/PNP/NR4A3/TNFRSF4/TNFSF13/TGFB1/IL2RA/DDR2/HAVCR2/PELI1/CD83/TLR6/SMARCD3/NFKBIZ/CD70/VSIR/NLRP3/CCR2/SHB/HLA-DQA2/XCL1/LILRB4/GP1BB/CD226/CD55/HSPH1/AIF1/MAP3K8/CD274/KMT5C/SIRPG/SRC/TNIP2/VAV1/EXOSC6/F2RL1/RARA/TBX21/ZBTB16/SOCS1/CCL5/VAMP7/STXBP1/CD74/JUND/MMP14/ZNF335/DUSP10/GPR183/HLA-DMA/IL23A/IL15RA/EFNB1/RUNX3/PPP2R3C/SELENOK/HLA-DRA/CD38/TFRC/SHLD1
